ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ตรวจเช็ค / ซ่อมเครื่องยนต์และช่วงล่าง ซ่อมตัวถังและสี,คลองสามวา,9501,นิมิตใหม่,, -   ,10100105525535, 37 ,กรุงเทพมหานคร,,1501, 143.37 ,3-95(1)-55/53,53,ทรายกองดิน,บริษัท โตโยต้า นฤมิต จำกัด,138,บริษัท โตโยต้า นฤมิต จำกัด,3,10510
ซ่อม เคาะ พ่นสีรถยนต์,คลองสามวา,9501,เลียบคลองสอง,-, 10.20 ,10100007825546, 9 ,กรุงเทพมหานคร,-,โฉนดเลขที่ 62810, 99.00 ,3-95(1)-78/54,54,บางชัน,บริษัท สยาม เลเซอร์ แมท จำกัด,139,บริษัท สยาม เลเซอร์ แมท จำกัด,3,10510
ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,คลองสามวา,9501,หทัยราษฎร์,, 1.40 ,10100020725533, 6 ,กรุงเทพมหานคร,,497/1, 86.59 ,3-95(1)-207/53,53,บางชัน,บริษัท ที เอ พี เอ็นจิเทค จำกัด,140,บริษัท ที เอ พี เอ็นจิเทค จำกัด,3,10510
ซ่อมและพ่นสีรถยนต์,คลองสามวา,9501,นิมิตใหม่,, 2.00 ,10100010425615, 12 ,กรุงเทพมหานคร,,565, 116.55 ,3-95(1)-104/61,61,ทรายกองดิน,บริษัท บี เจ เซอร์วิส จำกัด,141,บริษัท บี เจ เซอร์วิส จำกัด,3,10510
ศูนย์บริการซ่อมแซมและพ่นสีรถยนต์,คลองสามวา,9501,นิมิตใหม่,, 88.52 ,10100400525586, 36 ,กรุงเทพมหานคร,,1515, 110.00 ,3-95(1)-5/58,58,ทรายกองดิน,บริษัท นิมิตใหม่ ฮอนด้า ออโตโมบิล จำกัด,142,บริษัท นิมิตใหม่ ฮอนด้า ออโตโมบิล จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,วัดสุขใจ,, 35.00 ,10100156825651, 20 ,กรุงเทพมหานคร,,"โฉนดที่ดินเลขที่ 103186,103187,103188,103193,103194"," 1,188.00 ",3-105-79/65,65,ทรายกองดิน,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,143,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,ประชาร่วมใจ,ประชาร่วมใจ 59, 137.70 ,10100008425601, 40 ,กรุงเทพมหานคร,,19," 5,368.00 ",3-105-84/60,60,ทรายกองดินใต้,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,144,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,3,10510
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสามวา,10500,,, 66.00 ,10100009125689, 20 ,กรุงเทพมหานคร,,14," 1,778.00 ",3-105-7/68,68,สามวาตะวันตก,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,145,บริษัท ส.สมหมาย ค้าเหล็ก จำกัด,3,10510
ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (SRF) ปอกและบดย่อยเศษสายไฟที่ไม่เป็นของเสียอันตราย,คลองสามวา,10600,วัดสุขใจ,, 35.00 ,10100159725676, 20 ,กรุงเทพมหานคร,,"โฉนดที่ดินเลขที่ 103186,103189,103190,103191,103192", 360.00 ,3-106-53/67,67,ทรายกองดิน,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,146,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,3,10510
ฆ่าสัตว์ และเก็บรักษาเนื้อสัตว์ (ไก่ ปลาไหลญี่ปุ่น) ห้องเย็นขนาด 820 ตันริฟิเจอร์เรชั่น,คันนายาว,401,นวมินทร์,," 2,006.13 ",10100000125258," 2,589 ",กรุงเทพมหานคร,,128," 7,846.99 ",3-4(1)-1/25,25,รามอินทรา,บริษัท สหฟาร์ม จำกัด,147,บริษัท สหฟาร์ม จำกัด,3,10230
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,คันนายาว,901,รามอินทรา,คู้บอน, 14.00 ,10100006425520, 12 ,กรุงเทพมหานคร,13,92, 332.50 ,3-9(1)-64/52,52,คันนายาว,ห้างหุ้นส่วนจำกัด กิจทวีผลค้าข้าว,148,ห้างหุ้นส่วนจำกัด กิจทวีผลค้าข้าว,3,10230
ทำขนมปัง,คันนายาว,1001,สุขาภิบาล 1,, 2.86 ,100100125390, 26 ,กรุงเทพมหานคร,,44/4, 72.21 ,ศ3-10(1)-1/39,39,คันนายาว,บริษัท ผลิตภัณฑ์อาหารเพื่อสุขภาพ จำกัด,149,บริษัท ผลิตภัณฑ์อาหารเพื่อสุขภาพ จำกัด,3,10230
ผลิตน้ำส้มสายชู,คันนายาว,1304,รามอินทรา,, -   ,10100000125159, 3 ,กรุงเทพมหานคร,,731, 313.70 ,3-13(4)-1/15,15,คันนายาว,ห้างหุ้นส่วนจำกัด ชายทะเลจันทร์เพ็ญ,150,ห้างหุ้นส่วนจำกัด ชายทะเลจันทร์เพ็ญ,3,10230
ทำหนังเทียม และ พีวีซี ฟิล์ม,คันนายาว,2702,รามอินทรา,, 43.69 ,10100000325163, 150 ,กรุงเทพมหานคร,,84," 5,559.00 ",3-27(2)-3/16,16,คันนายาว,บริษัท ไทยวีนิล จำกัด,151,บริษัท ไทยวีนิล จำกัด,3,10230
ไส-ซอย ทำวงกบบานประตู-หน้าต่าง ปาร์เก้ โมเสด เครื่องเรือนและเครื่องใช้ภายในบ้านเรือนจากไม้,คันนายาว,3402,เสรีไทย,-, 10.80 ,10100100225321, 40 ,กรุงเทพมหานคร,2,63/3, 801.10 ,3-34(2)-2/32,32,คันนายาว,นายจีรภัทร ก่อสูงศักดิ์,152,,3,10230
ทำวงกบ ประตู-หน้าต่าง และไสไม้,คันนายาว,3402,รามอินทรา,, 1.10 ,100100525375, 12 ,กรุงเทพมหานคร,,621, 63.50 ,ศ3-34(2)-5/37,37,คันนายาว,ส.สหชัยการช่าง,153,ส.สหชัยการช่าง,3,10230
ทำผนังไม้สำเร็จรูป,คันนายาว,3402,รามอินทรา,, 6.60 ,10100200325443, 62 ,กรุงเทพมหานคร,13,118, 187.50 ,3-34(2)-3/44,44,คันนายาว,บริษัท โคเรกซ์ จำกัด,154,บริษัท โคเรกซ์ จำกัด,3,10230
ทำเครื่องเรือนจากไม้,คันนายาว,3700,,สวนสยาม 16 แยก 3, 2.70 ,100001525367, 14 ,กรุงเทพมหานคร,,10, 71.10 ,ศ3-37-15/36,36,คันนายาว,บริษัท ไทยคาร์เพนเตอร์ จำกัด,155,บริษัท ไทยคาร์เพนเตอร์ จำกัด,3,10230
พิมพ์สิ่งพิมพ์ต่าง ๆ,คันนายาว,4101,,เสรีไทย 50 แยก 11, 4.80 ,10100400225377, 5 ,กรุงเทพมหานคร,,1, 198.00 ,3-41(1)-2/37,37,คันนายาว,บริษัท แจ็ส เพอ-พริ้น จำกัด,156,บริษัท แจ็ส เพอ-พริ้น จำกัด,3,10230
พิมพ์สิ่งพิมพ์,คันนายาว,4101,รามอินทรา,-, 20.00 ,10100400525537, 37 ,กรุงเทพมหานคร,,4/5, 187.96 ,3-41(1)-5/53,53,รามอินทรา,บริษัท ปรีชาธร อินเตอร์พริ้น จำกัด,157,บริษัท ปรีชาธร อินเตอร์พริ้น จำกัด,3,10230
"ทำสีพลาสติก สีน้ำมัน สีฝุ่น แลคเกอร์ วานิชและทินเนอร์ กำลังการผลิตสีชนิดต่าง ๆ 537,158 แกลลอนต่อปี",คันนายาว,4501,รามอินทรา,, 25.00 ,10100200325146, 63 ,กรุงเทพมหานคร,,721, 345.00 ,3-45(1)-3/14,14,คันนายาว,บริษัท ซินแคลร์ เพนท์(ประเทศไทย) จำกัด,158,บริษัท ซินแคลร์ เพนท์(ประเทศไทย) จำกัด,3,10230
ผลิตยารักษาโรคแผนปัจจุบัน,คันนายาว,4601,รามอินทรา,วัดคู้บอน, 383.00 ,10100100425293, 30 ,กรุงเทพมหานคร,13,96/17," 2,365.17 ",3-46(1)-4/29,29,คันนายาว,บริษัท ชุมชนเภสัชกรรม จำกัด (มหาชน),159,บริษัท ชุมชนเภสัชกรรม จำกัด (มหาชน),3,10230
ผลิตยารักษาโรคแผนปัจจุบัน,คันนายาว,4601,รามอินทรา,, 962.94 ,10100000225181, 755 ,กรุงเทพมหานคร,,557," 14,655.31 ",3-46(1)-2/18,18,รามอินทรา,บริษัท เอ.เอ็น.บี.ลาบอราตอรี่ จำกัด,160,บริษัท เอ.เอ็น.บี.ลาบอราตอรี่ จำกัด,3,10230
ทำถุงพลาสติก,คันนายาว,5304,คู้บอน,, 6.30 ,10100004225484, 13 ,กรุงเทพมหานคร,13,220, 207.55 ,3-53(4)-42/48,48,รามอินทรา,บริษัท ทองเอก แพคเกจจิ้ง จำกัด,161,บริษัท ทองเอก แพคเกจจิ้ง จำกัด,3,10230
ทำผลิตภัณฑ์คอนกรีตสำเร็จรูปต่าง ๆ เช่น คอนกรีตบล๊อก เสา ท่อ และพื้นสำเร็จรูป,คันนายาว,5801,คุ้บอน,, 9.20 ,10100000825162, 62 ,กรุงเทพมหานคร,,47, 295.00 ,3-58(1)-8/16,16,รามอินทรา,บริษัท ดีแทค จำกัด,162,บริษัท ดีแทค จำกัด,3,10230
ผลิคอนกรีตผสมเสร็จ,คันนายาว,5801,รามอินทรา,, 10.00 ,10100003425390, 3 ,กรุงเทพมหานคร,,-, 108.73 ,3-58(1)-34/39,39,คันนายาว,หน่วยผลิตคอนกรีต รามอินทรา 3,163,หน่วยผลิตคอนกรีต รามอินทรา 3,3,10230
ผลิตคอนกรีตผสมเสร็จ,คันนายาว,5801,รามอินทรา,, 3.40 ,10100101125348, 3 ,กรุงเทพมหานคร,,25/100, 666.23 ,3-58(1)-11/34,34,คันนายาว,โรงงานคอนกรีตผสมเสร็จ รามอินทรา 2,164,โรงงานคอนกรีตผสมเสร็จ รามอินทรา 2,3,10230
ทำผลิตภัณฑ์สแตนเลส เช่น ตู้ และชั้นวางจาน,คันนายาว,6200,รามอินทรา,รามอินทรา 81, 10.50 ,10100200825517, 23 ,กรุงเทพมหานคร,,1, 159.50 ,3-62-8/51,51,รามอินทรา,บริษัท เบสท์ เวย์ คิทเช่น พลัส จำกัด,165,บริษัท เบสท์ เวย์ คิทเช่น พลัส จำกัด,3,10230
ทำบานพับด้วยเหล็ก,คันนายาว,6302,รามอินทรา,รามอินทรา 42 แยก 2, 1.61 ,10100500425182, 68 ,กรุงเทพมหานคร,,2, 387.02 ,3-63(2)-4/18,18,คันนายาว,บริษัท กิจไพศาลการช่าง จำกัด,166,บริษัท กิจไพศาลการช่าง จำกัด,3,10230
"ทำประตูหน้าต่างเหล็ก ตัด, พับ ม้วนโลหะฯลฯ",คันนายาว,6302,,เสรีไทย 77, 0.60 ,10100400925505, 22 ,กรุงเทพมหานคร,,15, 150.46 ,3-63(2)-9/50,50,คันนายาว,วอเตอร์ เซ็นเตอร์ เวิร์คชอป,167,วอเตอร์ เซ็นเตอร์ เวิร์คชอป,3,10230
กลึง  เจาะ  คว้าน  กัด  ไส  เจียนและเชื่อมโลหะทั่วไป,คันนายาว,6413,-,รามอินทรา 58  แยก 7-2-1, 44.00 ,10100200825392, 38 ,กรุงเทพมหานคร,,65, 855.25 ,3-64(13)-8/39,39,รามอินทรา,บริษัท แสงร่มโพธิ์ ออโต้พาร์ท จำกัด,168,บริษัท แสงร่มโพธิ์ ออโต้พาร์ท จำกัด,3,10230
รับกลึง เจาะ ตัด มัวนโลหะ และเชื่อมโลหะทั่วไป,คันนายาว,6413,บึงกุ่ม,โรงเรียนคันนายาว, 2.30 ,10100002425409, 18 ,กรุงเทพมหานคร,3,29/8, 382.00 ,3-64(13)-24/40,40,คันนายาว,บริษัท นิวทรัพย์ กรุ๊ป จำกัด,169,บริษัท นิวทรัพย์ กรุ๊ป จำกัด,3,10230
ผลิตและซ่อมแซมอุปกรณ์ของเครื่องจักรสำหรับอุตสาหกรรมอาหาร ทำเต้ารับเสียบ-เต้ารับ สำหรับเครื่องใช้ไฟฟ้าและประกอบชุดสายไฟฟ้าต่างๆ และทำผลิตภัณฑ์สำหรับใช้เป็นฉนวน,คันนายาว,6800,เสรีไทย,เสรีไทย 79, 11.50 ,10100501025346, 115 ,กรุงเทพมหานคร,,"55, 57, 59", 204.49 ,3-68-10/34,34,คันนายาว,บริษัท บี.บี.เค.อีเลคตริค จำกัด,170,บริษัท บี.บี.เค.อีเลคตริค จำกัด,3,10230
ทำชิ้นส่วนตัวถังพลาสติกของครื่องอิเลคโทรนิคต่างๆ และแบบพิมพ์โลหะ,คันนายาว,6900,คู้บอน,คู้บอน 31 แยก 8, 32.80 ,10101000425342, 196 ,กรุงเทพมหานคร,,9," 1,738.31 ",3-69-4/34,34,คันนายาว,บริษัท อินเตอร์ คัพพ้า คอร์ปอเรชั่น จำกัด,171,บริษัท อินเตอร์ คัพพ้า คอร์ปอเรชั่น จำกัด,3,10230
ทำท่อไอเสียรถยนต์และซ่อมไดนาโม,คันนายาว,7100,รามอินทรา,, 0.96 ,10100001425285, 16 ,กรุงเทพมหานคร,,"232,230,228", 84.00 ,3-71-14/28,28,รามอินทรา,ง้วนไดนาโม,172,ง้วนไดนาโม,3,10230
ผลิตอุปกรณ์เตาไฟหรือเตาอบสำหรับใช้ในการอุตสาหกรรมและการทำเต้าเสียบเต้ารับ สำหรับเครื่องใช้ไฟฟ้าและประกอบชุดสายไฟฟ้าต่างๆ,คันนายาว,7100,เสรีไทย,เสรีไทย 79, 2.10 ,10100401225525, 45 ,กรุงเทพมหานคร,,141, 193.38 ,3-71-12/52,52,คันนายาว,บริษัท บี.บี.เค.อีเลคตริค จำกัด,173,บริษัท บี.บี.เค.อีเลคตริค จำกัด,3,10230
"ผลิตชิ้นส่วนและอุปกรณ์อีเล็คโทรนิค (กลไกใส่ตลับเทปวีดีโอ, ชิ้นส่วนโลหะของหลอดภาพโทรทัศน์และชิ้นส่วนเครื่องพิมพ์ดีดไฟฟ้า) ผลิตแม่พิมพ์ที่ใช้ในการฉีดพลาสติกและปั๊มโลหะขึ้นรูป และผลิตชิ้นส่วนโลหะของอุปกรณ์ที่ติดตั้งในรถยนต์",คันนายาว,7200,รามอินทรา,-, 941.80 ,100000425304, 455 ,กรุงเทพมหานคร,,886," 7,003.48 ",ส3-72-4/30กท,30,คันนายาว,บริษัท มูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),174,บริษัท มูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),3,10230
ทำอุปกรณ์ไฟฟ้า เช่น น๊อต สกรู เหล็กสลักภัณฑ์ต่าง ๆ,คันนายาว,7300,รามอินทรา,, 11.69 ,10100100525191, 24 ,กรุงเทพมหานคร,1,178," 1,016.59 ",3-73-5/19,19,รามอินทรา,บริษัท กิจพูนชัย จำกัด,175,บริษัท กิจพูนชัย จำกัด,3,10230
ผลิตดอกไม้ประดิษฐ์และสิ่งประดิษฐ์อื่น,คันนายาว,8704,,รามอินทรา 58 แยก 3, 38.00 ,10103000125401, 94 ,กรุงเทพมหานคร,,35, 55.20 ,3-87(4)-1/40,40,รามอินทรา,บริษัท มาลามาลี จำกัด,176,บริษัท มาลามาลี จำกัด,3,10230
"ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ขนาด 4,840.55 กิโลวัตต์",คันนายาว,8801,รามอินทรา,, 133.12 ,40100047425665, 1 ,กรุงเทพมหานคร,,"587,589"," 11,874.74 ",3-88(1)-16/66,66,คันนายาว,บริษัท โซลาร์ เอนเนอร์ยี่ โซไซตี้ จำกัด,177,บริษัท โซลาร์ เอนเนอร์ยี่ โซไซตี้ จำกัด,3,10230
ซ่อมรถยนต์,คันนายาว,9501,รามอินทรา,, 89.00 ,10100005025669, 50 ,กรุงเทพมหานคร,,991, 73.20 ,3-95(1)-2/66,66,คันนายาว,บริษัท เอ็มบี เอ็มไพร์ จำกัด,178,บริษัท เอ็มบี เอ็มไพร์ จำกัด,3,10230
ซ่อมและพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,, 2.00 ,10100039625476, 18 ,กรุงเทพมหานคร,,491, 159.08 ,3-95(1)-396/47,47,รามอินทรา,บริษัท โตโยต้า กรุงไทย จำกัด,179,บริษัท โตโยต้า กรุงไทย จำกัด,3,10230
ศูนย์บริการซ่อมแซมรถยนต์,คันนายาว,9501,รามอินทรา,, 17.50 ,10100011325574, 1 ,กรุงเทพมหานคร,,615/1, 59.30 ,3-95(1)-113/57,57,คันนายาว,บี ควิก สาขารามอินทรา กม.10,180,บี ควิก สาขารามอินทรา กม.10,3,10230
ซ่อมและพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,คู้บอน 13 แยก 3, 1.10 ,10100104025354, 15 ,กรุงเทพมหานคร,,1, 56.00 ,3-95(1)-40/35,35,คันนายาว,บริษัท อู่วิจิตรการช่าง จำกัด,181,บริษัท อู่วิจิตรการช่าง จำกัด,3,10230
บริการซ่อมแซม บำรุงรักษาเครื่องยนต์,คันนายาว,9501,ประเสริฐมนูกิจ,, 495.15 ,10100001725650, 19 ,กรุงเทพมหานคร,,111, 57.34 ,3-95(1)-1/65,65,รามอินทรา,บริษัท โตโยต้า ชัยรัชการ จำกัด,182,บริษัท โตโยต้า ชัยรัชการ จำกัด,3,10230
"ซ่อมรถยนต์ ได้ปีละ 6,000 คัน",คันนายาว,9501,รามอินทรา,, 46.00 ,10100009825395, 23 ,กรุงเทพมหานคร,,459, 91.45 ,3-95(1)-98/39,39,คันนายาว,บริษัท อีซูซุพระนคร จำกัด,183,บริษัท อีซูซุพระนคร จำกัด,3,10230
ซ่อมรถยนต์ (เครื่อง-ช่วงล่าง),คันนายาว,9501,รามอินทรา,, 0.94 ,10100024125599, 8 ,กรุงเทพมหานคร,,599, 51.50 ,3-95(1)-241/59,59,คันนายาว,บริษัท เซควอญ่า หลักสี่ จำกัด,184,บริษัท เซควอญ่า หลักสี่ จำกัด,3,10230
ซ่อมรถยนต์,คันนายาว,9501,รามอินทรา,-, 0.40 ,10101200225484, 13 ,กรุงเทพมหานคร,,597, 69.60 ,3-95(1)-2/48,48,คันนายาว,บริษัท มิตซู เซควอญ่า จำกัด,185,บริษัท มิตซู เซควอญ่า จำกัด,3,10230
ซ่อมพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,, 89.00 ,10100105525667, 50 ,กรุงเทพมหานคร,,993, 140.56 ,3-95(1)-22/66,66,คันนายาว,บริษัท เอ็มบี เอ็มไพร์ จำกัด,186,บริษัท เอ็มบี เอ็มไพร์ จำกัด,3,10230
เคาะพ่นสีรถยนต์,คันนายาว,9501,เสรีไทย,เสรีไทย 73, 5.50 ,10100005425372, 7 ,กรุงเทพมหานคร,,27, 53.50 ,3-95(1)-54/37,37,คันนายาว,ห้างหุ้นส่วนจำกัด รอยัลการาจ,187,ห้างหุ้นส่วนจำกัด รอยัลการาจ,3,10230
ซ่อมและพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,, 50.00 ,10100114425628, 25 ,กรุงเทพมหานคร,,88, 227.07 ,3-95(1)-67/62,62,รามอินทรา,บริษัท รามอินทราฮอนด้าคาร์ส์ จำกัด,188,บริษัท รามอินทราฮอนด้าคาร์ส์ จำกัด,3,10230
บริการซ่อมแซม เคาะพ่นสีรถยนต์,คันนายาว,9501,ประเสริฐมนูกิจ,, 495.15 ,10100005925587, 24 ,กรุงเทพมหานคร,,111/1, 70.00 ,3-95(1)-59/58,58,รามอินทรา,บริษัท โตโยต้า ชัยรัชการ จำกัด,189,บริษัท โตโยต้า ชัยรัชการ จำกัด,3,10230
ซ่อมเครื่องยนต์และช่วงล่างรถยนต์ ซ่อมแซมและเคาะพ่นสีรถยนต์,คันนายาว,9501,เสรีไทย,, 30.45 ,10100201425374, 19 ,กรุงเทพมหานคร,,220, 72.86 ,3-95(1)-14/37,37,คันนายาว,บริษัท เอส.พี.อินเตอร์แนชั่นแนล จำกัด,190,บริษัท เอส.พี.อินเตอร์แนชั่นแนล จำกัด,3,10230
ศูนย์ซ่อมบริการรถยนต์และเคาะพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,, 115.00 ,10100014825547, 65 ,กรุงเทพมหานคร,,899, 256.42 ,3-95(1)-148/54,54,คันนายาว,บริษัท โตโยต้าบัสส์ จำกัด,191,บริษัท โตโยต้าบัสส์ จำกัด,3,10230
ซ่อมและพ่นสีรถยนต์,คันนายาว,9501,เสรีไทย,-, 84.00 ,10100006425488, 10 ,กรุงเทพมหานคร,12,888, 158.30 ,3-95(1)-64/48,48,คันนายาว,บริษัท โตโยต้าบัสส์ จำกัด,192,บริษัท โตโยต้าบัสส์ จำกัด,3,10230
ซ่อมรถยนต์,คันนายาว,9501,รามอินทรา,-, 7.10 ,10100303725473, 20 ,กรุงเทพมหานคร,,497, 95.50 ,3-95(1)-37/47,47,คันนายาว,บริษัท ทีปพิพัฒน์ จำกัด,193,บริษัท ทีปพิพัฒน์ จำกัด,3,10230
บริการซ่อมและพ่นสีรถยนต์ ได้ปีละ 300 ตัน,คันนายาว,9501,รามอินทรา,รามอินทรา 87, 1.70 ,10100006725382, 23 ,กรุงเทพมหานคร,9,93/90, 57.01 ,3-95(1)-67/38,38,คันนายาว,บริษัท ก.ม. 9 การาจ จำกัด,194,บริษัท ก.ม. 9 การาจ จำกัด,3,10230
ซ่อมและพ่นสีรถยนต์,คันนายาว,9501,เสรีไทย,, 5.50 ,10100006625426, 6 ,กรุงเทพมหานคร,12,119, 101.33 ,3-95(1)-66/42,42,คันนายาว,อู่ พี.ซี.,195,อู่ พี.ซี.,3,10230
ซ่อมแซมและพ่นสีรถยนต์,คันนายาว,9501,รามอินทรา,, -   ,10100018025573, 9 ,กรุงเทพมหานคร,,"487,489", 54.50 ,3-95(1)-180/57,57,รามอินทรา,บริษัท เดอะ เกรท การาจ จำกัด,196,บริษัท เดอะ เกรท การาจ จำกัด,3,10230
คัดคุณภาพและบรรจุเก็บรักษาผลไม้,จตุจักร,209,ในบริเวณมหาวิทยาลัยเกษตรศาสตร์ ,-, 0.07 ,10100001125547, 35 ,กรุงเทพมหานคร,-,ขึ้นทะเบียนที่ราชพัสดุเลขที่ 601  , 346.79 ,3-2(9)-11/54,54,ลาดยาว,บริษัท พีแอนด์เอฟ เทคโน จำกัด,197,บริษัท พีแอนด์เอฟ เทคโน จำกัด,3,10900
ทำบาร์บีคิวหมู เนื้อ ไก่ อาหารทะเล และเครื่องปรุงรสบาร์บีคิว,จตุจักร,403,ลาดพร้าว,ลาดพร้าว 23, 36.50 ,100000125391, 60 ,กรุงเทพมหานคร,,32/124, 99.60 ,ศ3-4(3)-1/39,39,ลาดยาว,บริษัท ฟู้ดแพชชั่น จำกัด,198,บริษัท ฟู้ดแพชชั่น จำกัด,3,10900
ผลิตนมโคพาสเจอร์ไรส์,จตุจักร,501,งามวงศ์วาน,, 65.31 ,10100000525531, 37 ,กรุงเทพมหานคร,,50, 678.00 ,3-5(1)-5/53,53,ลาดยาว,ศูนย์ผลิตภัณฑ์นม มหาวิยาลัยเกษตรศาสตร์,199,ศูนย์ผลิตภัณฑ์นม มหาวิยาลัยเกษตรศาสตร์,3,10900
โม่แป้ง,จตุจักร,902,ประชาชื่น,เสริมสุข 2, -   ,10100100425517, 23 ,กรุงเทพมหานคร,-,273/11-12, 134.86 ,3-9(2)-4/51,51,จตุจักร,นายอมร ภากรณ์ประเสริฐ,200,,3,10900
ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 65.23 ตัน,จตุจักร,1400,ลาดพร้าว,ลาดพร้าว 15, 13.80 ,10100100125232, 16 ,กรุงเทพมหานคร,,765/12, 526.74 ,3-14-1/23,23,ลาดยาว,อุตสาหกรรมน้ำแข็งหลอดซันต้า,201,อุตสาหกรรมน้ำแข็งหลอดซันต้า,3,10900
ถักผ้ายืด และถักเชือก,จตุจักร,2400,พหลโยธิน,พหลโยธิน 34, 80.60 ,10100000725412, 73 ,กรุงเทพมหานคร,,151/16, 91.15 ,3-24-7/41,41,ลาดยาว,บริษัท ไทเกรส คอร์ด จำกัด,202,บริษัท ไทเกรส คอร์ด จำกัด,3,10900
ตัดเย็บเสื้อผ้าสำเร็จรูป,จตุจักร,2801,ลาดพร้าว,, 24.00 ,10100011225295, 29 ,กรุงเทพมหานคร,13,137/47, 167.97 ,3-28(1)-112/29,29,จันทรเกษม,บริษัท ลิเบอร์ตี้ การ์เมนท์ จำกัด,203,บริษัท ลิเบอร์ตี้ การ์เมนท์ จำกัด,3,10900
ตัดเย็บเสื้อผ้า (ฝึกภาคปฏิบัติให้ผู้ต้องขัง),จตุจักร,2801,งามวงศ์วาน,, 30.65 ,10100000625398, 500 ,กรุงเทพมหานคร,19,33/3, 81.00 ,3-28(1)-6/39,39,ลาดยาว,โรงงานฝึกวิชาชีพผู้ต้องขัง งานฝึกวิชาชีพผู้ต้องขัง ฝ่ายอบรมและฝึกวิชาชีพ,204,โรงงานฝึกวิชาชีพผู้ต้องขัง งานฝึกวิชาชีพผู้ต้องขัง ฝ่ายอบรมและฝึกวิชาชีพ,3,10900
ตัดเย็บเสื้อผ้าสำเร็จรูป,จตุจักร,2801,ลาดพร้าว, ลาดพร้าว 41, 8.70 ,10100001725437, 87 ,กรุงเทพมหานคร,13,137/66, 95.87 ,3-28(1)-17/43,43,จันทรเกษม,อุไรอินเตอร์,205,อุไรอินเตอร์,3,10900
"ผลิตกันชนรถยนต์จากไฟเบอร์กลาส ได้ปีละ 6,000 ชิ้น",จตุจักร,3202,วิภาวดีรังสิต,, 14.01 ,10100000225298, 26 ,กรุงเทพมหานคร,14,299, 366.50 ,3-32(2)-2/29,29,ลาดยาว,บริษัท ไทยยานยนตร์ เซลส์แอนด์เซอร์วิส จำกัด,206,บริษัท ไทยยานยนตร์ เซลส์แอนด์เซอร์วิส จำกัด,3,10900
"ทำรองเท้าหนัง ได้ปีละ 24,000 คู่",จตุจักร,3300,ลาดพร้าว,ลาดพร้าว 41, 20.00 ,10100200225346, 50 ,กรุงเทพมหานคร,13,118/43, 111.86 ,3-33-2/34,34,ลาดยาว,บริษัท เทวินทร์ แอนด์ พอโดพีดิสท์ จำกัด,207,บริษัท เทวินทร์ แอนด์ พอโดพีดิสท์ จำกัด,3,10900
ไส-ซอยไม้,จตุจักร,3401,พหลโยธิน,, 1.02 ,100000725349, 4 ,กรุงเทพมหานคร,,1903, 41.50 ,ศ3-34(1)-7/34,34,ลาดยาว,ห้างหุ้นส่วนจำกัด สมบูรณ์สิน,208,ห้างหุ้นส่วนจำกัด สมบูรณ์สิน,3,10900
ทำบานประตู หน้าต่างด้วยไม้,จตุจักร,3402,ลาดพร้าว,ลาดพร้าว 14, 0.40 ,10100012425159, 13 ,กรุงเทพมหานคร,,62/2, 64.01 ,3-34(2)-124/15,15,จอมพล,ไทยรุ่งเรือง,209,ไทยรุ่งเรือง,3,10900
ทำวงกบ ประตู-หน้าต่าง และเครื่องเรือนจากไม้,จตุจักร,3402,ลาดพร้าว,, -   ,10100000825287, 5 ,กรุงเทพมหานคร,,"692,694", 50.50 ,3-34(2)-8/28,28,จันทรเกษม,สมบูรณ์การช่าง,210,สมบูรณ์การช่าง,3,10900
