_id,ปี,ที่มา,ไม่ประจำทาง,อันดับ,เดือน,ส่วนบุคคล,หน่วย,ลักษณะรถ
223,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,67,4,เมษายน,2,คัน,รถกึ่งพ่วง
224,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,93,4,เมษายน,3,คัน,ลากจูง
225,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,5,พฤษภาคม,8,คัน,กระบะบรรทุก
226,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,58,5,พฤษภาคม,8,คัน,ตู้บรรทุก
227,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,5,พฤษภาคม,0,คัน,บรรทุกของเหลว
228,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,5,พฤษภาคม,0,คัน,บรรทุกวัตถุอันตราย
229,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,5,5,พฤษภาคม,6,คัน,บรรทุกเฉพาะกิจ
230,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,25,5,พฤษภาคม,2,คัน,รถพ่วง
231,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,40,5,พฤษภาคม,1,คัน,รถกึ่งพ่วง
232,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,55,5,พฤษภาคม,1,คัน,ลากจูง
233,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,27,6,มิถุนายน,7,คัน,กระบะบรรทุก
234,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,100,6,มิถุนายน,5,คัน,ตู้บรรทุก
235,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,6,มิถุนายน,0,คัน,บรรทุกของเหลว
236,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,6,มิถุนายน,0,คัน,บรรทุกวัตถุอันตราย
237,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,16,6,มิถุนายน,5,คัน,บรรทุกเฉพาะกิจ
238,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,4,6,มิถุนายน,0,คัน,รถพ่วง
239,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,57,6,มิถุนายน,5,คัน,รถกึ่งพ่วง
240,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,69,6,มิถุนายน,3,คัน,ลากจูง
241,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,45,7,กรกฎาคม,8,คัน,กระบะบรรทุก
242,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,56,7,กรกฎาคม,7,คัน,ตู้บรรทุก
243,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,7,กรกฎาคม,2,คัน,บรรทุกของเหลว
244,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,7,กรกฎาคม,0,คัน,บรรทุกวัตถุอันตราย
245,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,7,กรกฎาคม,7,คัน,บรรทุกเฉพาะกิจ
246,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,7,กรกฎาคม,0,คัน,รถพ่วง
247,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,75,7,กรกฎาคม,2,คัน,รถกึ่งพ่วง
248,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,84,7,กรกฎาคม,2,คัน,ลากจูง
249,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,20,8,สิงหาคม,15,คัน,กระบะบรรทุก
250,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,78,8,สิงหาคม,6,คัน,ตู้บรรทุก
251,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,8,สิงหาคม,1,คัน,บรรทุกของเหลว
252,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,8,สิงหาคม,0,คัน,บรรทุกวัตถุอันตราย
253,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,4,8,สิงหาคม,7,คัน,บรรทุกเฉพาะกิจ
254,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,8,สิงหาคม,0,คัน,รถพ่วง
255,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,63,8,สิงหาคม,2,คัน,รถกึ่งพ่วง
256,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,80,8,สิงหาคม,5,คัน,ลากจูง
257,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,20,9,กันยายน,7,คัน,กระบะบรรทุก
258,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,96,9,กันยายน,23,คัน,ตู้บรรทุก
259,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,9,กันยายน,1,คัน,บรรทุกของเหลว
260,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,9,กันยายน,1,คัน,บรรทุกวัตถุอันตราย
261,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,9,กันยายน,19,คัน,บรรทุกเฉพาะกิจ
262,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,14,9,กันยายน,7,คัน,รถพ่วง
263,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,39,9,กันยายน,2,คัน,รถกึ่งพ่วง
264,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,52,9,กันยายน,1,คัน,ลากจูง
265,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,10,ตุลาคม,6,คัน,กระบะบรรทุก
266,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,97,10,ตุลาคม,23,คัน,ตู้บรรทุก
267,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,10,ตุลาคม,0,คัน,บรรทุกของเหลว
268,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,10,ตุลาคม,1,คัน,บรรทุกวัตถุอันตราย
269,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,9,10,ตุลาคม,6,คัน,บรรทุกเฉพาะกิจ
270,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,20,10,ตุลาคม,9,คัน,รถพ่วง
271,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,47,10,ตุลาคม,1,คัน,รถกึ่งพ่วง
272,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,46,10,ตุลาคม,2,คัน,ลากจูง
273,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,29,11,พฤศจิกายน ,9,คัน,กระบะบรรทุก
274,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,56,11,พฤศจิกายน ,12,คัน,ตู้บรรทุก
275,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,11,พฤศจิกายน ,5,คัน,บรรทุกของเหลว
276,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,11,พฤศจิกายน ,0,คัน,บรรทุกวัตถุอันตราย
277,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,17,11,พฤศจิกายน ,8,คัน,บรรทุกเฉพาะกิจ
278,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,33,11,พฤศจิกายน ,1,คัน,รถพ่วง
279,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,28,11,พฤศจิกายน ,3,คัน,รถกึ่งพ่วง
280,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,53,11,พฤศจิกายน ,2,คัน,ลากจูง
281,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,12,ธันวาคม,4,คัน,กระบะบรรทุก
282,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,105,12,ธันวาคม,10,คัน,ตู้บรรทุก
283,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,12,ธันวาคม,0,คัน,บรรทุกของเหลว
284,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,12,ธันวาคม,0,คัน,บรรทุกวัตถุอันตราย
285,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,12,ธันวาคม,5,คัน,บรรทุกเฉพาะกิจ
286,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,12,ธันวาคม,1,คัน,รถพ่วง
287,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,72,12,ธันวาคม,1,คัน,รถกึ่งพ่วง
288,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,87,12,ธันวาคม,1,คัน,ลากจูง
