จำนวน,ที่มา,หน่วย1,_id,ปี,ร้อยละ,เพศ,อุตสาหกรรม,หน่วย2
8,สำนักงานสถิติจังหวัดอุทัยธานี,คน,92,2563,0,ชาย,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
410,สำนักงานสถิติจังหวัดอุทัยธานี,คน,93,2563,0.5,ชาย,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
289,สำนักงานสถิติจังหวัดอุทัยธานี,คน,94,2563,0.4,ชาย,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
6379,สำนักงานสถิติจังหวัดอุทัยธานี,คน,95,2563,7.9,ชาย,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
1262,สำนักงานสถิติจังหวัดอุทัยธานี,คน,96,2563,1.6,ชาย,การศึกษา,เปอร์เซ็นต์
921,สำนักงานสถิติจังหวัดอุทัยธานี,คน,97,2563,1.1,ชาย,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
376,สำนักงานสถิติจังหวัดอุทัยธานี,คน,98,2563,0.5,ชาย,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
719,สำนักงานสถิติจังหวัดอุทัยธานี,คน,99,2563,0.9,ชาย,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
85,สำนักงานสถิติจังหวัดอุทัยธานี,คน,100,2563,0.1,ชาย,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
30421,สำนักงานสถิติจังหวัดอุทัยธานี,คน,101,2563,45.8,หญิง,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,102,2563,0,หญิง,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
6042,สำนักงานสถิติจังหวัดอุทัยธานี,คน,103,2563,9.1,หญิง,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
24,สำนักงานสถิติจังหวัดอุทัยธานี,คน,104,2563,0,หญิง,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
126,สำนักงานสถิติจังหวัดอุทัยธานี,คน,105,2563,0.2,หญิง,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
1979,สำนักงานสถิติจังหวัดอุทัยธานี,คน,106,2563,3,หญิง,การก่อสร้าง,เปอร์เซ็นต์
9138,สำนักงานสถิติจังหวัดอุทัยธานี,คน,107,2563,13.7,หญิง,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
130,สำนักงานสถิติจังหวัดอุทัยธานี,คน,108,2563,0.2,หญิง,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
5009,สำนักงานสถิติจังหวัดอุทัยธานี,คน,109,2563,7.5,หญิง,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
67,สำนักงานสถิติจังหวัดอุทัยธานี,คน,110,2563,0.1,หญิง,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
488,สำนักงานสถิติจังหวัดอุทัยธานี,คน,111,2563,0.7,หญิง,การเงินและการประกันภัย,เปอร์เซ็นต์
9,สำนักงานสถิติจังหวัดอุทัยธานี,คน,112,2563,0,หญิง,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
260,สำนักงานสถิติจังหวัดอุทัยธานี,คน,113,2563,0.4,หญิง,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
156,สำนักงานสถิติจังหวัดอุทัยธานี,คน,114,2563,0.2,หญิง,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
4242,สำนักงานสถิติจังหวัดอุทัยธานี,คน,115,2563,6.4,หญิง,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
3771,สำนักงานสถิติจังหวัดอุทัยธานี,คน,116,2563,5.7,หญิง,การศึกษา,เปอร์เซ็นต์
3036,สำนักงานสถิติจังหวัดอุทัยธานี,คน,117,2563,4.6,หญิง,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
233,สำนักงานสถิติจังหวัดอุทัยธานี,คน,118,2563,0.4,หญิง,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
925,สำนักงานสถิติจังหวัดอุทัยธานี,คน,119,2563,1.4,หญิง,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
402,สำนักงานสถิติจังหวัดอุทัยธานี,คน,120,2563,0.6,หญิง,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
78139,สำนักงานสถิติจังหวัดอุทัยธานี,คน,121,2562,51.5,ชาย,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,122,2562,0,ชาย,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
12041,สำนักงานสถิติจังหวัดอุทัยธานี,คน,123,2562,7.9,ชาย,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
319,สำนักงานสถิติจังหวัดอุทัยธานี,คน,124,2562,0.2,ชาย,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
659,สำนักงานสถิติจังหวัดอุทัยธานี,คน,125,2562,0.4,ชาย,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
6948,สำนักงานสถิติจังหวัดอุทัยธานี,คน,126,2562,4.6,ชาย,การก่อสร้าง,เปอร์เซ็นต์
20239,สำนักงานสถิติจังหวัดอุทัยธานี,คน,127,2562,13.3,ชาย,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
1453,สำนักงานสถิติจังหวัดอุทัยธานี,คน,128,2562,1,ชาย,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
6999,สำนักงานสถิติจังหวัดอุทัยธานี,คน,129,2562,4.6,ชาย,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
260,สำนักงานสถิติจังหวัดอุทัยธานี,คน,130,2562,0.2,ชาย,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
1209,สำนักงานสถิติจังหวัดอุทัยธานี,คน,131,2562,0.8,ชาย,การเงินและการประกันภัย,เปอร์เซ็นต์
97,สำนักงานสถิติจังหวัดอุทัยธานี,คน,132,2562,0.1,ชาย,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
488,สำนักงานสถิติจังหวัดอุทัยธานี,คน,133,2562,0.3,ชาย,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
628,สำนักงานสถิติจังหวัดอุทัยธานี,คน,134,2562,0.4,ชาย,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
9788,สำนักงานสถิติจังหวัดอุทัยธานี,คน,135,2562,6.5,ชาย,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
5537,สำนักงานสถิติจังหวัดอุทัยธานี,คน,136,2562,3.7,ชาย,การศึกษา,เปอร์เซ็นต์
3524,สำนักงานสถิติจังหวัดอุทัยธานี,คน,137,2562,2.3,ชาย,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
539,สำนักงานสถิติจังหวัดอุทัยธานี,คน,138,2562,0.4,ชาย,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
1795,สำนักงานสถิติจังหวัดอุทัยธานี,คน,139,2562,1.2,ชาย,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
934,สำนักงานสถิติจังหวัดอุทัยธานี,คน,140,2562,0.6,ชาย,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
46508,สำนักงานสถิติจังหวัดอุทัยธานี,คน,141,2562,56.4,หญิง,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,142,2562,0,หญิง,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
6001,สำนักงานสถิติจังหวัดอุทัยธานี,คน,143,2562,7.3,หญิง,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
281,สำนักงานสถิติจังหวัดอุทัยธานี,คน,144,2562,0.3,หญิง,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
500,สำนักงานสถิติจังหวัดอุทัยธานี,คน,145,2562,0.6,หญิง,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
5406,สำนักงานสถิติจังหวัดอุทัยธานี,คน,146,2562,6.6,หญิง,การก่อสร้าง,เปอร์เซ็นต์
9915,สำนักงานสถิติจังหวัดอุทัยธานี,คน,147,2562,12,หญิง,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
1314,สำนักงานสถิติจังหวัดอุทัยธานี,คน,148,2562,1.6,หญิง,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
1679,สำนักงานสถิติจังหวัดอุทัยธานี,คน,149,2562,2,หญิง,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
166,สำนักงานสถิติจังหวัดอุทัยธานี,คน,150,2562,0.2,หญิง,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
599,สำนักงานสถิติจังหวัดอุทัยธานี,คน,151,2562,0.7,หญิง,การเงินและการประกันภัย,เปอร์เซ็นต์
69,สำนักงานสถิติจังหวัดอุทัยธานี,คน,152,2562,0.1,หญิง,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,เปอร์เซ็นต์
289,สำนักงานสถิติจังหวัดอุทัยธานี,คน,153,2562,0.4,หญิง,กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,เปอร์เซ็นต์
215,สำนักงานสถิติจังหวัดอุทัยธานี,คน,154,2562,0.3,หญิง,กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,เปอร์เซ็นต์
5729,สำนักงานสถิติจังหวัดอุทัยธานี,คน,155,2562,6.9,หญิง,การบริหารราชการ การป้องกันประเทศฯ,เปอร์เซ็นต์
1551,สำนักงานสถิติจังหวัดอุทัยธานี,คน,156,2562,1.9,หญิง,การศึกษา,เปอร์เซ็นต์
859,สำนักงานสถิติจังหวัดอุทัยธานี,คน,157,2562,1,หญิง,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
321,สำนักงานสถิติจังหวัดอุทัยธานี,คน,158,2562,0.4,หญิง,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
795,สำนักงานสถิติจังหวัดอุทัยธานี,คน,159,2562,1,หญิง,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
265,สำนักงานสถิติจังหวัดอุทัยธานี,คน,160,2562,0.3,หญิง,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
50082,สำนักงานสถิติจังหวัดอุทัยธานี,คน,161,2561,58.9,ชาย,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
0,สำนักงานสถิติจังหวัดอุทัยธานี,คน,162,2561,0,ชาย,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
6281,สำนักงานสถิติจังหวัดอุทัยธานี,คน,163,2561,7.4,ชาย,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
170,สำนักงานสถิติจังหวัดอุทัยธานี,คน,164,2561,0.2,ชาย,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
268,สำนักงานสถิติจังหวัดอุทัยธานี,คน,165,2561,0.3,ชาย,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
5159,สำนักงานสถิติจังหวัดอุทัยธานี,คน,166,2561,6.1,ชาย,การก่อสร้าง,เปอร์เซ็นต์
9513,สำนักงานสถิติจังหวัดอุทัยธานี,คน,167,2561,11.2,ชาย,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
1040,สำนักงานสถิติจังหวัดอุทัยธานี,คน,168,2561,1.2,ชาย,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
2344,สำนักงานสถิติจังหวัดอุทัยธานี,คน,169,2561,2.8,ชาย,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
