ประเภท,_id,ปี,ผู้สูงวัยในระบบ,จังหวัด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,195,2565,218,ระยอง
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,196,2565,348,ระยอง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,197,2565,13,ราชบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,198,2565,33,ราชบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,199,2565,274,ราชบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,200,2565,320,ราชบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,201,2565,4,ลพบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,202,2565,18,ลพบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,203,2565,189,ลพบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,204,2565,211,ลพบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,205,2565,7,ลำปาง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,206,2565,22,ลำปาง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,207,2565,418,ลำปาง
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,208,2565,447,ลำปาง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,209,2565,9,ลำพูน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,210,2565,47,ลำพูน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,211,2565,510,ลำพูน
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,212,2565,566,ลำพูน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,213,2565,4,เลย
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,214,2565,6,เลย
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,215,2565,385,เลย
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,216,2565,395,เลย
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,217,2565,7,ศรีสะเกษ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,218,2565,6,ศรีสะเกษ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,219,2565,413,ศรีสะเกษ
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,220,2565,426,ศรีสะเกษ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,221,2565,4,สกลนคร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,222,2565,8,สกลนคร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,223,2565,314,สกลนคร
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,224,2565,326,สกลนคร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,225,2565,20,สงขลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,226,2565,49,สงขลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,227,2565,257,สงขลา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,228,2565,326,สงขลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,229,2565,3,สตูล
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,230,2565,0,สตูล
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,231,2565,145,สตูล
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,232,2565,148,สตูล
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,233,2565,104,สมุทรปราการ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,234,2565,272,สมุทรปราการ
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,235,2565,431,สมุทรปราการ
