ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
ทำเครื่องเรือน เครื่องใช้ ส่วนประกอบที่ทำจากไม้ของอาคาร และการแปรรูปด้วยวิธีคล้ายคลึงกัน ,63,แม่สอด,31001,3700,,,20,2,18,ตาก,6,37,2565,จ3-37-227/52ตก,125,ต่ำ,ท่าสายลวด,59,20630000000000,,นายทศพร เลขะสุวรรณ,3,52,63110,
ทำเครื่องเรือนและแกะสลักไม้,63,วังเจ้า,31001,3700,,,18,9,9,ตาก,7,37,2565,จ3-37-260/54ตก,90.19,ต่ำ,นาโบสถ์,60,20630000000000,วิสาหกิจชุมชนแกะสลักไม้บ้านท่าทองแดง,วิสาหกิจชุมชนแกะสลักไม้บ้านท่าทองแดง,3,54,63000,"11,552"
ทำเครื่องเรือน เครื่องใช้จากไม้ แกะสลักไม้ ,63,วังเจ้า,31001,3700,,,87,29,58,ตาก,1,37,2565,จ3-37-260/56ตก,327.5,ต่ำ,เชียงทอง,61,20630000000000,,นายวิระ ธงชัย,3,56,63000,"12,232"
ทำเครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ การแกะสลักไม้ ทำกรอบรูปหรือกรอบกระจกจากไม้,63,สามเงา,31001,3700,-,-,6, -   ,6,ตาก,4,37,2565,จ3-37-7/56ตก,58.61,ต่ำ,สามเงา,62,20630000000000,นายเฉลิมพล ชัยมณีโรจน์,นายเฉลิมพล ชัยมณีโรจน์,3,56,63130,"7,600"
ผลิตภาชนะบรรจุจากกระดาษทุกชนิด,63,แม่สอด,17020,3900,,,25, -   ,25,ตาก,7,39,2565,จ3-39-24/47ตก,77.65,ต่ำ,แม่ปะ,63,20630000000000,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,3,47,63110,"1,400"
ทำเครื่องเคลือบดินเผา,63,พบพระ,23939,5500,,,7,2,5,ตาก,1,55,2565,จ2-55-9/64ตก,60.5,ต่ำ,วาเล่ย์,64,20630200000000,แม่เมยเซรามิค,แม่เมยเซรามิค,2,64,63160,"1,200"
ทำผลิตภัณฑ์เครื่องกระเบื้องเคลือบ เครื่องปั้นดินเผา หรือเครื่องดินเผา,63,แม่สอด,23939,5500,,,"1,160","1,020",140,ตาก,11,55,2565,จ3-55-1/45ตก,493.1,ต่ำ,แม่ปะ,65,20630200000000,บริษัท แม่สอดเซรามิค จำกัด,บริษัท แม่สอดเซรามิค จำกัด,3,45,63110,"10,140"
ถลุงแร่สังกะสี,63,เมืองตาก,24101,6000,พหลโยธิน กม.409-410,,439,37,402,ตาก,1,60,2565,3-60-1/27ตก,"37,453.62",ต่ำ,หนองบัวใต้,66,10630100000000,บริษัท ผาแดงอินดัสตรี จำกัด (มหาชน),บริษัท ผาแดงอินดัสตรี จำกัด (มหาชน),3,27,63000,"999,999"
ทำเครื่องเรือน เครื่องตบแต่งภายในอาคารที่ทำจากโลหะ,63,เมืองตาก,31002,6200,พหลโยธิน,,30, -   ,30,ตาก,9,62,2565,จ2-62-14/64ตก,72.25,ต่ำ,วังหิน,67,20630200000000,เรือนจำจังหวัดตาก,เรือนจำจังหวัดตาก,2,64,63000,"18,724"
ซ่อมเครื่องยนต์และอุปกรณ์เครื่องจักรกล,63,เมืองตาก,28110,6500,ตากสิน ,,20, -   ,20,ตาก,,65,2565,3-65-1/28ตก,219.75,ต่ำ,หนองหลวง,68,10630100000000,โรงกลึงเลี้ยงการช่าง,โรงกลึงเลี้ยงการช่าง,3,28,63000,264
ประกอบชิ้นส่วนสำหรับใช้กับเครื่องอิเล็คทรอนิคส์,63,แม่สอด,26402,7200,,,242,200,42,ตาก,10,72,2565,จ3-72-14/48ตก,49.04,ต่ำ,แม่ปะ,69,20630000000000,บริษัท ที เอ็ม เอส ซี จำกัด,บริษัท ที เอ็ม เอส ซี จำกัด,3,48,63110,"71,672"
การผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ,63,แม่สอด,26402,7200,,,580,310,270,ตาก,6,72,2565,จ3-72-10/61ตก,126.87,ต่ำ,ท่าสายลวด,70,20630100000000,บริษัท อุดมเดช ซัพพลาย จำกัด,บริษัท อุดมเดช ซัพพลาย จำกัด,3,61,63110,"17,960"
ผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับเครื่องอิเล็กทรอนิกส์,63,แม่สอด,26402,7200,,,200,179,21,ตาก,1,72,2565,จ3-72-16/60ตก,25.9,ต่ำ,พระธาตุผาแดง,71,20630000000000,บริษัท ทีเอส อิเล็กทรอนิกส์ กรุ๊ป จำกัด,บริษัท ทีเอส อิเล็กทรอนิกส์ กรุ๊ป จำกัด,3,60,63110,"9,437"
