ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,100,89,11,ตาก,2,28(1),2568,จ3-28(1)-25/59ตก,33,ต่ำ,แม่ตาว,1766,20630000000000,ห้างหุ้นส่วนจำกัด เอช.เอช.แอพพาเรล,ห้างหุ้นส่วนจำกัด เอช.เอช.แอพพาเรล,3,59,63110,"2,150"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,53,43,10,ตาก,3,28(1),2568,อ2-28(1)-66/64ตก,16.5,ต่ำ,แม่ตาว,1767,60630200000000,ห้างหุ้นส่วนจำกัด เจ.ที.สปอร์ต แอพพาเรล,ห้างหุ้นส่วนจำกัด เจ.ที.สปอร์ต แอพพาเรล,2,64,63110,"1,600"
ตัดเย็บเสื้อผ้าสำเร็จรูป การตัดเย็บ การตบแต่งผ้าผืนหรือเย็บปักถักร้อยสิ่งทอ,63,แม่สอด,14111,2801,แม่สอด-แม่ระมาด,-,600,560,40,ตาก,1,28(1),2568,จ3-28(1)-2/38ตก,"1,322.66",ต่ำ,แม่กาษา,1768,20630000000000,บริษัท แอลฟ่า แอลพาเรล จำกัด,บริษัท แอลฟ่า แอลพาเรล จำกัด,3,38,63110,"28,180"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว,,"1,600","1,180",420,ตาก,3,28(1),2568,จ3-28(1)-1/40ตก,"1,484.90",ต่ำ,แม่ตาว,1769,20630100000000,บริษัท ที.เค.การ์เม้นท์ แม่สอด จำกัด,บริษัท ที.เค.การ์เม้นท์ แม่สอด จำกัด,3,40,63110,"137,096"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,750,650,100,ตาก,4,28(1),2568,จ3-28(1)-2/42ตก,172.3,ต่ำ,แม่ปะ,1770,20630000000000,บริษัท ยูนิโอเชี่ยน โคออเปอเรชั่น จำกัด,บริษัท ยูนิโอเชี่ยน โคออเปอเรชั่น จำกัด,3,42,63110,"15,000"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,150,120,30,ตาก,2,28(1),2568,จ3-28(1)-8/46ตก,35.97,ต่ำ,แม่ปะ,1771,20630000000000,บริษัท เสถียรรุ่งเรืองการ์เม้นท์ จำกัด,บริษัท เสถียรรุ่งเรืองการ์เม้นท์ จำกัด,3,46,63110,"1,600"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,-,-,110,63,47,ตาก,10,28(1),2568,จ3-28(1)-14/61ตก,88,ต่ำ,แม่ปะ,1772,20630000000000,บริษัท ไทยซัน หัตถกรรม จำกัด,บริษัท ไทยซัน หัตถกรรม จำกัด,3,61,63110,"10,000"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,ชิดวนา,,100,100, -   ,ตาก,,28(1),2568,จ3-28(1)-6/46ตก,27.41,ต่ำ,แม่สอด,1773,20630000000000,บริษัท ดีต้า การ์เม้นท์ จำกัด,บริษัท ดีต้า การ์เม้นท์ จำกัด,3,46,63110,"3,484"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,60,41,19,ตาก,6,28(1),2568,อ2-28(1)-71/64ตก,23.1,ต่ำ,ท่าสายลวด,1774,60630200000000,บริษัท กัส แอพพาเรล จำกัด,บริษัท กัส แอพพาเรล จำกัด,2,64,63110,"1,200"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,210,150,60,ตาก,8,28(1),2568,จ3-28(1)-43/49ตก,38.3,ต่ำ,แม่ปะ,1775,20630000000000,บริษัท ฮั่วฮะเฮง โกลบอล จำกัด,บริษัท ฮั่วฮะเฮง โกลบอล จำกัด,3,49,63110, -   
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,อินทรคีรี,,230,215,15,ตาก,,28(1),2568,จ3-28(1)-5/49ตก,65,ต่ำ,แม่สอด,1776,20630000000000,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,3,49,63110,"1,200"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,280,250,30,ตาก,2,28(1),2568,จ3-28(1)-12/54ตก,94.47,ต่ำ,แม่กุ,1777,20630000000000,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,3,54,63110,"2,049"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14120,2801,,,195,177,18,ตาก,3,28(1),2568,จ3-28(1)-6/50ตก,570.35,ต่ำ,ท่าสายลวด,1778,20630000000000,บริษัท ไทโชคดีแม่สอด จำกัด,บริษัท ไทโชคดีแม่สอด จำกัด,3,50,63110,"12,800"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14120,2801,,,98,87,11,ตาก,3,28(1),2568,จ3-28(1)-27/50ตก,179.88,ต่ำ,ท่าสายลวด,1779,20630000000000,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,3,50,63110,"12,800"
ผลิตชุดชั้นใน,63,แม่สอด,14113,2801,,,480,467,13,ตาก,3,28(1),2568,จ3-28(1)-53/47ตก,142.46,ต่ำ,ท่าสายลวด,1780,20630000000000,บริษัท ไทโชคดีแม่สอด จำกัด,บริษัท ไทโชคดีแม่สอด จำกัด,3,47,63110,"1,158"
ผลิตชุดชั้นใน,63,แม่สอด,14113,2801,,,290,250,40,ตาก,3,28(1),2568,จ3-28(1)-44/48ตก,196.5,ต่ำ,ท่าสายลวด,1781,20630000000000,บริษัท ไทโชคดีแม่สอด จำกัด,บริษัท ไทโชคดีแม่สอด จำกัด,3,48,63110,"16,000"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,สายแม่สอด-แม่ตาว,สาธารณประโยชน์,272,230,42,ตาก,2,28(1),2568,จ3-28(1)-71/48ตก,109,ต่ำ,แม่ตาว,1782,20630000000000,บริษัท วินนิ่ง เทค แมนูแฟคเจอร์ริ่ง จำกัด,บริษัท วินนิ่ง เทค แมนูแฟคเจอร์ริ่ง จำกัด,3,48,63110,"1,600"
"ตัดเย็บเสื้อผ้าสำเร็จรูป , กระเป๋า",63,แม่สอด,14111,2801,,,140,70,70,ตาก,7,28(1),2568,จ3-28(1)-20/55ตก,49.5,ต่ำ,แม่ปะ,1783,20630000000000,บริษัท ดีมาก (แม่สอด) จำกัด,บริษัท ดีมาก (แม่สอด) จำกัด,3,55,63110,"7,284"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,413,400,13,ตาก,6,28(1),2568,3-28(1)-1/46ตก,120.92,ต่ำ,ท่าสายลวด,1784,10630000000000,บริษัท ไดมอนด์แวร์ จำกัด,บริษัท ไดมอนด์แวร์ จำกัด,3,46,63110,"1,180"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว,,290,270,20,ตาก,2,28(1),2568,จ3-28(1)-8/55ตก,62.83,ต่ำ,แม่ตาว,1785,20630100000000,บริษัท ซีซี แอพพาเรล จำกัด,บริษัท ซีซี แอพพาเรล จำกัด,3,55,63110,"17,988"
ตัดเย็บเสื้อผ้า,63,แม่สอด,14111,2801,แม่สอด-แม่ดาว,,470,345,125,ตาก,2,28(1),2568,จ3-28(1)-1/39ตก,266.73,ต่ำ,แม่ตาว,1786,20630000000000,บริษัท นอร์ทสตาร์แมนูแฟคเจอริ่ง จำกัด,บริษัท นอร์ทสตาร์แมนูแฟคเจอริ่ง จำกัด,3,39,63110,"8,000"
"ตัดเย็บเสื้อผ้าสำเร็จรูป ,ทอเสื้อไหมพรม",63,แม่สอด,14111,2801,,,800,700,100,ตาก,6,28(1),2568,จ3-28(1)-11/51ตก,476.5,ต่ำ,ท่าสายลวด,1787,20630100000000,บริษัท ฮับไทฟง จำกัด,บริษัท ฮับไทฟง จำกัด,3,51,63110, -   
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,298,200,98,ตาก,2,28(1),2568,จ3-28(1)-9/54ตก,186.47,ต่ำ,แม่ปะ,1788,20630000000000,บริษัท ซี.แอล.แม่สอด การ์เม้นท์ จำกัด,บริษัท ซี.แอล.แม่สอด การ์เม้นท์ จำกัด,3,54,63110,"15,100"
ผลิตชุดชั้นในสตรี,63,แม่สอด,14111,2801,สองแคว,,41,35,6,ตาก,,28(1),2568,อ2-28(1)-3/58ตก,69.32,ต่ำ,แม่สอด,1789,60630000000000,บริษัท ธงชัย การ์เมนท์ จำกัด,บริษัท ธงชัย การ์เมนท์ จำกัด,2,58,63110,"6,400"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,287,166,121,ตาก,3,28(1),2568,จ3-28(1)-3/58ตก,298.61,ต่ำ,พระธาตุผาแดง,1790,20630100000000,บริษัท สนุก การ์เม้นท์ จำกัด,บริษัท สนุก การ์เม้นท์ จำกัด,3,58,63110,"10,680"
"ตัด, เย็บเสื้อผ้าสำเร็จรูป",63,แม่สอด,14111,2801,,,247,212,35,ตาก,11,28(1),2568,จ3-28(1)-8/42ตก,89.05,ต่ำ,แม่ปะ,1791,20630000000000,บริษัท โหย่ง จิ้ง อินเตอร์เนชั่นแนล จำกัด,บริษัท โหย่ง จิ้ง อินเตอร์เนชั่นแนล จำกัด,3,42,63110,"4,051"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,130,70,60,ตาก,1,28(1),2568,จ3-28(1)-11/62ตก,64.1,ต่ำ,พระธาตุผาแดง,1792,20630300000000,บริษัท อีเทอนิส การ์เม้นท์ จำกัด,บริษัท อีเทอนิส การ์เม้นท์ จำกัด,3,62,63110,"4,800"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,100,80,20,ตาก,10,28(1),2568,จ3-28(1)-12/62ตก,40.8,ต่ำ,แม่ปะ,1793,20630300000000,บริษัท เดวิด แมนูแฟคเชอร์ จำกัด,บริษัท เดวิด แมนูแฟคเชอร์ จำกัด,3,62,63110,"5,600"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,สองแคว,,100,90,10,ตาก,,28(1),2568,จ3-28(1)-1/63ตก,49.5,ต่ำ,แม่สอด,1794,20630000000000,บริษัท บุญช่วยทวีทรัพย์ จำกัด,บริษัท บุญช่วยทวีทรัพย์ จำกัด,3,63,63110,"8,800"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,80,48,32,ตาก,3,28(1),2568,จ3-28(1)-26/61ตก,48.75,ต่ำ,พระธาตุผาแดง,1795,20630000000000,บริษัท เทอ เทียม การ์เม้นท์ แอนด์ เทรดดิ้ง จำกัด,บริษัท เทอ เทียม การ์เม้นท์ แอนด์ เทรดดิ้ง จำกัด,3,61,63110,672
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14113,2801,-,-,225,215,10,ตาก,15,28(1),2568,จ3-28(1)-5/66ตก,140.51,ต่ำ,แม่กาษา,1796,20630100000000,บริษัท วาโก้แม่สอด จำกัด,บริษัท วาโก้แม่สอด จำกัด,3,66,63110,"1,836"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,150,145,5,ตาก,15,28(1),2568,จ3-28(1)-13/53ตก,110.27,ต่ำ,แม่กาษา,1797,20630000000000,บริษัท วาโก้แม่สอด จำกัด,บริษัท วาโก้แม่สอด จำกัด,3,53,63110, -   
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว,,150,130,20,ตาก,,28(1),2568,จ3-28(1)-43/47ตก,30.05,ต่ำ,แม่สอด,1798,20630000000000,ห้างหุ้นส่วนจำกัด ไพรม์ บอส,ห้างหุ้นส่วนจำกัด ไพรม์ บอส,3,47,63110,490
ตัดเย็บเสื้อผ้าสำเร็จรูป เครื่องแต่งกาย ชุดพราง ชุดดำ กางเกงขาสั้น เครื่องประกอบเครื่องแต่งกายสำเร็จรูป เครื่องสนามต่างๆ และรองเท้าทุกชนิด,63,แม่สอด,14112,2801,,,80,40,40,ตาก,3,28(1),2568,จ3-28(1)-1/67ตก,80.37,ต่ำ,แม่ตาว,1799,20630000000000,บริษัท นำพลอินเตอร์เทรด จำกัด,บริษัท นำพลอินเตอร์เทรด จำกัด,3,67,63110,"1,152"
การตัดเย็บเครื่องนุ่มห่ม การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน เช่น ที่นอน หมอน มุ้ง เครื่องสนามต่างๆ และผลิตรองเท้าหรือชิ้นส่วนของรองเท้า,63,แม่สอด,14111,2801,,,120,120, -   ,ตาก,2,28(1),2568,จ3-28(1)-1/57ตก,46.98,ต่ำ,แม่ตาว,1800,20630100000000,บริษัท เลิศพิพัฒน์วัฒนา จำกัด,บริษัท เลิศพิพัฒน์วัฒนา จำกัด,3,57,63110,800
ตัดเย็บเสื้อผ้าสำเร็จรูป รองเท้า กระเป๋าจากผ้าหรือชิ้นส่วนดังกล่าว ,63,แม่สอด,14111,2801,,,60,55,5,ตาก,8,28(1),2568,จ3-28(1)-2/55ตก,28.5,ต่ำ,แม่กุ,1801,20630000000000,บริษัท ดี-อิ้ง ซัพพลาย จำกัด,บริษัท ดี-อิ้ง ซัพพลาย จำกัด,3,55,63110,800
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,150,100,50,ตาก,2,28(1),2568,จ3-28(1)-32/51ตก,46.4,ต่ำ,แม่สอด,1802,20630000000000,ที เอส พี การ์เม้นท์,ที เอส พี การ์เม้นท์,3,51,63110,"3,265"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,200,150,50,ตาก,2,28(1),2568,จ3-28(1)-36/54ตก,49.17,ต่ำ,แม่ตาว,1803,20630000000000,บริษัท ณัฐอร จำกัด,บริษัท ณัฐอร จำกัด,3,54,63110,"14,908"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,100,80,20,ตาก,2,28(1),2568,จ3-28(1)-9/51ตก,33.88,ต่ำ,พระธาตุผาแดง,1804,20630000000000,ซี แอล เค แอพพาเรล,ซี แอล เค แอพพาเรล,3,51,63110,"3,000"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,60,34,26,ตาก,3,28(1),2568,อ2-28(1)-67/64ตก,15.25,ต่ำ,แม่ตาว,1805,60630200000000,-,นายสมชล หว่างสกุล,2,64,63110,312
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว ,,80,75,5,ตาก,,28(1),2568,จ3-28(1)-10/51ตก,27.94,ต่ำ,แม่สอด,1806,20630000000000,,นายสุกิตต์ ดนัยนารีกุล,3,51,63110,
ผลิตถุงมือเบสบอลล์,63,แม่สอด,14200,3201,,,52,40,12,ตาก,1,32(1),2568,จ3-32(1)-2/57ตก,314.25,ต่ำ,พระธาตุผาแดง,1807,20630000000000,บริษัท นาโมซ่า อินดัสเตรียล จำกัด,บริษัท นาโมซ่า อินดัสเตรียล จำกัด,3,57,63110,"23,700"
ผลิตผลิตภัณฑ์จากหนังสัตว์และหนังเทียม,63,แม่สอด,14200,3201,,,202,150,52,ตาก,15,32(1),2568,จ3-32(1)-2/61ตก,105.22,ต่ำ,แม่กาษา,1808,20630100000000,บริษัท ทีเอ็นแอลเอ็กซ์ จำกัด,บริษัท ทีเอ็นแอลเอ็กซ์ จำกัด,3,61,63110,"3,744"
เย็บรองเท้าหรือชิ้นส่วนของรองเท้า,63,แม่สอด,15202,3300,สายเอเชีย,,50,30,20,ตาก,,33,2568,จ2-33-2/45ตก,22,ต่ำ,แม่สอด,1809,20630200000000,,นายวิโรจน์ ศรีศักดิ์สรชาติ,2,45,63110, -   
แปรรูปไม้เพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12, -   ,12,ตาก,1,34(1),2568,จ3-34(1)-55/55ตก,103.5,ปานกลาง,แม่กุ,1810,20630000000000,นางนงคราญ มั่งตั๋น,นางนงคราญ มั่งตั๋น,3,55,63110,"10,805"
ตั้งโรงงานแปรรูปไม้โดยใช้เครื่องจักรเพื่อแปรรูปไม้จำหน่ายอบ-อาบน้ำยาไม้โดยใช้ไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เมื่อวันที่ 25 มกราคม 2537,63,แม่สอด,16101,3401,,,30,10,20,ตาก,15,34(1),2568,3-34(1)-66/61ตก,"1,255.00",ปานกลาง,แม่กาษา,1811,10630000000000,บริษัท บางกอกราชา อุตสาหกรรมไม้ (ประเทศไทย) จำกัด,บริษัท บางกอกราชา อุตสาหกรรมไม้ (ประเทศไทย) จำกัด,3,61,63110,"7,092"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม การทำเครื่องเรือน เครื่องใช้ และเครื่องตบแต่งในอาคารจากไม้ ,63,แม่สอด,2200,3401,,,12,2,10,ตาก,1,34(1),2568,จ3-34(1)-20/62ตก,103.5,ปานกลาง,แม่กุ,1812,20630100000000, ห้างหุ้นส่วนจำกัด แม่สอดวู๊ดชิพ 2017 , ห้างหุ้นส่วนจำกัด แม่สอดวู๊ดชิพ 2017 ,3,62,63110,"13,284"
แปรรูปไม้,63,แม่สอด,16101,3401,,,60,5,55,ตาก,4,34(1),2568,จ3-34(1)-1/46ตก,"1,017.95",ปานกลาง,ท่าสายลวด,1813,20630200000000,บริษัท เอ็ม.เอสทิมเบอร์ จำกัด,บริษัท เอ็ม.เอสทิมเบอร์ จำกัด,3,46,63110,"48,000"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,16,4,12,ตาก,1,34(1),2568,จ3-34(1)-40/59ตก,103.5,ปานกลาง,ท่าสายลวด,1814,20630100000000,มณีมงคลการค้า,มณีมงคลการค้า,3,59,63110,"4,000"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12,2,10,ตาก,1,34(1),2568,จ3-34(1)-56/54ตก,103.5,ปานกลาง,แม่กุ,1815,20630000000000,,นายสงกรานต์ วงค์ประสิทธิ์,3,54,63110,860
แปรรูปไม้เพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12, -   ,12,ตาก,1,34(1),2568,จ3-34(1)-54/55ตก,103.5,ปานกลาง,แม่กุ,1816,20630000000000,,นายลพ วังสิงห์,3,55,63110,"1,624"
แปรรูปไม้ด้วยเครื่องจักรเพื่อประดิษฐกรรม อุปกรณ์ ส่วนประกอบของอาคารจากไม้ เฟอร์นิเจอร์จากไม้ แกะสลักไม้ กรอบรูป หรือกรอบกระจกจากไม้,63,แม่สอด,16220,3402,,,25, -   ,25,ตาก,6,34(2),2568,จ3-34(2)-39/54ตก,233.16,ปานกลาง,ท่าสายลวด,1817,20630000000000,ห้างหุ้นส่วนจำกัด ท็อปวู๊ด (2009),ห้างหุ้นส่วนจำกัด ท็อปวู๊ด (2009),3,54,63110,"2,176"
"การแปรรูปไม้ โดยใช้เครื่องจักรเพื่อประดิษฐกรรม เช่น วงกบประตู-หน้าต่าง,ตู้,โต๊ะ,เก้าอี้ ฯลฯ",63,แม่สอด,16220,3402,,,8,1,7,ตาก,3,34(2),2568,จ3-34(2)-63/50ตก,58.5,ปานกลาง,แม่ปะ,1818,20630000000000,,นางสาวอภิสรา เสาแก้ว,3,50,63110,356
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16220,3402,,,6,2,4,ตาก,9,34(2),2568,จ3-34(2)-124/53ตก,85,ปานกลาง,แม่ปะ,1819,20630000000000,เก้าก้องเทรดดิ้ง,เก้าก้องเทรดดิ้ง,3,53,63110,"3,652"
"การอบไม้,การอบพืชหรือเมล็ดพืช",63,แม่สอด,16102,3405,,,12,2,10,ตาก,9,34(5),2568,จ3-34(5)-1/50ตก,472.6,สูง,แม่กาษา,1820,20630000000000,บริษัท เค.พี. อะโกร อินดัสทรี้ จำกัด,บริษัท เค.พี. อะโกร อินดัสทรี้ จำกัด,3,50,63110,"17,816"
แกะสลักไม้ การทำเครื่องเรือน เครื่องใช้ หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,63,แม่สอด,16291,3603,,,30, -   ,30,ตาก,2,36(3),2568,จ3-36(3)-1/57ตก,98.7,ต่ำ,ท่าสายลวด,1821,20630200000000,โรงงานไม้ไทย แกะสลักและเฟอร์นิเจอร์,โรงงานไม้ไทย แกะสลักและเฟอร์นิเจอร์,3,57,63110,"2,005"
ทำเครื่องเรือน เครื่องใช้ ส่วนประกอบที่ทำจากไม้ของอาคาร และการแปรรูปด้วยวิธีคล้ายคลึงกัน ,63,แม่สอด,31001,3700,,,20,2,18,ตาก,6,37,2568,จ3-37-227/52ตก,125,ต่ำ,ท่าสายลวด,1822,20630000000000,,นายทศพร เลขะสุวรรณ,3,52,63110,
"ทำเครื่องเรือนจากไม้และโลหะ,ทำภาชนะบรรจุ และเครื่องใช้ดอกไม้และหวาย,แกะสลักไม้,กรอบรูปและกรอบกระจกไม้",63,แม่สอด,31001,3700,,,32,2,30,ตาก,1,37,2568,จ3-37-44/53ตก,66.02,ต่ำ,ท่าสายลวด,1823,20630000000000,บริษัท เฟอร์นิช บาย วณิส จำกัด,บริษัท เฟอร์นิช บาย วณิส จำกัด,3,53,63110,"9,964"
ทำเครื่องเรือนเครื่องใช้จากไม้ ส่วนประกอบของอาคารที่ทำจากไม้,63,แม่สอด,31001,3700,,,20,5,15,ตาก,4,37,2568,จ3-37-55/59ตก,110,ต่ำ,ท่าสายลวด,1824,20630000000000,บริษัท พี.อาร์.รุ่งเรือง จำกัด,บริษัท พี.อาร์.รุ่งเรือง จำกัด,3,59,63110,"5,200"
ทำเครื่องเรือนจากไม้,63,แม่สอด,31001,3700,ราชทัณฑ์,,70, -   ,70,ตาก,,37,2568,ศ3-37-2/33ตก,74.5,ต่ำ,แม่สอด,1825,630000000000,เรือนจำแม่สอด,เรือนจำแม่สอด,3,33,63110,"9,600"
ผลิตภาชนะบรรจุจากกระดาษทุกชนิด,63,แม่สอด,17020,3900,,,25, -   ,25,ตาก,7,39,2568,จ3-39-24/47ตก,77.65,ต่ำ,แม่ปะ,1826,20630000000000,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,3,47,63110,"1,400"
ทำปุ๋ยชีวภาพ,63,แม่สอด,20121,4301,,,10, -   ,10,ตาก,3,43(1),2568,จ3-43(1)-28/58ตก,80.97,ต่ำ,แม่กุ,1827,20630000000000,ห้างหุ้นส่วนจำกัด เกษตรศรีแผ่นดิน,ห้างหุ้นส่วนจำกัด เกษตรศรีแผ่นดิน,3,58,63110,750
ผลิตปุ๋ยเคมีเพื่อการค้า ,63,แม่สอด,20121,4301,,,6,2,4,ตาก,9,43(1),2568,จ3-43(1)-24/61ตก,76.71,ต่ำ,แม่กาษา,1828,20630000000000,บริษัท เค.พี.อะโกร อินดัสทรี้ จำกัด,บริษัท เค.พี.อะโกร อินดัสทรี้ จำกัด,3,61,63110,180
ผสมแอสฟัลต์ติกคอนกรีต ,63,แม่สอด,19209,5004,,,2, -   ,2,ตาก,7,50(4),2568,จ3-50(4)-58/60ตก,469.07,ปานกลาง,ท่าสายลวด,1829,20630000000000,ห้างหุ้นส่วนจำกัด เล็กเจริญก่อสร้าง,ห้างหุ้นส่วนจำกัด เล็กเจริญก่อสร้าง,3,60,63110,"20,000"
ผสมแอสฟัลต์ติกคอนกรีต,63,แม่สอด,19209,5004,,,6, -   ,6,ตาก,4,50(4),2568,จ3-50(4)-26/58ตก,413.61,ปานกลาง,ท่าสายลวด,1830,20630000000000,บริษัท แม่ปิงพนากิจ จำกัด,บริษัท แม่ปิงพนากิจ จำกัด,3,58,63110,"2,400"
ผสมแอสฟัลท์ติกคอนกรีต,63,แม่สอด,19209,5004,,,6,1,5,ตาก,4,50(4),2568,จ3-50(4)-9/57ตก,491.94,ต่ำ,แม่ปะ,1831,20630000000000,บริษัท เมืองฉอดการโยธา จำกัด,บริษัท เมืองฉอดการโยธา จำกัด,3,57,63110,"11,572"
ผสมแอสฟัลท์ติกคอนกรีต,63,แม่สอด,19209,5004,,,4, -   ,4,ตาก,2,50(4),2568,จ3-50(4)-11/57ตก,458.78,ต่ำ,แม่ปะ,1832,20630000000000,บริษัท แม่สอดโชควิสูตร จำกัด ,บริษัท แม่สอดโชควิสูตร จำกัด ,3,57,63110,"70,520"
ผสมแอสฟัลต์ติกคอนกรีต,63,แม่สอด,19209,5004,,,5, -   ,5,ตาก,4,50(4),2568,จ3-50(4)-44/59ตก,461.92,ปานกลาง,แม่ปะ,1833,20630000000000,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,3,59,63110,"11,200"
ผสมแอสฟัลต์ติกคอนกรีต,63,แม่สอด,19209,5004,,,6, -   ,6,ตาก,7,50(4),2568,จ3-50(4)-9/63ตก,474.6,ปานกลาง,ท่าสายลวด,1834,20630000000000,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,3,63,63110,"8,000"
การทำผลิตภัณฑ์จากพลาสติก,63,แม่สอด,22210,5301,,,65,25,40,ตาก,2,53(1),2568,จ3-53(1)-99/62ตก,499.8,ต่ำ,แม่ตาว,1835,20630300000000,บริษัท อุดมโชคพลาสติก จำกัด,บริษัท อุดมโชคพลาสติก จำกัด,3,62,63110,"11,200"
ทำเครื่องมือเครื่องใช้จากพลาสติก,63,แม่สอด,22210,5301,,,200,150,50,ตาก,10,53(1),2568,จ3-53(1)-32/60ตก,488.78,ต่ำ,แม่ปะ,1836,20630000000000,กิฟท์แลนด์,กิฟท์แลนด์,3,60,63110,800
ทำเครื่องเรือน เครื่องใช้จากพลาสติก เช่น สื่อ,63,แม่สอด,22210,5301,,,50,20,30,ตาก,3,53(1),2568,จ3-53(1)-58/61ตก,316.95,ต่ำ,พระธาตุผาแดง,1837,20630000000000,บริษัท โหย่งเหิน จำกัด,บริษัท โหย่งเหิน จำกัด,3,61,63110,"15,852"
ทำตุ๊กตาและผลิตภัณฑ์พลาสติก,63,แม่สอด,22210,5301,,,200,145,55,ตาก,7,53(1),2568,จ3-53(1)-24/55ตก,200,ต่ำ,แม่กุ,1838,20630000000000,บริษัท เอนเคอร์ ไทย ออริจินอล จำกัด,บริษัท เอนเคอร์ ไทย ออริจินอล จำกัด,3,55,63110,"20,236"
