จำนวน,ประเภท,ที่มา,สถานภาพแรงงาน,_id,ปี,เพศ,ช่วงเวลา,หน่วย
" 34,185 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,75,2563,ชาย,ไตรมาสที่ 1,คน
" 52,565 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,76,2563,หญิง,ไตรมาสที่ 1,คน
" 14,053 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,77,2563,หญิง,ไตรมาสที่ 1,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,78,2563,หญิง,ไตรมาสที่ 1,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,79,2563,หญิง,ไตรมาสที่ 1,คน
" 28,001 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,80,2563,หญิง,ไตรมาสที่ 1,คน
" 120,762 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,81,2563,ชาย,ไตรมาสที่ 2,คน
" 3,424 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,82,2563,ชาย,ไตรมาสที่ 2,คน
" 6,390 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,83,2563,ชาย,ไตรมาสที่ 2,คน
" 92,183 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,84,2563,หญิง,ไตรมาสที่ 2,คน
" 2,645 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,85,2563,หญิง,ไตรมาสที่ 2,คน
" 3,090 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,86,2563,หญิง,ไตรมาสที่ 2,คน
" 2,017 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,87,2563,ชาย,ไตรมาสที่ 2,คน
" 13,377 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,88,2563,ชาย,ไตรมาสที่ 2,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,89,2563,ชาย,ไตรมาสที่ 2,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,90,2563,ชาย,ไตรมาสที่ 2,คน
" 29,847 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,91,2563,ชาย,ไตรมาสที่ 2,คน
" 44,114 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,92,2563,หญิง,ไตรมาสที่ 2,คน
" 15,799 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,93,2563,หญิง,ไตรมาสที่ 2,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,94,2563,หญิง,ไตรมาสที่ 2,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,95,2563,หญิง,ไตรมาสที่ 2,คน
" 35,295 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,96,2563,หญิง,ไตรมาสที่ 2,คน
" 126,461 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,97,2563,ชาย,ไตรมาสที่ 3,คน
" 2,574 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,98,2563,ชาย,ไตรมาสที่ 3,คน
" 1,180 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,99,2563,ชาย,ไตรมาสที่ 3,คน
" 100,489 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,100,2563,หญิง,ไตรมาสที่ 3,คน
" 3,696 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,101,2563,หญิง,ไตรมาสที่ 3,คน
 295 ,ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,102,2563,หญิง,ไตรมาสที่ 3,คน
" 2,912 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,103,2563,ชาย,ไตรมาสที่ 3,คน
" 12,700 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,104,2563,ชาย,ไตรมาสที่ 3,คน
