ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
314,สำนักงานเกษตรจังหวัดนครพนม,53,2565,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
300,สำนักงานเกษตรจังหวัดนครพนม,54,2565,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
213,สำนักงานเกษตรจังหวัดนครพนม,55,2565,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,56,2565,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,57,2565,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,58,2565,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,59,2565,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,60,2565,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
972,สำนักงานเกษตรจังหวัดนครพนม,61,2566,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
209,สำนักงานเกษตรจังหวัดนครพนม,62,2566,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
306,สำนักงานเกษตรจังหวัดนครพนม,63,2566,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
264,สำนักงานเกษตรจังหวัดนครพนม,64,2566,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
314,สำนักงานเกษตรจังหวัดนครพนม,65,2566,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,66,2566,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,67,2566,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,68,2566,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,69,2566,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,70,2566,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,71,2566,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,72,2566,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
317,สำนักงานเกษตรจังหวัดนครพนม,73,2567,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
120,สำนักงานเกษตรจังหวัดนครพนม,74,2567,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
167,สำนักงานเกษตรจังหวัดนครพนม,75,2567,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
115,สำนักงานเกษตรจังหวัดนครพนม,76,2567,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
148,สำนักงานเกษตรจังหวัดนครพนม,77,2567,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
143,สำนักงานเกษตรจังหวัดนครพนม,78,2567,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
111,สำนักงานเกษตรจังหวัดนครพนม,79,2567,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
52,สำนักงานเกษตรจังหวัดนครพนม,80,2567,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
16,สำนักงานเกษตรจังหวัดนครพนม,81,2567,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
0,สำนักงานเกษตรจังหวัดนครพนม,82,2567,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
97,สำนักงานเกษตรจังหวัดนครพนม,83,2567,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
60,สำนักงานเกษตรจังหวัดนครพนม,84,2567,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
877,สำนักงานเกษตรจังหวัดนครพนม,85,2568,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
159,สำนักงานเกษตรจังหวัดนครพนม,86,2568,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
270,สำนักงานเกษตรจังหวัดนครพนม,87,2568,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
243,สำนักงานเกษตรจังหวัดนครพนม,88,2568,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
392,สำนักงานเกษตรจังหวัดนครพนม,89,2568,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
233,สำนักงานเกษตรจังหวัดนครพนม,90,2568,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
185,สำนักงานเกษตรจังหวัดนครพนม,91,2568,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
131,สำนักงานเกษตรจังหวัดนครพนม,92,2568,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
117,สำนักงานเกษตรจังหวัดนครพนม,93,2568,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
86,สำนักงานเกษตรจังหวัดนครพนม,94,2568,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
206,สำนักงานเกษตรจังหวัดนครพนม,95,2568,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
178,สำนักงานเกษตรจังหวัดนครพนม,96,2568,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
