สถานภาพการทางาน,ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
ลูกจ้างรัฐบาล,21088,สำนักงานสถิติจังหวัดมหาสารคาม,93,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,74308,สำนักงานสถิติจังหวัดมหาสารคาม,94,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,44258,สำนักงานสถิติจังหวัดมหาสารคาม,95,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,30050,สำนักงานสถิติจังหวัดมหาสารคาม,96,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,191873,สำนักงานสถิติจังหวัดมหาสารคาม,97,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,115816,สำนักงานสถิติจังหวัดมหาสารคาม,98,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,76057,สำนักงานสถิติจังหวัดมหาสารคาม,99,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,74831,สำนักงานสถิติจังหวัดมหาสารคาม,100,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,21692,สำนักงานสถิติจังหวัดมหาสารคาม,101,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,53139,สำนักงานสถิติจังหวัดมหาสารคาม,102,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,124,สำนักงานสถิติจังหวัดมหาสารคาม,103,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,104,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,124,สำนักงานสถิติจังหวัดมหาสารคาม,105,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
