PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,LABOR_FORCE_STATUS,REGION,YEAR
สมุทรปราการ,13.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,93,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สมุทรปราการ,640.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,94,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สมุทรปราการ,9.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,95,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สมุทรสงคราม,58.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,96,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สมุทรสงคราม,0.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,97,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สมุทรสงคราม,52.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,98,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สมุทรสงคราม,0.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,99,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สมุทรสาคร,377.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,100,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สมุทรสาคร,3.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,101,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สมุทรสาคร,334.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,102,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สมุทรสาคร,0.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,103,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สระแก้ว,174.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,104,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สระแก้ว,3.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,105,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สระแก้ว,3.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,106,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สระแก้ว,138.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,107,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สระแก้ว,2.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,108,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สระแก้ว,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,109,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สระบุรี,218.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,110,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สระบุรี,6.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,111,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สระบุรี,1.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,112,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สระบุรี,178.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,113,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สระบุรี,2.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,114,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สระบุรี,0.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,115,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สิงห์บุรี,57.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,116,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สิงห์บุรี,1.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,117,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
