OCCUPATION,VALUE,SOURCE,_id,UNIT,REGION,YEAR
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,164,พันคน,2) ภาคกลาง,2566
99) ไม่ทราบ,0.0,สำนักงานสถิติแห่งชาติ,165,พันคน,2) ภาคกลาง,2566
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,31.71,สำนักงานสถิติแห่งชาติ,166,พันคน,3) ภาคเหนือ,2566
02) ผู้ประกอบวิชาชีพด้านต่างๆ,14.45,สำนักงานสถิติแห่งชาติ,167,พันคน,3) ภาคเหนือ,2566
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,8.94,สำนักงานสถิติแห่งชาติ,168,พันคน,3) ภาคเหนือ,2566
04) เสมียน,10.42,สำนักงานสถิติแห่งชาติ,169,พันคน,3) ภาคเหนือ,2566
05) พนักงานบริการ และผู้จำหน่ายสินค้า,361.37,สำนักงานสถิติแห่งชาติ,170,พันคน,3) ภาคเหนือ,2566
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1494.21,สำนักงานสถิติแห่งชาติ,171,พันคน,3) ภาคเหนือ,2566
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,206.24,สำนักงานสถิติแห่งชาติ,172,พันคน,3) ภาคเหนือ,2566
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,35.58,สำนักงานสถิติแห่งชาติ,173,พันคน,3) ภาคเหนือ,2566
09) ผู้ประกอบอาชีพงานพื้นฐาน,186.47,สำนักงานสถิติแห่งชาติ,174,พันคน,3) ภาคเหนือ,2566
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,175,พันคน,3) ภาคเหนือ,2566
99) ไม่ทราบ,0.0,สำนักงานสถิติแห่งชาติ,176,พันคน,3) ภาคเหนือ,2566
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,46.05,สำนักงานสถิติแห่งชาติ,177,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
02) ผู้ประกอบวิชาชีพด้านต่างๆ,14.46,สำนักงานสถิติแห่งชาติ,178,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,10.16,สำนักงานสถิติแห่งชาติ,179,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
04) เสมียน,1.28,สำนักงานสถิติแห่งชาติ,180,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
05) พนักงานบริการ และผู้จำหน่ายสินค้า,388.72,สำนักงานสถิติแห่งชาติ,181,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,2728.13,สำนักงานสถิติแห่งชาติ,182,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,174.49,สำนักงานสถิติแห่งชาติ,183,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,24.7,สำนักงานสถิติแห่งชาติ,184,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
09) ผู้ประกอบอาชีพงานพื้นฐาน,102.84,สำนักงานสถิติแห่งชาติ,185,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,186,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
99) ไม่ทราบ,0.0,สำนักงานสถิติแห่งชาติ,187,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,19.76,สำนักงานสถิติแห่งชาติ,188,พันคน,5) ภาคใต้,2566
02) ผู้ประกอบวิชาชีพด้านต่างๆ,13.41,สำนักงานสถิติแห่งชาติ,189,พันคน,5) ภาคใต้,2566
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,6.58,สำนักงานสถิติแห่งชาติ,190,พันคน,5) ภาคใต้,2566
04) เสมียน,3.56,สำนักงานสถิติแห่งชาติ,191,พันคน,5) ภาคใต้,2566
05) พนักงานบริการ และผู้จำหน่ายสินค้า,235.54,สำนักงานสถิติแห่งชาติ,192,พันคน,5) ภาคใต้,2566
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,788.21,สำนักงานสถิติแห่งชาติ,193,พันคน,5) ภาคใต้,2566
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,101.61,สำนักงานสถิติแห่งชาติ,194,พันคน,5) ภาคใต้,2566
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,23.11,สำนักงานสถิติแห่งชาติ,195,พันคน,5) ภาคใต้,2566
09) ผู้ประกอบอาชีพงานพื้นฐาน,68.53,สำนักงานสถิติแห่งชาติ,196,พันคน,5) ภาคใต้,2566
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,197,พันคน,5) ภาคใต้,2566
99) ไม่ทราบ,0.0,สำนักงานสถิติแห่งชาติ,198,พันคน,5) ภาคใต้,2566
ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,26.47,สำนักงานสถิติแห่งชาติ,199,พันคน,กรุงเทพมหานคร,2567
ผู้ประกอบวิชาชีพด้านต่างๆ,25.36,สำนักงานสถิติแห่งชาติ,200,พันคน,กรุงเทพมหานคร,2567
เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,13.01,สำนักงานสถิติแห่งชาติ,201,พันคน,กรุงเทพมหานคร,2567
เสมียน,10.62,สำนักงานสถิติแห่งชาติ,202,พันคน,กรุงเทพมหานคร,2567
พนักงานบริการ  และผู้จำหน่ายสินค้า,201.53,สำนักงานสถิติแห่งชาติ,203,พันคน,กรุงเทพมหานคร,2567
ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,5.71,สำนักงานสถิติแห่งชาติ,204,พันคน,กรุงเทพมหานคร,2567
ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,37.58,สำนักงานสถิติแห่งชาติ,205,พันคน,กรุงเทพมหานคร,2567
ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,40.79,สำนักงานสถิติแห่งชาติ,206,พันคน,กรุงเทพมหานคร,2567
ผู้ประกอบอาชีพงานพื้นฐาน,60.75,สำนักงานสถิติแห่งชาติ,207,พันคน,กรุงเทพมหานคร,2567
คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.68,สำนักงานสถิติแห่งชาติ,208,พันคน,กรุงเทพมหานคร,2567
ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,46.63,สำนักงานสถิติแห่งชาติ,209,พันคน,ภาคกลาง,2567
ผู้ประกอบวิชาชีพด้านต่างๆ,12.62,สำนักงานสถิติแห่งชาติ,210,พันคน,ภาคกลาง,2567
เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,10.68,สำนักงานสถิติแห่งชาติ,211,พันคน,ภาคกลาง,2567
เสมียน,7.49,สำนักงานสถิติแห่งชาติ,212,พันคน,ภาคกลาง,2567
พนักงานบริการ  และผู้จำหน่ายสินค้า,372.21,สำนักงานสถิติแห่งชาติ,213,พันคน,ภาคกลาง,2567
ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,425.67,สำนักงานสถิติแห่งชาติ,214,พันคน,ภาคกลาง,2567
ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,130.42,สำนักงานสถิติแห่งชาติ,215,พันคน,ภาคกลาง,2567
ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,100.87,สำนักงานสถิติแห่งชาติ,216,พันคน,ภาคกลาง,2567
ผู้ประกอบอาชีพงานพื้นฐาน,157.05,สำนักงานสถิติแห่งชาติ,217,พันคน,ภาคกลาง,2567
คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,3.27,สำนักงานสถิติแห่งชาติ,218,พันคน,ภาคกลาง,2567
ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,19.05,สำนักงานสถิติแห่งชาติ,219,พันคน,ภาคเหนือ,2567
ผู้ประกอบวิชาชีพด้านต่างๆ,9.0,สำนักงานสถิติแห่งชาติ,220,พันคน,ภาคเหนือ,2567
เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,7.78,สำนักงานสถิติแห่งชาติ,221,พันคน,ภาคเหนือ,2567
เสมียน,1.02,สำนักงานสถิติแห่งชาติ,222,พันคน,ภาคเหนือ,2567
พนักงานบริการ  และผู้จำหน่ายสินค้า,192.62,สำนักงานสถิติแห่งชาติ,223,พันคน,ภาคเหนือ,2567
ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,738.08,สำนักงานสถิติแห่งชาติ,224,พันคน,ภาคเหนือ,2567
ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,104.3,สำนักงานสถิติแห่งชาติ,225,พันคน,ภาคเหนือ,2567
ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,22.04,สำนักงานสถิติแห่งชาติ,226,พันคน,ภาคเหนือ,2567
ผู้ประกอบอาชีพงานพื้นฐาน,103.69,สำนักงานสถิติแห่งชาติ,227,พันคน,ภาคเหนือ,2567
คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,228,พันคน,ภาคเหนือ,2567
ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,26.08,สำนักงานสถิติแห่งชาติ,229,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ผู้ประกอบวิชาชีพด้านต่างๆ,6.95,สำนักงานสถิติแห่งชาติ,230,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.07,สำนักงานสถิติแห่งชาติ,231,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
เสมียน,2.78,สำนักงานสถิติแห่งชาติ,232,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
พนักงานบริการ  และผู้จำหน่ายสินค้า,191.89,สำนักงานสถิติแห่งชาติ,233,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1325.56,สำนักงานสถิติแห่งชาติ,234,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,73.48,สำนักงานสถิติแห่งชาติ,235,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,16.69,สำนักงานสถิติแห่งชาติ,236,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ผู้ประกอบอาชีพงานพื้นฐาน,60.84,สำนักงานสถิติแห่งชาติ,237,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,238,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,10.19,สำนักงานสถิติแห่งชาติ,239,พันคน,ภาคใต้,2567
ผู้ประกอบวิชาชีพด้านต่างๆ,4.49,สำนักงานสถิติแห่งชาติ,240,พันคน,ภาคใต้,2567
เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,5.4,สำนักงานสถิติแห่งชาติ,241,พันคน,ภาคใต้,2567
เสมียน,3.7,สำนักงานสถิติแห่งชาติ,242,พันคน,ภาคใต้,2567
พนักงานบริการ  และผู้จำหน่ายสินค้า,117.19,สำนักงานสถิติแห่งชาติ,243,พันคน,ภาคใต้,2567
ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,422.07,สำนักงานสถิติแห่งชาติ,244,พันคน,ภาคใต้,2567
ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,47.77,สำนักงานสถิติแห่งชาติ,245,พันคน,ภาคใต้,2567
ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,21.16,สำนักงานสถิติแห่งชาติ,246,พันคน,ภาคใต้,2567
ผู้ประกอบอาชีพงานพื้นฐาน,37.88,สำนักงานสถิติแห่งชาติ,247,พันคน,ภาคใต้,2567
คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,248,พันคน,ภาคใต้,2567
