_id,ปี,โรงงาน,จำนวน,ด้าน,หน่วย,รายการสถิติทางการ
42,2563,ลูกชิ้นพรสวรรค์,"9,000,000	",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
43,2563,เวียงวราเบเกอรี่ ,"2,760,000	",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
44,2564,บริษัท โรงน้ำแข็งสารภีกิจวารี(เชียงใหม่) จำกัด,"50,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
45,2564,แก้วภูทอง,"22,900,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
46,2564,โรงน้ำแข็งมีสุขเจ้าสำราญ ดอยเต่า,"7,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
47,2564,โรงน้ำแข็งเพชรงามรุ่งเรือง,"8,800,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
48,2564,บริษัท ฮันนี่ โพลีพลัส จำกัด,"12,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
49,2564,บริษัท กู๊ดฟอร์จูนเอเชีย จำกัด,"27,500,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
50,2564,มังกรทองเบเกอรี่,"2,550,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
51,2564,นายกิตติพล ศุภวนานุสรณ์,"800,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
52,2564,บริษัท ชาสยาม จำกัด,"30,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
53,2564,สโนไวท์,"5,575,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
54,2564,บริษัท ฮันนี่ โพลีพลัส จำกัด,"12,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
55,2564,บริษัท พรีเมี่ยมฟูดส์ จำกัด,"33,714,500",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
56,2564,บริษัท ต้าเฉิน อินเตอร์เนชั่นเนล จำกัด,"21,900,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
57,2565,บริษัท ปลูกผักเพราะรักแม่ จำกัด,"135,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
58,2565,ห้างหุ้นส่วนจำกัด เชียงใหม่ ลำปางเลิศรส,"23,500,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
59,2566,บริษัท ไฟน์ ไบโอ เทคโนโลยี จำกัด,"88,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
60,2566,บริษัท นานาฟูดส์เอ็นเตอร์ไพรส์ จำกัด,"52,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
61,2566,บริษัท เดอะ โวลคาโน่ จำกัด,"80,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
62,2566,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งดอยอินทนนท์,"16,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
63,2566,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งแม่ริม,"14,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
64,2566,วี.ไอ.ซี. เจดีย์แม่ครัว,"18,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
