ที่มา,_id,ปี,บ้านเลขที่,หมู่ที่,ชื่อลานเท,ค่า,อำเภอ,ตำบล,รายการ,หน่วย
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,138,2567,15/15,10,ทรัพย์นราปาล์มพันล้านพลัส สาขาห้วยน้ำขาว,1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,139,2567,171/1,10,บริษัท สยามชัยน้ำมันปาล์ม จำกัด (B) (กบ 307),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,140,2567,156,7,บจ.ปาล์มน้ำมันธรรมชาติ (หน่วยงานข้าวไทย),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,141,2567,88/2,5,ลานนาน้ำเค็มปาล์ม (อินโด) (กบ 355),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,142,2567,113/1,3,ปาล์มพันล้าน หน่วยงาน ม.สามศิลาปาล์ม ,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,143,2567,14/1,3,ยิ่งเจริญการปาล์ม (กบ 346),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,144,2567,,3,สามพี่น้องปาล์ม (กบ 331),1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,145,2567,115,10,ยงค์เจริญ กบ 402,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,146,2567,21/1,8,บริษัท ปาล์มน้ำมันธรรมชาติ จำกัด (แผ่นดินเสมอ) (กบ 329),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,147,2567,44,6,ไสในปาล์ม,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,148,2567,96/7,1,จำนงสินการปาล์ม,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,149,2567,64/3,4,ประชามณี กรุ๊ป (กบ 336),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,150,2567,105/4,7,กันภ์ฤทัย (กบ 260),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,151,2567,,6,สหกรณ์นิคมคลองท่อม จำกัด (กบ 053),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,152,2567,,2,จีระปาล์ม 2 (กบ 350),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,153,2567,70/4,2,บจ.ปาล์มน้ำมันธรรมชาติ หน่วยงานคลองท่อม,1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,154,2567,1-Mar,9,วิสาหกิจชุมชนทุ่งปรือพัฒนา (ควนหวายแดง),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,155,2567,118/1,3,นาน้ำเค็มปาล์ม สาขา 2 (กบ 274),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,156,2567,32/4,2, ป.การเกษตร ,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,157,2567,15/1,1,สุจิตราการปาล์ม (กบ 321),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,158,2567,120/5,8,จีระปาล์ม สาขา 1,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,159,2567,78,8,ไทปาล์ม ศรีกัก,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,160,2567,159/1,11,คงศิริปาล์ม (กบ 364),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,161,2567,34/3,1,ส.เจริญลานปาล์ม (กบ 291),1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,162,2567,202/12,3,ปาล์มสูเอียด (กบ 026),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,163,2567,29/3,1,ธารน้ำใสปาล์ม (กบ 335),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,164,2567,30,7,พิณัฐมาศ (กบ 076),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,165,2567,16,7,มรกตปาล์ม 4 บ้านหน้าถ้ำ,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,166,2567,19/3,4,มรกตปาล์ม 2,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,167,2567,33/9,4,บริษัท วิเศษออยล์คอร์ปอเรชั่น จำกัด (B) (กบ 469),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,168,2567,88,5,บริษัท กระบี่วิเศษน้ำมันปาล์ม จำกัด (A) (กบ 473),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,169,2567,2-Aug,1,สหกรณ์กองทุนสวนยางบ้านบางบอน จำกัด (กบ 482),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,170,2567,62,5,บจ.ปาล์มพันล้าน สานฝันเพหลา,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,171,2567,49/2,8,บจ.ภัทรปาล์มออยล์ จุดรวบรวมทุ่งตำเสา (กบ 413),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,172,2567,313,6,พิณัฐมาศ (กบ 514),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,173,2567,36/1,8,ส.เจริญทรัพย์ปาล์ม (กบ 524),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,174,2567,170,3,ทรัพย์ ป.ประภาศ,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,175,2567,71/3,5,สมหมายการเกษตร,1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,176,2567,38/9,3,ทรัพย์กมล,1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,177,2567,124/1,4,เจริญทรัพย์การเกษตร ,1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,178,2567,,3,ทรัพย์มณีปาล์ม (บ้านไสควน) (กบ 544),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,179,2567,55/1,4,ประชาการปาล์ม สาขา1 (กบ 062),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,180,2567,,11,ดินแดนทรัพย์มณีปาล์ม,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,181,2567,64/13,3,ประชาการปาล์ม สาขา 2 (คลองขนาน) (กบ 552),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,182,2567,8-Apr,2,น้ำแดงปาล์ม,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,183,2567,373/1,1,บจ.พิทักษ์ปาล์มออยล์ คลองพน (กบ 565),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,184,2567,90/3,7,ทองชัยเจริญทรัพย์การปาล์ม (กบ 570),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,185,2567,82/5,4,กัณท์พสิษฐ์ (กบ 574),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,186,2567,11-Feb,1,ทรัพย์มณีปาล์ม,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,187,2567,88/8,5,วิสาหกิจชุนชนบ้านด่าน (กบ 620),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,188,2567,123/2,5,หจก.เพชรมงคลทองเจริญกิจ (กบ 097),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,189,2567,103/4,1,บจ.ป.พานิชรุ่งเรืองปาล์มออยล์ (สาขา 6) (กบ 630),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,190,2567,123/5,1,บจ.ศรีตรังแอโกรอินดัสทรี จุดรับชื้อ,1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,191,2567,11-Oct,6,บริษัท พนากิจเกษตรกรรมและอุตสาหกรรม จำกัด (กบ 634),1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,192,2567,3-Jul,4,ลานปาล์มพิชัยวุธ (กบ 637),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,193,2567,162,1,ทิพากรปาล์ม (กบ 636),1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,194,2567,105,2,พนมรัตน์ปาล์ม (กบ 638),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,195,2567,130,2,พิณัฐมาศ (ส่วนตัว),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,196,2567,179/2,3,พันล้าน หน่วยงานสานฝันพัฒนาเศรษฐกิจ 2 (กบ 673),1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,197,2567,38/3,10,ทิพากรปาล์ม 2,1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,198,2567,141/1,1,ไทปาล์ม สาขา 3,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,199,2567,13/14,4,ส.เจริญทรัพย์ปาล์ม สาขา 2 (กบ 686),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,200,2567,99/9,2,บจ.ปาล์มพันล้าน (A) ,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,201,2567,60/5,4,สาครยิ่งเจริญการปาล์ม (กบ 695),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,202,2567,168,4,บจ.ปาล์มพันล้าน (168) (กบ727),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,203,2567,106/1,10,ทรัพย์โสภาปาล์ม (กบ 729),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,204,2567,215,5,พรุดินนาปาล์มทอง (กบ 731),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,205,2567,104/112,11, อ.เจริญผลปาล์ม (โกโอม) (กบ 740),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,206,2567,18/2,3, พ.พูนทรัพย์ปาล์มทอง,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,207,2567,23/1,6,จรรยาการเกษตร (กบ 755),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,208,2567,2-Oct,4,สิทธิโชคการปาล์ม (กบ 753),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,209,2567,18/1,5,สุพจน์ปาล์มร่วง,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,210,2567,,8,รวมญาติการเกษตร (กบ 757),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,211,2567,14/1,8,ทรัพย์ติมโชคเจริญ,1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,212,2567,54,3,ทับนาวปาล์ม สาขา 2,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,213,2567,85/11,1,สาครเจริญการเกษตร (แผ่นดินเสมอ) (กบ 768),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,214,2567,61/5,2,ส.ธารโตน สามพี่น้องการปาล์ม,1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,215,2567,31/3,5,ว.ดานีญาเกษตรภัณฑ์ โดย อิสมัด-อัดวา,1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,216,2567,2-Jan,5,สมใจนึกการเกษตร,1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,217,2567,106,2,พันล้าน-ห้วยน้ำขาว (กบ 777),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,218,2567,,1,สินทรัพย์การเกษตร,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,219,2567,241/2,2, โชคมงคล 9 (กบ 787),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,220,2567,9-Feb,8,สุวัฒน์เจริญออยล์ปาล์ม (กบ 797),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,221,2567,211,5,เพ็ชรรุ่งเรืองปาล์ม (กบ 802),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,222,2567,84,4,ภูมินทร์ ปาล์ม (บ้านต้นกอ) (กบ 816),1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,223,2567,99/2,1,หน่วยงานพันล้าน ทรัพย์รุ่งเรือง,1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,224,2567,55,6,พรเจริญปาล์ม,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,225,2567,3-May,8,ทรัพย์คลองชะมวงปาล์ม,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,226,2567,46,3,หลัดทิน,1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,227,2567,56/8,6,ลานพรทิพย์,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,228,2567,,6,ยิ่งเจริญการปาล์ม,1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,229,2567,3-May,7,ณัฐภิมลปาล์ม,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,230,2567,40,9,ลานปาล์มทวีคูณ (กบ 889),1,คลองท่อม,คลองท่อมใต้,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,231,2567,3-Dec,1,ศิลป์เจริญ (กบ 901),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,232,2567,31,1,บ้านควนลานปาล์ม (กบ 908),1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,233,2567,147,3,กันภ์ฤทัย สาขาควนแต้ว (กบ 625),1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,234,2567,14/1,1,ป.ประพันธ์ปาล์ม (กบ 921),1,คลองท่อม,เพหลา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,235,2567,56,3,ลานวิมานดิน,1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,236,2567,105/1,7,เพิ่มทรัพย์ปาล์ม,1,คลองท่อม,ทรายขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,237,2567,,3,ว.ดานีญาเกษตรภัณฑ์ 3,1,คลองท่อม,ห้วยน้ำขาว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,238,2567,89/5,1,สนองรุ่งเรืองปาล์ม,1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,239,2567,94,3,สหกรณ์นิคมปลายพระยา จำกัด (สำนักงานใหญ่) (กบ 086),1,ปลายพระยา,เขาเขน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,240,2567,24,14,บุญนำศาลาควนเขียว (กบ 353),1,ปลายพระยา,ปลายพระยา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,241,2567,424,7,ป๊อบแอนด์เจมส์โลจิสติกส์,1,ปลายพระยา,ปลายพระยา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,242,2567,62,3,สหกรณ์นิคมอ่าวลึก จำกัด สาขาคลองยา,1,ปลายพระยา,คีรีวง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,243,2567,62,3,สหกรณ์นิคมอ่าวลึก จำกัด สำนักงานใหญ่,1,ปลายพระยา,คีรีวง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,244,2567,21,8,อนันต์เพื่อนเกษตร,1,ปลายพระยา,ปลายพระยา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
