TH No.,ถนน,เลขที่,จังหวัด,ชื่อ,_id,ตำบล,อำเภอ,Name,Factory Address,หมู่
2026,,111/15,สมุทรสาคร,บริษัท ออน-กรีน โปรดิ้วส์ จำกัด,92,บ้านเกาะ,เมืองสมุทรสาคร,"On-Green Produces Co., Ltd.","111/15 Moo 4, Tambol Bankoh, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
2027,ถ.เศรษฐกิจ1,39/3,สมุทรสาคร,บริษัท ยูนิคอร์ด จำกัด (มหาชน),93,ท่าทราย,เมืองสมุทรสาคร,"Unicord Public Co., Ltd.  ","39/3 Moo 8, Setthakij 1 Road, Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.8
2036,ถ.ธนบุรี-ปากท่อ,63/2,สมุทรสาคร,บริษัท ลัคกี้แคนเนอรี่ จำกัด,94,บางกระเจ้า,เมืองสมุทรสาคร,"Lucky Cannery Co., Ltd.","63/2 Moo 6, Thonburi-Paktho Road, Tambol Bangkrachao, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
2038,ถ.พระราม2,68.0,สมุทรสาคร,บริษัท ที.ซี. ยูเนียน อโกรเทค จำกัด,95,บางกระเจ้า,เมืองสมุทรสาคร,"T.C. Union Agrotech Co.,Ltd.","68 Moo.8 Rama 2 Rd., Bang Krachao, Mueang Samut Sakhon, Samut Sakhon  ",ม.8
2043,ถ.โคกขาม,55/4,สมุทรสาคร,บริษัท โกลเด้นไพร้ซ์ แคนนิ่ง จำกัด,96,บางหญ้าแพรก,เมืองสมุทรสาคร,"Golden Prize Canning Co., Ltd.","55/4 Moo 3, Kok-Kham Road, Bangyapraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
2050,ถ.บ้านปลายครองครุ,1.0,สมุทรสาคร,บริษัท เซ้าท์อีสต์เอเชี่ยนแพคเกจจิ่งแอนด์แคนนิ่ง จำกัด,97,นาดี,เมืองสมุทรสาคร,Southeast Asian Packaging and Canning Ltd.,"1 Moo 4, Baanplaiklongkru Rd, Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
2056,ถ.เศรษฐกิจ1,94/20,สมุทรสาคร,บริษัท รอแยลฟู้ดส์ จำกัด,98,ท่าทราย,เมืองสมุทรสาคร,"Royal Foods Co., Ltd.","94/20 M.7, Sestakit 1 Rd., Thasai, Mueang Samut Sakhon, Samut Sakhon  ",ม.7
2065,,19/8,สมุทรสาคร,บริษัท เอ็ม เอ็ม พี อินเตอร์เนชั่นแนล จำกัด,99,นาดี,เมืองสมุทรสาคร,"MMP International Co., Ltd.","19/8 Moo6, Tambol Nadee, Mueang Samut Sakhon, Samut Sakhon ",ม.6
2071,ถ.พระราม2,8/8,สมุทรสาคร,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),100,บ้านบ่อ,เมืองสมุทรสาคร,Asian Alliance International Public Company Limited,"8/8 Moo 3, Rama 2 Road, Banbor, Mueang Samut Sakhon, Samut Sakhon ",ม.3
2076,ถ.บ้านศรีเมือง,56/5,สมุทรสาคร,บริษัท ยูนิคอร์ด จำกัด (มหาชน) (โรง 2),101,ท่าทราย,เมืองสมุทรสาคร,"Unicord Public Co., Ltd. (Plant 2)   ","56/5 Moo 3, Baansrimueang Road, Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
2077,ถ.เศรษฐกิจ1,94/6,สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด (โรง 2),102,,เมืองสมุทรสาคร,"Thai Union Manufacturing Co.,Ltd. (Plant 2)","94/6 Sethakit 1 Road, Mueang Samut Sakhon, Samut Sakhon ",
2088,,89/72,สมุทรสาคร,บริษัท ไดมอนด์ ฟู้ด โปรดักท์ จำกัด,103,กาหลง,เมืองสมุทรสาคร,"Diamond Food Product Co., Ltd.","89/72 Moo2, Kalong, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
2093,,31/98,สมุทรสาคร,บริษัท พี. พี. เอส. ทูน่า จำกัด,104,บางหญ้าแพรก,เมืองสมุทรสาคร,"P. P. S. Tuna Co., Ltd.","31/98 Moo 3, T. Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon",ม.3
2094,ถ.เศรษฐกิจ1,30/29,สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด (โรง วี เอพี),105,,เมืองสมุทรสาคร,"Thai Union Manufacturing Co.,Ltd. (VAP Plant)","30/29 Sethakit 1 Road, Mueang Samut Sakhon, Samut Sakhon  ",
2095,,15/24,สมุทรสาคร,บริษัท เดอะ ทรีไนน์ 88 จำกัด,106,บางโทรัด,เมืองสมุทรสาคร,"The Threenine 88 Co., Ltd.","15/24 Moo 3, Bang Tho Rat, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
2096,,102/159,สมุทรสาคร,บริษัท ร. มังกรโฟรเซ่นฟู๊ด จำกัด,107,บางหญ้าแพรก,เมืองสมุทรสาคร,"R. Monkhorn Frozen Food Co., Ltd.","102/159 Moo 3, Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
2098,ถ.เลี่ยบคลองแคราย,68.0,สมุทรสาคร,บริษัท รอแยลแคนอินดัสทรีส์ จำกัด,108,แคราย,กระทุ่มแบน,"Royal Can Industries Co., Ltd. ","68 Moo 3, Liapklongkaerai Road, Kaerai, Krathum Baen, Samut Sakhon  ",ม.3
3001,,50/7,สมุทรสาคร,บริษัท  ฟู้ดเด็กซ์  จำกัด,109,กาหลง,เมืองสมุทรสาคร,"Foodex Co., Ltd.","50/7 Moo 2, Kalong, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
3007,,99.0,สมุทรสาคร,บริษัท  อุตสาหกรรมพันท้ายนรสิงห์สินค้าพื้นเมือง  จำกัด,110,กาหลง,เมืองสมุทรสาคร,"Pantainorasingh Manufacturer Co.,Ltd","99 Moo 2, Tambol Galoong, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
3040,,11/13,สมุทรสาคร,บริษัท สุรีย์ อินเตอร์ฟู้ดส์ จำกัด,111,บ้านบ่อ,เมืองสมุทรสาคร,"Suree Interfoods Co.,Ltd.","11/13 M.3, T. Banbor, Mueang Samut Sakhon, Samut Sakhon ",ม.3
3041,,99/1,สมุทรสาคร,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),112,แคราย,กระทุ่มแบน,NR Instant  Produce Public Company Limited ,"99/1 Moo 4, Khae Rai, Krathum Baen, Samut Sakhon",ม.4
3056,,120/9,สมุทรสาคร,บริษัท พี.เอ็น.มารีน ฟู้ดส์ โปรดักส์ จำกัด,113,โคกขาม,เมืองสมุทรสาคร,"P.N. Marine Foods Products Co., Ltd.","120/9 Moo 7, Kokkham, Mueang Samut Sakhon, Samut Sakhon  ",ม.7
3059,ถ.พระราม2,77.0,สมุทรสาคร,บริษัท พรีเซิร์ฟ ฟู้ด สเปเชียลตี้ จำกัด,114,โคกขาม,เมืองสมุทรสาคร,"Preserved Food Specialty Co., Ltd.","77 Moo 6, Rama 2 Road, Khok-Kham, Mueang Samut Sakhon,  Samut Sakhon",ม.6
3066,ถ.ธรรมคุณากร,10ฃ.,สมุทรสาคร,บริษัท สาครวัฒนา (ทั่งจือฮะ) จำกัด,115,โกรกกราก,เมืองสมุทรสาคร,"Sakhon Wattana (Thang Chue Hah) Co., Ltd.","10 Khor Thammakunakorn Road, Tambol Krokkrak, Mueang Samut Sakhon, Samut Sakhon ",
3076,,35/39,สมุทรสาคร,บริษัท ชัยจินดา ซีฟู้ด จำกัด,116,โคกขาม,เมืองสมุทรสาคร,"Chaijinda Seafood Co., Ltd.","35/39 Moo 4, Khokkham, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
3083,,29/6,สมุทรสาคร,บริษัท เนเจอรัล ซี โปรดักส์ จำกัด,117,บางหญ้าแพรก,เมืองสมุทรสาคร,"Natural Sea Product Co., Ltd","29/6 Moo 3, Tambol Bangyaprak, Mueang Samut Sakhon, Samut Sakhon ",ม.3
3093,ถ.พระราม2,12/8,สมุทรสาคร,บริษัท หยั่น หว่อ หยุ่น จำกัด,118,ท่าจีน,เมืองสมุทรสาคร,"Yan Wal Yun Co., Ltd.","12/8 Moo 6, Rama  2 Rd., Thachin, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
3124,ถ.ธรรมคุณากร,80/2,สมุทรสาคร,บริษัท บิ๊ก คิทเช่น จำกัด,119,บางหญ้าแพรก,เมืองสมุทรสาคร,"Big Kitchen Co., Ltd.","80/2 Moo1, Thamkunakhon Road, Bangyaprake, Mueang Samut Sakhon, Samut Sakhon ",ม.1
3135,,245 ซอยเทพกาญจนา,สมุทรสาคร,บริษัท เจ เอ็น เอส อันดามัน จำกัด,120,คลองมะเดื่อ,กระทุ่มแบน,"J'NS Andaman Co., Ltd.","245 Moo10, Soi Theapkanchana, Tumbon Klong Maduea, Krathum Baen, Samut Sakhon ",ม.10
3137,ถ.เอกชัย,35/151,สมุทรสาคร,บริษัท เดอะ ไมท์ตี้ จำกัด,121,บางน้ำจืด,เมืองสมุทรสาคร,The Mighty Company Limited,"35/151, Akachai  Road, Moo 2, Tambon Bang Nam Chuet, Mueang Samut Sakhon, Samut Sakhon ",ม.2
3139,ถ.พระราม2,24/15,สมุทรสาคร,บริษัท ส.ร่วมไทย จำกัด ,122,บางน้ำจืด,เมืองสมุทรสาคร,"S. Ruamthai Co., Ltd.","24/15  Moo 1, Phraram 2 Road, Bangnumcherd, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
3144,ถ.เอกชัย,66/9,สมุทรสาคร,บริษัท บิ๊ก คิทเช่น จำกัด (สาขา 2),123,นาดี,เมืองสมุทรสาคร,"Big Kitchen Co., Ltd. (Branch 2)","66/9 Moo3, Ekkachai Road, Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
3156,,234.0,สมุทรสาคร,บริษัท ศรีนานาพร มาร์เก็ตติ้ง จำกัด (มหาชน),124,อ้อมน้อย,กระทุ่มแบน,"Srinanaporn Marketing Public Co., Ltd.","234 Moo 4, Tambon Om Noi, Krathum Baen, Samut Sakhon ",ม.4
3164,,102/59,สมุทรสาคร,บริษัท มหาชัยฟู้ด แอนด์ เทรดดิ้ง จำกัด,125,บางหญ้าแพรก,เมืองสมุทรสาคร,"Mahachai Food & Trading Co.,Ltd.","102/59 Moo3, Bangyaphraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
3180,,68/7,สมุทรสาคร,บริษัท นิวทรีเท็ค จำกัด,126,บางกระเจ้า,เมืองสมุทรสาคร,"Nutritech Co., Ltd.","68/7 Moo. 8, Bang Krachao, Mueang Samut Sakhon, Samut Sakhon",ม.8
3181,,83/210,สมุทรสาคร,บริษัท มิสเตอร์ เซ้ง,127,บางหญ้าแพรก,เมืองสมุทรสาคร,Mr.SENG,"83/210 Moo3, T.Bangyaprak, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
3184,,88.0,สมุทรสาคร,บริษัท มารีน ไบโอ รีซอสเซส จำกัด,128,นาดี,เมืองสมุทรสาคร,"Marine Bio Resources Co., Ltd.","88 Moo 4, Na Di, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
3192,ถ.เลียบคลองสี่วา,15/19 ซ.ทรัพย์ไพศาล,สมุทรสาคร,บริษัท แต้ง่วนไถ่ จำกัด,129,คอกกระบือ,เมืองสมุทรสาคร,"Tae Nguan Tai Co., Ltd.","15/19 Moo 5, Soi Suppaisarn, Leabklongseewa Road, Khok Krabue, Mueang Samut Sakhon, Samut Sakhon  ",ม.5
3195,ถ.พระราม2,30/24,สมุทรสาคร,บริษัท ไทยยูเนี่ยน อินกรีเดียนท์ จำกัด ,130,ท่าทราย,เมืองสมุทรสาคร,"Thai Union Ingredients Co., Ltd. ","30/24 Moo 8, Rama 2 Road, Tambon Tha Sai,  Mueang Samut Sakhon, Samut Sakhon ",ม.8
3216,ถ.เอกชัย,35/249,สมุทรสาคร,บริษัท ฟู้ด ออนวาร์ด จำกัด,131,บางน้ำจืด,เมืองสมุทรสาคร,"Food Onward Co., Ltd.","35/249 Moo 2 Ekkachai Road, Bang Nam Chuet, Mueang Samut Sakhon, Samut Sakhon",ม.2
3218,,31/130,สมุทรสาคร,บริษัท ทรัพย์สาครฟู้ดส์ จำกัด,132,บางหญ้าแพรก,เมืองสมุทรสาคร,"Subsakhon Foods Co., Ltd. ","31/130 Moo 3, Bangyaphreak, Mueang Samut Sakhon, Samut Sakhon",ม.3
