เดือน,สาขา,ที่มา,จำนวนผู้ประกันตน,_id,ปี,หน่วย
พฤษภาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2915,77,2564,คน
มิถุนายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2927,78,2564,คน
กรกฎาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2920,79,2564,คน
สิงหาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3072,80,2564,คน
กันยายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3113,81,2564,คน
ตุลาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3138,82,2564,คน
พฤศจิกายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3108,83,2564,คน
ธันวาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3118,84,2564,คน
มกราคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3119,85,2565,คน
กุมภาพันธ์,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3110,86,2565,คน
มีนาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3097,87,2565,คน
เมษายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3070,88,2565,คน
พฤษภาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3047,89,2565,คน
มิถุนายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3048,90,2565,คน
กรกฎาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3055,91,2565,คน
สิงหาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3055,92,2565,คน
กันยายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3037,93,2565,คน
ตุลาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,3003,94,2565,คน
พฤศจิกายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2981,95,2565,คน
