VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR,LAVEL_EDUCATIONAL
63.91,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,112,หญิง,ร้อยละ,2568,ประถมศึกษา
91.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,113,หญิง,ร้อยละ,2568,การศึกษาอื่นๆ
42.65,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,114,หญิง,ร้อยละ,2568,ไม่มีการศึกษา
55.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,115,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนต้น
34.11,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,116,หญิง,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
82.33,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,117,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
78.41,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,118,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
67.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,119,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
64.24,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,120,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
59.61,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,121,หญิง,ร้อยละ,2568,รวม
76.23,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,122,ชาย,ร้อยละ,2568,รวม
67.53,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,123,รวม,ร้อยละ,2568,รวม
90.18,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,124,ชาย,ร้อยละ,2568,ไม่ทราบ
83.43,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,125,ชาย,ร้อยละ,2568,ประถมศึกษา
48.66,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,126,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
66.36,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,127,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
97.95,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,128,ชาย,ร้อยละ,2568,การศึกษาอื่นๆ
66.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,129,ชาย,ร้อยละ,2568,ไม่มีการศึกษา
73.16,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,130,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนต้น
55.81,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,131,ชาย,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
84.47,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,132,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
88.99,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,133,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
62.88,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,134,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
78.65,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,135,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
76.55,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,136,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
70.85,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,137,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
73.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,138,หญิง,ร้อยละ,2568,ไม่ทราบ
65.09,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,139,หญิง,ร้อยละ,2568,ประถมศึกษา
89.32,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,140,หญิง,ร้อยละ,2568,การศึกษาอื่นๆ
38.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,141,หญิง,ร้อยละ,2568,ไม่มีการศึกษา
55.95,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,142,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนต้น
33.37,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,143,หญิง,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
82.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,144,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
77.17,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,145,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
67.93,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,146,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
63.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,147,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
59.54,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,148,หญิง,ร้อยละ,2568,รวม
76.27,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,149,ชาย,ร้อยละ,2568,รวม
67.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,150,รวม,ร้อยละ,2568,รวม
88.92,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,151,ชาย,ร้อยละ,2568,ไม่ทราบ
82.54,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,152,ชาย,ร้อยละ,2568,ประถมศึกษา
23.21,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,153,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
65.12,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,154,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
97.63,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,155,ชาย,ร้อยละ,2568,การศึกษาอื่นๆ
64.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,156,ชาย,ร้อยละ,2568,ไม่มีการศึกษา
71.61,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,157,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนต้น
55.48,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,158,ชาย,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
84.95,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,159,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
88.97,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,160,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
64.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,161,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
79.72,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,162,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
76.53,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,163,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
73.91,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,164,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
85.73,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,165,หญิง,ร้อยละ,2568,ไม่ทราบ
64.39,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,166,หญิง,ร้อยละ,2568,ประถมศึกษา
94.32,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,167,หญิง,ร้อยละ,2568,การศึกษาอื่นๆ
38.83,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,168,หญิง,ร้อยละ,2568,ไม่มีการศึกษา
56.65,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,169,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนต้น
33.61,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,170,หญิง,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
82.65,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,171,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
79.11,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,172,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
66.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,173,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
65.25,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,174,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
60.01,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,175,หญิง,ร้อยละ,2568,รวม
75.89,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,176,ชาย,ร้อยละ,2568,รวม
67.57,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,177,รวม,ร้อยละ,2568,รวม
90.18,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,178,ชาย,ร้อยละ,2568,ไม่ทราบ
81.95,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,179,ชาย,ร้อยละ,2568,ประถมศึกษา
57.07,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,180,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
67.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,181,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
98.44,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,182,ชาย,ร้อยละ,2568,การศึกษาอื่นๆ
65.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,183,ชาย,ร้อยละ,2568,ไม่มีการศึกษา
72.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,184,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนต้น
55.72,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,185,ชาย,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
83.78,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,186,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
88.06,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,187,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
60.27,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,188,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
79.91,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,189,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
79.73,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,190,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
64.26,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,191,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
84.79,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,192,หญิง,ร้อยละ,2568,ไม่ทราบ
63.41,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,193,หญิง,ร้อยละ,2568,ประถมศึกษา
94.58,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,194,หญิง,ร้อยละ,2568,การศึกษาอื่นๆ
40.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,195,หญิง,ร้อยละ,2568,ไม่มีการศึกษา
55.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,196,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนต้น
33.77,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,197,หญิง,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
81.82,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,198,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
78.48,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,199,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
66.04,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,200,หญิง,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
