VALUE,ST_GRADUATE,SOURCE,_id,SEX,UNIT,YEAR,LABOUR_STATUS
341522,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,172,ชาย,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
474406,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,173,หญิง,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
815928,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,174,รวม,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1305391,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,175,ชาย,คน,2566,ทำงานด้านอื่น
646519,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,176,หญิง,คน,2566,ทำงานด้านอื่น
1951910,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,177,รวม,คน,2566,ทำงานด้านอื่น
45650,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,178,ชาย,คน,2566,ผู้ว่างงาน
28067,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,179,หญิง,คน,2566,ผู้ว่างงาน
73717,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,180,รวม,คน,2566,ผู้ว่างงาน
3474735,รวม,สำนักงานสถิติแห่งชาติ,181,ชาย,คน,2567,รวม
1628234,รวม,สำนักงานสถิติแห่งชาติ,182,หญิง,คน,2567,รวม
5102969,รวม,สำนักงานสถิติแห่งชาติ,183,รวม,คน,2567,รวม
2112264,รวม,สำนักงานสถิติแห่งชาติ,184,ชาย,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
963771,รวม,สำนักงานสถิติแห่งชาติ,185,หญิง,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3076035,รวม,สำนักงานสถิติแห่งชาติ,186,รวม,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1791431,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,187,ชาย,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
490105,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,188,หญิง,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2281536,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,189,รวม,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
320833,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,190,ชาย,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
473666,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,191,หญิง,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
794499,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,192,รวม,คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1307079,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,193,ชาย,คน,2567,ทำงานด้านอื่น
635598,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,194,หญิง,คน,2567,ทำงานด้านอื่น
1942677,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,195,รวม,คน,2567,ทำงานด้านอื่น
55392,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,196,ชาย,คน,2567,ผู้ว่างงาน
28865,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,197,หญิง,คน,2567,ผู้ว่างงาน
84257,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,198,รวม,คน,2567,ผู้ว่างงาน
3398895,รวม,สำนักงานสถิติแห่งชาติ,199,ชาย,คน,2568,รวม
1588006,รวม,สำนักงานสถิติแห่งชาติ,200,หญิง,คน,2568,รวม
4986901,รวม,สำนักงานสถิติแห่งชาติ,201,รวม,คน,2568,รวม
2074290,รวม,สำนักงานสถิติแห่งชาติ,202,ชาย,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
943198,รวม,สำนักงานสถิติแห่งชาติ,203,หญิง,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3017488,รวม,สำนักงานสถิติแห่งชาติ,204,รวม,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1769502,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,205,ชาย,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
475918,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,206,หญิง,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2245420,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,207,รวม,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
304789,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,208,ชาย,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
467280,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,209,หญิง,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
772069,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,210,รวม,คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1280298,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,211,ชาย,คน,2568,ทำงานด้านอื่น
623733,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,212,หญิง,คน,2568,ทำงานด้านอื่น
1904031,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,213,รวม,คน,2568,ทำงานด้านอื่น
44307,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,214,ชาย,คน,2568,ผู้ว่างงาน
21075,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,215,หญิง,คน,2568,ผู้ว่างงาน
65382,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,216,รวม,คน,2568,ผู้ว่างงาน
