เดือน,ที่มา,จำนวนคนงาน,_id,ปี,อำเภอ,จังหวัด,หน่วย
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,229,2568,บาเจาะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,230,2568,ยี่งอ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,231,2568,ระแงะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,232,2568,รือเสาะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,233,2568,ศรีสาคร,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,234,2568,สุคีริน,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,235,2568,แว้ง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,236,2568,สุไหงโก-ลก,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,237,2568,สุไหงปาดี,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,238,2568,จะแนะ,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,239,2568,เจาะไอร้อง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,57,240,2568,เมือง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,21,241,2568,ตากใบ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,242,2568,บาเจาะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,243,2568,ยี่งอ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,244,2568,ระแงะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,245,2568,รือเสาะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,246,2568,ศรีสาคร,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,247,2568,สุคีริน,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,248,2568,แว้ง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,249,2568,สุไหงโก-ลก,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,250,2568,สุไหงปาดี,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,251,2568,จะแนะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,252,2568,เจาะไอร้อง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,64,253,2568,เมือง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,21,254,2568,ตากใบ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,255,2568,บาเจาะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,256,2568,ยี่งอ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,257,2568,ระแงะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,258,2568,รือเสาะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,259,2568,ศรีสาคร,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,260,2568,สุคีริน,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,261,2568,แว้ง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,262,2568,สุไหงโก-ลก,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,263,2568,สุไหงปาดี,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,264,2568,จะแนะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,265,2568,เจาะไอร้อง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,64,266,2568,เมือง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,21,267,2568,ตากใบ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,268,2568,บาเจาะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,269,2568,ยี่งอ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,270,2568,ระแงะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,271,2568,รือเสาะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,272,2568,ศรีสาคร,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,273,2568,สุคีริน,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,274,2568,แว้ง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,275,2568,สุไหงโก-ลก,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,276,2568,สุไหงปาดี,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,277,2568,จะแนะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,278,2568,เจาะไอร้อง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,73,279,2568,เมือง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,280,2568,ตากใบ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,281,2568,บาเจาะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,282,2568,ยี่งอ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,283,2568,ระแงะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,284,2568,รือเสาะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,285,2568,ศรีสาคร,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,286,2568,สุคีริน,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,287,2568,แว้ง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,288,2568,สุไหงโก-ลก,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,289,2568,สุไหงปาดี,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,290,2568,จะแนะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,291,2568,เจาะไอร้อง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,86,292,2568,เมือง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,293,2568,ตากใบ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,294,2568,บาเจาะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,295,2568,ยี่งอ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,296,2568,ระแงะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,297,2568,รือเสาะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,298,2568,ศรีสาคร,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,299,2568,สุคีริน,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,300,2568,แว้ง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,301,2568,สุไหงโก-ลก,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,302,2568,สุไหงปาดี,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,303,2568,จะแนะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,304,2568,เจาะไอร้อง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,305,2568,เมือง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,306,2568,ตากใบ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,307,2568,บาเจาะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,308,2568,ยี่งอ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,309,2568,ระแงะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,310,2568,รือเสาะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,311,2568,ศรีสาคร,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,312,2568,สุคีริน,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,313,2568,แว้ง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,314,2568,สุไหงโก-ลก,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,315,2568,สุไหงปาดี,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,316,2568,จะแนะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,317,2568,เจาะไอร้อง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,318,2568,เมือง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,319,2568,ตากใบ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,320,2568,บาเจาะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,321,2568,ยี่งอ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,322,2568,ระแงะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,323,2568,รือเสาะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,324,2568,ศรีสาคร,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,325,2568,สุคีริน,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,326,2568,แว้ง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,327,2568,สุไหงโก-ลก,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,328,2568,สุไหงปาดี,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,329,2568,จะแนะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,330,2568,เจาะไอร้อง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,331,2568,เมือง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,332,2568,ตากใบ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,333,2568,บาเจาะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,334,2568,ยี่งอ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,335,2568,ระแงะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,336,2568,รือเสาะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,337,2568,ศรีสาคร,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,338,2568,สุคีริน,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,339,2568,แว้ง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,340,2568,สุไหงโก-ลก,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,341,2568,สุไหงปาดี,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,342,2568,จะแนะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,343,2568,เจาะไอร้อง,นราธิวาส,คน
