_id,เลขทะเบียนเดิม,ปริมาณการใช้น้ำ (ลบ.ม.),ชื่อผู้ประกอบการ
295,จ3-64(12)-1/41พล,5.9,ห้างหุ้นส่วนจำกัด เอ็ม.อี.ดี.วิศวกรรม
296,จ3-64(12)-1/44พล,6.7,บริษัท เอส ซี เจ ซัพพลาย แอนด์เอ็นจิเนียริ่ง จำกัด
297,จ3-64(12)-18/52พล,2.0,บริษัท เอส.ซี.เจ.ซัพพลาย แอนด์ เอ็นจิเนียริ่ง จำกัด
298,จ3-64(12)-36/60พล,2.9,บริษัท ธีรวิสิฎร์ก่อสร้าง จำกัด
299,3-64(13)-1/37พล,1.5,นายสุนทร วิริยะไชยกุล
300,จ2-64(13)-178/64พล,0.2,นายสำเนา เพิ่มทวี
301,จ3-64(13)-33/61พล,1.2,ห้างหุ้นส่วนจำกัด ต๊กควรเฮงโลหะกิจ
302,จ3-64(13)-355/55พล,0.6,บริษัท 199 อยุธยาการกลึงโลหะกิจ จำกัด
303,จ3-64(13)-42/62พล,0.2,นายสมพงษ์ ทับอิน
304,จ3-64(13)-45/64พล,0.5,บริษัท ส.ยั่งยืน จำกัด
305,จ3-64(13)-6/57พล,1.5,นายเกียรติรัตน์ ธนดลโยธิน
306,จ3-64(13)-61/63พล,0.5,นายณรงค์ ด่านวิไล
307,จ3-64(13)-8/57พล,1.6,ห้างหุ้นส่วนจำกัด พิษณุการุณ
308,อ2-64(13)-175/64พล,0.2,นายคัชรินทร์ อ่อนเกตุ
309,3-65-1/32พล,0.2,นายยุทธชัย วงศ์วีรเดชขจร
310,3-65-6/15พล,1.1,นายนิมิตร ชำนาญช่าง
311,3-65-6/26พล,2.0,นายสัมพันธ์ เศวตนภานนท์
312,จ3-65-1/43พล,0.5,นายพรชัย แซ่โก
313,จ3-65-1/51พล,1.2,นายสมบุญ ประดุจพงษ์เพ็ชร
314,จ3-65-5/61พล,0.3,ห้างหุ้นส่วนจำกัด พี.อี.ออโต้เทรด
315,3-66-15/34พล,18.3,บริษัท เครื่องจักรกลเกษตรไทย จำกัด
316,3-66-2/24พล,3.2,บริษัท เกษตรพัฒนาอุตสาหกรรม จำกัด
317,3-66-3/25พล,1.0,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร
318,จ3-66-1/51พล,1.5,น.ส.อิสรีย์ นิธิจินดารัตน์
319,จ3-66-21/49พล,2.4,บริษัท สยามอิมพลีเม้น จำกัด
320,จ3-66-3/44พล,0.7,นายทรัพย์ หิรัญสุข
321,จ3-66-3/48พล,0.4,นายวิชัย ภูมีแสง
322,จ3-66-4/38พล,1.8,นายชลอ ศรีสุวรรณ
323,จ3-66-5/53พล,0.4,นายธนกร ศรีดีรักฉัตร
324,จ3-66-8/53พล,0.4,นายมานะ อยู่เมือง
325,3-68-1/29พล,2.2,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด
326,จ3-68-13/61พล,0.9,ชลัมเบอร์เจอร์โอเวอร์ซีส์ เอส.เอ
327,จ3-68-6/62พล,1.0,บริษัท โอพีเอส ออยฟิลด์ อีควิปเม้นท์ แอนด์ เซอร์วิสเซส จำกัด
328,อ2-69-13/64พล,0.9,บริษัท พรีเมียร์เครื่องชั่ง จำกัด
329,จ2-70-35/64พล,1.3,บริษัท บางกอกพิษณุพาร์ท จำกัด
330,จ3-70-16/59พล,2.7,ห้างหุ้นส่วนจำกัด พิษณุโลก วี.ซี.คอนสรัคชั่น (2535)
331,จ3-71-17/56พล,1.7,บริษัท เซาเออร์ จำกัด
332,3-77(1)-1/39พล,1.4,นางวราภรณ์ วงศ์วีรเดชขจร
333,3-77(1)-2/33พล,2.0,บริษัท ธนะสินพัฒนา (1999) จำกัด
334,จ3-77(1)-10/63พล,0.4,บริษัท ส.มณีฉายขนส่ง จำกัด
335,จ3-77(1)-6/62พล,1.4,บริษัท เอส เค เจ เทรดเดอร์ จำกัด
336,จ3-77(1)-7/57พล,8.0,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค
337,3-77(2)-1/35พล,275.8,บริษัท ไทยแอโรว์ จำกัด
338,จ3-77(2)-1/35พล,5.9,บริษัท พี.อี.เทคนิค จำกัด
339,จ3-81(1)-2/55พล,3.9,บริษัท เอ็กซา ซีแลม จำกัด
340,จ3-84(3)-1/65พล,7.3,บริษัท เอชเอแอล เจมส์ จำกัด
341,จ3-86-4/63พล,1.1,บริษัท ทอยส์แอนด์จิม จำกัด
342,3-88-165/56พล,1.0,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
343,3-88(1)-37/58พล,1.7,บริษัท อีเอ โซล่า พิษณุโลก จำกัด
344,3-88(1)-38/58พล,0.2,บริษัท อีเอ โซล่า พิษณุโลก จำกัด
345,3-88(1)-39/58พล,0.4,บริษัท อีเอ โซล่า พิษณุโลก จำกัด
346,3-88(2)-16/57พล,12.8,บริษัท โคลเวอร์ พิษณุโลก จำกัด
347,3-88-31/57พล,13.7,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด
348,จ3-90-7/60พล,50.9,บริษัท ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด (มหาชน)
349,จ2-92-41/64พล,0.7,นายไพรัช นาคมอญ
350,จ2-92-42/64พล,0.7,นายณรงค์ศักดิ์ พิณเกษมจิต
351,จ3-92-5/47พล,1.5,บริษัท ที.พี.แปซิฟิค จำกัด
352,จ3-92-51/62พล,1.5,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด
353,3-95(1)-2/22พล,1.8,บริษัท พิษณุโลกเอกการช่าง จำกัด
354,3-95(1)-7/30พล,1.0,นายพงศธร ศรีธรรมศิริ
355,จ3-95(1)-10/38พล,1.6,บริษัท พิษณุโลกมอเตอร์เซลล์ จำกัด
356,จ3-95(1)-103/57พล,1.9,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด
357,จ3-95(1)-105/62พล,1.6,บริษัท นิธิบูรณ์ จำกัด
358,จ3-95(1)-106/62พล,2.6,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด
359,จ3-95(1)-112/61พล,1.3,บริษัท วรเทพออโต้เพ้นท์ จำกัด
360,จ3-95(1)-118/60พล,1.7,นายรังสรรค์ ชัยรัตน์
361,จ3-95(1)-14/38พล,2.3,บริษัท วีไอพีปรีดาซุปเปอร์คาร์ จำกัด
362,จ3-95(1)-155/53พล,1.5,บริษัท อีซูซุ คาร์เซ็นเตอร์เพ้นท์ จำกัด
363,จ3-95(1)-156/48พล,1.5,บริษัท วี กรุ๊ป มิตซูมอเตอร์ออโต้เซลล์ จำกัด 
364,จ3-95(1)-161/51พล,1.7,บริษัท พิษณุโลกยานยนต์ จำกัด
365,จ3-95(1)-167/56พล,1.0,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด
366,จ3-95(1)-169/59พล,4.8,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด
367,จ3-95(1)-174/58พล,2.0,บริษัท อุทัยยนตการ จำกัด
368,จ3-95(1)-178/56พล,2.5,ห้างหุ้นส่วนจำกัด ณัชชาทรัค
369,จ3-95(1)-183/52พล,1.4,บริษัท แอล แอนด์ พี แอคเซส จำกัด
370,จ3-95(1)-189/55พล,6.3,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโต้โยต้า จำกัด
371,จ3-95(1)-19/58พล,1.0,นางสาวจันทร์จิรา กลิ่นกรุด
372,จ3-95(1)-197/55พล,7.5,บริษัท ธนรักษ์มอเตอร์ จำกัด
373,จ3-95(1)-2/34พล,6.3,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด
374,จ3-95(1)-2/47พล,3.0,บริษัท รวมรัตน์ 88 จำกัด
375,จ3-95(1)-202/58พล,6.5,บริษัท โตโยต้า เมืองสองแคว จำกัด
376,จ3-95(1)-225/58พล,3.8,บริษัท เอช ดี เจ ออโต้ จำกัด
377,จ3-95(1)-226/58พล,3.8,บริษัท นิธิบูรณ์ จำกัด
378,จ3-95(1)-229/54พล,1.6,บริษัท บี-ควิก จำกัด
379,จ3-95(1)-236/50พล,0.6,นายฉัตรณรงค์ อินใย
380,จ3-95(1)-250/56พล,2.5,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด
381,จ3-95(1)-27/35พล,1.1,นายเมธี ณรงค์ชัย
382,จ3-95(1)-3/38พล,12.6,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด
383,จ3-95(1)-3/55พล,6.5,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด
384,จ3-95(1)-33/63พล,3.5,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด
385,จ3-95(1)-35/64พล,1.6,บริษัท บี-ควิก จำกัด
386,จ3-95(1)-4/43พล,5.3,บริษัท แอล แอนด์ พี แอคเซส จำกัด
387,จ3-95(1)-5/37พล,2.8,นางสาว ทิพย์สุดา ภู่ศรี
388,จ3-95(1)-5/42พล,1.1,บริษัท อริยะอีควิปเม้นท์ จำกัด
389,จ3-95(1)-5/43พล,1.2,นายวิชัย คงลา
390,จ3-95(1)-56/52พล,1.6,ห้างหุ้นส่วนจำกัด ฟาสเตอร์เพ้นท์
391,จ3-95(1)-6/34พล,4.6,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด
392,จ3-95(1)-6/45พล,2.0,นายแฉล้ม จันทร์เพ็ง
393,จ3-95(1)-61/52พล,1.4,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค
394,จ3-95(1)-7/37พล,1.7,ห้างหุ้นส่วนจำกัด ศรีสหวัฒน์การช่าง
395,จ3-95(1)-77/55พล,2.0,บริษัท บี ที ซี พิษณุไพศาล จำกัด
396,จ3-95(1)-79/60พล,2.6,ห้างหุ้นส่วนจำกัด แสงอรุณสองแคว
397,จ3-95(1)-82/63พล,1.9,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด
398,จ3-98-2/59พล,51.1,ห้างหุ้นส่วนจำกัด ชิณฐิกุญช์ 999
399,จ3-98-6/63พล,52.4,บริษัท จีเอสเอ็น ลอนดรี้ แอนด์ เซอร์วิส จำกัด
400,3-105-39/63พล,1.0,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช
401,3-105-94/63พล,1.1,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด
402,จ3-105-46/50พล,1.2,บริษัท ท่าทองรีไซเคิล (2007) จำกัด
403,3-106-37/65พล,2.0,บริษัท ขวดแก้วรีไซเคิล จำกัด
