จำนวน,_id,ปี,เพศ,จังหวัด,อุตสาหกรรม,ประเภทแรงงาน,หน่วย
480,215,2561,หญิง,พระนครศรีอยุธยา,อสังหาริมทรัพย์,แรงงานในระบบ,คน
955,216,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
3327,217,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมการบริหาร,แรงงานในระบบ,คน
15397,218,2561,หญิง,พระนครศรีอยุธยา,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
16626,219,2561,หญิง,พระนครศรีอยุธยา,การศึกษา,แรงงานในระบบ,คน
4252,220,2561,หญิง,พระนครศรีอยุธยา,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
508,221,2561,หญิง,พระนครศรีอยุธยา,ศิลปะบันเทิง,แรงงานในระบบ,คน
487,222,2561,หญิง,พระนครศรีอยุธยา,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
24623,223,2561,ชาย,พระนครศรีอยุธยา,เกษตรกรรม,แรงงานนอกระบบ,คน
409,224,2561,ชาย,พระนครศรีอยุธยา,เหมืองแร่เหมืองหิน,แรงงานนอกระบบ,คน
12435,225,2561,ชาย,พระนครศรีอยุธยา,การผลิต,แรงงานนอกระบบ,คน
19233,226,2561,ชาย,พระนครศรีอยุธยา,การก่อสร้าง,แรงงานนอกระบบ,คน
19641,227,2561,ชาย,พระนครศรีอยุธยา,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
6516,228,2561,ชาย,พระนครศรีอยุธยา,การขนส่ง,แรงงานนอกระบบ,คน
11677,229,2561,ชาย,พระนครศรีอยุธยา,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
162,230,2561,ชาย,พระนครศรีอยุธยา,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
715,231,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมการบริหาร,แรงงานนอกระบบ,คน
943,232,2561,ชาย,พระนครศรีอยุธยา,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
2575,233,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
8549,234,2561,หญิง,พระนครศรีอยุธยา,เกษตรกรรม,แรงงานนอกระบบ,คน
13082,235,2561,หญิง,พระนครศรีอยุธยา,การผลิต,แรงงานนอกระบบ,คน
3664,236,2561,หญิง,พระนครศรีอยุธยา,การก่อสร้าง,แรงงานนอกระบบ,คน
20421,237,2561,หญิง,พระนครศรีอยุธยา,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
15164,238,2561,หญิง,พระนครศรีอยุธยา,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
276,239,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมด้านการเงิน,แรงงานนอกระบบ,คน
287,240,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมการบริหาร,แรงงานนอกระบบ,คน
390,241,2561,หญิง,พระนครศรีอยุธยา,บริหารราชการและป้องกันประเทศ,แรงงานนอกระบบ,คน
607,242,2561,หญิง,พระนครศรีอยุธยา,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานนอกระบบ,คน
540,243,2561,หญิง,พระนครศรีอยุธยา,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
3353,244,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
2070,245,2561,ชาย,อ่างทอง,เกษตรกรรม,แรงงานในระบบ,คน
1231,246,2561,ชาย,อ่างทอง,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
11443,247,2561,ชาย,อ่างทอง,การผลิต,แรงงานในระบบ,คน
184,248,2561,ชาย,อ่างทอง,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
193,249,2561,ชาย,อ่างทอง,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
5162,250,2561,ชาย,อ่างทอง,การก่อสร้าง,แรงงานในระบบ,คน
4961,251,2561,ชาย,อ่างทอง,การขายส่งการขายปลีก,แรงงานในระบบ,คน
631,252,2561,ชาย,อ่างทอง,การขนส่ง,แรงงานในระบบ,คน
60,253,2561,ชาย,อ่างทอง,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
174,254,2561,ชาย,อ่างทอง,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
839,255,2561,ชาย,อ่างทอง,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
220,256,2561,ชาย,อ่างทอง,อสังหาริมทรัพย์,แรงงานในระบบ,คน
132,257,2561,ชาย,อ่างทอง,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
206,258,2561,ชาย,อ่างทอง,กิจกรรมการบริหาร,แรงงานในระบบ,คน
4312,259,2561,ชาย,อ่างทอง,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
2014,260,2561,ชาย,อ่างทอง,การศึกษา,แรงงานในระบบ,คน
937,261,2561,ชาย,อ่างทอง,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
127,262,2561,ชาย,อ่างทอง,ศิลปะบันเทิง,แรงงานในระบบ,คน
