VALUE,SOURCE,_id,UNIT,REGION,YEAR,EDUCATIONAL
0.0,สำนักงานสถิติแห่งชาติ,152,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,08) ไม่ทราบ
63.29,สำนักงานสถิติแห่งชาติ,153,พันคน,5) ภาคใต้,2566,01) ไม่มีการศึกษา
648.61,สำนักงานสถิติแห่งชาติ,154,พันคน,5) ภาคใต้,2566,02) ต่ำกว่าประถมศึกษา
267.76,สำนักงานสถิติแห่งชาติ,155,พันคน,5) ภาคใต้,2566,03) ประถมศึกษา
81.58,สำนักงานสถิติแห่งชาติ,156,พันคน,5) ภาคใต้,2566,04) มัธยมศึกษาตอนต้น
96.07,สำนักงานสถิติแห่งชาติ,157,พันคน,5) ภาคใต้,2566,05) มัธยมศึกษาตอนปลาย
99.63,สำนักงานสถิติแห่งชาติ,158,พันคน,5) ภาคใต้,2566,06) อุดมศึกษา
3.24,สำนักงานสถิติแห่งชาติ,159,พันคน,5) ภาคใต้,2566,07) การศึกษาอื่นๆ
0.15,สำนักงานสถิติแห่งชาติ,160,พันคน,5) ภาคใต้,2566,08) ไม่ทราบ
9.55,สำนักงานสถิติแห่งชาติ,161,พันคน,กรุงเทพมหานคร,2567,ไม่มีการศึกษา
128.66,สำนักงานสถิติแห่งชาติ,162,พันคน,กรุงเทพมหานคร,2567,ต่ำกว่าประถมศึกษา
96.23,สำนักงานสถิติแห่งชาติ,163,พันคน,กรุงเทพมหานคร,2567,ประถมศึกษา
47.04,สำนักงานสถิติแห่งชาติ,164,พันคน,กรุงเทพมหานคร,2567,มัธยมศึกษาตอนต้น
62.39,สำนักงานสถิติแห่งชาติ,165,พันคน,กรุงเทพมหานคร,2567,มัธยมศึกษาตอนปลาย
76.11,สำนักงานสถิติแห่งชาติ,166,พันคน,กรุงเทพมหานคร,2567,อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,167,พันคน,กรุงเทพมหานคร,2567,การศึกษาอื่นๆ
2.53,สำนักงานสถิติแห่งชาติ,168,พันคน,กรุงเทพมหานคร,2567,ไม่ทราบ
36.58,สำนักงานสถิติแห่งชาติ,169,พันคน,ภาคกลาง,2567,ไม่มีการศึกษา
715.24,สำนักงานสถิติแห่งชาติ,170,พันคน,ภาคกลาง,2567,ต่ำกว่าประถมศึกษา
267.82,สำนักงานสถิติแห่งชาติ,171,พันคน,ภาคกลาง,2567,ประถมศึกษา
78.29,สำนักงานสถิติแห่งชาติ,172,พันคน,ภาคกลาง,2567,มัธยมศึกษาตอนต้น
78.79,สำนักงานสถิติแห่งชาติ,173,พันคน,ภาคกลาง,2567,มัธยมศึกษาตอนปลาย
80.45,สำนักงานสถิติแห่งชาติ,174,พันคน,ภาคกลาง,2567,อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,175,พันคน,ภาคกลาง,2567,การศึกษาอื่นๆ
9.75,สำนักงานสถิติแห่งชาติ,176,พันคน,ภาคกลาง,2567,ไม่ทราบ
107.11,สำนักงานสถิติแห่งชาติ,177,พันคน,ภาคเหนือ,2567,ไม่มีการศึกษา
787.91,สำนักงานสถิติแห่งชาติ,178,พันคน,ภาคเหนือ,2567,ต่ำกว่าประถมศึกษา
151.74,สำนักงานสถิติแห่งชาติ,179,พันคน,ภาคเหนือ,2567,ประถมศึกษา
53.02,สำนักงานสถิติแห่งชาติ,180,พันคน,ภาคเหนือ,2567,มัธยมศึกษาตอนต้น
59.26,สำนักงานสถิติแห่งชาติ,181,พันคน,ภาคเหนือ,2567,มัธยมศึกษาตอนปลาย
37.92,สำนักงานสถิติแห่งชาติ,182,พันคน,ภาคเหนือ,2567,อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,183,พันคน,ภาคเหนือ,2567,การศึกษาอื่นๆ
0.61,สำนักงานสถิติแห่งชาติ,184,พันคน,ภาคเหนือ,2567,ไม่ทราบ
16.15,สำนักงานสถิติแห่งชาติ,185,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,ไม่มีการศึกษา
1242.32,สำนักงานสถิติแห่งชาติ,186,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,ต่ำกว่าประถมศึกษา
266.23,สำนักงานสถิติแห่งชาติ,187,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,ประถมศึกษา
62.77,สำนักงานสถิติแห่งชาติ,188,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,มัธยมศึกษาตอนต้น
72.03,สำนักงานสถิติแห่งชาติ,189,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,มัธยมศึกษาตอนปลาย
47.66,สำนักงานสถิติแห่งชาติ,190,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,191,พันคน,ภาคตะวันออกเฉียงเหนือ,2568,การศึกษาอื่นๆ
0.17,สำนักงานสถิติแห่งชาติ,192,พันคน,ภาคตะวันออกเฉียงเหนือ,2567,ไม่ทราบ
24.13,สำนักงานสถิติแห่งชาติ,193,พันคน,ภาคใต้,2567,ไม่มีการศึกษา
350.33,สำนักงานสถิติแห่งชาติ,194,พันคน,ภาคใต้,2567,ต่ำกว่าประถมศึกษา
150.66,สำนักงานสถิติแห่งชาติ,195,พันคน,ภาคใต้,2567,ประถมศึกษา
45.25,สำนักงานสถิติแห่งชาติ,196,พันคน,ภาคใต้,2567,มัธยมศึกษาตอนต้น
42.98,สำนักงานสถิติแห่งชาติ,197,พันคน,ภาคใต้,2567,มัธยมศึกษาตอนปลาย
53.62,สำนักงานสถิติแห่งชาติ,198,พันคน,ภาคใต้,2567,อุดมศึกษา
0.76,สำนักงานสถิติแห่งชาติ,199,พันคน,ภาคใต้,2567,การศึกษาอื่นๆ
2.12,สำนักงานสถิติแห่งชาติ,200,พันคน,ภาคใต้,2567,ไม่ทราบ
