ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
สีข้าว 45 เกวียน/วัน,สองพี่น้อง,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,18.5,8,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,8,162,150,2546,บางตาเถร,จ3-9(1)-2/46สพ,นายกำธร ชาติสถาพร,10842,โรงสีข้าวไทยสถาพร,3,72110
ทำมันเส้น,ด่านซ้าย,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,,,20400000000000,1.55,2,5,อุตสาหกรรมแปรรูปอาหาร,เลย,6,โฉนดที่ดินเลขที่ 5782,85,2556,โคกงาม,จ3-9(6)-4/56ลย,นายพรศักดิ์ พอค้ำ,10843,ทวีพลพืชผล,3,42120
ทำมันเส้น,นาด้วง,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,,,20400000000000,5.4,8,5,อุตสาหกรรมแปรรูปอาหาร,เลย,13,399,160,2557,นาดอกคำ,จ3-9(6)-11/57ลย,บริษัท นาด้วงพืชผล จำกัด,10844,บริษัท นาด้วงพืชผล จำกัด,3,42210
ทำมันเส้น สีข้าวโพด,เมืองเลย,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,เลย-เชียงคาน,-,20400000000000,50.3,8,5,อุตสาหกรรมแปรรูปอาหาร,เลย,11,888,442.46,2556,เมือง,จ3-9(6)-17/56ลย,นายบรรจง จียาศักดิ์,10845,จงนภา,3,42000
ทำวุ้นเส้น,เมืองสุพรรณบุรี,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,,-,20700000000000,9,11,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,8,222/9,3260.8,2550,บ้านโพธิ์,จ3-10(3)-2/50สพ,บริษัท ต้นคูณ ฟูด จำกัด,10846,บริษัท ต้นคูณ ฟูด จำกัด,3,72000
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 100 เกวียน/วัน,บางปลาม้า,901,การสี ฝัด หรือขัดข้าว,ทางหลวงหมายเลข 340,-,20700000000000,19.5,8,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,10 ,137,296,2537,โคกคราม,จ3-9(1)-3/37สพ,นายสมชาย เอกพินิจพิทยา,10847,เอกเจริญวัฒนา,3,72150
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,บางปลาม้า,901,การสี ฝัด หรือขัดข้าว,สายดอนโก-สวนแตง,-,20700000000000,30.2,10,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,7,98/1,4559.38,2540,วังน้ำเย็น,จ3-9(1)-3/40สพ,ห้างหุ้นส่วนจำกัด เอ็น.พี.เอส ไรซ์,10848,ห้างหุ้นส่วนจำกัด เอ็น พี เอส ไรซ์,3,72150
"กะเทาะเนื้อมะพร้าว,ทำน้ำกะทิ และอัดกะลาและเปลือกมะพร้าวเป็นก้อน",อู่ทอง,202,การกะเทาะเมล็ด หรือเปลือกเมล็ดพืช,,,20700000000000,7.14,52,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,สุพรรณบุรี,10,275,75,2561,อู่ทอง,จ3-2(2)-3/61สพ,บริษัท หัสดำ การค้าและขนส่ง จำกัด,10849,บริษัท หัสดำ การค้าและขนส่ง จำกัด,3,72160
สีข้าว,หนองหญ้าไซ,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,0,0,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,81,90,2538,หนองหญ้าไซ,จ3-9(1)-4/38สพ,นายสุวรรณ จีนก๊ก,10850,-,3,72240
ผลิตและจำหน่ายอาหารสำหรับเด็กทารก อาหารสำหรับผู้ป่วย อาหารบำรุงสุขภาพ,อู่ทอง,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,อู่ทอง-ตลุงเหนือ,,20700000000000,18,13,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,5,31,511.72,2556,อู่ทอง,จ3-8(1)-4/56สพ,บริษัท เซนคิทเช่นฟู้ดส์ จำกัด,10851,บริษัท เซนคิทเช่นฟู้ดส์ จำกัด,3,72160
อบข้าวและสีข้าว,สามชุก,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,69.6,36,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,83/2,3169,2545,สามชุก,จ3-9(1)-5/45สพ,บริษัท เศรษฐพาณิชย์-สามชุก จำกัด,10852,เศรษฐพาณิชย์-สามชุก ,3,72130
อบเมล็ดพืช เก็บรักษา ร่อน คัด หรือแยกขนาด หรือคุณภาพของผลิตผลเกษตรกรรม,ท่าลี่,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,20400000000000,20.9,7,5,อุตสาหกรรมแปรรูปอาหาร,เลย,4,256,257.5,2552,อาฮี,จ3-2(1)-27/52ลย,บริษัท รุ่งฤทัยพาณิชย์ (ขนส่ง) จำกัด,10853,บริษัท รุ่งฤทัยพาณิชย์ (ขนส่ง) จำกัด,3,42140
อบเมล็ดพืชและทำมันเส้น,ด่านซ้าย,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20400000000000,23,13,5,อุตสาหกรรมแปรรูปอาหาร,เลย,1,328,282.5,2555,โคกงาม,จ3-2(1)-40/55ลย,ห้างหุ้นส่วนจำกัด ไทรงามพืชผล,10854,ห้างหุ้นส่วนจำกัด ไทรงามพืชผล,3,42120
บีบน้ำมันปาล์ม,เมืองเลย,701,การสกัดน้ำมันจากพืชหรือสัตว์หรือไขมันจากสัตว์,-,-,20400000000000,0.94,5,5,อุตสาหกรรมแปรรูปอาหาร,เลย,8,247,54.5,2556,นาดินดำ,จ3-7(1)-6/56ลย,นายกองไล นีรมิตร์,10855,ทรัพย์มงคลน้ำมันปาล์ม,3,42000
ผลิจซอส น้ำจิ้มต่างๆ เช่น ซอสพริก ซอสมะเขือเทศ คอกเทลซอส (น้ำจิ้มกุ้ง),สามชุก,1306,การทำน้ำมันสลัด,สามชุก-ท่ากระพี้,-,20700000000000,15,42,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,14,57,588,2548,วังลึก,จ3-13(6)-2/48สพ,บริษัท วิน วิน ฟู้ดส์ จำกัด,10856,บริษัท วิน วิน ฟู้ดส์ จำกัด,3,72130
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,เมืองสุพรรณบุรี,901,การสี ฝัด หรือขัดข้าว,สุพรรณบุรี-ดอนเจดีย์,-,20700000000000,60,4,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,46263,298,2534,สนามคลี,จ3-9(1)-3/34สพ,บริษัท โรงสี อ.การเกษตร 2011 จำกัด,10857,อ.การเกษตร,3,72230
อบข้าวเปลือก,ศรีประจันต์,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20700000000000,4.95,1,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,23,124.66,2543,บ้านกร่าง,จ3-2(1)-3/43สพ,ห้างหุ้นส่วนจำกัด โรงสีไฟบ้านกร่าง,10858,ห้างหุ้นส่วนจำกัด โรงสีไฟบ้านกร่าง,3,72140
ทำน้ำดื่ม และน้ำใช้,ด่านช้าง,2001,การทำน้ำดื่ม,อู่่ทอง-บ้านไร่,,20700000000000,11.753563,5,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,300,237.93,2553,ด่านช้าง,จ3-20(1)-3/53สพ,การประปาส่วนภูมิภาคสาขาด่านช้าง,10859,การประปาส่วนภูมิภาคสาขาด่านช้าง,3,72180
อบข้าวเปลือก กำลังสีสูงสุดของร้านสีข้าว 600 เกวียน/วัน,เมืองสุพรรณบุรี,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20700000000000,203.2,7,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,6,46115,551.5,2543,บ้านโพธิ์,จ3-2(1)-4/43สพ,ห้างหุ้นส่วนจำกัด โพธิบูรพ์ ,10860,ห้างหุ้นส่วนจำกัด โพธิบูรพ์,3,72000
สีข้าว ชนิดแยกแกลบแยกรำ (กำลังการผลิตสูงสุดของร้านสีข้าว 200 เกวียน/วัน),เมืองสุพรรณบุรี,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,12,9,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,46068,2256.5,2538,สวนแตง,จ3-9(1)-6/38สพ,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด,10861,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด,3,72210
ทำน้ำแข็งก้อนเล็ก,โพนพิสัย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,20400000000000,10,3,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,11,190,489.5,2544,กุดบง,จ3-14-3/44นค,นายวิศิษฐ พรจนกาญ,10862,วิศิษฐ,3,43120
สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน),ผักไห่,901,การสี ฝัด หรือขัดข้าว,,,20100000000000,18.1,13,5,อุตสาหกรรมแปรรูปอาหาร,พระนครศรีอยุธยา,6,42,471,2547,ลาดชิด,จ3-9(1)-120/47อย,นายธเนส สุขสมแดน,10863,โรงสีแม่แช่มข้าวไทย,3,13120
ทำน้ำแข็งก้อนเล็ก,ท่าบ่อ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,นิกรประสิทธิ์,,20400000000000,9.4,7,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,6,343,311,2551,ท่าบ่อ,จ3-14-4/51นค,บริษัท น้ำดื่มนาคทิพย์ เฟรช แอนด์ ไฟน์ จำกัด,10864,โรงน้ำแข็งหลักหิน,3,43110
ทำเส้นก๋วยเตี๋ยว,ท่าบ่อ,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,ท่าบ่อ-หนองสองห้อง,-,20400000000000,1.9,10,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,4,300,245.9,2552,บ้านเดื่อ,จ3-10(3)-7/52นค,บริษัท พรทวี พูนทรัพย์ ทชาภร-คมจักร การค้า จำกัด,10865,บริษัท พรทวี พูนทรัพย์ ทชาภร-คมจักร การค้า จำกัด,3,43110
ทำน้ำแข็งก้อนเล็ก,เฝ้าไร่,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,โพนพิสัย-โซ่พิสัย,,20400000000000,2.1,3,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,11,131,273,2549,เฝ้าไร่,จ3-14-17/49นค,นางปิยะรัตน์ ทับชา,10866,น้ำแข็งเฝ้าไร่,3,43120
ผลิต ประกอบและซ่อมแซมหม้อแปลงไฟฟ้า,สามพราน,7100,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า,เพชรเกษม,วัดเทียนดัด,20700000000000,68.554,71,4,อุตสาหกรรมอิเล็กทรอนิกส์,นครปฐม,3,46117,586.71,2551,อ้อมใหญ่,จ3-71-28/51นฐ,บริษัท ช่างศิลป์ชิเหย่ จำกัด,10867,บริษัท ช่างศิลป์ชิเหย่ จำกัด,3,73160
ผลิตลูกชิ้นปลา,บางเลน,603,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากสัตว์น้ำ หนังหรือไขมันสัตว์น้ำ,,,20700000000000,9.74,12,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,11,131/3,87.7,2562,บางเลน,จ3-6(3)-6/62นฐ,นาง อัชรา เวชรังษี,10868,พี แอนด์ เค อินเตอร์ฟู๊ด,3,73130
ผลิตภัณฑ์แปรรูปกลุ่มหมูหมักกระทะในรูปแบบที่ผนึกและอากาศเข้าไม่ได้และห้องเย็นเก็บสินค้า,เมืองนครปฐม,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,,เจริญดี 5,20700000000000,30.5,50,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,9,40,294,2562,ลำพยา,จ3-4(3)-20/62นฐ,บริษัท เทพประทาน 2015 จำกัด,10869,บริษัท เทพประทาน 2015 จำกัด,3,73000
"น้ำมันสลัดจากงา,งาบด,พริกป่น,พริกไทยป่น,พริกบด",สามพราน,1306,การทำน้ำมันสลัด,-,-,20700000000000,108,30,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,7,46044,490,2568,อ้อมใหญ่,จ3-13(6)-1/68นฐ,บริษัท เอช.เอฟ. ยูเนียน ฟูด อินดัสตรี (อินเตอร์เนชั่นแนล) จำกัด,10870,บริษัท เอช.เอฟ.ยูเนียน ฟูด อินดัสตรี (อินเตอร์เนชั่นแนล)จำกัด,3,73160
"ผลไม้อบแห้ง เช่น ทุเรียน,มังคุด,มะม่วง",เมืองนครปฐม,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,20700000000000,3.8,6,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,,,167,2563,หนองดินแดง,จ3-2(1)-7/63นฐ,บริษัท ไทยพรีเมี่ยม อินเตอร์ฟู้ดส์ จำกัด,10871,บริษัท ไทยพรีเมี่ยม อินเตอร์ฟู้ดส์ จำกัด,3,73000
ทอดถั่ว,เมืองสุพรรณบุรี,904,การผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช,,,20700000000000,15,10,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,2,91/1,138.44,2559,บ้านโพธิ์,จ3-9(4)-6/59สพ,ห้างหุ้นส่วนจำกัด เจ แอน เอ็น 2012,10872,ห้างหุ้นส่วนจำกัด เจ แอน เอ็น 2012,3,72000
สีข้าว (กำลังสีข้าวสูงสุดของร้านสีข้าว 250 เกวียน/วัน),อู่ทอง,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,57.7,8,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,6,299,441,2559,จรเข้สามพัน,จ3-9(1)-8/59สพ,บริษัท โชคภักดีวงษ์ ธัญญากิจ จำกัด,10873,บริษัท โชคภักดีวงษ์ ธัญญากิจ จำกัด,3,72160
ทำเส้นก๋วยเตี๋ยว,สองพี่น้อง,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,-,-,20700000000000,14.9318,14,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,5,295,494.3,2548,ศรีสำราญ,จ3-10(3)-10/48สพ,นายดิฐโรจน์ คงสิทธิธนาวัฒน์,10874,-,3,72110
สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสงุงสุดของร้านสีข้าว 350 เกวียน/วัน),ศรีประจันต์,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,9.6,6,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,85,53,2535,ปลายนา,จ3-9(1)-14/35สพ,บริษัท โรงสีมิตรมงคลหิรัณย์ จำกัด,10875,บริษัท โรงสีมิตรมงคลหิรัณย์ จำกัด,3,72140
โรงสีข้าว(กำลังสีข้าว สูงสุด 80 ตัน/วัน) ปรับปรุงคุณภาพข้าว อบข้าวเปลือก,เมืองสุพรรณบุรี,901,การสี ฝัด หรือขัดข้าว,,,20700000000000,46,4,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,5,46025,422,2559,บ้านโพธิ์,จ3-9(1)-16/59สพ,นายอนุชา เอื้อทยา,10876,โรงสีข้าวเล้าเจริญพาณิชย์,3,72000
ผลิตอาหารสำเร็จรูป,ดอนเจดีย์,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,,,20700000000000,4.2,5,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,4,50/1,57,2560,สระกระโจม,จ3-15(1)-16/60สพ,นางสาวรสิตา จันทนา,10877,รสิตาฟาร์ม,3,72250
การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์ ทุกชนิด,ศรีประจันต์,7701,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,,,20700000000000,15,17,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,1,โฉนดที่ดินเลขที่ 35731,94.55,2556,วังน้ำซับ,จ3-77(1)-17/56สพ,บริษัท บี.พี.เค. เอ็กซ์เซลเลนท์ กรุ๊ป จำกัด,10878,บริษัท บี.พี.เค.เอ็กซ์เซลเลนท์ กรุ๊ป จำกัด,3,72140
ผลิตชิ้นส่วนเคาท์เตอร์และอุปกรณ์เบาะรถยนต์,สองพี่น้อง,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,มาลัยแมน,,20700000000000,47.85562,46,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,1,95,183.02,2557,ทุ่งคอก,จ3-77(2)-24/57สพ,บริษัท ดำรงศิลป์ เมทัลเวิร์ค จำกัด,10879,บริษัท ดำรงศิลป์ เมทัลเวิร์ค จำกัด,3,72110
"อบข้าวเปลือก,ปรับปรุงคุณภาพข้าวเปลือก",เมืองสุพรรณบุรี,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,สุพรรณบุรี-ดอนเจดีย์,-,20700000000000,39,11,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,8,150/2,413.51,2551,บ้านโพธิ์,จ3-2(1)-26/51สพ,บริษัท นาเฮียใช้ จำกัด,10880,บริษัท นาเฮียใช้ จำกัด,3,72000
เย็บเบาะรถยนต์,สองพี่น้อง,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,มาลัยแมน,,20700000000000,72.3375,124,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,1,95,90.76,2557,ทุ่งคอก,จ3-77(2)-27/57สพ,บริษัท ดำรงศิลป์ ออโต้โมทีฟ จำกัด,10881,บริษัท ดำรงศิลป์ ออโต้โมทีฟ จำกัด,3,72110
ซ่อมและสร้างเครื่องทุนแรงทุกชนิด,บางปลาม้า,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,,,20700000000000,2,15,4,อุตสาหกรรมอิเล็กทรอนิกส์,สุพรรณบุรี,4,226/1,136.88,2554,บ้านแหลม,จ3-70-30/54สพ,บริษัท จารุวิภา เซอร์วิส จำกัด,10882,บริษัท จารุวิภา เซอร์วิส จำกัด,3,72150
ผลิตชิ้นส่วนรถยนต์และแม่พิมพ์รถยนต์,บางปลาม้า,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,ตลิ่งชัน-สุพรรณ,-,20700000000000,143,130,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,2,52/9,396,2549,ตะค่า,จ3-77(2)-32/49สพ,บริษัท ซีเอ็นซี ดี-เท็คซ์ จำกัด,10883,บริษัท ซีเอ็นซี ดี-เท็คซ์ จำกัด,3,72150
เตาอุตสาหกรรม (Industrial Furnace) ทุกประเภท เช่น เตาหลอมอลูมิเนียม,บางพลี,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,เทพารักษ์,,20100000000000,3.472958,4,4,อุตสาหกรรมอิเล็กทรอนิกส์,สมุทรปราการ,19,79/17,125.64,2556,บางพลีใหญ่,จ3-70-36/56สป,บริษัท โทเนทสี ไทย จำกัด,10884,บริษัท โทเนทสึ ไทย จำกัด,3,10540
ผลิตเครื่องจักร และระบบจัดเก็บสินค้าอัตโนมัติ,บางบ่อ,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,,,20100000000000,147.5,80,4,อุตสาหกรรมอิเล็กทรอนิกส์,สมุทรปราการ,6,499,212.5,2566,บางเพรียง,จ3-70-11/66สป,บริษัท แม่น้ำเมคคานิกา จำกัด,10885,บริษัท แม่น้ำเมคคานิกา จำกัด ,3,10560
ผลิตชิ้นส่วนรถยนต์ อุปกรณ์อิเล็กทรอนิคส์ในรถยนต์,บางพลี,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,เลียบคลองสุวรรณภูมิ,รุ่งเจริญ,20100000000000,4.023,58,3,อุตสาหกรรมยานยนต์,สมุทรปราการ,9,888/26,96.06,2555,บางปลา,จ3-77(2)-52/55สป,บริษัท เซกิเด็น (ไทยแลนด์) จำกัด,10886,บริษัท เซกิเด็น (ไทยแลนด์) จำกัด,3,10540
ผลิตอาหารสัตว์,สามชุก,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,,,20700000000000,40,5,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,99/9,473,2560,หนองผักนาก,จ3-15(1)-6/60สพ,บริษัท เจริญภัณฑ์สามชุกฟีดมิลล์ จำกัด,10887,เจริญภัณฑ์สามชุก ฟีดมิลส์ (CPS Feed Mill),3,72130
ผลิตชิ้นส่วนจากงานปั๊มโลหะ เช่น ชิ้นส่วนโคมไฟ ส่วนประกอบช่วงล่างรถยนต์,สองพี่น้อง,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,สองพี่น้อง-วัดไผ่โรงวัว,-,20700000000000,3.2,15,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,6,85,155.25,2550,บางเลน,จ3-77(2)-7/50สพ,ห้างหุ้นส่วนจำกัด พูลทรัพย์โลหะการ,10888,ห้างหุ้นส่วนจำกัด พูลทรพัย์โลหะการ,3,72110
อบเมล็ดพืช,สองพี่น้อง,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,20700000000000,34,4,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,12,240,141,2553,ทุ่งคอก,จ3-2(1)-11/53สพ,นายบุญชู แตงอ่อน,10889,ท่าข้าวทุ่งเจริญ,3,72110
คัดแยกเมล็ดพันธุ์ข้าวเปลือก,ศรีประจันต์,209,การร่อน ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,ดอนปรู-วัดโพธิ์นฤมิตร,-,20700000000000,10,7,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,สุพรรณบุรี,7,122,212.07,2555,ดอนปรู,จ3-2(9)-13/55สพ,บริษัท เดมาร์ เคมีคอล เวิร์ค จำกัด,10890,บริษัท เดมาร์ เคมีคอล เวิร์ค จำกัด,3,72140
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 800 เกวียน/วัน,ดอนเจดีย์,901,การสี ฝัด หรือขัดข้าว,-,-,20700000000000,125,37,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,6,98/1,3988.67,2550,ไร่รถ,จ3-9(1)-18/50สพ,ห้างหุ้นส่วนจำกัด ธนภัทรพูนแสง,10891,ห้างหุ้นส่วนจำกัด ธนภัทรพูนแสง,3,72170
ผลิตและบรรจุน้ำผลไม้ 25%,สองพี่น้อง,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,ร.พ.ช.บ้านดอนกลาง-บ้านหนองโพธิ์,-,20700000000000,8.5,11,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,5,254,441.12,2548,เนินพระปรางค์,จ3-8(1)-19/48สพ,บริษัท สยามน้ำทิพย์ จำกัด,10892,บริษัท สยาม น้ำทิพย์ จำกัด,3,72110
ทำน้ำแข็งก้อนเล็ก,สังคม,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สังคม-เชียงคาน,,20400000000000,12.5,9,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,2,244,447,2551,สังคม,จ3-14-28/51นค,นางสมพร แถวเพณี,10893,สมพรพาณิชย์,3,43160
ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์และสัตว์น้ำ และทำเครื่องปรุงอาหาร,เมืองหนองคาย,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,,,20400000000000,100,22,5,อุตสาหกรรมแปรรูปอาหาร,หนองคาย,1,"โฉนดที่ดินเลขที่ 19898, 90378",496,2569,โพนสว่าง,จ3-4(3)-2/69นค,บริษัท อารยา 5151 จำกัด,10894,บริษัท อารยา 5151 จำกัด,3,43100
ทำน้ำแข็งก้อนเล็ก,แกดำ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,20400000000000,17,8,5,อุตสาหกรรมแปรรูปอาหาร,มหาสารคาม,14,98,359.22,2551,แกดำ,จ3-14-11/51มค,นางศิริรัตน์ ชอบขาย,10895,โรงน้ำแข็งซันนี่ 2551,3,44190
สีข้าวชนิดแยกแกลบ แยกรำ (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),โกสุมพิสัย,901,การสี ฝัด หรือขัดข้าว,โกสุมพิสัย-มหาสารคาม,-,20400000000000,25,10,5,อุตสาหกรรมแปรรูปอาหาร,มหาสารคาม,9,222,325,2554,แก้งแก,จ3-9(1)-25/54มค,สหกรณ์เครดิตยูเนี่ยนวังขนาย จำกัด,10896,สหกรณ์เครดิตยูเนี่ยนวังขนาย จำกัด,3,44140
สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน) และอบข้าวเปลือก,กันทรวิชัย,901,การสี ฝัด หรือขัดข้าว,ถีนานนท์,-,20400000000000,60,10,5,อุตสาหกรรมแปรรูปอาหาร,มหาสารคาม,15,179,8605.25,2553,โคกพระ,จ3-9(1)-47/53มค,บริษัท โชติอุทัย จำกัด,10897,บริษัท โชติอุทัย จำกัด สาขา 1 ,3,44150
การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,จตุรพักตรพิมาน,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,,,20500000000000,3.2,6,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,ร้อยเอ็ด,1,383,85,2556,หัวช้าง,จ3-2(5)-1/56รอ,นายมวล บรรดร,10898,เกียรติศักดิ์,3,45180
