ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
พิษณุโลก-สุโขทัย,2490000,เลขที่ 226/3,,0,200000,,302,302,-,ซ่อมเครื่องจักรที่ใช้ในการกสิกรรม,4,บ้านกร่าง,เมืองพิษณุโลก,400000,พิษณุโลก,นายวิชัย ภูมีแสง,3.0
สิงหวัฒน์,1100000,เลขที่ 7/1,,18,1000000,,303,303,เกษตรบ้านกร่าง,ผลิตและซ่อมอุปกรณ์เครื่องจักรที่ใช้ในการกสิกรรม,0,บ้านกร่าง,เมืองพิษณุโลก,400000,พิษณุโลก,กิตติภัทร์ ศรีสุวรรณ,3.0
-,4,เลขที่ 122/1,-,91.29,4,3200000,304,304,ช่างแลกลการ,ซ่อมเครื่องจักรที่ใช้ในการกสิกรรม และกลึง - เชื่อมโลหะทั่วไป,,วัดโบสถ์,วัดโบสถ์,0,พิษณุโลก,นายธนกร ศรีดีรักฉัตร,2.0
บางระกำ-ปลักแรด,4,เลขที่ 285/1,,124.5,4,2800000,305,305,อู่มานะปลักแรด,ผลิตซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรม และกลึง-เชื่อมโลหะทั่วไป,,ปลักแรด,บางระกำ,0,พิษณุโลก,นายมานะ อยู่เมือง,3.0
สายบางระกำ-ลานกระบือ,0,เลขที่ 198/2,,8,7000000,,306,306,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ,ซ่อม บำรุง เครื่องมือและอุปกรณ์ ที่ใช้สำหรับงานสำรวจขุดเจาะปิโตรเลียม,1,หนองกุลา,บางระกำ,2000000,พิษณุโลก,ชลัมเบอร์เจอร์โอเวอร์ซีส์ เอส.เอ,17.0
สายบางระกำ-ลานกระบือ,0,เลขที่ 198/2,,9,500000,,307,307,บริษัท โอพีเอส ออยฟิลด์ อีควิปเม้นท์ แอนด์ เซอร์วิสเซส จำกัด,ซ่อมแซมอุปกรณ์ เครื่องจักรสำหรับขุดเจาะปิโตรเลี่ยม,1,หนองกุลา,บางระกำ,3000000,พิษณุโลก,บริษัท โอพีเอส ออยฟิลด์ อีควิปเม้นท์ แอนด์ เซอร์วิสเซส จำกัด,17.0
พิษณุโลก-เด่นชัย,4,เลขที่ 168,,70,4,2250000,308,308,ธนวิน,หีบน้ำมันพืช เช่น ถั่วลิสง เมล็ดนุ่น เมล็ดกระเจี๊ยบ,,ทับยายเชียง,พรหมพิราม,0,พิษณุโลก,นายธนวิน ธนเศรษฐ์ภูมิไพศาล,2.0
พิษณุโลก-เด่นชัย,12000000,เลขที่ 222/3,,24,1000000,,309,309,ห้างหุ้นส่วนจำกัด พิษณุโลก วี.ซี.คอนสรัคชั่น (2535),ซ่อมแซมรถเทรคเตอร์และรถสำหรับใช้ในงานก่อสร้าง,3,ดอนทอง,เมืองพิษณุโลก,1200000,พิษณุโลก,ห้างหุ้นส่วนจำกัด พิษณุโลก วี.ซี.คอนสรัคชั่น (2535),6.0
,0,เลขที่ 120/2,,7,1000000,,310,310,ห้างหุ้นส่วนจำกัด โปรพาร์ท แทรคเตอร์,ซ่อมรถแทรดเตอร์และเครื่องจักรทุกชนิด,0,วัดจันทร์,เมืองพิษณุโลก,6000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด โปรพาร์ท แทรคเตอร์ จำกัด,7.0
สีหราชเดโชชัย,9,เลขที่ 31/7,-,468.83,9,70335000,311,311,บริษัท นำพลอินเตอร์เทรด จำกัด,ผลิต ประกอบ ติดตั้ง ดัดแปลง ซ่อมแซม เครื่องสูบน้ำทุกชนิด และอุปกรณ์ประกอบเครื่องสูบน้ำทุกชนิด ทั้งระบบไฮดรอลิค ระบบไฟฟ้า และระบบเครื่องยนต์,468.83,วัดจันทร์,เมืองพิษณุโลก,0,พิษณุโลก,บริษัท นำพลอินเตอร์เทรด จำกัด,7.0
,10500000,เลขที่ 333,,17,20000000,,312,312,บริษัท อินนิโอ เซาเออร์ จำกัด,ดัดแปลง ซ่อมแซม เครื่องกำเนิดไฟฟ้า,0,วัดพริก,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท เซาเออร์ จำกัด,5.0
,2000000,เลขที่ 323,,4,1000000,,313,313,บริษัท ส.มณีฉายขนส่ง จำกัด,ซ่อมแซม ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์บรรทุก รถพ่วง,0,ดงประคำ,พรหมพิราม,350000,พิษณุโลก,บริษัท ส.มณีฉายขนส่ง จำกัด,4.0
สายพิษณุโลก-นครสวรรค์,80,เลขที่ 230,,455,80,37000000,314,314,บริษัท เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค จำกัด,ซ่อมแซม และประกอบรถบรรทุก รถพ่วง และดัดแปลงสภาพรถยนต์,,บางระกำ,บางระกำ,0,พิษณุโลก,บริษัท เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค จำกัด,2.0
,500000,เลขที่ 26/8,,15,300000,,315,315,บริษัท พี อี เทคนิค จำกัด,ผลิต และซ่อมอุปกรณ์ไฟฟ้าในรถยนต์,44,อรัญญิก,เมืองพิษณุโลก,750000,พิษณุโลก,บริษัท พี.อี.เทคนิค จำกัด,5.0
,300000,เลขที่ 2/3,,5,1000000,,316,316,บริษัท บานาน่าโซไซตี้ จำกัด,ผลิตกล้วยตาก,23,เนินกุ่ม,บางกระทุ่ม,10000000,พิษณุโลก,บริษัท บานาน่าโซไซตี้ จำกัด,4.0
,7000000,เลขที่ 20/5,,6,1000000,,317,317,บริษัท จิราพรฟู๊ด จำกัด,ผลิตกล้วยตาก,29,บางกระทุ่ม,บางกระทุ่ม,2000000,พิษณุโลก,บริษัท จิราพรฟู๊ด จำกัด,3.0
พิษณุโลก-อุตรดิตถ์,45,เลขที่ 217,กวางลี้-อุตรดิตถ์,397.3,167,159879933,318,318,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด,ผลิตภัณฑ์พืช ผัก ผลไม้แช่เย็นหรือแช่แข็ง การถนอนเนื้อสัตว์โดยวิธีทำให้เยือกแข็งโดยฉับพลัน การทำผลิตภัณฑ์สำเร็จรูปจากเนื้อสัตว์,1862.9,ดอนทอง,เมืองพิษณุโลก,122,พิษณุโลก,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด,2.0
,5,เลขที่ 23/3,,231.02,15,18500000,319,319,-,ถนอมผลไม้โดยทำให้เยือกแข็ง การเคลือบผลไม้หรือเปลือกผลไม้ด้วยน้ำตาล,,บางกระทุ่ม,บางกระทุ่ม,10,พิษณุโลก,นางสุภาภรณ์ จูด้วง,3.0
,13259513.6,เลขที่ 119/1,,8,86000000,,320,320,บริษัท เอ็กโซติดฟู้ด จำกัด (มหาชน),การถนอมผักพืช หรือผลไม้โดยวิธีการดอง เช่น พริกดอง,8,ทับยายเชียง,พรหมพิราม,8000000,พิษณุโลก,บริษัท เอ็กโซติคฟู้ด จำกัด (มหาชน),6.0
-,4350000,เลขที่ 239/1,-,18,1800000,,321,321,บริษัท เอ็กซา ซีแลม จำกัด (สาขาพิษณุโลก),เกี่ยวกับเครื่องทางการแพทย์ คือ การทำ ดัดแปลง หรือซ่อมแซมอุปกรณ์ฟันปลอมในห้องทดลอง (ห้องแลปทันตกรรม),16,ดอนทอง,เมืองพิษณุโลก,820000,พิษณุโลก,บริษัท เอ็กซา ซีแลม จำกัด,3.0
,4460000,เลขที่ 279,,5,1000000,,322,322,บริษัท ทอยส์แอนด์จิม จำกัด,"ผลิตเครื่องเล่นสนามกลางแจ้ง ,เครื่องออกกำลังกายกลางแจ้ง",1,ดอนทอง,เมืองพิษณุโลก,1400000,พิษณุโลก,บริษัท ทอยส์แอนด์จิม จำกัด,12.0
,7,เลขที่ 9/9,,439.98,10,36400000,323,323,โรงสีเกียรติ์รุ่งเรือง 999,สีข้าวกำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,,โคกสลุด,บางกระทุ่ม,3,พิษณุโลก,นายฉัตรชัย วิชชุปัญญาพาณิชย์,9.0
พิษณุโลก-วังทอง,0,เลขที่ 169/1,-,6,9495000,,324,324,พรพิษณุ,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 100 เกวียน/วัน),0,สมอแข,เมืองพิษณุโลก,0,พิษณุโลก,นางอมรพร มานะกิจศิริสุทธิ์,4.0
,0,เลขที่ 89,,3,4500000,,325,325,โรงสีไทยเจริญ,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 47 เกวียน/วัน,1,แม่ระกา,วังทอง,7000000,พิษณุโลก,นายเปี่ยมศักดิ์ พลอยกิติกูล,2.0
-,0,เลขที่ 136/4,-,2,5000000,,326,326,รุ่งโรจน์พืชผล,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 135 เกวียน/วัน,0,มะตูม,พรหมพิราม,5500000,พิษณุโลก,นางอินทธิรา ลี้ชัยมงคล,3.0
,30000,เลขที่ ,บ้านบึงรำ,1,1000,,327,327,,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 5 เกวียน/วัน),1,นครป่าหมาก,บางกระทุ่ม,60000,พิษณุโลก,นางมนทิรา ตันพิศมัย,1.0
สันติบันเทิง,5000000,เลขที่ 59/1,,4,600000,,328,328,โรงสีนิพนธ์,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน และอบข้าวเปลือก,0,ไผ่ล้อม,บางกระทุ่ม,5000000,พิษณุโลก,"นายนิรันดร์,เบ็ญจา ลิ้มศิริวงษ์",8.0
พิษณุโลก-สุโขทัย,1000000,เลขที่ 241/1,,3,2000000,,329,329,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 260 เกวียน/วัน),1,บ้านกร่าง,เมืองพิษณุโลก,8000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,1.0
พิษณุโลก-นครสวรรค์,0,เลขที่ 20/2,,2,1000000,,330,330,ห้างหุ้นส่วนจำกัด โชคสันติ,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 198 เกวียน/วัน,2,บ่อทอง,บางระกำ,3000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด โชคสันติ,2.0
บางระกำ-บ่อทอง,500000,เลขที่ 246/3,,2,2000000,,331,331,โรงสี ส.ธนวัฒน์พืชผล,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,0,ปลักแรด,บางระกำ,7000000,พิษณุโลก,บริษัท ส.ธนวัฒน์พืชผล จำกัด,5.0
-,27,เลขที่ 46/1,-,1566.96,32,14200000,332,332,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,สีข้าว ชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าวเป็น 600 เกวียน/วัน ,1154,โคกสลุด,บางกระทุ่ม,5,พิษณุโลก,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,4.0
-,0,เลขที่ 57/1,-,10,10000000,,333,333,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ สาขา 1,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 550 เกวียน/วัน,0,ท่าตาล,บางกระทุ่ม,20000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,7.0
-,37287000,เลขที่ 88/3,-,35,116000000,,334,334,บริษัท บิวตี้ แอนด์ อินเตอร์เนชั่นแนล คอสเมติกส์ จำกัด,ผลิตอาหารเสริม สารสกัดจากพืช,40,ท่าทอง,เมืองพิษณุโลก,10036000,พิษณุโลก,บริษัท บิวตี้ แอนด์ อินเตอร์เนชั่นแนล คอสเมติกส์ จำกัด,3.0
,2000000,เลขที่ 1/18,,5,500000,,335,335,บุศรา เฮลตี้ ฟู้ด,ทำผลิตภัณฑ์อาหารเสริม สารสกัดจากพืช,15,ดอนทอง,เมืองพิษณุโลก,3000000,พิษณุโลก,นางสาวบุศรา บุญขำ,5.0
,2,เลขที่ 74/24,,107.58,17,26000000,336,336,บริษัท ไบโอเฮลท์ โกลบอล จำกัด,ทำผลิตภัณฑ์อาหารเสริม สารสกัดจากพืช,107.58,วัดพริก,เมืองพิษณุโลก,15,พิษณุโลก,บริษัท ไบโอเฮลท์ โกลบอล จำกัด,3.0
,120000,เลขที่ 125/2,,0,15000,,337,337,,ผลิตอาหารสำเร็จรูปจากเมล็ดพืช เช่น เต้าหู้แผ่น,4,บ้านคลอง,เมืองพิษณุโลก,240000,พิษณุโลก,นายอัคฤทธิ์ เชี่ยวชาญทวีกุล,3.0
,2,เลขที่ 50/1,,210,3,4300000,338,338,ส.น้ำพรการเกษตร(ท.พิมเจริญ),ทำมันเส้นและเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตภัณฑ์จากพืชในไซโล โกดัง หรือคลังสินค้า,,บ้านกลาง,วังทอง,1,พิษณุโลก,นายสุชลธพร แก่ข้างพลู,23.0
-,2,เลขที่ 72,-,474,2,4500000,339,339,สหณรงค์ชัย 2009,ทำมันเส้น และเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า,,ไทรย้อย,เนินมะปราง,0,พิษณุโลก,ห้างหุ้นส่วนจำกัด สหณรงค์ชัย 2009,17.0
,150102,เลขที่ 111/1,,7,29000000,,340,340,โรงผลิตน้ำประปาเทศบาลตำบลหัวรอ,ผลิตน้ำประปาเพื่อจำหน่าย,2,หัวรอ,เมืองพิษณุโลก,8391000,พิษณุโลก,บริษัท ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด (มหาชน),4.0
-,6705521.82,เลขที่ 217,-,11,0,,341,341,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,คัดขนาดและบรรจุไข่,9,ปากโทก,เมืองพิษณุโลก,22949824.69,พิษณุโลก,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,2.0
,20,เลขที่ -,,108,23,32000000,342,342,บริษัท บุญศิริโฟรเซ่นโปรดักส์ จำกัด สาขาพิษณุโลก,ห้องเย็น อาหารแช่แข็ง,108,บ้านกร่าง,เมืองพิษณุโลก,3,พิษณุโลก,บริษัท บุญศิริโฟรเซ่นโปรดักส์ จำกัด,1.0
,0,เลขที่ โฉนดที่ดินเลขที่ 210608,,10,3000000,,343,343,บริษัท สยามพล โฟรเซ่นฟู้ดส์ จำกัด,ห้องเย็น เก็บสินค้าแช่แข็ง เช่น สัตว์น้ำ อาหารสำเร็จรูป,0,ท่าทอง,เมืองพิษณุโลก,7000000,พิษณุโลก,บริษัท สยามพล โฟรเซ่นฟู้ดส์ จำกัด,6.0
,9600000,เลขที่ 888,,7,500000,,344,344,บริษัท เสริมทรัพย์ แอนด์ ซัพพลาย 888 จำกัด,ห้องเย็น,7,หัวรอ,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท เสริมทรัพย์ แอนด์ ซัพพลาย 888 จำกัด ,1.0
,2000000,เลขที่ -,,3,1000000,,345,345,บริษัท ต.เตาปูน จำกัด,ห้องเย็น แช่เนื้อสัตว์ เช่น ไก่ ปลา หมู,2,ดอนทอง,เมืองพิษณุโลก,3000000,พิษณุโลก,บริษัท ต.เตาปูน จำกัด,7.0
พิษณุโลก-เด่นชัย,5000000,เลขที่ 149/4,-,8,5000000,,346,346,บริษัท พี.เอฟ.พี. เทรดดิ้ง จำกัด ,ห้องเย็น,2,บ้านป่า,เมืองพิษณุโลก,9000000,พิษณุโลก,บริษัท พี.เอฟ.พี. เทรดดิ้ง จำกัด ,8.0
,1500000,เลขที่ 17/10,,10,0,,347,347,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ห้องแช่เย็น,0,ทับยายเชียง,พรหมพิราม,5611484,พิษณุโลก,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,6.0
สายพิษณุโลก-หล่มสัก,9,เลขที่ 444,,51.06,11,18800000,348,348,บริษัท พิษณุโลกมอเตอร์เซลล์ จำกัด,ซ่อมรถยนต์,51.06,ในเมือง,เมืองพิษณุโลก,2,พิษณุโลก,บริษัท พิษณุโลกมอเตอร์เซลล์ จำกัด,
,1000000,เลขที่ 5,,8,7000000,,349,349,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด สาขานครไทย,ซ่อมบำรุงรถยนต์,6,นครไทย,นครไทย,2500000,พิษณุโลก,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,13.0
,10000000,"เลขที่ โฉนดท่ดิน 179346,179347",,11,5000000,,350,350,บริษัท นิธิบูรณ์ จำกัด,ซ่อมและเคาะพ่นสีรถยนต์,0,ท่าโพธิ์,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท นิธิบูรณ์ จำกัด,6.0
,17,เลขที่ 999,,54.2,21,14739450,351,351,บริษัท วี กรุ๊ป เอไอ พิษณุโลก จำกัด ,ซ่อมและเคาะพ่นสีรถยนต์,54.2,สมอแข,เมืองพิษณุโลก,4,พิษณุโลก,บริษัท วี กรุ๊ป เอไอ พิษณุโลก จำกัด ,9.0
พิษณุโลก-หล่มสัก,5000000,เลขที่ ,,8,500000,,352,352,วรเทพคาร์เซอร์วิส 2005,ซ่อมบำรุง ตั้งศูนย์ล้อรถยนต์ และเคาะ พ่นสีรถยนต์,0,วังทอง,วังทอง,1500000,พิษณุโลก,บริษัท วรเทพออโต้เพ้นท์ จำกัด,14.0
,5000000,"เลขที่ โฉนดที่เลขที่ 29600,29601",,12,3000000,,353,353,ฟอร์ดพิษณุโลก888,ซ่อมพ่นสีรถยนต์,0,อรัญญิก,เมืองพิษณุโลก,2000000,พิษณุโลก,นายรังสรรค์ ชัยรัตน์,3.0
พิษณุโลก-นครสวรรค์,1500000,เลขที่ 9/2,,15,300000,,354,354,อู่ วีไอพี ปรีดา,"ซ่อม,เคาะพ่นสีรถยนต์",3,วัดจันทร์,เมืองพิษณุโลก,50000,พิษณุโลก,บริษัท วีไอพีปรีดาซุปเปอร์คาร์ จำกัด,7.0
สิงหวัฒน์,840000,เลขที่ 19/1,,10,5000000,,355,355,บริษัท อีซูซุ คาร์เซ็นเตอร์เพ้นท์ จำกัด,ซ่อมและพ่นสีรถยนต์,0,บ้านคลอง,เมืองพิษณุโลก,6000000,พิษณุโลก,บริษัท อีซูซุ คาร์เซ็นเตอร์เพ้นท์ จำกัด,4.0
พิษณูโลก-วังทอง,10000000,เลขที่ 999,,10,5000000,,356,356,บริษัท วี กรุ๊ป เอไอ พิษณุโลก จำกัด,ซ่อมรถยนต์,0,สมอแข,เมืองพิษณุโลก,1000000,พิษณุโลก,บริษัท วี กรุ๊ป เอไอ พิษณุโลก จำกัด,9.0
พิชัยสงคราม,27000000,เลขที่ 209/11,,11,2000000,,357,357,บริษัท พิษณุโลกยานยนต์ จำกัด,ซ่อมแซมรถยนต์,1,ในเมือง,เมืองพิษณุโลก,500000,พิษณุโลก,บริษัท พิษณุโลกยานยนต์ จำกัด,0.0
พิษณุโลก-นครสวรรค์,6000000,เลขที่ 333,,4,1000000,,358,358,บริษัท วี กรุ๊ป โอ แอนด์ เจ จำกัด ,ซ่อมรถยนต์,1,ท่าโพธิ์,เมืองพิษณุโลก,3000000,พิษณุโลก,บริษัท วี กรุ๊ป โอ แอนด์ เจ จำกัด ,6.0
สิงหวัตน์,180000000,เลขที่ 555,,35,20000000,,359,359,บริษัท โตโยต้า พรีเมี่ยมพิษณุโลก จำกัด,ซ่อมรถยนต์ และซ่อมตัวถังและสีรถยนต์,8,พลายชุมพล,เมืองพิษณุโลก,15000000,พิษณุโลก,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด,3.0
,8000000,เลขที่ 185,,15,31000000,,360,360,ฟอร์ดสองแคว พิษณุโลก,จำหน่าย รถยนต์และซ่อมรถยนต์,0,สมอแข,เมืองพิษณุโลก,500000,พิษณุโลก,บริษัท อุทัยยนตการ จำกัด,4.0
สายบางระกำ-ลายกระบือ,2000000,เลขที่ 7/3,,17,1000000,,361,361,ห้างหุ้นส่วนจำกัด ณัชชาทรัค,ซ่อมแซมและประกอบรถบรรทุก รถพ่วง และดัดแปลงสภาพรถยนต์,3,บางระกำ,บางระกำ,500000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ณัชชาทรัค,13.0
พิชัยสงคราม,3000000,เลขที่ 333,,9,1000000,,362,362,บริษัท แอล แอนด์ พี แอคเซส จำกัด,ซ่อมและเคาะพ่นสีรถยนต์,0,ในเมือง,เมืองพิษณุโลก,6000000,พิษณุโลก,บริษัท แอล แอนด์ พี แอคเซส จำกัด,
-,50000000,เลขที่ 2222,-,56,35000000,,363,363,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโต้โยต้า จำกัด,ศูนย์บริการ และซ่อมแซมรถยนต์,2,สมอแข,เมืองพิษณุโลก,22000000,พิษณุโลก,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโต้โยต้า จำกัด,7.0
,5500000,เลขที่ 18,,5,8000000,,364,364,สยามศรีรุ่งเรือง,ซ่อมรถยนต์,0,ท่าโพธิ์,เมืองพิษณุโลก,1200000,พิษณุโลก,นางสาวจันทร์จิรา กลิ่นกรุด,10.0
มิตรภาพ,0,เลขที่ 888,-,55,20000000,,365,365,บริษัท ธนรักษ์มอเตอร์ จำกัด,ซ่อมรถยนต์ และพ่นสีรถยนต์,15,สมอแข,เมืองพิษณุโลก,20000000,พิษณุโลก,บริษัท ธนรักษ์มอเตอร์ จำกัด,8.0
สิงหวัฒน์,0,เลขที่ 19/1,,47,5000000,,366,366,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด สาขาที่ (00001),ซ่อมรถยนต์,11,บ้านคลอง,เมืองพิษณุโลก,4221008,พิษณุโลก,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,4.0
พระองค์ขาว,3000000,เลขที่ 600/62,,25,1000000,,367,367,อู่รวมรัตน์การช่าง,ซ่อมรถยนต์ และเคาะพ่นสีรถยนต์,0,ในเมือง,เมืองพิษณุโลก,2000000,พิษณุโลก,บริษัท รวมรัตน์ 88 จำกัด,
,50000000,เลขที่ 111/22,,55,100000000,,368,368,บริษัท โตโยต้า เมืองสองแคว จำกัด,ศูนย์บริการซ่อมบำรุงรถยนต์ และพ่นสีรถยนต์,5,สมอแข,เมืองพิษณุโลก,30000000,พิษณุโลก,บริษัท โตโยต้า เมืองสองแคว จำกัด,4.0
,20000000,เลขที่ 168/8,,13,10000000,,369,369,บริษัท เอช ดี เจ ออโต้ จำกัด,ซ่อมรถยนต์,20,ท่าโพธิ์,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท เอช ดี เจ ออโต้ จำกัด,6.0
,25000000,เลขที่ 168,,13,50000000,,370,370,บริษัท นิธิบูรณ์ จำกัด,ซ่อมรถยนต์,20,ท่าโพธิ์,เมืองพิษณุโลก,20000000,พิษณุโลก,บริษัท นิธิบูรณ์ จำกัด,9.0
สิงหวัฒน์,0,เลขที่ -,,9,1000000,,371,371,บี-ควิก สาขาพิษณุโลก,ซ่อมแซมรถยนต์,2,พลายชุมพล,เมืองพิษณุโลก,4000000,พิษณุโลก,บริษัท บี-ควิก จำกัด,5.0
,1,เลขที่ 257/3,,244.44,1,2420000,372,372,รวมรักษ์ออโต้,ซ่อมแซมรถยนต์ ตั้งศูนย์ถ่วงล้อรถยนต์และกลึงเชื่อม-โลหะทั่วไป,,สมอแข,เมืองพิษณุโลก,0,พิษณุโลก,นายฉัตรณรงค์ อินใย,3.0
พิษณุโลก-หล่มสัก,53000000,เลขที่ 168,,20,20000000,,373,373,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด สาขาที่ (00002),ซ่อมรถยนต์,0,สมอแข,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,1.0
พิษณุโลก-บางระกำ,10500000,เลขที่ 284,,81,500000,,374,374,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,ซ่อมรถยนต์-เคาะพ่นสีรถยนต์,40,ท่าทอง,เมืองพิษณุโลก,4150900,พิษณุโลก,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,10.0
พิษณุโลก-หล่มสัก,30000000,เลขที่ 555,,46,5000000,,375,375,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด,ซ่อมรถยนต์ และพ่นสีรถยนต์,14,สมอแข,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด,8.0
สายพิษณุโลก-บางระกำ,18000000,เลขที่ 279,,25,20000000,,376,376,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,ศูนย์บริการรถบรรทุก และซ่อมแซมรถบรรทุก,5,ท่าโพธิ์,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,6.0
,10,เลขที่ 8,,51.3,11,17500000,377,377,บี-ควิก สาขาโลตัส พิษณุโลก,ศูนย์บริการซ่อมแซมรถยนต์,51.3,อรัญญิก,เมืองพิษณุโลก,1,พิษณุโลก,บริษัท บี-ควิก จำกัด,10.0
พิชัยสงคราม,40,เลขที่ 333,,110.24,48,37000000,378,378,บริษัท แอล แอนด์ พี แอคเซส จำกัด,ซ่อม เคาะพ่นสี และตั้งศูนย์ถ่วงล้อรถยนต์,,ในเมือง,เมืองพิษณุโลก,8,พิษณุโลก,บริษัท แอล แอนด์ พี แอคเซส จำกัด,
,0,เลขที่ 68/4,,23,100000,,379,379,อู่ปรีดา 2,ซ่อม - เคาะพ่นสีรถยนต์,0,พลายชุมพล,เมืองพิษณุโลก,40000,พิษณุโลก,นางสาว ทิพย์สุดา ภู่ศรี,5.0
สิงหวัฒน์,1600000,เลขที่ 139/2,,6,90000,,380,380,บริษัท อริยะอีควิปเม้นท์ จำกัด,ซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์ เช่น รถขุด,0,พลายชุมพล,เมืองพิษณุโลก,831485,พิษณุโลก,บริษัท อริยะอีควิปเม้นท์ จำกัด,5.0
เลี่ยงเมืองพิษณุโลก-วัดโบสถ์,7,เลขที่ 72/2,,68,7,2550000,381,381,อู่วิชัยการช่าง,ซ่อมรถยนต์และเชื่อมกลึงโลหะ,,สมอแข,เมืองพิษณุโลก,0,พิษณุโลก,นายวิชัย คงลา,3.0
,13,เลขที่ 291,,119.15,15,2250000,382,382,อู่ยูงทอง,ซ่อมรถยนต์ และเคาะพ่นสีรถยนต์,,บ้านกร่าง,เมืองพิษณุโลก,2,พิษณุโลก,นายแฉล้ม จันทร์เพ็ง,1.0
พิษณุโลก-นครสวรรค์,3000000,เลขที่ 97,,9,2000000,,383,383,บริษัท เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัล จำกัด ,ซ่อมแซมและประกอบรถยนต์ รถพ่วง และดัดแปลงสภาพรถยนต์,0,บางระกำ,บางระกำ,1000000,พิษณุโลก,บริษัท  เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค จำกัด ,10.0
