จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
42212,314,2564,เรียนหนังสือ,ชาย,3,ชลบุรี
103172,315,2564,อื่น ๆ,ชาย,3,ชลบุรี
765424,316,2564,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
472415,317,2564,ผู้มีงานทำ,หญิง,3,ชลบุรี
5349,318,2564,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,319,2564,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
133232,320,2564,ทำงานบ้าน,หญิง,3,ชลบุรี
43804,321,2564,เรียนหนังสือ,หญิง,3,ชลบุรี
110624,322,2564,อื่น ๆ,หญิง,3,ชลบุรี
757953,323,2564,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
582411,324,2564,ผู้มีงานทำ,ชาย,4,ชลบุรี
7466,325,2564,ผู้ว่างงาน,ชาย,4,ชลบุรี
0,326,2564,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
17659,327,2564,ทำงานบ้าน,ชาย,4,ชลบุรี
34314,328,2564,เรียนหนังสือ,ชาย,4,ชลบุรี
116103,329,2564,อื่น ๆ,ชาย,4,ชลบุรี
767111,330,2564,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
456292,331,2564,ผู้มีงานทำ,หญิง,4,ชลบุรี
8800,332,2564,ผู้ว่างงาน,หญิง,4,ชลบุรี
670,333,2564,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
139789,334,2564,ทำงานบ้าน,หญิง,4,ชลบุรี
61787,335,2564,เรียนหนังสือ,หญิง,4,ชลบุรี
99774,336,2564,อื่น ๆ,หญิง,4,ชลบุรี
753004,337,2565,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
572483,338,2565,ผู้มีงานทำ,ชาย,1,ชลบุรี
940,339,2565,ผู้ว่างงาน,ชาย,1,ชลบุรี
0,340,2565,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
9441,341,2565,ทำงานบ้าน,ชาย,1,ชลบุรี
60697,342,2565,เรียนหนังสือ,ชาย,1,ชลบุรี
145984,343,2565,อื่น ๆ,ชาย,1,ชลบุรี
