จำนวน,_id,ปี,เพศ,ไตรมาส,อาชีพ
" 1,609 ",192,2563,หญิง                        ,ไตรมาส 2,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 2,142 ",193,2563,หญิง                        ,ไตรมาส 3,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 5,081 ",194,2563,หญิง                        ,ไตรมาส 4,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 2,980 ",195,2563,หญิง                        ,เฉลี่ย 4 ไตรมาส,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 11,883 ",196,2563,รวม,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,995 ",197,2563,รวม,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 8,499 ",198,2563,รวม,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 11,532 ",199,2563,รวม,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 9,977 ",200,2563,รวม,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 3,943 ",201,2563,ชาย                         ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 1,623 ",202,2563,ชาย                         ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 2,123 ",203,2563,ชาย                         ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 4,430 ",204,2563,ชาย                         ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 3,030 ",205,2563,ชาย                         ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,940 ",206,2563,หญิง                        ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 6,372 ",207,2563,หญิง                        ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 6,376 ",208,2563,หญิง                        ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,102 ",209,2563,หญิง                        ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 6,948 ",210,2563,หญิง                        ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 3,778 ",211,2563,รวม,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 5,091 ",212,2563,รวม,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
