VALUE,ST_GRADUATE,SOURCE,_id,EDUCATION_LEVEL,UNIT,YEAR,LABOUR_STATUS
115902,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,144,รวม (Total),คน,2564,ผู้ว่างงาน
2628178,รวม,สำนักงานสถิติแห่งชาติ,145,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,รวม
2427344,รวม,สำนักงานสถิติแห่งชาติ,146,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,รวม
5055522,รวม,สำนักงานสถิติแห่งชาติ,147,รวม (Total),คน,2565,รวม
1542474,รวม,สำนักงานสถิติแห่งชาติ,148,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1539846,รวม,สำนักงานสถิติแห่งชาติ,149,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3082320,รวม,สำนักงานสถิติแห่งชาติ,150,รวม (Total),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1271325,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,151,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1039725,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,152,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2311050,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,153,รวม (Total),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
271149,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,154,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
500121,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,155,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
771270,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,156,รวม (Total),คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1040395,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,157,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,ทำงานด้านอื่น
839370,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,158,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,ทำงานด้านอื่น
1879765,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,159,รวม (Total),คน,2565,ทำงานด้านอื่น
45309,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,160,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2565,ผู้ว่างงาน
48128,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,161,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2565,ผู้ว่างงาน
93437,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,162,รวม (Total),คน,2565,ผู้ว่างงาน
2754945,รวม,สำนักงานสถิติแห่งชาติ,163,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,รวม
2397483,รวม,สำนักงานสถิติแห่งชาติ,164,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,รวม
5152428,รวม,สำนักงานสถิติแห่งชาติ,165,รวม (Total),คน,2566,รวม
1605223,รวม,สำนักงานสถิติแห่งชาติ,166,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1521578,รวม,สำนักงานสถิติแห่งชาติ,167,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3126801,รวม,สำนักงานสถิติแห่งชาติ,168,รวม (Total),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1312074,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,169,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
998799,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,170,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2310873,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,171,รวม (Total),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
293149,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,172,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
522779,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,173,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
815928,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,174,รวม (Total),คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1113655,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,175,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,ทำงานด้านอื่น
838255,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,176,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,ทำงานด้านอื่น
1951910,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,177,รวม (Total),คน,2566,ทำงานด้านอื่น
36067,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,178,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2566,ผู้ว่างงาน
37650,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,179,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2566,ผู้ว่างงาน
73717,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,180,รวม (Total),คน,2566,ผู้ว่างงาน
2725735,รวม,สำนักงานสถิติแห่งชาติ,181,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,รวม
2377233,รวม,สำนักงานสถิติแห่งชาติ,182,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,รวม
5102968,รวม,สำนักงานสถิติแห่งชาติ,183,รวม (Total),คน,2567,รวม
1574638,รวม,สำนักงานสถิติแห่งชาติ,184,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1501396,รวม,สำนักงานสถิติแห่งชาติ,185,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3076034,รวม,สำนักงานสถิติแห่งชาติ,186,รวม (Total),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1298569,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,187,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
982967,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,188,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2281536,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,189,รวม (Total),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
276069,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,190,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
518429,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,191,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
794498,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,192,รวม (Total),คน,2567,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1108044,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,193,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,ทำงานด้านอื่น
834633,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,194,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,ทำงานด้านอื่น
1942677,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,195,รวม (Total),คน,2567,ทำงานด้านอื่น
43053,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,196,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2567,ผู้ว่างงาน
41204,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,197,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2567,ผู้ว่างงาน
84257,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,198,รวม (Total),คน,2567,ผู้ว่างงาน
2675634,รวม,สำนักงานสถิติแห่งชาติ,199,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,รวม
2311267,รวม,สำนักงานสถิติแห่งชาติ,200,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,รวม
4986901,รวม,สำนักงานสถิติแห่งชาติ,201,รวม (Total),คน,2568,รวม
1566293,รวม,สำนักงานสถิติแห่งชาติ,202,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1451195,รวม,สำนักงานสถิติแห่งชาติ,203,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3017488,รวม,สำนักงานสถิติแห่งชาติ,204,รวม (Total),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1291432,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,205,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
953988,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,206,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2245420,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,207,รวม (Total),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
274862,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,208,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
497207,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,209,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
772069,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,210,รวม (Total),คน,2568,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1077919,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,211,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,ทำงานด้านอื่น
826112,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,212,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,ทำงานด้านอื่น
1904031,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,213,รวม (Total),คน,2568,ทำงานด้านอื่น
31422,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,214,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2568,ผู้ว่างงาน
33960,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,215,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2568,ผู้ว่างงาน
65382,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,216,รวม (Total),คน,2568,ผู้ว่างงาน
