ที่มา,ชนิดของพืชผัก,_id,ปี,ข้อมูล,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,110,2565, 546.00 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,111,2565," 1,724.30 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,112,2565, 225.89 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,113,2565," 4,224.75 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,114,2565, 420.60 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,115,2565," 2,756.45 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,116,2565, 588.50 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,117,2565, 137.25 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,118,2565, 6.63 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,119,2565, 27.25 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,120,2565," 21,227.80 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,121,2565," 1,582.30 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,122,2565," 1,448.20 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,123,2565," 3,993.00 ",ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),124,2565, 310.56 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,125,2565, 665.10 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,126,2565, 8.15 ,ผลผลิต,ตัน
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,127,2565, 815.18 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,128,2565," 1,761.29 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,129,2565," 1,750.56 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,130,2565," 1,123.83 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,131,2565," 1,914.68 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,132,2565," 1,453.85 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,133,2565," 2,493.06 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,134,2565, 615.59 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,135,2565, 141.71 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,136,2565, 400.60 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,137,2565, 681.25 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,138,2565," 1,223.15 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,139,2565," 1,923.18 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,140,2565," 2,167.96 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,141,2565," 2,867.50 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),142,2565," 1,545.07 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,143,2565," 1,039.62 ",ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,144,2565, 861.52 ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม/ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,145,2566, 65.22 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,146,2566, 340.84 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,147,2566," 1,319.27 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,148,2566, 263.13 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,149,2566," 2,400.30 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,150,2566, 315.84 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,151,2566," 1,312.50 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,152,2566," 1,039.50 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,153,2566, 211.05 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,154,2566, 19.95 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,155,2566, 47.25 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,156,2566," 18,456.15 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,157,2566, 894.10 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,158,2566, 704.55 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,159,2566," 1,523.13 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),160,2566, 215.25 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,161,2566, 682.50 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,162,2566, 15.33 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,163,2566, 62.80 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,164,2566, 335.50 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,165,2566," 1,264.25 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,166,2566, 256.05 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,167,2566," 2,316.83 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,168,2566, 303.77 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,169,2566," 1,160.93 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,170,2566," 1,003.80 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,171,2566, 205.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,172,2566, 18.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,173,2566, 42.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,174,2566," 18,222.75 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,175,2566, 863.89 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,176,2566, 701.40 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,177,2566," 1,462.13 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),178,2566, 211.05 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,179,2566, 671.74 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,180,2566, 14.33 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,181,2566, 48.25 ,ผลผลิต,ตัน
