วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-06-07T00:00:00,168,GI(E) 3-937,บริษัท ดีทีเอส แดร็คเซิลไมเออร์ ออโทโมทีฟ ซีสเท็มส์ (ประเทศไทย) จำกัด,168,2566-07-07T00:00:00,ชลบุรี
2569-06-07T00:00:00,169,GI(E) 3-940,บริษัท แมกน่า ออโตโมทีฟ (ประเทศไทย) จำกัด,169,2566-07-07T00:00:00,ชลบุรี
2569-09-07T00:00:00,170,GI(E) 3-943,บริษัท โรโตเมทริกส์ (เอสอี เอเซีย) จำกัด,170,2566-10-07T00:00:00,ชลบุรี
2569-10-07T00:00:00,171,GI(E) 3-948,บริษัท เอ.ไอ.เทคโนโลยี จำกัด,171,2566-11-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,172,GI(E) 3-950,บริษัท สยาม โอคาเมะ จำกัด,172,2566-12-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,173,GI(E) 3-951,บริษัท เอส อาร์ เอ็น ซาวด์ พรู๊ฟ จำกัด,173,2566-12-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,174,GI(E) 3-955,บริษัท ฮิโดรเม็ก คอนสรัคชั่น อิควิปเม้นท์ (ประเทศไทย) จำกัด,174,2566-12-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,175,GI(E) 3-957,บริษัท โทเซอิ (ประเทศไทย) จำกัด,175,2566-12-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,176,GI(E) 3-961,บริษัท ซียูอีแอล จำกัด,176,2566-12-07T00:00:00,ชลบุรี
2569-11-07T00:00:00,177,GI(E) 3-962,บริษัท ซียูอีแอล จำกัด,177,2566-12-07T00:00:00,ชลบุรี
2569-12-07T00:00:00,178,GI(E) 3-969,บริษัท สยามสโตน แอ๊กกริแกรท จำกัด,178,2566-07-13T00:00:00,ชลบุรี
2569-07-13T00:00:00,179,GI(E) 3-979,บริษัท อุชิมูระ (ประเทศไทย) จำกัด,179,2566-07-14T00:00:00,ชลบุรี
2569-07-13T00:00:00,180,GI(E) 3-983,บริษัท ไดกิ อลูมิเนียม อินดัสทรี (ประเทศไทย) จำกัด,180,2566-07-14T00:00:00,ชลบุรี
2569-07-17T00:00:00,181,GI(E) 3-989,บริษัท อดัมแพค (ประเทศไทย) จำกัด,181,2566-07-18T00:00:00,ชลบุรี
