VALUE,QUARTER,AREA,SOURCE,_id,REG,UNIT,YEAR,EDUCATIONAL
2.15,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,129,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
1495.1,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,130,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,มัธยมศึกษาตอนปลาย สายสามัญ
249.99,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,131,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
511.13,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,132,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,อุดมศึกษา สายวิชาการ
205.26,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,133,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,อุดมศึกษา สายวิชาการศึกษา
365.71,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,134,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,อุดมศึกษา สายวิชาชีพ
0.89,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,135,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,ไม่ทราบ
190.7,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,136,ภาคตะวันออกเฉียงเหนือ,พันคน,2563, อุดมศึกษา สายวิชาชีพ
585.3,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,137,ภาคกลาง,พันคน,2563, อุดมศึกษา สายวิชาชีพ
379.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,138,ภาคใต้,พันคน,2563, อุดมศึกษา สายวิชาการ
115.4,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,139,ภาคตะวันออกเฉียงเหนือ,พันคน,2563, มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1201.5,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,140,ภาคกลาง,พันคน,2563, มัธยมศึกษาตอนปลาย สายสามัญ
1303.9,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,141,ภาคใต้,พันคน,2563, ประถมศึกษา
