industry,_id,year,value,unit,source
การขายส่ง และการขายปลีก การซ่อมยานยนต์,227,2566,17.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,228,2566,3.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,229,2566,7.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,230,2566,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,231,2566,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,232,2566,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,233,2566,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,234,2566,1.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,235,2566,4.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,236,2566,2.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,237,2566,2.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,238,2566,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,239,2566,2.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,240,2566,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,241,2566,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,242,2566,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,243,2567,5.85,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,244,2567,0.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,245,2567,21.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,246,2567,0.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,247,2567,0.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,248,2567,8.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,249,2567,15.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,250,2567,3.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,251,2567,6.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,252,2567,0.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,253,2567,2.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,254,2567,0.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,255,2567,1.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,256,2567,2.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,257,2567,13.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,258,2567,7.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,259,2567,4.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,260,2567,0.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,261,2567,2.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,262,2567,1.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,263,2567,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,264,2567,0.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
