ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,71,2567,สุวรรณภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,72,2567,เมืองสรวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,73,2567,โพนทราย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,74,2567,อาจสามารถ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"46,007.00",75,2567,เมยวดี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,76,2567,ศรีสมเด็จ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,77,2567,จังหาร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,78,2567,เชียงขวัญ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,79,2567,หนองฮี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,80,2567,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,81,2568,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"12,105.00",82,2568,เกษตรวิสัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"1,734.75",83,2568,ปทุมรัตต์,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"4,006.08",84,2568,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,85,2568,ธวัชบุรี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,86,2568,พนมไพร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"286,802.88",87,2568,โพนทอง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"21,912.00",88,2568,โพธิ์ชัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"306,012.00",89,2568,หนองพอก,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,90,2568,เสลภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,91,2568,สุวรรณภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,92,2568,เมืองสรวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,93,2568,โพนทราย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,94,2568,อาจสามารถ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"184,127.00",95,2568,เมยวดี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,96,2568,ศรีสมเด็จ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,97,2568,จังหาร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,98,2568,เชียงขวัญ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,99,2568,หนองฮี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,100,2568,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
