จำนวน,ประเภท,ที่มา,_id,ปี,หน่วยนับ,ชนิด,รายการข้อมูล,จังหวัด
259,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,117,2565,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
6996,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,118,2565,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,119,2565,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,120,2565,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,121,2565,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,122,2565,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
6,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,123,2565,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,124,2565,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,125,2565,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,126,2565,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
51793,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,127,2565,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
5009,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,128,2565,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
45,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,129,2565,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
174,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,130,2565,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
37,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,131,2565,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,132,2565,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
31,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,133,2565,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
95,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,134,2565,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
15,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,135,2565,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
640,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,136,2565,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2094,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,137,2565,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,138,2565,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
14950,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,139,2566,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
230,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,140,2566,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
4821,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,141,2566,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,142,2566,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,143,2566,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,144,2566,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,145,2566,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
5,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,146,2566,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,147,2566,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,148,2566,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,149,2566,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
48479,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,150,2566,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3815,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,151,2566,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
30,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,152,2566,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
71,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,153,2566,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
42,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,154,2566,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,155,2566,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
28,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,156,2566,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
96,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,157,2566,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
13,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,158,2566,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
367,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,159,2566,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1911,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,160,2566,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,161,2566,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
