จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
21768,158,2561,ลูกจ้างเอกชน,หญิง,เชียงราย,แรงงานนอกระบบ,คน
10,159,2561,นายจ้าง,ชาย,แม่ฮ่องสอน,แรงงานในระบบ,คน
123,160,2561,ประกอบธุรกิจส่วนตัว,ชาย,แม่ฮ่องสอน,แรงงานในระบบ,คน
198,161,2561,ช่วยธุรกิจครัวเรือน,ชาย,แม่ฮ่องสอน,แรงงานในระบบ,คน
7972,162,2561,ลูกจ้างรัฐบาล,ชาย,แม่ฮ่องสอน,แรงงานในระบบ,คน
2651,163,2561,ลูกจ้างเอกชน,ชาย,แม่ฮ่องสอน,แรงงานในระบบ,คน
31,164,2561,นายจ้าง,หญิง,แม่ฮ่องสอน,แรงงานในระบบ,คน
85,165,2561,ประกอบธุรกิจส่วนตัว,หญิง,แม่ฮ่องสอน,แรงงานในระบบ,คน
52,166,2561,ช่วยธุรกิจครัวเรือน,หญิง,แม่ฮ่องสอน,แรงงานในระบบ,คน
5962,167,2561,ลูกจ้างรัฐบาล,หญิง,แม่ฮ่องสอน,แรงงานในระบบ,คน
3030,168,2561,ลูกจ้างเอกชน,หญิง,แม่ฮ่องสอน,แรงงานในระบบ,คน
349,169,2561,นายจ้าง,ชาย,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
29177,170,2561,ประกอบธุรกิจส่วนตัว,ชาย,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
15329,171,2561,ช่วยธุรกิจครัวเรือน,ชาย,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
131,172,2561,ลูกจ้างรัฐบาล,ชาย,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
6589,173,2561,ลูกจ้างเอกชน,ชาย,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
213,174,2561,นายจ้าง,หญิง,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
9489,175,2561,ประกอบธุรกิจส่วนตัว,หญิง,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
28251,176,2561,ช่วยธุรกิจครัวเรือน,หญิง,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
487,177,2561,ลูกจ้างรัฐบาล,หญิง,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
1974,178,2561,ลูกจ้างเอกชน,หญิง,แม่ฮ่องสอน,แรงงานนอกระบบ,คน
535,179,2561,นายจ้าง,ชาย,นครสวรรค์,แรงงานในระบบ,คน
2426,180,2561,ประกอบธุรกิจส่วนตัว,ชาย,นครสวรรค์,แรงงานในระบบ,คน
24116,181,2561,ลูกจ้างรัฐบาล,ชาย,นครสวรรค์,แรงงานในระบบ,คน
45911,182,2561,ลูกจ้างเอกชน,ชาย,นครสวรรค์,แรงงานในระบบ,คน
334,183,2561,นายจ้าง,หญิง,นครสวรรค์,แรงงานในระบบ,คน
546,184,2561,ประกอบธุรกิจส่วนตัว,หญิง,นครสวรรค์,แรงงานในระบบ,คน
1091,185,2561,ช่วยธุรกิจครัวเรือน,หญิง,นครสวรรค์,แรงงานในระบบ,คน
22885,186,2561,ลูกจ้างรัฐบาล,หญิง,นครสวรรค์,แรงงานในระบบ,คน
37341,187,2561,ลูกจ้างเอกชน,หญิง,นครสวรรค์,แรงงานในระบบ,คน
5443,188,2561,นายจ้าง,ชาย,นครสวรรค์,แรงงานนอกระบบ,คน
98207,189,2561,ประกอบธุรกิจส่วนตัว,ชาย,นครสวรรค์,แรงงานนอกระบบ,คน
46461,190,2561,ช่วยธุรกิจครัวเรือน,ชาย,นครสวรรค์,แรงงานนอกระบบ,คน
1300,191,2561,ลูกจ้างรัฐบาล,ชาย,นครสวรรค์,แรงงานนอกระบบ,คน
50251,192,2561,ลูกจ้างเอกชน,ชาย,นครสวรรค์,แรงงานนอกระบบ,คน
