﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2558,ชาย,ไตรมาส 3,116,นอกเขตเทศบาล,ทั่วประเทศ,79.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,117,ในเขตเทศบาล,กรุงเทพมหานคร,78.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,118,รวม,ภาคกลาง,80.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,119,ในเขตเทศบาล,ภาคกลาง,79.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,120,นอกเขตเทศบาล,ภาคกลาง,81.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,121,รวม,ภาคเหนือ,76.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,122,ในเขตเทศบาล,ภาคเหนือ,74.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,123,นอกเขตเทศบาล,ภาคเหนือ,78.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,124,รวม,ภาคตะวันออกเฉียงเหนือ,76.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,125,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,73.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,126,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,78.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,127,รวม,ภาคใต้,80.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,128,ในเขตเทศบาล,ภาคใต้,78.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,129,นอกเขตเทศบาล,ภาคใต้,81.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 4,130,รวม,ทั่วประเทศ,78.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 4,131,ในเขตเทศบาล,ทั่วประเทศ,77.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 4,132,นอกเขตเทศบาล,ทั่วประเทศ,80.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 4,133,ในเขตเทศบาล,กรุงเทพมหานคร,78.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,134,รวม,ภาคเหนือ,78.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,135,ในเขตเทศบาล,ภาคเหนือ,74.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,136,นอกเขตเทศบาล,ภาคเหนือ,80.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,137,รวม,ภาคตะวันออกเฉียงเหนือ,78.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,138,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,74.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,139,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,79.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,140,รวม,ภาคใต้,82.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,141,ในเขตเทศบาล,ภาคใต้,79.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,142,นอกเขตเทศบาล,ภาคใต้,83.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,143,รวม,ทั่วประเทศ,79.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,144,ในเขตเทศบาล,ทั่วประเทศ,77.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,145,นอกเขตเทศบาล,ทั่วประเทศ,80.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,146,ในเขตเทศบาล,กรุงเทพมหานคร,77.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,147,รวม,ภาคกลาง,81.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,148,ในเขตเทศบาล,ภาคกลาง,80.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,149,นอกเขตเทศบาล,ภาคกลาง,81.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,150,รวม,ภาคเหนือ,77.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,151,ในเขตเทศบาล,ภาคเหนือ,73.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,152,นอกเขตเทศบาล,ภาคเหนือ,79.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,153,รวม,ภาคตะวันออกเฉียงเหนือ,77.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,154,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,73.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,155,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,78.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,156,รวม,ภาคใต้,82.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,157,ในเขตเทศบาล,ภาคใต้,79.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 4,158,นอกเขตเทศบาล,ภาคใต้,83.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,159,รวม,ทั่วประเทศ,78.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,160,ในเขตเทศบาล,ทั่วประเทศ,77.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,161,นอกเขตเทศบาล,ทั่วประเทศ,79.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,162,ในเขตเทศบาล,กรุงเทพมหานคร,79.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,163,รวม,ภาคกลาง,80.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,164,ในเขตเทศบาล,ภาคกลาง,79.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,165,นอกเขตเทศบาล,ภาคกลาง,81.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,166,รวม,ภาคเหนือ,76.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,167,ในเขตเทศบาล,ภาคเหนือ,73.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,168,นอกเขตเทศบาล,ภาคเหนือ,78.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,169,รวม,ภาคตะวันออกเฉียงเหนือ,75.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,170,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,73.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,171,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,76.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,172,รวม,ภาคใต้,81.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,173,ในเขตเทศบาล,ภาคใต้,79.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 1,174,นอกเขตเทศบาล,ภาคใต้,82.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,175,รวม,ทั่วประเทศ,78.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
