_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
179,อ2-28(1)-75/64พล,บริษัท ฐานะภัณฑ์ จำกัด,6.5,ลบ.ม.
180,3-34(1)-1/45พล,นายสุรกิต ภูมิผล,0.8,ลบ.ม.
181,3-34(1)-2/30พล,นางสาวพนมพร บุญญพันธ์โสภณ,0.8,ลบ.ม.
182,3-34(1)-44/47พล,นายเอนก คงไขยกุล,0.6,ลบ.ม.
183,3-34(1)-64/54พล,นายวัศพล เพชรเนียม,0.6,ลบ.ม.
184,จ3-34(1)-16/60พล,นายธนาวุทธ เรียงแรง,4,ลบ.ม.
185,จ3-34(1)-51/54พล,นางสาวอัปสร ฤกดิ์ดี,2,ลบ.ม.
186,จ3-34(2)-104/52พล,นางชมบุญ เพชรทอง,2,ลบ.ม.
187,จ3-34(2)-16/62พล,นางสีนวล น้อยมา,1.5,ลบ.ม.
188,จ3-34(2)-51/51พล,นายศุภวัฒน์ ธาราวัชรศวสตร์,2,ลบ.ม.
189,3-34(4)-24/61พล,บริษัท โคลเวอร์ เชื้อเพลิงทดแทน จำกัด,0.5,ลบ.ม.
190,3-34(4)-44/64พล,นายสราวุฒิ ภูมิพล,0.4,ลบ.ม.
191,จ3-34(4)-13/49พล,บริษัท พิษณุโลก วู๊ดชิพ จำกัด,1.1,ลบ.ม.
192,จ3-36(4)-1/55พล,นางสาวพิกุล  มาอุ่น,3,ลบ.ม.
193,จ3-36(4)-2/55พล,นายสุรินทร์ ยรรยง,5,ลบ.ม.
194,จ3-37-201/50พล,นางลัดดา โกเมศมุนีบริรักษ์,1,ลบ.ม.
195,จ3-37-271/48พล,บริษัท เคแอนด์เค พาราวู้ด จำกัด,3,ลบ.ม.
196,จ3-37-273/49พล,นางกชกร ตันติวงศ์กานต์,1,ลบ.ม.
197,จ3-37-4/48พล,กรมราชทัณฑ์,28,ลบ.ม.
198,จ3-37-83/62พล,ห้างหุ้นส่วนจำกัด มีดี เฟอร์นิเจอร์ น็อคดาวน์,1,ลบ.ม.
199,จ3-42(1)-17/61พล,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,6,ลบ.ม.
200,จ3-43(1)-18/60พล,บริษัท ดินเน็ทเวิร์ค(ประเทศไทย) จำกัด,2,ลบ.ม.
201,จ3-43(1)-76/51พล,บริษัท เพิซ โปรเทคชั่นกรุ๊ป จำกัด,2.5,ลบ.ม.
202,จ3-43(3)-1/52พล,ห้างหุ้นส่วนจำกัด ทิพย์พรรณนาเพื่อนเกษตร,2,ลบ.ม.
203,จ2-47(3)-24/64พล,บริษัท ณัฐธรา บิสสิเนส จำกัด,7,ลบ.ม.
204,3-50(1)-1/36พล,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),20,ลบ.ม.
205,จ3-50(4)-27/47พล,บริษัท พี.เค.เอส.37 ยูเนี่ยนคอนสตรัคชั่น จำกัด,20,ลบ.ม.
206,จ3-50(4)-27/51พล,ห้างหุ้นส่วนจำกัด ใบบริบาล,21,ลบ.ม.
207,จ3-50(4)-40/54พล,ห้างหุ้นส่วนจำกัด สมควรการโยธา,20.2,ลบ.ม.
208,จ3-50(4)-5/62พล,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,20.5,ลบ.ม.
