ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
 568 ,สำนักงานขนส่งจังหวัดมหาสารคาม,34,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 109 ,สำนักงานขนส่งจังหวัดมหาสารคาม,35,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 148 ,สำนักงานขนส่งจังหวัดมหาสารคาม,36,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 13,233 ",สำนักงานขนส่งจังหวัดมหาสารคาม,37,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 3,761 ",สำนักงานขนส่งจังหวัดมหาสารคาม,38,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,472 ",สำนักงานขนส่งจังหวัดมหาสารคาม,39,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,40,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 806 ,สำนักงานขนส่งจังหวัดมหาสารคาม,41,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 547 ,สำนักงานขนส่งจังหวัดมหาสารคาม,42,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 109 ,สำนักงานขนส่งจังหวัดมหาสารคาม,43,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
