จำนวน,_id,ปี,ชนิดของพืชไม้ผล,รายการ
268,182,2565,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
304.984,183,2565,องุ่น,ผลผลิต (ตัน)
1138,184,2565,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7879,185,2565,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
7135,186,2565,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
22682.165,187,2565,ปาล์มน้ำมัน,ผลผลิต (ตัน)
3179,188,2565,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2265.5,189,2565,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
1746,190,2565,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
225.234,191,2565,ยางพารา,ผลผลิต (ตัน)
129,192,2565,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2216,193,2565,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
0,194,2565,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
0,195,2565,ยูคาลิปตัส,ผลผลิต (ตัน)
0,196,2565,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
3032.25,197,2565,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2622.25,198,2565,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
7604.525,199,2565,ผักหวานป่า,ผลผลิต (ตัน)
2900,200,2565,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
6387.5,201,2566,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
5887.5,202,2566,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
14143.76,203,2566,กล้วยหอม,ผลผลิต (ตัน)
2214.29,204,2566,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1730.83,205,2566,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
1435.83,206,2566,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
2483.12,207,2566,กล้วยน้ำว้า,ผลผลิต (ตัน)
1434.64,208,2566,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2316.75,209,2566,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
2302.75,210,2566,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
1646.47,211,2566,น้อยหน่า,ผลผลิต (ตัน)
710.68,212,2566,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7322,213,2566,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
5140,214,2566,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
3053.16,215,2566,มะม่วง,ผลผลิต (ตัน)
594,216,2566,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
352.25,217,2566,มะขาม,เนื้อที่เพาะปลูก (ไร่)
229,218,2566,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
178.62,219,2566,มะขาม,ผลผลิต (ตัน)
507.08,220,2566,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
572,221,2566,องุ่น,เนื้อที่เพาะปลูก (ไร่)
383,222,2566,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
445,223,2566,องุ่น,ผลผลิต (ตัน)
777.97,224,2566,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5792.25,225,2566,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
4012.75,226,2566,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
12379.33,227,2566,ปาล์มน้ำมัน,ผลผลิต (ตัน)
2137.22,228,2566,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1122.25,229,2566,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
572.25,230,2566,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
78.01,231,2566,ยางพารา,ผลผลิต (ตัน)
69.51,232,2566,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2546,233,2566,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
344,234,2566,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
1499.84,235,2566,ยูคาลิปตัส,ผลผลิต (ตัน)
589.1,236,2566,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2369,237,2566,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2139,238,2566,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
1029.86,239,2566,ผักหวานป่า,ผลผลิต (ตัน)
434.72,240,2566,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
