ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
115108,สำนักงานสถิติจังหวัดมหาสารคาม,58,2563,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
45336,สำนักงานสถิติจังหวัดมหาสารคาม,59,2563,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
69772,สำนักงานสถิติจังหวัดมหาสารคาม,60,2563,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
267828,สำนักงานสถิติจังหวัดมหาสารคาม,61,2564,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
96951,สำนักงานสถิติจังหวัดมหาสารคาม,62,2564,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
170877,สำนักงานสถิติจังหวัดมหาสารคาม,63,2564,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
65676,สำนักงานสถิติจังหวัดมหาสารคาม,64,2564,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
4228,สำนักงานสถิติจังหวัดมหาสารคาม,65,2564,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
61448,สำนักงานสถิติจังหวัดมหาสารคาม,66,2564,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
81354,สำนักงานสถิติจังหวัดมหาสารคาม,67,2564,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
36361,สำนักงานสถิติจังหวัดมหาสารคาม,68,2564,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
44993,สำนักงานสถิติจังหวัดมหาสารคาม,69,2564,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
120798,สำนักงานสถิติจังหวัดมหาสารคาม,70,2564,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
59362,สำนักงานสถิติจังหวัดมหาสารคาม,71,2564,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
64436,สำนักงานสถิติจังหวัดมหาสารคาม,72,2564,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
285443,สำนักงานสถิติจังหวัดมหาสารคาม,73,2564,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
104152,สำนักงานสถิติจังหวัดมหาสารคาม,74,2564,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
