province,sex,quarter,occupation,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,92,2566,283256,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,เสมียน,93,2566,300664,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,พนักงานบริการและผู้จำหน่ายสินค้า,94,2566,902340,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,95,2566,10991,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,96,2566,147195,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,97,2566,154782,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,ผู้ประกอบอาชีพงานพื้นฐาน,98,2566,462739,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 3,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,99,2566,11321,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,รวมยอด,100,2566,5721180,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,101,2566,384578,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ,102,2566,539193,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,103,2566,544673,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,เสมียน,104,2566,450521,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,พนักงานบริการและผู้จำหน่ายสินค้า,105,2566,1642704,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,106,2566,23056,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,107,2566,665117,,คน,สำนักงานสถิติแห่งชาติ
