_id,ปี,ชื่อโรงงาน,ชื่อเจ้าของ,ประกอบกิจการ,อำเภอ,จังหวัด
61,2565,โรงน้ำแข็งแสนอุดม,โรงน้ำแข็งแสนอุดม,ทำน้ำแข็งซอง,สัตหีบ,ชลบุรี
62,2565,โรงน้ำแข็ง เค.โอ.สัตหีบ,โรงน้ำแข็ง เค.โอ.สัตหีบ,ผลิตน้ำแข็งก้อนเล็ก,สัตหีบ,ชลบุรี
63,2565,บริษัท ตะวันออกเคมีเกิ้ล จำกัด,บริษัท ตะวันออกเคมีเกิ้ล จำกัด,"ผลิตเอทธิลแอลกอฮอล์ ได้เดือนละ 3,037,500 ลิตร",บ้านบึง,ชลบุรี
64,2565,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน),บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน),"ผลิตเอทานอล เพื่อใช้เป็นเชื้อเพลิง กำลังการผลิต 150,000 ลิตรต่อวัน",หนองใหญ่,ชลบุรี
65,2565,บริษัท ซิลเวอร์เลค วินยาร์ด จำกัด,บริษัท ซิลเวอร์เลค วินยาร์ด จำกัด,ผสมสุราผลไม้,สัตหีบ,ชลบุรี
66,2565,บริษัท แอลเคเอ็น คอมโมดิตี้ จำกัด ,บริษัท แอลเคเอ็น คอมโมดิตี้ จำกัด ,ผลิตและจำหน่ายสินค้า สิ่งทอ ปั้ม ฉีด ขึ้นรูป ชิ้นงานจากพลาสติก อะคริลิค สินค้าอุตสาหกรรม,บางละมุง,ชลบุรี
67,2565,บริษัท ศรีรุ่งเรือง โกลบอล จำกัด,บริษัท ศรีรุ่งเรือง โกลบอล จำกัด,ผลิตถุงมือทอ,บ้านบึง,ชลบุรี
68,2565,บริษัท ยู ไอ พี จำกัด,บริษัท ยู ไอ พี จำกัด,ทำถุงมือจากผ้าและอื่นๆ,เมืองชลบุรี,ชลบุรี
69,2565,บริษัท ชลบุรี นิตติ้ง (ไทยแลนด์) จำกัด,บริษัท ชลบุรี นิตติ้ง (ไทยแลนด์) จำกัด,ผลิตเสื้อไหมพรมถักทอทุกชนิด,เมืองชลบุรี,ชลบุรี
70,2565,บริษัท บางกอกโตเกียว ซ็อคส์ จำกัด,บริษัท บางกอกโตเกียว ซ็อคส์ จำกัด,ทอถุงเท้า,ศรีราชา,ชลบุรี
