ประเภทโรงงาน,วิธีการกำจัดกาก,_id,หน่วย,ประเภทหรือชนิดโรงงาน,ปริมาณกากอันตราย,ปี,อำเภอ
46(2),21,83,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,150,2566,พัฒนานิคม
46(2),42,84,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"52,471.00",2566,พัฒนานิคม
46(2),49,85,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"55,201.00",2566,พัฒนานิคม
46(2),73,86,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"1,583.00",2566,พัฒนานิคม
46(2),75,87,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"12,583.00",2566,พัฒนานิคม
53(1),42,88,กิโลกรัม,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,"13,620.00",2566,พัฒนานิคม
53(1),65,89,กิโลกรัม,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,"16,860.00",2566,พัฒนานิคม
53(1),73,90,กิโลกรัม,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,"1,050.00",2566,พัฒนานิคม
56,42,91,กิโลกรัม,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ (architectural terracotta) รองในเตาไฟท่อหรือยอดปล่องไฟ หรือวัตถุทนไฟ จากดินเหนียว,"473,480.00",2566,พัฒนานิคม
56,49,92,กิโลกรัม,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ (architectural terracotta) รองในเตาไฟท่อหรือยอดปล่องไฟ หรือวัตถุทนไฟ จากดินเหนียว,"13,160.00",2566,พัฒนานิคม
57(1),42,93,กิโลกรัม,การทำซีเมนต์ ปูนขาว หรือปูนปลาสเตอร์,"1,790.00",2566,พัฒนานิคม
59,49,94,กิโลกรัม,	โรงงานประกอบกิจการเกี่ยวกับการถลุง หลอม หล่อ รีด ดึง หรือผลิตเหล็ก หรือเหล็กกล้าในขั้นต้น (iron and steel basic industries),"2,147,790.00",2566,พัฒนานิคม
88(1),73,95,กิโลกรัม,"การผลิตพลังงานไฟฟ้าจาก พลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า หรือส่วนหนึ่งส่วนใดบนอาคารซึ่งบุคคลอาจเข้าอยู่หรือใช้สอยไดโดยมีขนาดกำลังการผลิตติดตั้ง สูงสุดรวมกันของแผงเซลล์แสงอาทิตย์ไม่เกิน 1,000 กิโลวัตต์","10,220.00",2566,พัฒนานิคม
95(1),21,96,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,300,2566,พัฒนานิคม
95(1),42,97,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"31,763.00",2566,พัฒนานิคม
95(1),49,98,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"7,374.00",2566,พัฒนานิคม
100(6),33,99,กิโลกรัม,การอบชุบด้วยความร้อน (heat treatment),328.8,2566,หนองม่วง
100(6),53,100,กิโลกรัม,การอบชุบด้วยความร้อน (heat treatment),"186,190.00",2566,หนองม่วง
100(6),73,101,กิโลกรัม,การอบชุบด้วยความร้อน (heat treatment),"23,170.00",2566,หนองม่วง
33,42,102,กิโลกรัม,โรงงานผลิตรองเท้า หรือชิ้นส่วนของรองเท้า ซึ่งมิได้ทำจากไม้ ยางอบแข็ง ยางอัดเข้ารูป หรือพลาสติกอัดเข้ารูป,"33,040.00",2566,หนองม่วง
64(12),42,103,กิโลกรัม,การตัด พับ หรือม้วนโลหะ,"8,760.00",2566,หนองม่วง
64(14),42,104,กิโลกรัม,การทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะตาม (1) ถึง (10),"2,273.00",2566,หนองม่วง
64(14),73,105,กิโลกรัม,การทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะตาม (1) ถึง (10),847,2566,หนองม่วง
2(1),75,106,กิโลกรัม,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,460,2567,เมืองลพบุรี
42(1),41,107,กิโลกรัม,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมีที่มิใช่ (3),"3,920.00",2567,เมืองลพบุรี
42(1),42,108,กิโลกรัม,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมีที่มิใช่ (3),"27,090.00",2567,เมืองลพบุรี
42(1),49,109,กิโลกรัม,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมีที่มิใช่ (3),"7,250.00",2567,เมืองลพบุรี
42(1),73,110,กิโลกรัม,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมีที่มิใช่ (3),410,2567,เมืองลพบุรี
53(4),42,111,กิโลกรัม,การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,"25,900.00",2567,เมืองลพบุรี
53(4),73,112,กิโลกรัม,การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,760,2567,เมืองลพบุรี
53(5),42,113,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"3,259.00",2567,เมืองลพบุรี
53(5),73,114,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,161,2567,เมืองลพบุรี
58(3),49,115,กิโลกรัม,การทำผลิตภัณฑ์จากหิน,"1,120.00",2567,เมืองลพบุรี
64(10),49,116,กิโลกรัม,การทำผลิตภัณฑ์โลหะสำเร็จรูป ด้วยวิธีเคลือบหรือลงรัก (enamelling japanning or lacquering) ซุบหรือขัด,"12,710.00",2567,เมืองลพบุรี
72,39,117,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"3,701.10",2567,เมืองลพบุรี
72,42,118,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"1,242,390.00",2567,เมืองลพบุรี
72,44,119,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"385,240.00",2567,เมืองลพบุรี
72,49,120,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"103,054.60",2567,เมืองลพบุรี
72,51,121,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"33,041.00",2567,เมืองลพบุรี
72,65,122,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"29,780.00",2567,เมืองลพบุรี
72,73,123,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"26,340.00",2567,เมืองลพบุรี
72,75,124,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"61,710.00",2567,เมืองลพบุรี
72,76,125,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"249,670.00",2567,เมืองลพบุรี
72,42,126,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,660,2567,เมืองลพบุรี
95(1),21,127,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"2,500.00",2567,เมืองลพบุรี
95(1),42,128,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"143,978.00",2567,เมืองลพบุรี
95(1),49,129,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"3,967.10",2567,เมืองลพบุรี
95(3),42,130,กิโลกรัม,การพ่นสีกันสนิม ยานที่ขับเคลื่อนด้วยเครื่องยนต์,600,2567,เมืองลพบุรี
106,65,131,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,"43,650.00",2567,โคกสำโรง
88(1),73,132,กิโลกรัม,"การผลิตพลังงานไฟฟ้าจาก พลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า หรือส่วนหนึ่งส่วนใดบนอาคารซึ่งบุคคลอาจเข้าอยู่หรือใช้สอยไดโดยมีขนาดกำลังการผลิตติดตั้ง สูงสุดรวมกันของแผงเซลล์แสงอาทิตย์ไม่เกิน 1,000 กิโลวัตต์","39,000.00",2567,โคกสำโรง
17,33,133,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,"10,831.00",2567,ชัยบาดาล
17,49,134,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,"3,616.50",2567,ชัยบาดาล
2(11),42,135,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"2,160.00",2567,ชัยบาดาล
2(11),49,136,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"1,191.00",2567,ชัยบาดาล
2(11),73,137,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,420,2567,ชัยบาดาล
2(11),75,138,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"1,690.00",2567,ชัยบาดาล
4(1),33,139,กิโลกรัม,การฆ่าสัตว์,768,2567,ชัยบาดาล
4(3),33,140,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,140.9,2567,ชัยบาดาล
46(2),39,141,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"4,050.00",2567,ชัยบาดาล
46(2),75,142,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,"1,140.00",2567,ชัยบาดาล
88(2),49,143,กิโลกรัม,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,"8,540.00",2567,ชัยบาดาล
9(2),41,144,กิโลกรัม,การทำแป้ง,"1,780.00",2567,ชัยบาดาล
95(1),21,145,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"1,530.00",2567,ชัยบาดาล
95(1),42,146,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"54,363.00",2567,ชัยบาดาล
95(1),49,147,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,490,2567,ชัยบาดาล
22(1),42,148,กิโลกรัม,การหมัก คาร์บอไนซ์ สาง หวี รีด ปั่น อบ ควบ บิดเกลียว กรอ เท็กเจอร์ไรซ์ ฟอก หรือย้อมสีเส้นใย,"6,890.00",2567,ท่าวุ้ง
22(1),73,149,กิโลกรัม,การหมัก คาร์บอไนซ์ สาง หวี รีด ปั่น อบ ควบ บิดเกลียว กรอ เท็กเจอร์ไรซ์ ฟอก หรือย้อมสีเส้นใย,315,2567,ท่าวุ้ง
44,39,150,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,210,2567,ท่าวุ้ง
44,41,151,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"2,550.00",2567,ท่าวุ้ง
44,42,152,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"62,640.00",2567,ท่าวุ้ง
44,76,153,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"9,930.00",2567,ท่าวุ้ง
53(4),41,154,กิโลกรัม,การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,"1,740.00",2567,ท่าวุ้ง
53(5),39,155,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,210,2567,ท่าวุ้ง
53(5),41,156,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"1,730.00",2567,ท่าวุ้ง
53(5),42,157,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"9,470.00",2567,ท่าวุ้ง
11(3),75,158,กิโลกรัม,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,"4,048.00",2567,ท่าหลวง
