ค่าข้อมูล,การศึกษาที่สาเร็จ,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
41788,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,121,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
18042,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,122,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
23746,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,123,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
17464,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,124,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
10883,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,125,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
6581,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,126,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8294,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,127,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
2764,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,128,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5529,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,129,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,130,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,131,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,132,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,133,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,134,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,135,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
388721,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,136,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
211858,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,137,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
176863,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,138,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
463,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,139,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
