ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,13,12,สมุทรปราการ,12,88/96,498,2561,บางปลา,3-105-79/61สป,บริษัท ท็อป ลิงค์ เอ็นไวรอนเม้นท์ทอล โพรเทคชั่น เทคโนโลยี จำกัด,5201,บริษัท ท็อป ลิงค์ เอ็นไวรอนเม้นท์ทอล โพรเทคชั่น เทคโนโลยี จำกัด,3,10540
นำใยมะพร้าวมาอัดแผ่นเพื่อนำไปใช้เป็นวัตถุดิบ,บางพลี,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,ตำหรุ-บางพลี,,10100000000000,7,10,สมุทรปราการ,12,โฉนดที่ดินเลขที่ 99900,1418,2560,บางปลา,3-106-90/60สป,บริษัท ออแกนิค โคโค่ จำกัด,5202,บริษัท ออแกนิค โคโค่ จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัดเศษโลหะ,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,-,10100000000000,5,12,สมุทรปราการ,5,53/18,123,2547,บางพลีใหญ่,3-105-93/47สป,บริษัท ทีเอส เมททัล ซัพพลาย จำกัด ,5203,บริษัท ทีเอส เมททัล ซัพพลาย จำกัด,3,10540
ส่วนผสมอาหารสัตว์,บางเสาธง,1502,การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอย,,,10100000000000,800,92,สมุทรปราการ,16,172/6,6579.38,2562,บางเสาธง,3-15(2)-1/62สป,บริษัท พีโอซี จำกัด,5204,บริษัท พีโอซี จำกัด,3,10570
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เทพารักษ์,ที่ดินไทย,10100000000000,107,70,สมุทรปราการ,23,46/11-12,175.5,2559,บางพลีใหญ่,3-105-106/59สป,บริษัท เจ.เจ.สยามอินเตอร์ เทเลวิชั่น จำกัด,5205,บริษัท เจ.เจ.สยามอินเตอร์ เทเลวิชั่น จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เทพารักษ์,ที่ดินไทย,10100000000000,39,32,สมุทรปราการ,5,53/11,583,2560,บางพลีใหญ่,3-105-107/60สป,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,5206,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,3,10540
ฟอก-ย้อมผ้า,พระประแดง,2203,การฟอก ย้อมสี หรือแต่งสำเร็จด้ายหรือสิ่งทอ,สุขสวัสดิ์,,10100000000000,2.5,27,สมุทรปราการ,2,28,2877.5,2531,บางครุ,3-22(3)-1/31สป,ห้างหุ้นส่วนจำกัด โรงงานฟอกย้อมเอเซีย,5207,ห้างหุ้นส่วนจำกัด โรงงานฟอกย้อมเอเซีย,3,10130
ชุบสังกะสี,บางเสาธง,10005,"การชุบเคลือบผิว (Plating, Anodizing)",เทพารักษ์,,10100000000000,7,44,สมุทรปราการ,1,174,1141.05,2528,บางเสาธง,3-100(5)-2/28สป,ห้างหุ้นส่วนจำกัด อี.แซด.พี.,5208,ห้างหุ้นส่วนจำกัด อี.แซด.พี.,3,10570
ทำตาข่ายเหล็ก และตาข่ายทองเหลือง,พระประแดง,6402,การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,สุขสวัสดิ์,กลับเจริญ 1,10100000000000,4.2,5,สมุทรปราการ,7,107,366.98,2517,บางจาก,3-64(2)-1/17สป,บริษัท วาย.แอล.เอช.เอ็กซแพนด์ เมททัล จำกัด,5209,บริษัท วาย.แอล.เอช.เอ็กซแพนด์ เมททัล จำกัด,3,10130
หลอมหล่อโลหะ,พระประแดง,6000,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,ปู่เจ้าสมิงพราย,,10100000000000,0.4,60,สมุทรปราการ,9,18,243.2,2520,สำโรงกลาง,3-60-1/20สป,ห้างหุ้นส่วนจำกัด โรงหล่อไทยพัฒนา,5210,ห้างหุ้นส่วนจำกัด โรงหล่อไทยพัฒนา,3,10130
ทำน๊อต สกรู และชุบโลหะ,บางพลี,6403,การทำผลิตภัณฑ์ด้วยเครื่องอัดชนิดเกลียว,บางนา-ตราด กม.13.5,,10100000000000,29,8,สมุทรปราการ,4,71/10,1436.2,2523,บางโฉลง,3-64(3)-1/23สป,บริษัท ไทยสินสกรูอุตสาหกรรม จำกัด,5211,บริษัท ไทยสินสกรูอุตสาหกรรม จำกัด,3,10540
ทาภาชนะบรรจุจากพลาสติก เช่น ขวดพลาสติก,พระสมุทรเจดีย์,5304,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,สุขสวัสดิ์,,10100000000000,14.3,8,สมุทรปราการ,3,193/9,106.24,2534,ปากคลองบางปลากด,3-53(4)-1/34สป,บริษัท นิภาพล จำกัด,5212,บริษัท นิภาพล จำกัด,3,10290
"ผลิตพื้นรองเท้ายาง ได้ปีละ 180,000 คู่",เมืองสมุทรปราการ,5202,การหั่น ผสม รีดให้เป็นแผ่น หรือตัดแผ่นยางธรรมชาติซึ่งมิใช่การทำสวนยางหรือป่า,ตำหรุ-บางพลี,,10100000000000,0.9101,15,สมุทรปราการ,4,820,381.9,2535,บางปูใหม่,3-52(2)-1/35สป,ห้างหุ้นส่วนจำกัด บี.ไอ.ซี.รับเบอร์,5213,ห้างหุ้นส่วนจำกัด บี.ไอ.ซี.รับเบอร์,3,10280
ทำเม็ดพลาสติกแม่สี,เมืองสมุทรปราการ,5305,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,เทพารักษ์,เทวา 2,10100000000000,17.898212,15,สมุทรปราการ,3,819,454.82,2536,เทพารักษ์,3-53(5)-1/36สป,บริษัท ต้าจงพิกเมนท์ (ไทยแลนด์) จำกัด,5214,บริษัท ต้าจงพิกเมนท์ (ไทยแลนด์) จำกัด,3,10270
"ผลิตลูกถ้วยไฟฟ้า ได้ปีละ 1,570 ตัน",บางบ่อ,5400,โรงงานผลิตแก้ว เส้นใยแก้ว หรือผลิตภัณฑ์แก้ว,บางบ่อ-คลองด่าน,,10100000000000,74,202,สมุทรปราการ,3,515,1169.35,2537,คลองด่าน,3-54-1/37สป,บริษัท สแตนดาร์ด อินซูเลเตอร์ จำกัด,5215,บริษัท สแตนดาร์ด อินซูเลเตอร์ จำกัด,3,10550
"รีดผ้าและตบแต่งผ้า ได้ 250,000 หลาต่อปี",พระประแดง,2203,การฟอก ย้อมสี หรือแต่งสำเร็จด้ายหรือสิ่งทอ,สุขสวัสดิ์,สุขาภิบาล 15,10100000000000,8.4,48,สมุทรปราการ,8,172,3407.47,2522,บางครุ,3-22(3)-1/22สป,บริษัท บางกอกเท็กซ์ไทล์ อินดัสทรี จำกัด,5216,บริษัท บางกอกเท็กซ์ไทล์ อินดัสทรี จำกัด,3,10130
"ผสมน้ำมันหล่อลื่นได้ 150,000 ลิตร/วัน และจาระบีได้ 76,000 กิโลกรัม/วัน",พระประแดง,5004,การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,ทรงธรรม,วิธานธรรมวัตร,10100000000000,640.26727,128,สมุทรปราการ,11,135/5,2657.28,2526,ทรงคนอง,3-50(4)-1/26สป,บริษัท น้ำมันปิโตรเลียมไทย จำกัด,5217,บริษัท น้ำมันปิโตรเลียมไทย จำกัด,3,10130
ผสมสีบรรจุใส่กระป๋องสเปรย์และสีน้ำมัน,บางเสาธง,4501,การทำสีสำหรับใช้ทา พ่น หรือเคลือบ,เทพารักษ์,,10100000000000,116,137,สมุทรปราการ,15,906,1716.5,2540,บางเสาธง,3-45(1)-1/40สป,บริษัท กัปตัน โค๊ทติ้ง จำกัด,5218,บริษัท กัปตัน โค๊ทติ้ง จำกัด,3,10570
ซัก อบ รีด เสื้อผ้า,บางพลี,9800,โรงงานซักรีด ซักแห้ง ซักฟอก รีด อัด หรือย้อมผ้า หรือนุ่งห่ม พรม หรือขนสัตว์,บางนา-ตราด,พูลเจริญ,10100000000000,25,55,สมุทรปราการ,6,52/5,3320.6,2543,บางโฉลง,3-98-1/43สป,บริษัท แกรนด์ เซ็นทรัล ลอนดรี้ จำกัด,5219,บริษัท แกรนด์ เซ็นทรัล ลอนดรี้ จำกัด,3,10540
ตัดเย็บเครื่องนุ่งห่มสำเร็จรูป และตุ๊กตาผ้า จำนวนจักรรวม 96 เครื่อง,เมืองสมุทรปราการ,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,สุขุมวิท,,10100000000000,2.7,122,สมุทรปราการ,1,274,37.5,2523,บางปูใหม่,3-28(1)-2/23สป,ห้างหุ้นส่วนจำกัด กษมา,5220,ห้างหุ้นส่วนจำกัด กษมา,3,10280
ทำผลิตภัณฑ์พลาสติก เช่น ฝาขวดกาแฟ ขวดพลาสติก,เมืองสมุทรปราการ,5304,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,สุขุมวิท,อภิชาติ,10100000000000,2.97,13,สมุทรปราการ,4,348,418.21,2526,เทพารักษ์,3-53(4)-2/26สป,ห้างหุ้นส่วนจำกัด โรงงานสำโรงพลาสติก,5221,ห้างหุ้นส่วนจำกัด โรงงานสำโรงพลาสติก,3,10270
"ผลิตสารพลาสติกไซเซอร์ (DOP,DINP)",บางพลี,4803,การทำผลิตภัณฑ์สำหรับกันน้ำ ตัวทำให้เปียกน้ำ ตัวทำให้ตีเข้าด้วยกันได้ ตัวทำให้ซึม,เทพารักษ์,,10100000000000,62.39,78,สมุทรปราการ,3,115/9,2484.7,2534,บางพลีใหญ่,3-48(3)-2/34สป,บริษัท ไมด้า เคมิคอล จำกัด,5222,บริษัท ไมด้า เคมิคอล จำกัด,3,10540
ผลิตท่อพลาสติกสำหรับร้อยสายเคเบิ้ล,พระสมุทรเจดีย์,5305,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,สุขสวัสดิ์,วัดชังเรือง,10100000000000,100,58,สมุทรปราการ,6,233,2532.89,2537,ในคลองบางปลากด,3-53(5)-2/37สป,บริษัท ไทยไฟเบอร์ออพติคส์ จำกัด,5223,บริษัท ไทยไฟเบอร์ออพติคส์ จำกัด,3,10290
ทำผลิตภัณฑ์พลาสติก เช่น วาล์ว ข้อต่อ ฝาครอบหน้าแปลนจากโลหะ และผลิตวาล์ว ข้อต่อ ข้องอ ข้อลด ข้อต่อสามทาง ฝาครอบหน้าแปลนจากยาง,บางพลี,5301,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือเครื่องประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์,บางนา-ตราด กม.13.5,วัดบางพลีใหญ่,10100000000000,95,41,สมุทรปราการ,12,223,1973.07,2533,บางพลีใหญ่,3-53(1)-9/33สป,บริษัท ที.ที.ซี อุตสาหกรรม จำกัด,5224,บริษัท ที.ที.ซี อุตสาหกรรม จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบ่อ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,เก้าแสน,10100000000000,19.9,25,สมุทรปราการ,2,208,455,2561,บางเพรียง,3-105-11/61สป,บริษัท หวางเสี่ยวตง อิเล็กทรอนิกส์ จำกัด,5225,บริษัท หวางเสี่ยวตง อิเล็กทรอนิกส์ จำกัด,3,10560
นำเศษวัสดุไม่ใช้แล้วที่ไม่เป็นอันตรายมาคัดแยกและนำกลับมาใช้ใหม่ บดย่อยเศษพลาสติกและทำเม็ดพลาสติกจากพลาสติกใช้แล้ว,บางพลี,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,บางพลี-ตำหรุ,สุนทรวิภาค,10100000000000,17,25,สมุทรปราการ,12,46267,475.57,2554,บางปลา,3-106-19/54สป,บริษัท มั่นคงรีไซเคิล จำกัด,5226,บริษัท มั่นคงรีไซเคิล จำกัด,3,10540
กรองน้ำมันพืชหรือน้ำมันจากสัตว์ที่ใช้แล้วเพื่อนำไปเป็นส่วนผสมอาหารสำหรับสัตว์ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,บางพลี-ตำหรุ,กาญจนพันธ์,10100000000000,17,11,สมุทรปราการ,2,798,180,2560,แพรกษาใหม่,3-106-55/60สป,บริษัท เอแอนด์อาร์ รีช เอ็นเตอร์ไพร์ส จำกัด,5227,บริษัท เอแอนด์อาร์ รีช เอ็นเตอร์ไพร์ส จำกัด,3,10280
นำโลหะบัดกรีชนิดไม่มีสารตะกั่วมาแยกสกัดดีบุกบริสุทธิ์และหลอมเป็นแท่งดีบุก,บางพลี,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,ตำหรุ-คลองเก้า,-,10100000000000,22.29395,15,สมุทรปราการ,13,46167,416.07,2560,บางปลา,3-106-58/60สป,บริษัท เอส เอ็น รีไฟเนอร์ จำกัด,5228,บริษัท เอส เอ็น รีไฟเนอร์ จำกัด,3,10540
ผลิตแผ่นอะคริลิค,บางพลี,5305,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,เทพารักษ์,ธนสิทธิ์,10100000000000,15,90,สมุทรปราการ,12,15827,6389,2569,บางปลา,3-53(5)-49/69สป,บริษัท เหยียนฟาง เทคโนโลยี จำกัด,5229,บริษัท เหยียนฟาง เทคโนโลยี จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,พระสมุทรเจดีย์,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ประชาอุทิศ-คลองสวน,,10100000000000,11,7,สมุทรปราการ,1,299,312,2562,บ้านคลองสวน,3-105-35/62สป,บริษัท ยู.เอ็ม.อาร์ คอนซัลแตนท์ จำกัด,5230,บริษัท ยู.เอ็ม.อาร์ คอนซัลแตนท์ จำกัด,3,10290
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบ่อ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,ดีพร้อมพัฒนา,10100000000000,5,20,สมุทรปราการ,12,999/8,465,2566,คลองด่าน,3-105-51/66สป,นางสาวศิริพร  สุวรรณวิชนี,5231,นางสาวศิริพร   สุวรรณวิชนี,3,10550
"ทอผ้าและปั่นด้าย จำนวนเครื่องทอ 614 เครื่อง จำนวนแกนปั่นด้าย41,512 แกน",พระประแดง,2202,การทอหรือการเตรียมเส้นด้ายยืน สำหรับทอ,สุขสวัสดิ์,,10100000000000,152.812,356,สมุทรปราการ,5,29,3691.04,2515,บางจาก,3-22(2)-34/15สป,บริษัท เมโทร สปินนิ่ง จำกัด,5232,บริษัท เมโทรสปินนิ่ง จำกัด,3,10130
ทอผ้า ขยายการปั่นด้าย,พระสมุทรเจดีย์,2202,การทอหรือการเตรียมเส้นด้ายยืน สำหรับทอ,สุขสวัสดิ์,วัดคู่สร้าง,10100000000000,58,140,สมุทรปราการ,6,222,4818.35,2533,ในคลองบางปลากด,3-22(2)-39/33สป,บริษัท ดับเบิ้ลสตาร์ อินดัสตรี้ จำกัด,5233,บริษัท ดับเบิ้ลสตาร์ อินดัสตรี้ จำกัด,3,10290
ผลิตน้ำมันเชื้อเพลิงจากเศษพลาสติกเก่าโดยวิธี (Pyrolysis),บางพลี,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,เทพารักษ์,-,10100000000000,165,30,สมุทรปราการ,9,117/45,4491.2,2560,บางปลา,3-106-42/60สป,บริษัท วีเอโอ เอเนอร์จี จำกัด,5234,บริษัท วีเอโอ เอเนอร์จี จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,พระประแดง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ปู่เจ้าสมิงพราย,วัดบางหญ้าแพรก,10100000000000,2,0,สมุทรปราการ,5,39/4,112,2549,บางหญ้าแพรก,3-105-44/49สป,ห้างหุ้นส่วนจำกัด ไพบูลย์พาณิชย์ ค้าของเก่า,5235,ห้างหุ้นส่วนจำกัด ไพบูลย์พาณิชย์ ค้าของเก่า,3,10130
ซ่อมและทำความสะอาดถังเก่า,เมืองสมุทรปราการ,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,สุขุมวิท,วิทยุการบิน,10100000000000,1.89,52,สมุทรปราการ,5,909/3,40,2547,ท้ายบ้านใหม่,3-106-47/47สป,ห้างหุ้นส่วนจำกัด ภูริทัต โปรดัคส์,5236,ห้างหุ้นส่วนจำกัด ภูริทัต โปรดัคส์,3,10280
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางเสาธง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เทพารักษ์,-,10100000000000,0,10,สมุทรปราการ,1,140/ก,63,2553,บางเสาธง,3-105-47/53สป,บริษัท ที อาร์ ซี บิสชิเนส จำกัด,5237,บริษัท ที อาร์ ซี บิสชิเนส จำกัด,3,10570
ทำน้ำแข็งก้อนเล็ก,พระสมุทรเจดีย์,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สุขสวัสดิ์,,10100000000000,23,12,สมุทรปราการ,8,33/6,1585.5,2557,ในคลองบางปลากด,3-14-50/57สป,ห้างหุ้นส่วนจำกัด เทียนกิจสมบูรณ์,5238,ห้างหุ้นส่วนจำกัด เทียนกิจสมบูรณ์,3,10290
ผลิตภาชนะบรรจุที่ทำจากพลาสติก,พระสมุทรเจดีย์,5304,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,คลองสวน-บ้านล่าง,-,10100000000000,160,90,สมุทรปราการ,3,891,5315,2556,บ้านคลองสวน,3-53(4)-51/56สป,บริษัท คลินท์แพค จำกัด,5239,บริษัท คลินท์แพค จำกัด,3,10290
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,45,28,สมุทรปราการ,15,88/89,268,2567,บางปลา,3-105-3/67สป,บริษัท ตง ปิง พลาสติก จำกัด,5240,บริษัท ตง ปิง พลาสติก จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,17,10,สมุทรปราการ,12,88/57,138,2566,บางปลา,3-105-14/66สป,บริษัท โกเวลล์ เอ็นจิเนียริ่ง แอนด์ เทรดดิ้ง จำกัด,5241,บริษัท โกเวลล์ เอ็นจิเนียริ่ง แอนด์ เทรดดิ้ง จำกัด,3,10540
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางพลี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,15,10,สมุทรปราการ,21,899/44,420,2562,บางพลีใหญ่,3-105-9/62สป,บริษัท แอล อาร์ เค โกลบอล จำกัด,5242,บริษัท แอล อาร์ เค โกลบอล จำกัด,3,10540
เป็นผู้ผลิตสติกเกอร์(Sticker) ลาเบล(Label) เนมเพลท(Name Plate),บางเสาธง,4101,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,เทพารักษ์,สุขาภิบาล 1,10100000000000,486,292,สมุทรปราการ,1,883,2181.1,2566,บางเสาธง,3-41(1)-4/66สป,บริษัท ฮินซิซึ (ประเทศไทย) จำกัด (มหาชน),5243,บริษัท ฮินซิซึ (ประเทศไทย) จำกัด (มหาชน),3,10570
คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางเสาธง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,20,12,สมุทรปราการ,6,46242,297,2568,บางเสาธง,3-105-20/68สป,บริษัท วี.พี.โลหะกิจ จำกัด,5244,บริษัท วี.พี.โลหะกิจ จำกัด,3,10570
คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,บางพลี-ตำหรุ,สุนทรวิภาศ,10100000000000,30,17,สมุทรปราการ,2,44,433,2565,แพรกษาใหม่,3-105-22/65สป,บริษัท ลี่หยวน เทรดดิ้ง จำกัด,5245,บริษัท ลี่หยวน เทรดดิ้ง จำกัด,3,10280
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ท้ายบ้าน,,10100000000000,53.5,20,สมุทรปราการ,2,248,571.4,2565,ท้ายบ้าน,3-105-26/65สป,บริษัท พี.ซี.ไอ.กรุ๊ป จำกัด,5246,บริษัท พี.ซี.ไอ.กรุ๊ป จำกัด,3,10280
หลอมหล่อและรีดลวดทองแดง,พระสมุทรเจดีย์,6000,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,ประชาอุทิศ-วัดคู่สร้าง,,10100000000000,35,17,สมุทรปราการ,10,234,2285.4,2562,ในคลองบางปลากด,3-60-3/62สป,บริษัท เดอะควอลิตี้ไวร์ จำกัด,5247,บริษัท เดอะควอลิตี้ไวร์ จำกัด,3,10290
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบ่อ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,บางพลีน้อย-สีล้ง,,10100000000000,12,20,สมุทรปราการ,1,72/9,420,2563,บ้านระกาศ,3-105-47/63สป,บริษัท เอ็น แอนด์ ดับบลิว สยามพลาสติก จำกัด,5248,บริษัท เอ็น แอนด์ ดับบลิว สยามพลาสติก จำกัด,3,10560
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เมืองสมุทรปราการ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,20,12,สมุทรปราการ,3,599,455,2562,บางปู,3-105-36/62สป,ห้างหุ้นส่วนจำกัด เอก ฟองน้ำ,5249,ห้างหุ้นส่วนจำกัด เอก ฟองน้ำ,3,10280
คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,สุขุมวิท,เทศบาลบางปู 88 ,10100000000000,19,26,สมุทรปราการ,1,โฉนดที่ดินเลขที่ 4189,117,2566,บางปูใหม่,3-105-57/66สป,บริษัท บี๊ก ทรี โปรเกรส จำกัด,5250,บริษัท บิ๊ก ทรี โปรเกรส จำกัด,3,10280
รีไซเคิลของเสียอันตราย ผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้ว เช่น ตัวทำละลาย จากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่,พระสมุทรเจดีย์,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,สุขสวัสดิ์,คู่สร้าง,10100000000000,100,20,สมุทรปราการ,1,299/86,1932,2567,ปากคลองบางปลากด,3-106-54/67สป,บริษัท เอเซีย แปซิฟิค ปิโตรเคมิคอล จำกัด,5251,บริษัท เอเซีย แปซิฟิค ปิโตรเคมิคอล จำกัด,3,10290
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10100000000000,12,11,สมุทรปราการ,2,127,314.4,2567,แพรกษาใหม่,3-105-77/67สป,บริษัท เศรษฐการริช จำกัด ,5252,บริษัท เศรษฐการริช จำกัด,3,10280
