ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
" 424,250 ","387,004",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  กรุงเทพมหานคร                    ,75,2565," 435,248 "," 410,671 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 333,441 ","365,639",อื่น ๆ,  กรุงเทพมหานคร                    ,76,2565," 377,157 "," 375,147 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 195,101 ","222,110",อื่น ๆ,  กรุงเทพมหานคร                    ,77,2565," 249,669 "," 230,861 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 138,340 ","143,530",อื่น ๆ,  กรุงเทพมหานคร                    ,78,2565," 127,488 "," 144,287 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,636,851 ","1,639,282",ทำงานบ้าน,     ภาคกลาง                          ,79,2565," 1,619,698 "," 1,587,522 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 104,975 ","115,802",ทำงานบ้าน,     ภาคกลาง                          ,80,2565," 106,549 "," 97,385 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,531,875 ","1,523,479",ทำงานบ้าน,     ภาคกลาง                          ,81,2565," 1,513,149 "," 1,490,137 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,264,113 ","1,344,829",เรียนหนังสือ,     ภาคกลาง                          ,82,2565," 1,259,398 "," 1,317,090 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 588,998 ","625,191",เรียนหนังสือ,     ภาคกลาง                          ,83,2565," 580,251 "," 616,206 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 675,115 ","719,638",เรียนหนังสือ,     ภาคกลาง                          ,84,2565," 679,147 "," 700,884 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,928,811 ","1,786,846",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคกลาง                          ,85,2565," 1,969,744 "," 1,882,957 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 818,166 ","741,010",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคกลาง                          ,86,2565," 804,955 "," 769,179 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,110,645 ","1,045,836",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคกลาง                          ,87,2565," 1,164,788 "," 1,113,779 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 670,043 ","668,628",อื่น ๆ,     ภาคกลาง                          ,88,2565," 691,699 "," 712,495 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 396,751 ","430,278",อื่น ๆ,     ภาคกลาง                          ,89,2565," 415,178 "," 437,558 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 273,291 ","238,350",อื่น ๆ,     ภาคกลาง                          ,90,2565," 276,522 "," 274,937 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 857,321 ","864,525",ทำงานบ้าน,     ภาคเหนือ                         ,91,2565," 882,748 "," 892,852 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 49,493 ","49,282",ทำงานบ้าน,     ภาคเหนือ                         ,92,2565," 54,874 "," 62,523 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 807,828 ","815,243",ทำงานบ้าน,     ภาคเหนือ                         ,93,2565," 827,874 "," 830,329 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 720,609 ","766,855",เรียนหนังสือ,     ภาคเหนือ                         ,94,2565," 725,983 "," 781,509 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 349,627 ","364,453",เรียนหนังสือ,     ภาคเหนือ                         ,95,2565," 354,045 "," 382,472 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 370,982 ","402,402",เรียนหนังสือ,     ภาคเหนือ                         ,96,2565," 371,938 "," 399,036 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,383,147 ","1,360,508",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคเหนือ                         ,97,2565," 1,364,905 "," 1,371,443 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 579,069 ","573,567",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคเหนือ                         ,98,2565," 579,049 "," 575,268 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 804,079 ","786,940",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,     ภาคเหนือ                         ,99,2565," 785,856 "," 796,175 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 254,448 ","288,059",อื่น ๆ,     ภาคเหนือ                         ,100,2565," 252,147 "," 267,022 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 147,591 ","174,172",อื่น ๆ,     ภาคเหนือ                         ,101,2565," 154,414 "," 155,600 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 106,857 ","113,887",อื่น ๆ,     ภาคเหนือ                         ,102,2565," 97,733 "," 111,422 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,379,488 ","1,448,900",ทำงานบ้าน,  ภาคตะวันออกเฉียงเหนือ ,103,2565," 1,253,790 "," 1,402,187 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 56,192 ","75,287",ทำงานบ้าน,  ภาคตะวันออกเฉียงเหนือ ,104,2565," 56,883 "," 68,649 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,323,296 ","1,373,613",ทำงานบ้าน,  ภาคตะวันออกเฉียงเหนือ ,105,2565," 1,196,906 "," 1,333,538 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,411,752 ","1,515,485",เรียนหนังสือ,  ภาคตะวันออกเฉียงเหนือ ,106,2565," 1,411,884 "," 1,443,195 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 670,075 ","695,551",เรียนหนังสือ,  ภาคตะวันออกเฉียงเหนือ ,107,2565," 659,613 "," 674,051 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 741,676 ","819,933",เรียนหนังสือ,  ภาคตะวันออกเฉียงเหนือ ,108,2565," 752,270 "," 769,144 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 2,128,874 ","2,163,632",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ภาคตะวันออกเฉียงเหนือ ,109,2565," 2,110,611 "," 2,144,554 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 869,020 ","888,920",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ภาคตะวันออกเฉียงเหนือ ,110,2565," 855,975 "," 897,245 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,259,854 ","1,274,712",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ภาคตะวันออกเฉียงเหนือ ,111,2565," 1,254,636 "," 1,247,309 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 474,933 ","540,949",อื่น ๆ,  ภาคตะวันออกเฉียงเหนือ ,112,2565," 435,897 "," 492,889 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 276,454 ","313,379",อื่น ๆ,  ภาคตะวันออกเฉียงเหนือ ,113,2565," 258,363 "," 282,171 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 198,478 ","227,570",อื่น ๆ,  ภาคตะวันออกเฉียงเหนือ ,114,2565," 177,535 "," 210,717 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 777,903 ","743,490",ทำงานบ้าน,      ภาคใต้                           ,115,2565," 773,258 "," 736,033 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 24,939 ","28,008",ทำงานบ้าน,      ภาคใต้                           ,116,2565," 28,327 "," 28,174 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 752,964 ","715,482",ทำงานบ้าน,      ภาคใต้                           ,117,2565," 744,931 "," 707,859 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 666,712 ","729,339",เรียนหนังสือ,      ภาคใต้                           ,118,2565," 711,078 "," 725,001 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
