ที่มา,เกษตรกร (ครัวเรือน),ชนิดพืช,_id,ปีการผลิต,อำเภอ,พื้นที่ (ไร่)
สำนักงานเกษตรจังหวัดลพบุรี, -   ,มันสำปะหลัง,214,62/63,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 358 ,มันสำปะหลัง,215,62/63,บ้านหมี่," 5,440 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,644 ",มันสำปะหลัง,216,62/63,ท่าหลวง," 35,378 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,129 ",มันสำปะหลัง,217,62/63,สระโบสถ์," 19,513 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,341 ",มันสำปะหลัง,218,62/63,โคกเจริญ," 24,506 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,064 ",มันสำปะหลัง,219,62/63,ลำสนธิ," 13,341 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,474 ",มันสำปะหลัง,220,62/63,หนองม่วง," 26,420 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,020 ",ข้าวนาปี,221,63/64,เมืองลพบุรี," 98,023 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,241 ",ข้าวนาปี,222,63/64,พัฒนานิคม," 34,788 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,099 ",ข้าวนาปี,223,63/64,โคกสำโรง," 128,628 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,637 ",ข้าวนาปี,224,63/64,ชัยบาดาล," 32,838 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,656 ",ข้าวนาปี,225,63/64,ท่าวุ้ง," 93,905 "
สำนักงานเกษตรจังหวัดลพบุรี," 8,838 ",ข้าวนาปี,226,63/64,บ้านหมี่," 209,927 "
สำนักงานเกษตรจังหวัดลพบุรี, 42 ,ข้าวนาปี,227,63/64,ท่าหลวง, 311 
สำนักงานเกษตรจังหวัดลพบุรี," 2,907 ",ข้าวนาปี,228,63/64,สระโบสถ์," 45,895 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,477 ",ข้าวนาปี,229,63/64,โคกเจริญ," 41,305 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,179 ",ข้าวนาปี,230,63/64,ลำสนธิ," 10,871 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,069 ",ข้าวนาปี,231,63/64,หนองม่วง," 15,736 "
สำนักงานเกษตรจังหวัดลพบุรี, 216 ,ข้าวนาปรัง,232,63/64,เมืองลพบุรี," 3,599 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,233,63/64,พัฒนานิคม, -   
สำนักงานเกษตรจังหวัดลพบุรี, 5 ,ข้าวนาปรัง,234,63/64,โคกสำโรง, 91 
สำนักงานเกษตรจังหวัดลพบุรี, 41 ,ข้าวนาปรัง,235,63/64,ชัยบาดาล, 705 
สำนักงานเกษตรจังหวัดลพบุรี, 74 ,ข้าวนาปรัง,236,63/64,ท่าวุ้ง," 1,324 "
สำนักงานเกษตรจังหวัดลพบุรี, 225 ,ข้าวนาปรัง,237,63/64,บ้านหมี่," 5,641 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,238,63/64,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 222 ,ข้าวนาปรัง,239,63/64,สระโบสถ์," 3,079 "
สำนักงานเกษตรจังหวัดลพบุรี, 30 ,ข้าวนาปรัง,240,63/64,โคกเจริญ, 259 
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,241,63/64,ลำสนธิ, 3 
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,242,63/64,หนองม่วง, 40 
สำนักงานเกษตรจังหวัดลพบุรี," 1,464 ",ข้าวโพดเลี้ยงสัตว์,243,63/64,เมืองลพบุรี," 56,601 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,418 ",ข้าวโพดเลี้ยงสัตว์,244,63/64,พัฒนานิคม," 54,664 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,260 ",ข้าวโพดเลี้ยงสัตว์,245,63/64,โคกสำโรง," 58,279 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,544 ",ข้าวโพดเลี้ยงสัตว์,246,63/64,ชัยบาดาล," 81,907 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,247,63/64,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 651 ,ข้าวโพดเลี้ยงสัตว์,248,63/64,บ้านหมี่," 15,555 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,886 ",ข้าวโพดเลี้ยงสัตว์,249,63/64,ท่าหลวง," 44,687 "
สำนักงานเกษตรจังหวัดลพบุรี, 206 ,ข้าวโพดเลี้ยงสัตว์,250,63/64,สระโบสถ์," 3,620 "
สำนักงานเกษตรจังหวัดลพบุรี, 620 ,ข้าวโพดเลี้ยงสัตว์,251,63/64,โคกเจริญ," 13,568 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,515 ",ข้าวโพดเลี้ยงสัตว์,252,63/64,ลำสนธิ," 30,964 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,632 ",ข้าวโพดเลี้ยงสัตว์,253,63/64,หนองม่วง," 41,899 "
สำนักงานเกษตรจังหวัดลพบุรี, 289 ,อ้อยโรงงาน,254,63/64,เมืองลพบุรี," 6,871 "
สำนักงานเกษตรจังหวัดลพบุรี, 920 ,อ้อยโรงงาน,255,63/64,พัฒนานิคม," 22,057 "
สำนักงานเกษตรจังหวัดลพบุรี, 706 ,อ้อยโรงงาน,256,63/64,โคกสำโรง," 15,231 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,843 ",อ้อยโรงงาน,257,63/64,ชัยบาดาล," 42,379 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,258,63/64,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 321 ,อ้อยโรงงาน,259,63/64,บ้านหมี่," 10,152 "
สำนักงานเกษตรจังหวัดลพบุรี, 864 ,อ้อยโรงงาน,260,63/64,ท่าหลวง," 21,365 "
สำนักงานเกษตรจังหวัดลพบุรี, 559 ,อ้อยโรงงาน,261,63/64,สระโบสถ์," 9,138 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,099 ",อ้อยโรงงาน,262,63/64,โคกเจริญ," 31,454 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,107 ",อ้อยโรงงาน,263,63/64,ลำสนธิ," 20,366 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,182 ",อ้อยโรงงาน,264,63/64,หนองม่วง," 43,195 "
สำนักงานเกษตรจังหวัดลพบุรี, 305 ,มันสำปะหลัง,265,63/64,เมืองลพบุรี," 4,876 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,804 ",มันสำปะหลัง,266,63/64,พัฒนานิคม," 55,205 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,724 ",มันสำปะหลัง,267,63/64,โคกสำโรง," 26,571 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,883 ",มันสำปะหลัง,268,63/64,ชัยบาดาล," 69,371 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,มันสำปะหลัง,269,63/64,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 566 ,มันสำปะหลัง,270,63/64,บ้านหมี่," 9,283 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,482 ",มันสำปะหลัง,271,63/64,ท่าหลวง," 57,049 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,650 ",มันสำปะหลัง,272,63/64,สระโบสถ์," 27,610 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,329 ",มันสำปะหลัง,273,63/64,โคกเจริญ," 47,341 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,917 ",มันสำปะหลัง,274,63/64,ลำสนธิ," 27,050 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,383 ",มันสำปะหลัง,275,63/64,หนองม่วง," 46,552 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,582 ",ข้าวนาปี,276,64/65,เมืองลพบุรี," 119,631 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,265 ",ข้าวนาปี,277,64/65,พัฒนานิคม," 35,258 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,099 ",ข้าวนาปี,278,64/65,โคกสำโรง," 130,172 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,604 ",ข้าวนาปี,279,64/65,ชัยบาดาล," 32,931 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,921 ",ข้าวนาปี,280,64/65,ท่าวุ้ง," 101,568 "
สำนักงานเกษตรจังหวัดลพบุรี," 9,102 ",ข้าวนาปี,281,64/65,บ้านหมี่," 214,182 "
สำนักงานเกษตรจังหวัดลพบุรี, 55 ,ข้าวนาปี,282,64/65,ท่าหลวง, 463 
สำนักงานเกษตรจังหวัดลพบุรี," 2,992 ",ข้าวนาปี,283,64/65,สระโบสถ์," 48,135 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,550 ",ข้าวนาปี,284,64/65,โคกเจริญ," 42,746 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,158 ",ข้าวนาปี,285,64/65,ลำสนธิ," 11,042 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,113 ",ข้าวนาปี,286,64/65,หนองม่วง," 16,860 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,987 ",ข้าวนาปรัง,287,64/65,เมืองลพบุรี," 37,787 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,288,64/65,พัฒนานิคม, 12 
สำนักงานเกษตรจังหวัดลพบุรี, 6 ,ข้าวนาปรัง,289,64/65,โคกสำโรง, 78 
สำนักงานเกษตรจังหวัดลพบุรี, 38 ,ข้าวนาปรัง,290,64/65,ชัยบาดาล, 715 
สำนักงานเกษตรจังหวัดลพบุรี," 2,310 ",ข้าวนาปรัง,291,64/65,ท่าวุ้ง," 43,891 "
สำนักงานเกษตรจังหวัดลพบุรี, 537 ,ข้าวนาปรัง,292,64/65,บ้านหมี่," 12,664 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,293,64/65,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 41 ,ข้าวนาปรัง,294,64/65,สระโบสถ์, 516 
สำนักงานเกษตรจังหวัดลพบุรี, 4 ,ข้าวนาปรัง,295,64/65,โคกเจริญ, 69 
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,296,64/65,ลำสนธิ, 10 
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,297,64/65,หนองม่วง, -   
สำนักงานเกษตรจังหวัดลพบุรี," 1,310 ",ข้าวโพดเลี้ยงสัตว์,298,64/65,เมืองลพบุรี," 51,533 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,937 ",ข้าวโพดเลี้ยงสัตว์,299,64/65,พัฒนานิคม," 43,339 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,475 ",ข้าวโพดเลี้ยงสัตว์,300,64/65,โคกสำโรง," 61,785 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,072 ",ข้าวโพดเลี้ยงสัตว์,301,64/65,ชัยบาดาล," 72,312 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,302,64/65,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 715 ,ข้าวโพดเลี้ยงสัตว์,303,64/65,บ้านหมี่," 17,484 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,394 ",ข้าวโพดเลี้ยงสัตว์,304,64/65,ท่าหลวง," 31,463 "
สำนักงานเกษตรจังหวัดลพบุรี, 256 ,ข้าวโพดเลี้ยงสัตว์,305,64/65,สระโบสถ์," 4,460 "
สำนักงานเกษตรจังหวัดลพบุรี, 525 ,ข้าวโพดเลี้ยงสัตว์,306,64/65,โคกเจริญ," 11,242 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,155 ",ข้าวโพดเลี้ยงสัตว์,307,64/65,ลำสนธิ," 23,273 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,605 ",ข้าวโพดเลี้ยงสัตว์,308,64/65,หนองม่วง," 42,987 "
สำนักงานเกษตรจังหวัดลพบุรี, 226 ,อ้อยโรงงาน,309,64/65,เมืองลพบุรี," 5,586 "
สำนักงานเกษตรจังหวัดลพบุรี, 422 ,อ้อยโรงงาน,310,64/65,พัฒนานิคม," 10,858 "
สำนักงานเกษตรจังหวัดลพบุรี, 374 ,อ้อยโรงงาน,311,64/65,โคกสำโรง," 8,889 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,201 ",อ้อยโรงงาน,312,64/65,ชัยบาดาล," 30,891 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,313,64/65,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 235 ,อ้อยโรงงาน,314,64/65,บ้านหมี่," 7,551 "
สำนักงานเกษตรจังหวัดลพบุรี, 443 ,อ้อยโรงงาน,315,64/65,ท่าหลวง," 11,635 "
สำนักงานเกษตรจังหวัดลพบุรี, 260 ,อ้อยโรงงาน,316,64/65,สระโบสถ์," 4,408 "
สำนักงานเกษตรจังหวัดลพบุรี, 791 ,อ้อยโรงงาน,317,64/65,โคกเจริญ," 22,616 "
สำนักงานเกษตรจังหวัดลพบุรี, 803 ,อ้อยโรงงาน,318,64/65,ลำสนธิ," 14,288 "
สำนักงานเกษตรจังหวัดลพบุรี, 743 ,อ้อยโรงงาน,319,64/65,หนองม่วง," 25,232 "
สำนักงานเกษตรจังหวัดลพบุรี, 272 ,มันสำปะหลัง,320,64/65,เมืองลพบุรี," 4,965 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,514 ",มันสำปะหลัง,321,64/65,พัฒนานิคม," 49,839 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,592 ",มันสำปะหลัง,322,64/65,โคกสำโรง," 25,445 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,646 ",มันสำปะหลัง,323,64/65,ชัยบาดาล," 68,116 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,มันสำปะหลัง,324,64/65,ท่าวุ้ง, 7 
สำนักงานเกษตรจังหวัดลพบุรี, 549 ,มันสำปะหลัง,325,64/65,บ้านหมี่," 9,995 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,964 ",มันสำปะหลัง,326,64/65,ท่าหลวง," 42,603 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,479 ",มันสำปะหลัง,327,64/65,สระโบสถ์," 25,880 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,497 ",มันสำปะหลัง,328,64/65,โคกเจริญ," 54,446 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,918 ",มันสำปะหลัง,329,64/65,ลำสนธิ," 29,709 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,493 ",มันสำปะหลัง,330,64/65,หนองม่วง," 50,722 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,686 ",ข้าวนาปี,331,65/66,เมืองลพบุรี," 115,869 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,334 ",ข้าวนาปี,332,65/66,พัฒนานิคม," 36,449 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,138 ",ข้าวนาปี,333,65/66,โคกสำโรง," 129,783 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,588 ",ข้าวนาปี,334,65/66,ชัยบาดาล," 33,165 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,026 ",ข้าวนาปี,335,65/66,ท่าวุ้ง," 103,561 "
สำนักงานเกษตรจังหวัดลพบุรี," 9,346 ",ข้าวนาปี,336,65/66,บ้านหมี่," 219,001 "
สำนักงานเกษตรจังหวัดลพบุรี, 92 ,ข้าวนาปี,337,65/66,ท่าหลวง, 921 
สำนักงานเกษตรจังหวัดลพบุรี," 3,052 ",ข้าวนาปี,338,65/66,สระโบสถ์," 49,517 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,620 ",ข้าวนาปี,339,65/66,โคกเจริญ," 43,624 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,123 ",ข้าวนาปี,340,65/66,ลำสนธิ," 10,685 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,176 ",ข้าวนาปี,341,65/66,หนองม่วง," 17,900 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,758 ",ข้าวนาปรัง,342,65/66,เมืองลพบุรี," 34,838 "
สำนักงานเกษตรจังหวัดลพบุรี, 2 ,ข้าวนาปรัง,343,65/66,พัฒนานิคม, 22 
สำนักงานเกษตรจังหวัดลพบุรี, 35 ,ข้าวนาปรัง,344,65/66,โคกสำโรง, 499 
สำนักงานเกษตรจังหวัดลพบุรี, 3 ,ข้าวนาปรัง,345,65/66,ชัยบาดาล, 30 
สำนักงานเกษตรจังหวัดลพบุรี," 1,691 ",ข้าวนาปรัง,346,65/66,ท่าวุ้ง," 32,628 "
สำนักงานเกษตรจังหวัดลพบุรี, 43 ,ข้าวนาปรัง,347,65/66,บ้านหมี่, 968 
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,348,65/66,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 186 ,ข้าวนาปรัง,349,65/66,สระโบสถ์," 2,647 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,350,65/66,โคกเจริญ, -   
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,351,65/66,ลำสนธิ, -   
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,352,65/66,หนองม่วง, -   
สำนักงานเกษตรจังหวัดลพบุรี," 1,238 ",ข้าวโพดเลี้ยงสัตว์,353,65/66,เมืองลพบุรี," 48,276 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,519 ",ข้าวโพดเลี้ยงสัตว์,354,65/66,พัฒนานิคม," 33,081 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,333 ",ข้าวโพดเลี้ยงสัตว์,355,65/66,โคกสำโรง," 58,944 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,541 ",ข้าวโพดเลี้ยงสัตว์,356,65/66,ชัยบาดาล," 60,110 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวโพดเลี้ยงสัตว์,357,65/66,ท่าวุ้ง, 1 
สำนักงานเกษตรจังหวัดลพบุรี, 605 ,ข้าวโพดเลี้ยงสัตว์,358,65/66,บ้านหมี่," 14,603 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,289 ",ข้าวโพดเลี้ยงสัตว์,359,65/66,ท่าหลวง," 29,513 "
สำนักงานเกษตรจังหวัดลพบุรี, 273 ,ข้าวโพดเลี้ยงสัตว์,360,65/66,สระโบสถ์," 5,110 "
สำนักงานเกษตรจังหวัดลพบุรี, 351 ,ข้าวโพดเลี้ยงสัตว์,361,65/66,โคกเจริญ," 7,103 "
สำนักงานเกษตรจังหวัดลพบุรี, 747 ,ข้าวโพดเลี้ยงสัตว์,362,65/66,ลำสนธิ," 13,893 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,658 ",ข้าวโพดเลี้ยงสัตว์,363,65/66,หนองม่วง," 43,302 "
สำนักงานเกษตรจังหวัดลพบุรี, 276 ,อ้อยโรงงาน,364,65/66,เมืองลพบุรี," 7,163 "
สำนักงานเกษตรจังหวัดลพบุรี, 397 ,อ้อยโรงงาน,365,65/66,พัฒนานิคม," 9,984 "
สำนักงานเกษตรจังหวัดลพบุรี, 370 ,อ้อยโรงงาน,366,65/66,โคกสำโรง," 9,626 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,428 ",อ้อยโรงงาน,367,65/66,ชัยบาดาล," 38,484 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,368,65/66,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 219 ,อ้อยโรงงาน,369,65/66,บ้านหมี่," 7,098 "
สำนักงานเกษตรจังหวัดลพบุรี, 624 ,อ้อยโรงงาน,370,65/66,ท่าหลวง," 17,465 "
สำนักงานเกษตรจังหวัดลพบุรี, 272 ,อ้อยโรงงาน,371,65/66,สระโบสถ์," 4,889 "
สำนักงานเกษตรจังหวัดลพบุรี, 838 ,อ้อยโรงงาน,372,65/66,โคกเจริญ," 24,500 "
สำนักงานเกษตรจังหวัดลพบุรี, 918 ,อ้อยโรงงาน,373,65/66,ลำสนธิ," 18,366 "
สำนักงานเกษตรจังหวัดลพบุรี, 747 ,อ้อยโรงงาน,374,65/66,หนองม่วง," 25,066 "
สำนักงานเกษตรจังหวัดลพบุรี, 188 ,มันสำปะหลัง,375,65/66,เมืองลพบุรี," 3,399 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,676 ",มันสำปะหลัง,376,65/66,พัฒนานิคม," 31,956 "
สำนักงานเกษตรจังหวัดลพบุรี, 987 ,มันสำปะหลัง,377,65/66,โคกสำโรง," 14,918 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,565 ",มันสำปะหลัง,378,65/66,ชัยบาดาล," 46,514 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,มันสำปะหลัง,379,65/66,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 464 ,มันสำปะหลัง,380,65/66,บ้านหมี่," 9,025 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,236 ",มันสำปะหลัง,381,65/66,ท่าหลวง," 23,958 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,132 ",มันสำปะหลัง,382,65/66,สระโบสถ์," 19,120 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,200 ",มันสำปะหลัง,383,65/66,โคกเจริญ," 48,827 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,472 ",มันสำปะหลัง,384,65/66,ลำสนธิ," 21,417 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,057 ",มันสำปะหลัง,385,65/66,หนองม่วง," 38,098 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,698 ",ข้าวนาปี,386,66/67,เมืองลพบุรี," 113,088 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,320 ",ข้าวนาปี,387,66/67,พัฒนานิคม," 35,915 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,166 ",ข้าวนาปี,388,66/67,โคกสำโรง," 129,486 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,525 ",ข้าวนาปี,389,66/67,ชัยบาดาล," 31,595 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,990 ",ข้าวนาปี,390,66/67,ท่าวุ้ง," 101,682 "
สำนักงานเกษตรจังหวัดลพบุรี," 9,342 ",ข้าวนาปี,391,66/67,บ้านหมี่," 214,223 "
สำนักงานเกษตรจังหวัดลพบุรี, 67 ,ข้าวนาปี,392,66/67,ท่าหลวง, 508 
สำนักงานเกษตรจังหวัดลพบุรี," 3,110 ",ข้าวนาปี,393,66/67,สระโบสถ์," 50,087 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,608 ",ข้าวนาปี,394,66/67,โคกเจริญ," 42,709 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,103 ",ข้าวนาปี,395,66/67,ลำสนธิ," 10,613 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,152 ",ข้าวนาปี,396,66/67,หนองม่วง," 16,973 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,456 ",ข้าวนาปรัง,397,66/67,เมืองลพบุรี," 28,712 "
สำนักงานเกษตรจังหวัดลพบุรี, 2 ,ข้าวนาปรัง,398,66/67,พัฒนานิคม, 15 
สำนักงานเกษตรจังหวัดลพบุรี, 3 ,ข้าวนาปรัง,399,66/67,โคกสำโรง, 40 
สำนักงานเกษตรจังหวัดลพบุรี, 23 ,ข้าวนาปรัง,400,66/67,ชัยบาดาล, 477 
สำนักงานเกษตรจังหวัดลพบุรี, 903 ,ข้าวนาปรัง,401,66/67,ท่าวุ้ง," 18,492 "
สำนักงานเกษตรจังหวัดลพบุรี, 835 ,ข้าวนาปรัง,402,66/67,บ้านหมี่," 19,935 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,403,66/67,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 8 ,ข้าวนาปรัง,404,66/67,สระโบสถ์, 81 
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,405,66/67,โคกเจริญ, -   
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,406,66/67,ลำสนธิ, -   
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,407,66/67,หนองม่วง, -   
สำนักงานเกษตรจังหวัดลพบุรี," 1,121 ",ข้าวโพดเลี้ยงสัตว์,408,66/67,เมืองลพบุรี," 44,786 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,568 ",ข้าวโพดเลี้ยงสัตว์,409,66/67,พัฒนานิคม," 32,419 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,164 ",ข้าวโพดเลี้ยงสัตว์,410,66/67,โคกสำโรง," 51,894 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,676 ",ข้าวโพดเลี้ยงสัตว์,411,66/67,ชัยบาดาล," 64,612 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,412,66/67,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 616 ,ข้าวโพดเลี้ยงสัตว์,413,66/67,บ้านหมี่," 14,826 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,636 ",ข้าวโพดเลี้ยงสัตว์,414,66/67,ท่าหลวง," 37,771 "
สำนักงานเกษตรจังหวัดลพบุรี, 350 ,ข้าวโพดเลี้ยงสัตว์,415,66/67,สระโบสถ์," 6,145 "
สำนักงานเกษตรจังหวัดลพบุรี, 498 ,ข้าวโพดเลี้ยงสัตว์,416,66/67,โคกเจริญ," 10,342 "
สำนักงานเกษตรจังหวัดลพบุรี, 927 ,ข้าวโพดเลี้ยงสัตว์,417,66/67,ลำสนธิ," 16,705 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,953 ",ข้าวโพดเลี้ยงสัตว์,418,66/67,หนองม่วง," 49,485 "
สำนักงานเกษตรจังหวัดลพบุรี, 271 ,อ้อยโรงงาน,419,66/67,เมืองลพบุรี," 6,679 "
สำนักงานเกษตรจังหวัดลพบุรี, 421 ,อ้อยโรงงาน,420,66/67,พัฒนานิคม," 11,967 "
สำนักงานเกษตรจังหวัดลพบุรี, 416 ,อ้อยโรงงาน,421,66/67,โคกสำโรง," 10,469 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,443 ",อ้อยโรงงาน,422,66/67,ชัยบาดาล," 38,017 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,423,66/67,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 197 ,อ้อยโรงงาน,424,66/67,บ้านหมี่," 6,105 "
สำนักงานเกษตรจังหวัดลพบุรี, 863 ,อ้อยโรงงาน,425,66/67,ท่าหลวง," 26,029 "
สำนักงานเกษตรจังหวัดลพบุรี, 282 ,อ้อยโรงงาน,426,66/67,สระโบสถ์," 5,365 "
สำนักงานเกษตรจังหวัดลพบุรี, 968 ,อ้อยโรงงาน,427,66/67,โคกเจริญ," 26,758 "
