commod,_id,attribute,year_th,unit,table_id,note,value
สับปะรดปัตตาเวีย,158,เนื้อที่เก็บเกี่ยว,2564,พันไร่,4.2,,459
สับปะรดปัตตาเวีย,159,ผลผลิต,2564,พันตัน,4.2,,1751
สับปะรดปัตตาเวีย,160,ผลผลิตต่อไร่,2564,กก./ไร่,4.2,,3811
สับปะรดปัตตาเวีย,161,ราคาที่เกษตรกรขายได้,2564,บาท/กก.,4.2,,6.16
สับปะรดปัตตาเวีย,162,มูลค่าของผลผลิต,2564,ล้านบาท,4.2,,10784
สับปะรดปัตตาเวีย,163,เนื้อที่เพาะปลูก,2565,พันไร่,4.2,,452
สับปะรดปัตตาเวีย,164,เนื้อที่เก็บเกี่ยว,2565,พันไร่,4.2,,447
สับปะรดปัตตาเวีย,165,ผลผลิต,2565,พันตัน,4.2,,1714
สับปะรดปัตตาเวีย,166,ผลผลิตต่อไร่,2565,กก./ไร่,4.2,,3835
สับปะรดปัตตาเวีย,167,ราคาที่เกษตรกรขายได้,2565,บาท/กก.,4.2,,6.55
สับปะรดปัตตาเวีย,168,มูลค่าของผลผลิต,2565,ล้านบาท,4.2,,11228
สับปะรดปัตตาเวีย,169,เนื้อที่เพาะปลูก,2566,พันไร่,4.2,,349
สับปะรดปัตตาเวีย,170,เนื้อที่เก็บเกี่ยว,2566,พันไร่,4.2,,338
สับปะรดปัตตาเวีย,171,ผลผลิต,2566,พันตัน,4.2,,1249
สับปะรดปัตตาเวีย,172,ผลผลิตต่อไร่,2566,กก./ไร่,4.2,,3691
สับปะรดปัตตาเวีย,173,ราคาที่เกษตรกรขายได้,2566,บาท/กก.,4.2,,8.5
สับปะรดปัตตาเวีย,174,มูลค่าของผลผลิต,2566,ล้านบาท,4.2,,10620
สับปะรดปัตตาเวีย,175,เนื้อที่เพาะปลูก,2567,พันไร่,4.2,p,312
สับปะรดปัตตาเวีย,176,เนื้อที่เก็บเกี่ยว,2567,พันไร่,4.2,p,299
สับปะรดปัตตาเวีย,177,ผลผลิต,2567,พันตัน,4.2,p,1092
สับปะรดปัตตาเวีย,178,ผลผลิตต่อไร่,2567,กก./ไร่,4.2,p,3647
สับปะรดปัตตาเวีย,179,ราคาที่เกษตรกรขายได้,2567,บาท/กก.,4.2,,11.88
สับปะรดปัตตาเวีย,180,มูลค่าของผลผลิต,2567,ล้านบาท,4.2,,12973
ลำไย,181,เนื้อที่ยืนต้น,2558,พันไร่,4.4,,1524
ลำไย,182,เนื้อที่ให้ผล,2558,พันไร่,4.4,,1363
ลำไย,183,ผลผลิต,2558,พันตัน,4.4,,1032
ลำไย,184,ผลผลิตต่อไร่,2558,กก./ไร่,4.4,,758
ลำไย,185,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.4,,28.57
ลำไย,186,มูลค่าของผลผลิต,2558,ล้านบาท,4.4,,29491
ลำไย,187,เนื้อที่ยืนต้น,2559,พันไร่,4.4,,1572
ลำไย,188,เนื้อที่ให้ผล,2559,พันไร่,4.4,,1409
ลำไย,189,ผลผลิต,2559,พันตัน,4.4,,878
ลำไย,190,ผลผลิตต่อไร่,2559,กก./ไร่,4.4,,623
ลำไย,191,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.4,,33.24
ลำไย,192,มูลค่าของผลผลิต,2559,ล้านบาท,4.4,,29199
ลำไย,193,เนื้อที่ยืนต้น,2560,พันไร่,4.4,,1578
ลำไย,194,เนื้อที่ให้ผล,2560,พันไร่,4.4,,1452
ลำไย,195,ผลผลิต,2560,พันตัน,4.4,,1201
ลำไย,196,ผลผลิตต่อไร่,2560,กก./ไร่,4.4,,827
ลำไย,197,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.4,,22.85
ลำไย,198,มูลค่าของผลผลิต,2560,ล้านบาท,4.4,,27438
ลำไย,199,เนื้อที่ยืนต้น,2561,พันไร่,4.4,,1616
ลำไย,200,เนื้อที่ให้ผล,2561,พันไร่,4.4,,1512
ลำไย,201,ผลผลิต,2561,พันตัน,4.4,,1247
ลำไย,202,ผลผลิตต่อไร่,2561,กก./ไร่,4.4,,824
ลำไย,203,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.4,,26.72
ลำไย,204,มูลค่าของผลผลิต,2561,ล้านบาท,4.4,,33307
ลำไย,205,เนื้อที่ยืนต้น,2562,พันไร่,4.4,,1686
ลำไย,206,เนื้อที่ให้ผล,2562,พันไร่,4.4,,1537
ลำไย,207,ผลผลิต,2562,พันตัน,4.4,,1176
ลำไย,208,ผลผลิตต่อไร่,2562,กก./ไร่,4.4,,765
ลำไย,209,ราคาที่เกษตรกรขายได้,2562,บาท/กก.,4.4,,26.31
ลำไย,210,มูลค่าของผลผลิต,2562,ล้านบาท,4.4,,30951
ลำไย,211,เนื้อที่ยืนต้น,2563,พันไร่,4.4,,1737
ลำไย,212,เนื้อที่ให้ผล,2563,พันไร่,4.4,,1584
ลำไย,213,ผลผลิต,2563,พันตัน,4.4,,1183
ลำไย,214,ผลผลิตต่อไร่,2563,กก./ไร่,4.4,,747
ลำไย,215,ราคาที่เกษตรกรขายได้,2563,บาท/กก.,4.4,,22.28
ลำไย,216,มูลค่าของผลผลิต,2563,ล้านบาท,4.4,,26349
ลำไย,217,เนื้อที่ยืนต้น,2564,พันไร่,4.4,,1749
ลำไย,218,เนื้อที่ให้ผล,2564,พันไร่,4.4,,1650
ลำไย,219,ผลผลิต,2564,พันตัน,4.4,,1567
ลำไย,220,ผลผลิตต่อไร่,2564,กก./ไร่,4.4,,950
ลำไย,221,ราคาที่เกษตรกรขายได้,2564,บาท/กก.,4.4,,21.65
ลำไย,222,มูลค่าของผลผลิต,2564,ล้านบาท,4.4,,33927
ลำไย,223,เนื้อที่ยืนต้น,2565,พันไร่,4.4,,1739
ลำไย,224,เนื้อที่ให้ผล,2565,พันไร่,4.4,,1693
ลำไย,225,ผลผลิต,2565,พันตัน,4.4,,1555
ลำไย,226,ผลผลิตต่อไร่,2565,กก./ไร่,4.4,,919
ลำไย,227,ราคาที่เกษตรกรขายได้,2565,บาท/กก.,4.4,,20
ลำไย,228,มูลค่าของผลผลิต,2565,ล้านบาท,4.4,,31107
ลำไย,229,เนื้อที่ยืนต้น,2566,พันไร่,4.4,,1696
ลำไย,230,เนื้อที่ให้ผล,2566,พันไร่,4.4,,1666
ลำไย,231,ผลผลิต,2566,พันตัน,4.4,,1415
ลำไย,232,ผลผลิตต่อไร่,2566,กก./ไร่,4.4,,849
ลำไย,233,ราคาที่เกษตรกรขายได้,2566,บาท/กก.,4.4,,30.83
ลำไย,234,มูลค่าของผลผลิต,2566,ล้านบาท,4.4,,43624
ลำไย,235,เนื้อที่ยืนต้น,2567,พันไร่,4.4,p,1663
ลำไย,236,เนื้อที่ให้ผล,2567,พันไร่,4.4,p,1645
ลำไย,237,ผลผลิต,2567,พันตัน,4.4,p,1420
