﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,1. ชาย,ไตรมาส 2,125,2) ภาคกลาง,5.5,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,126,2) ภาคกลาง,4.2,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,127,2) ภาคกลาง,4.4,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,128,2) ภาคกลาง,5.6,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,129,2) ภาคกลาง,5.6,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,130,2) ภาคกลาง,7.5,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,131,2) ภาคกลาง,16.3,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,132,2) ภาคกลาง,7.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,133,2) ภาคกลาง,10.4,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,134,2) ภาคกลาง,4.8,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,135,2) ภาคกลาง,3.2,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,136,2) ภาคกลาง,5.0,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,137,2) ภาคกลาง,4.9,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
