วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2570-08-29T00:00:00,195,GI(E) 3-1086,บริษัท ฮันวา สตีล เซอร์วิส (ประเทศไทย) จำกัด,195,30/08/2567,ชลบุรี
2570-08-29T00:00:00,196,GI(E) 3-1087,บริษัท ฮันวา สตีล เซอร์วิส (ประเทศไทย) จำกัด,196,30/08/2567,ชลบุรี
2570-08-29T00:00:00,197,GI(E) 3-1089,บริษัท แอมคอร์ เฟล็กซิเบิ้ล ชลบุรี จำกัด,197,30/08/2567,ชลบุรี
2570-02-09T00:00:00,198,GI(E) 3-1093,บริษัท ทรานซิชั่นส์ อ็อพทิคัล (ประเทศไทย) จำกัด,198,03/09/2567,ชลบุรี
2570-08-09T00:00:00,199,GI(E) 3-1097,บริษัท ฮิโรมิทซึ เทคโนอาร์ท (ประเทศไทย) จำกัด,199,09/09/2567,ชลบุรี
2570-08-09T00:00:00,200,GI(E) 3-1107,บริษัท อลูคอน จำกัด (มหาชน),200,09/09/2567,ชลบุรี
2570-09-09T00:00:00,201,GI(E) 3-1117,บริษัท ไดกิ้น แอร์คอนดิชั่นนิ่ง (ประเทศไทย) จำกัด,201,10/09/2567,ชลบุรี
2570-11-09T00:00:00,202,GI(E) 3-1142,บริษัท สึบาคิโมโตะ ออโต้โมทีฟ (ไทยแลนด์) จำกัด,202,12/09/2567,ชลบุรี
2570-09-15T00:00:00,203,GI(E) 3-1153,บริษัท พีเจ้น อินดัสทรีส์(ประเทศไทย) จำกัด,203,16/09/2567,ชลบุรี
2570-09-23T00:00:00,204,GI(E) 3-1160,บริษัท โฟมเทค อินเตอร์เนชั่นแนล จำกัด,204,24/09/2567,ชลบุรี
2570-09-23T00:00:00,205,GI(E) 3-1166,บริษัท นิเทระ (ประเทศไทย) จำกัด,205,24/09/2567,ชลบุรี
