ที่มา,เลขทะเบียน,_id,ปี,ชื่อโรงงาน,รายการ,ที่อยู่,จังหวัด
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-5/50นม,44,2568,บริษัท ไทยอาซาฮี จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,251-252 ม.12 ซ.- ถ.โชคชัย-ครบุรี ต.ทุ่งอรุณ อ.โชคชัย จ.นครราชสีมา 30190 โทร.081-8368375,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-45(1)-1/40นม,45,2568,,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,88 ม.6 ซ.- ถ.มิตรภาพ ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/34นม,46,2568,บริษัท อินกริดิออน สวีทเท็นเนอร์ แอนด์ สตาร์ช (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,43/1 ม. 3 ซ.- ถ.สีคิ้ว-ชัยภูมิ ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.411522,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/37นม,47,2568,บริษัท ที พี เค แอ็ดวานซ์ สตาร์ช จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,- ม. 13 ซ.- ถ.โชคชัย-เดชอุดม ต.หนองหัวแรต อ.หนองบุญมาก จ.นครราชสีมา 30410 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-72-1/40นม,48,2568,บริษัท เนเด็ค (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,555 ม.6 ซ. ถ.นครราชสีมา-โชคชัย ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.212- 905-11,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-72-1/37นม,49,2568,บริษัท เทนคิง (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,182 ม.3 ซ.เขตอุตสาหกรรมสุรนารี ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.212011-2,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-2/36นม,50,2568,บริษัท แป้งมันเอี่ยมเฮงอุตสาหกรรม จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,15 ม. 12 ซ.บ้านดอนไร่ ถ.เสิงสาง-ปะคำ ต.กุดโบสถ์ อ.เสิงสาง จ.นครราชสีมา 30330 โทร.044-457040-4,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-2/51นม,51,2568,บริษัท เอี่ยมเฮง โมดิฟาย สตาร์ช จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,15 ม.12 ซ.- ถ.- ต.กุดโบสถ์ อ.เสิงสาง จ.นครราชสีมา 30330 โทร.044457040-4,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-72-2/47นม,52,2568,บริษัท ฟูไน (ไทยแลนด์) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,835 ม.18 ซ.- ถ.- ต.จันทึก อ.ปากช่อง จ.นครราชสีมา 30130 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-2/42นม,53,2568,บริษัท พี.วี.ดี.อินเตอร์เนชั่นแนล จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,99 ม.4 ซ.- ถ.หมายเลข 24-หนองยายเทียม ต.หนองหัวแรต อ.หนองบุญมาก จ.นครราชสีมา 30410 โทร.,นครราชสีมา
