จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,ไตรมาส
15801.24,190,2562,ช่วยธุรกิจครัวเรือน,ชาย                         ,เฉลี่ย 4 ไตรมาส
19380.39,191,2562,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 1
22932.02,192,2562,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 2
19159.19,193,2562,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 3
19630.95,194,2562,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 4
20275.6375,195,2562,ช่วยธุรกิจครัวเรือน,หญิง                        ,เฉลี่ย 4 ไตรมาส
,196,2562,การรวมกลุ่ม,รวม,ไตรมาส 1
,197,2562,การรวมกลุ่ม,รวม,ไตรมาส 2
,198,2562,การรวมกลุ่ม,รวม,ไตรมาส 3
,199,2562,การรวมกลุ่ม,รวม,ไตรมาส 4
,200,2562,การรวมกลุ่ม,รวม,เฉลี่ย 4 ไตรมาส
,201,2562,การรวมกลุ่ม,ชาย                         ,ไตรมาส 1
,202,2562,การรวมกลุ่ม,ชาย                         ,ไตรมาส 2
,203,2562,การรวมกลุ่ม,ชาย                         ,ไตรมาส 3
,204,2562,การรวมกลุ่ม,ชาย                         ,ไตรมาส 4
,205,2562,การรวมกลุ่ม,ชาย                         ,เฉลี่ย 4 ไตรมาส
,206,2562,การรวมกลุ่ม,หญิง                        ,ไตรมาส 1
,207,2562,การรวมกลุ่ม,หญิง                        ,ไตรมาส 2
,208,2562,การรวมกลุ่ม,หญิง                        ,ไตรมาส 3
,209,2562,การรวมกลุ่ม,หญิง                        ,ไตรมาส 4
,210,2562,การรวมกลุ่ม,หญิง                        ,เฉลี่ย 4 ไตรมาส
397559.24,211,2563,ยอดรวม,รวม,ไตรมาส 1
380187.38,212,2563,ยอดรวม,รวม,ไตรมาส 2
391220.4,213,2563,ยอดรวม,รวม,ไตรมาส 3
394646.79,214,2563,ยอดรวม,รวม,ไตรมาส 4
390903.4525,215,2563,ยอดรวม,รวม,เฉลี่ย 4 ไตรมาส
218620.72,216,2563,ยอดรวม,ชาย                         ,ไตรมาส 1
213793.53,217,2563,ยอดรวม,ชาย                         ,ไตรมาส 2
219131.34,218,2563,ยอดรวม,ชาย                         ,ไตรมาส 3
217858.19,219,2563,ยอดรวม,ชาย                         ,ไตรมาส 4
217350.945,220,2563,ยอดรวม,ชาย                         ,เฉลี่ย 4 ไตรมาส
178938.52,221,2563,ยอดรวม,หญิง                        ,ไตรมาส 1
166393.85,222,2563,ยอดรวม,หญิง                        ,ไตรมาส 2
172089.07,223,2563,ยอดรวม,หญิง                        ,ไตรมาส 3
176788.6,224,2563,ยอดรวม,หญิง                        ,ไตรมาส 4
173552.51,225,2563,ยอดรวม,หญิง                        ,เฉลี่ย 4 ไตรมาส
10703.64,226,2563,นายจ้าง,รวม,ไตรมาส 1
11381.67,227,2563,นายจ้าง,รวม,ไตรมาส 2
8656.14,228,2563,นายจ้าง,รวม,ไตรมาส 3
11207.42,229,2563,นายจ้าง,รวม,ไตรมาส 4
10487.217499999999,230,2563,นายจ้าง,รวม,เฉลี่ย 4 ไตรมาส
7757.57,231,2563,นายจ้าง,ชาย                         ,ไตรมาส 1
8066.63,232,2563,นายจ้าง,ชาย                         ,ไตรมาส 2
6112.37,233,2563,นายจ้าง,ชาย                         ,ไตรมาส 3
8308.3,234,2563,นายจ้าง,ชาย                         ,ไตรมาส 4
7561.2175,235,2563,นายจ้าง,ชาย                         ,เฉลี่ย 4 ไตรมาส
2946.07,236,2563,นายจ้าง,หญิง                        ,ไตรมาส 1
3315.05,237,2563,นายจ้าง,หญิง                        ,ไตรมาส 2
2543.77,238,2563,นายจ้าง,หญิง                        ,ไตรมาส 3
2899.12,239,2563,นายจ้าง,หญิง                        ,ไตรมาส 4
2926.0025000000005,240,2563,นายจ้าง,หญิง                        ,เฉลี่ย 4 ไตรมาส
37171.38,241,2563,ลูกจ้างรัฐบาล,รวม,ไตรมาส 1
29602.24,242,2563,ลูกจ้างรัฐบาล,รวม,ไตรมาส 2
33275.59,243,2563,ลูกจ้างรัฐบาล,รวม,ไตรมาส 3
32105,244,2563,ลูกจ้างรัฐบาล,รวม,ไตรมาส 4
33038.5525,245,2563,ลูกจ้างรัฐบาล,รวม,เฉลี่ย 4 ไตรมาส
15840.62,246,2563,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 1
14204.69,247,2563,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 2
15652.69,248,2563,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 3
14502.57,249,2563,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 4
15050.1425,250,2563,ลูกจ้างรัฐบาล,ชาย                         ,เฉลี่ย 4 ไตรมาส
21330.76,251,2563,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 1
15397.55,252,2563,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 2
17622.89,253,2563,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 3
17602.42,254,2563,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 4
17988.405,255,2563,ลูกจ้างรัฐบาล,หญิง                        ,เฉลี่ย 4 ไตรมาส
235391.59,256,2563,ลูกจ้างเอกชน,รวม,ไตรมาส 1
203226.95,257,2563,ลูกจ้างเอกชน,รวม,ไตรมาส 2
198791.24,258,2563,ลูกจ้างเอกชน,รวม,ไตรมาส 3
220296.16,259,2563,ลูกจ้างเอกชน,รวม,ไตรมาส 4
214426.48500000002,260,2563,ลูกจ้างเอกชน,รวม,เฉลี่ย 4 ไตรมาส
137180.95,261,2563,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 1
123341.29,262,2563,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 2
118613.95,263,2563,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 3
131138.07,264,2563,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 4
127568.565,265,2563,ลูกจ้างเอกชน,ชาย                         ,เฉลี่ย 4 ไตรมาส
98210.64,266,2563,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 1
79885.67,267,2563,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 2
80177.29,268,2563,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 3
89158.09,269,2563,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 4
86857.92249999999,270,2563,ลูกจ้างเอกชน,หญิง                        ,เฉลี่ย 4 ไตรมาส
80982.74,271,2563,ทำงานส่วนตัว,รวม,ไตรมาส 1
94470.56,272,2563,ทำงานส่วนตัว,รวม,ไตรมาส 2
96916.93,273,2563,ทำงานส่วนตัว,รวม,ไตรมาส 3
89498.95,274,2563,ทำงานส่วนตัว,รวม,ไตรมาส 4
90467.295,275,2563,ทำงานส่วนตัว,รวม,เฉลี่ย 4 ไตรมาส
41807.83,276,2563,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 1
51766.52,277,2563,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 2
50061.2,278,2563,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 3
44706.74,279,2563,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 4
47085.572499999995,280,2563,ทำงานส่วนตัว,ชาย                         ,เฉลี่ย 4 ไตรมาส
39174.92,281,2563,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 1
42704.03,282,2563,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 2
46855.73,283,2563,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 3
44792.21,284,2563,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 4
43381.722499999996,285,2563,ทำงานส่วนตัว,หญิง                        ,เฉลี่ย 4 ไตรมาส
33309.89,286,2563,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 1
41505.96,287,2563,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 2
52568.39,288,2563,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 3
40985.84,289,2563,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 4
42092.520000000004,290,2563,ช่วยธุรกิจครัวเรือน,รวม,เฉลี่ย 4 ไตรมาส
16033.76,291,2563,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 1
16414.4,292,2563,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 2
28201.81,293,2563,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 3
18649.09,294,2563,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 4
19824.765,295,2563,ช่วยธุรกิจครัวเรือน,ชาย                         ,เฉลี่ย 4 ไตรมาส
17276.13,296,2563,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 1
25091.56,297,2563,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 2
24366.58,298,2563,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 3
22336.76,299,2563,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 4
22267.7575,300,2563,ช่วยธุรกิจครัวเรือน,หญิง                        ,เฉลี่ย 4 ไตรมาส
,301,2563,การรวมกลุ่ม,รวม,ไตรมาส 1
,302,2563,การรวมกลุ่ม,รวม,ไตรมาส 2
1012.12,303,2563,การรวมกลุ่ม,รวม,ไตรมาส 3
553.42,304,2563,การรวมกลุ่ม,รวม,ไตรมาส 4
391.385,305,2563,การรวมกลุ่ม,รวม,เฉลี่ย 4 ไตรมาส
,306,2563,การรวมกลุ่ม,ชาย                         ,ไตรมาส 1
,307,2563,การรวมกลุ่ม,ชาย                         ,ไตรมาส 2
489.31,308,2563,การรวมกลุ่ม,ชาย                         ,ไตรมาส 3
553.42,309,2563,การรวมกลุ่ม,ชาย                         ,ไตรมาส 4
260.6825,310,2563,การรวมกลุ่ม,ชาย                         ,เฉลี่ย 4 ไตรมาส
,311,2563,การรวมกลุ่ม,หญิง                        ,ไตรมาส 1
,312,2563,การรวมกลุ่ม,หญิง                        ,ไตรมาส 2
522.8,313,2563,การรวมกลุ่ม,หญิง                        ,ไตรมาส 3
,314,2563,การรวมกลุ่ม,หญิง                        ,ไตรมาส 4
130.7,315,2563,การรวมกลุ่ม,หญิง                        ,เฉลี่ย 4 ไตรมาส
400485,316,2564,ยอดรวม,รวม,ไตรมาส 1
395828.5,317,2564,ยอดรวม,รวม,ไตรมาส 2
377394.18,318,2564,ยอดรวม,รวม,ไตรมาส 3
388106.06,319,2564,ยอดรวม,รวม,ไตรมาส 4
390453.435,320,2564,ยอดรวม,รวม,เฉลี่ย 4 ไตรมาส
215920,321,2564,ยอดรวม,ชาย                         ,ไตรมาส 1
215360.35,322,2564,ยอดรวม,ชาย                         ,ไตรมาส 2
213494.15,323,2564,ยอดรวม,ชาย                         ,ไตรมาส 3
219011.32,324,2564,ยอดรวม,ชาย                         ,ไตรมาส 4
215946.45500000002,325,2564,ยอดรวม,ชาย                         ,เฉลี่ย 4 ไตรมาส
184565,326,2564,ยอดรวม,หญิง                        ,ไตรมาส 1
180468.16,327,2564,ยอดรวม,หญิง                        ,ไตรมาส 2
163900.03,328,2564,ยอดรวม,หญิง                        ,ไตรมาส 3
169094.74,329,2564,ยอดรวม,หญิง                        ,ไตรมาส 4
174506.9825,330,2564,ยอดรวม,หญิง                        ,เฉลี่ย 4 ไตรมาส
9206,331,2564,นายจ้าง,รวม,ไตรมาส 1
7161.33,332,2564,นายจ้าง,รวม,ไตรมาส 2
