_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
117,รย. 9 รถยนต์บริการธุรกิจ,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
118,รย. 10 รถยนต์บริการทัศนาจร,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
119,รย. 11 รถยนต์บริการให้เช่า,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
120,รย. 12 รถจักรยานยนต์,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
121,รย. 13 รถแทร็กเตอร์,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
122,รย. 14 รถบดถนน,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
123,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
124,รย. 16 รถพ่วง,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
125,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
126,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
127,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,506,เบนซิน
128,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,2,เบนซิน
129,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,6,เบนซิน
130,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,เบนซิน
131,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,เบนซิน
132,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,เบนซิน
133,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,เบนซิน
134,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,เบนซิน
135,รย. 9 รถยนต์บริการธุรกิจ,2566,0,เบนซิน
136,รย. 10 รถยนต์บริการทัศนาจร,2566,0,เบนซิน
137,รย. 11 รถยนต์บริการให้เช่า,2566,0,เบนซิน
138,รย. 12 รถจักรยานยนต์,2566,"8,873",เบนซิน
139,รย. 13 รถแทร็กเตอร์,2566,0,เบนซิน
140,รย. 14 รถบดถนน,2566,0,เบนซิน
141,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,เบนซิน
142,รย. 16 รถพ่วง,2566,0,เบนซิน
143,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,เบนซิน
144,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,เบนซิน
