sex,_id,year,value,unit,age_group,source
รวม,123,2562,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),124,2562,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),125,2562,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,126,2563,1.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),127,2563,1.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),128,2563,1.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,129,2563,7.3,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),130,2563,6.8,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),131,2563,8.1,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,132,2563,2.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),133,2563,2.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),134,2563,2.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,135,2563,0.8,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),136,2563,0.9,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),137,2563,0.7,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,138,2563,0.5,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),139,2563,0.5,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),140,2563,0.4,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,141,2563,0.2,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),142,2563,0.2,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),143,2563,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,144,2564,1.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),145,2564,1.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),146,2564,1.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,147,2564,8.2,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),148,2564,7.1,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),149,2564,9.9,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,150,2564,2.6,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),151,2564,2.7,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),152,2564,2.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,153,2564,1.0,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),154,2564,1.1,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),155,2564,1.0,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,156,2564,0.6,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),157,2564,0.6,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),158,2564,0.5,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,159,2564,0.2,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),160,2564,0.2,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),161,2564,0.2,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,162,2565,1.3,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),163,2565,1.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),164,2565,1.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,165,2565,6.6,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),166,2565,5.3,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),167,2565,8.4,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,168,2565,1.8,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),169,2565,1.9,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),170,2565,1.8,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,171,2565,0.5,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),172,2565,0.5,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),173,2565,0.5,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,174,2565,0.3,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),175,2565,0.3,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),176,2565,0.3,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,177,2565,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),178,2565,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
