ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตกล่องกระดาษ,ลำลูกกา,3900,โรงงานผลิตภาชนะบรรจุจากกระดาษทุกชนิดหรือแผ่นกระดาษไฟเบอร์ (Fibreboard),ลำลูกกา คลอง10,NULL,20100000000000,1.6,28,ปทุมธานี,18,46047,70.5,2564,บึงทองหลาง,จ2-39-23/64ปท,ห้างหุ้นส่วนจำกัด ที.พี.แพคกิ้ง,366,ห้างหุ้นส่วนจำกัด ที.พี.แพคกิ้ง,2,12150
การทำเก๊กฮวยผง ขิงผง หรือเครื่องดื่มชนิดผงจากพืชอื่นๆ ชา กาแฟผงสำเร็จรูป ผลิตภัณฑ์เครื่องดื่มชนิดผงจากสารเติมแต่งด้านอาหารต่างๆ,ลำลูกกา,1205,การทำเก็กฮวยผง ขิงผง หรือเครื่องดื่มชนิดผงจากพืชอื่น ๆ,NULL,NULL,20100000000000,221.16,7,ปทุมธานี,7,88/1,66.94,2566,บึงทองหลาง,จ2-12(5)-1/66ปท,บริษัท นูทริน่า อินเตอร์ฟู้ดส์ จำกัด ,367,บริษัท นูทริน่า อินเตอร์ฟู้ดส์ จำกัด ,2,12150
ทำท่อแอร์สำหรับใช้กับระบบเครื่องปรับอากาศ,คลองหลวง,6305,การทำส่วนประกอบสำหรับใช้กับระบบเครื่องปรับอากาศ,NULL,NULL,20100000000000,6,8,ปทุมธานี,5,39/3,53,2564,คลองสี่,จ2-63(5)-2/64ปท,บริษัท เอเซีย พีไอดี เทคโนโลยี จำกัด,368,บริษัท เอเซีย พีไอดี เทคโนโลยี จำกัด,2,12120
ผลิตอาหาร จากพืช สัตว์ พร้อมทั้งบรรจุในภาชนะที่ปิดผนึก เช่น อาหารเสริม กาแฟ เครื่องดื่มในภาชนะที่ปิดสนิท เป็นต้น,ลำลูกกา,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,-,-,20100000000000,40,17,ปทุมธานี,13,33/25,73.04,2567,ลำลูกกา,จ2-8(1)-14/67ปท,บริษัท ริชโกลด์ บิวตี้ แอนด์ เฮลธ์ จำกัด ,369,บริษัท ริชโกลด์ บิวตี้ แอนด์ เฮลธ์ จำกัด,2,12150
ผลิต และประกอบเครื่องจักร สำหรับใช้ในอุตสาหกรรมต่างๆ,สามโคก,6702,การทำ ดัดแปลง หรือซ่อมแซมเครื่องกลึง เครื่องคว้าน เครื่องเจาะ เครื่องกัด(Milling machines),NULL,NULL,20100000000000,19.2,10,ปทุมธานี,4,28/14,60,2564,ท้ายเกาะ,จ2-67(2)-4/64ปท,บริษัท ทีทีซี ซิสเท็ม จำกัด,370,บริษัท ทีทีซี ซิสเท็ม จำกัด,2,12160
ตัดแต่งเนื้อสุกรเพื่อจำหน่าย,บ้านนา,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,NULL,NULL,20300000000000,14,46,นครนายก,8,46242,72.9,2567,อาษา,จ2-4(3)-16/67นย,บริษัท ส.พาทรัพย์ จำกัด,371,บริษัท ส.พาทรัพย์ จำกัด,2,26110
ทำหลังคา และฝาผนังจากเหล็ก,สามโคก,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,NULL,NULL,20100000000000,10.98,10,ปทุมธานี,6,46230,58,2564,บ้านปทุม,จ2-63(2)-76/64ปท,บริษัท บี.เค.เม็ททอลชีท(ธรรมศาสตร์รังสิต) จำกัด,372,บริษัท บี.เค.เม็ททอลชีท(ธรรมศาสตร์รังสิต) จำกัด,2,12160
ทำลูกชิ้นไก่ และไก่ยอ,สามโคก,406,การล้าง ชำแหละ แกะ ต้ม นึ่ง ทอด หรือบดสัตว์ หรือส่วนหนึ่งส่วนใดของสัตว์,-,-,20100000000000,5.6,60,ปทุมธานี,4,46187,42,2564,คลองควาย,จ2-4(6)-5/64ปท,นายสุทธิพงษ์ จันทร์เศรษฐี,373,-,2,12160
ผลิต ผลิตภัณฑ์โลหะ ด้วยวิธีการปั้ม กลึง เจาะ ไส เจียน และเชื่อมโลหะ ,สามโคก,6412,การตัด พับ  หรือม้วนโลหะ,NULL,NULL,20100000000000,15,0,ปทุมธานี,4,32/25,68,2566,ท้ายเกาะ,จ2-64(12)-4/66ปท,บริษัท เค.อาร์.ซี.วัน จำกัด ,374,บริษัท เค.อาร์.ซี.วัน จำกัด ,2,12160
ผลิตขนมปัง ขนมเค้ก คุ้กกี้ และขนมเบเกอรี่ทุกชนิด ,ลำลูกกา,1001,การทำขนมปังหรือขนมเค้ก,NULL,NULL,20100000000000,8.6,16,ปทุมธานี,5,111,73.201,2566,บึงทองหลาง,จ2-10(1)-2/66ปท,นางสาวรัชฎา ชิ้นอินมนู ,375,บ้านปั้นแป้ง (โรง 2 ),2,12150
ตัดตกแต่งแผ่นยางพาราและอัดยางก้อนถ้วยให้เป็นก้อน,เมืองสระแก้ว,5202,การหั่น ผสม รีดให้เป็นแผ่น หรือตัดแผ่นยางธรรมชาติซึ่งมิใช่การทำสวนยางหรือป่า,NULL,NULL,20300000000000,2.45,10,สระแก้ว,6,NULL,70,2564,โคกปี่ฆ้อง,จ2-52(2)-1/64สก,บริษัท ชาน ทา เทรดดิ้ง จำกัด,376,บริษัท ชาน ทา เทรดดิ้ง จำกัด,2,27000
อัดเศษโลหะ,อรัญประเทศ,6411,การอัดเศษโลหะ,NULL,NULL,20300000000000,2.9,4,สระแก้ว,6,159,53,2564,บ้านใหม่หนองไทร,จ2-64(11)-12/64สก,บริษัท โสอุดม จำกัด,377,บริษัท โสอุดม จำกัด,2,27120
ผลิตภัณฑ์คอนกรีต เสาเข็ม,สามโคก,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,NULL,NULL,20100000000000,10,8,ปทุมธานี,1,50,70.5,2564,บางเตย,จ2-58(1)-167/64ปท,บริษัท พีพี ไมโครไพล์ จำกัด,378,บริษัท พีพี ไมโครไพล์ จำกัด,2,12160
ผลิตวัสดุที่ใช้ในทางวิศวกรรมจราจรทุกชนิด เช่น ป้ายจราจร,เมืองฉะเชิงเทรา,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,NULL,NULL,20200000000000,10.35,19,ฉะเชิงเทรา,17,96,51.25,2564,คลองนครเนื่องเขต,จ2-87(5)-11/64ฉช,บริษัท ยูเนียน ทราฟฟิค แอนด์ เอ็นจิเนียริ่ง จำกัด,379,บริษัท ยูเนียน ทราฟฟิค แอนด์ เอ็นจิเนียริ่ง จำกัด,2,24000
ผลิตเตรื่องสำอาง สิ่งปรุงแต่งร่างกาย และสบู่,เมืองฉะเชิงเทรา,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,-,-,20200000000000,5.4,7,ฉะเชิงเทรา,3,43/6,51.99,2564,คลองอุดมชลจร,จ2-47(3)-18/64ฉช,บริษัท เอส บี พี แมนูแฟคเจอริ่ง จำกัด,380,บริษัท เอส บี พี แมนูแฟคเจอริ่ง จำกัด,2,24000
ผลิตท่อคอนกรีตอัดแรงสำหรับงานระบายน้ำ,พนมสารคาม,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,เกาะขนุน-ไร่ดอน,-,20200000000000,6,5,ฉะเชิงเทรา,8,258/2,53.72,2564,เกาะขนุน,จ2-58(1)-110/64ฉช,บริษัท เจ.อาร์.พี.คอนกรีต จำกัด,381,บริษัท เจ.อาร์.พี.คอนกรีต จำกัด,2,24120
"ผลิตชิ้นส่วนรถยนต์และจักนยานยนต์ , ผลิตเครื่องมือสำหรับใช้ในโรงงานอุตสาหกรรม",เมืองฉะเชิงเทรา,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,สุวินทวงศ์,NULL,20200000000000,1.7,3,ฉะเชิงเทรา,8,46235,64,2564,วังตะเคียน,จ2-77(2)-43/64ฉช,บริษัท เอ็มเอสพี พรีซิซั่น ทูล (ไทยแลนด์) จำกัด,382,บริษัท เอ็มเอสพี พรีซิซั่น ทูล (ไทยแลนด์) จำกัด,2,24000
ทำเครื่องใช้เล็กๆ จากโลหะและทำเครื่องมือ เครื่องใช้ หรือเครื่องเรือน รวมถึงชิ้นส่วนของผลิตภัณฑ์จากพลาสติก,บางปะกง,6409,การทำเครื่องใช้เล็ก ๆ จากโลหะ,พิมพาวาส-แสนภูดาษ,-,20200000000000,16.5624,85,ฉะเชิงเทรา,4,49/1,20,2567,หนองจอก,จ3-64(9)-4/67ฉช,บริษัท ทีทีเอส เมอร์แคนไท จำกัด,383,บริษัท ทีทีเอส เมอร์แคนไท จำกัด,2,24130
ผลิตผลิตภัณฑ์จากโลหะด้วยวิธีการ กลึง กัด ไส เจียน หรือเชื่อมโลหะทั่วไป ,ลำลูกกา,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,NULL,NULL,20100000000000,32,32,ปทุมธานี,2,14/27,73.04,2564,พืชอุดม,จ2-64(13)-255/64ปท,บริษัท เอส เอส เอ็ม แอนด์ แมชชินเนอรี่ จำกัด,384,บริษัท เอส เอส เอ็ม แอนด์ แมชชินเนอรี่ จำกัด,2,12150
กลึง เจาะ คว้าน ไส เจียร หรือ เชื่อมโลหะทั่วไป,ลำลูกกา,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,NULL,NULL,20100000000000,18.7557,11,ปทุมธานี,2,46131,73.2,2564,บึงคำพร้อย,จ2-64(13)-256/64ปท,บริษัท วินสเทค จำกัด,385,บริษัท วินสเทค จำกัด,2,12150
เครื่องปรุงอาหาร เครื่องแกง เครื่องเทศ ผสมแป้งประกอบอาหาร เครื่องดื่มแต่งกลิ่นรส เครื่องดื่มชนิดผง แบ่งบรรจุกาแฟปรุงสำเร็จรูป อาหารกึ่งสำเร็จรูป,ลำลูกกา,1308,การทำพริกป่น พริกไทยป่น หรือเครื่องแกง,ลำลูกกา,นันทพร,20100000000000,79,41,ปทุมธานี,12,46237,63.71,2564,บึงทองหลาง,จ2-13(8)-9/64ปท,บริษัท จิมสกรุ๊ป จำกัด,386,บริษัท จิมสกรุ๊ป จำกัด,2,12150
ทำประตู หน้าต่างเหล็กดัด มุ้งลวด,เมืองฉะเชิงเทรา,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,สุวินทวงศ์,โรงสีชุมนุมสหกรณ์,20200000000000,1.4,6,ฉะเชิงเทรา,2,46040,55.45,2564,วังตะเคียน,จ2-63(2)-157/64ฉช,นายวรพงษ์ อ่องรุ่งเรือง,387,นิยมการช่าง,2,24000
"ผลิตชิ้นส่วนรถยนต์ ได้ปีละ 120,000 ชิ้น",บ้านโพธิ์,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,-,-,20200000000000,3,49,ฉะเชิงเทรา,3,77/7,62.75,2564,บางกรูด,จ2-77(2)-49/64ฉช,บริษัท โตโยโตโม จำกัด,388,บริษัท โตโยโตโม จำกัด,2,24140
ผลิตเครื่องมือเครื่องใช้ อุปกรณ์ทางการแพทย์,บางน้ำเปรี้ยว,8103,การทำเครื่องมือ เครื่องใช้ หรืออุปกรณ์การแพทย์,บางน้ำเปรี้ยว-หนองจอก,NULL,20200000000000,15,26,ฉะเชิงเทรา,8,46051,63,2564,ศาลาแดง,จ2-81(3)-9/64ฉช,บริษัท เพนต้าเมด จำกัด,389,บริษัท เพนต้าเมด จำกัด,2,24000
ผลิตแผ่นเมทัลชีท และเมทัลชีทพียูโฟม,เมืองฉะเชิงเทรา,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,NULL,NULL,20200000000000,4,8,ฉะเชิงเทรา,8,NULL,60,2564,บางไผ่,จ2-63(2)-159/64ฉช,ห้างหุ้นส่วนจำกัด ที.ที.เมทัล ชีท (ฉะเชิงเทรา),390,ห้างหุ้นส่วนจำกัด ที.ที.เมทัล ชีท (ฉะเชิงเทรา),2,24000
ทำขนมจีน,เมืองฉะเชิงเทรา,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,มีนบุรี-ฉะเชิงเทรา,NULL,20200000000000,0.05,15,ฉะเชิงเทรา,5,46195,52.5,2564,คลองนครเนื่องเขต,จ2-10(3)-23/64ฉช,นายวิชัย ศรีอุไร,391,ยินดี,2,24000
ผลิตโซ่อุตสาหกรรม โซ่จักรยานยนต์ ได้ปีละ 30000 ฟุต เฟืองอุตสาหกรรมและยานยนต์ ได้ปีละ 10000 ชิ้น,บางปะกง,6100,โรงงานผลิต ตบแต่ง ดัดแปลง หรือซ่อมแซมเครื่องมือหรือเครื่องใช้ที่ทำด้วยเหล็กหรือเหล็กกล้า,NULL,NULL,20200000000000,6.6,7,ฉะเชิงเทรา,2,35/2,63.7,2564,หนองจอก,จ2-61-20/64ฉช,บริษัท เทียน เหยียน แมชีนเนอรี่ เอ็มเอฟจี (ประเทศไทย) จำกัด,392,บริษัท เทียน เหยียน แมชีนเนอรี่ เอ็มเอฟจี (ประเทศไทย) จำกัด,2,24130
รับจ้างตัดเย็บเครื่องนุ่งห่ม เช่น ผ้าห่ม ปลอกหมอน หมอน,เมืองฉะเชิงเทรา,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,NULL,NULL,20200000000000,6.7,52,ฉะเชิงเทรา,1,55/2,42.15,2564,คลองหลวงแพ่ง,จ2-28(1)-80/64ฉช,บริษัท ทองไทย เทรดดิ้ง แอนด์ เบดดิ้ง จำกัด,393,บริษัท ทองไทย เทรดดิ้ง แอนด์ เบดดิ้ง จำกัด,2,24000
ทำผลิตภัณฑ์จากผ้าใบ เช่น เชื่อมต่อผ้าใบ ได้ปีละ 10200ตารางเมตร,บางปะกง,2303,การทำผลิตภัณฑ์จากผ้าใบ,NULL,NULL,20200000000000,2,25,ฉะเชิงเทรา,3,44197,97.72,2546,ท่าข้าม,จ2-23(3)-1/46ฉช,บริษัท เอสที เดอะเซนท์ จำกัด,394,บริษัท เอสที เดอะเซนท์ จำกัด,2,24130
ผลิตชิ้นส่วนอุปกรณ์อิเลคโทรนิคส์,คลองหลวง,6405,การทำผลิตภัณฑ์จากลวดหรือสายเคเบิล โดยใช้ลวดที่ได้มาจากแหล่งผลิตอื่น ซึ่งมิใช่ลวด,พหลโยธิน,-,20100000000000,0,55,ปทุมธานี,13,1144,25.2,2543,คลองหนึ่ง,จ2-64(5)-1/43ปท,บริษัท เทคน่า จำกัด,395,บริษัท เทคน่า จำกัด,2,12120
โรงงานน้ำดื่ม,พิมาย,2001,การทำน้ำดื่ม,NULL,NULL,20300000000000,18,6,นครราชสีมา,6,56/3,52,2566,ในเมือง,จ2-20(1)-3/66นม,ห้างหุ้นส่วนจำกัด ดาวยิ้ม,396,ห้างหุ้นส่วนจำกัด ดาวยิ้ม,2,30110
ผลิตชิ้นส่วนปั๊มน้ำ,ศรีมหาโพธิ,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,-,-,20300000000000,10.2,6,ปราจีนบุรี,9,108,69,2567,หัวหว้า,จ2-70-22/67ปจ,บริษัท ตงชุน อิเล็กทรอนิกส์ เทคโนโลยี (ไทยแลนด์) จำกัด ,397,ตงชุน ,2,25140
กลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,นาดี,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,-,-,20300000000000,10.5,30,ปราจีนบุรี,6,312,74.34,2566,นาดี,จ2-64(13)-8/66ปจ,บริษัท พี.เอส.จี.ทูลส์ แอนด์ แมคคานิคคอล จำกัด,398,บริษัท พี.เอส.จี.ทูลส์ แอนด์ แมคคานิคคอล จำกัด,2,25220
ตัดเย็บเสื้อผ้า,เมืองนครราชสีมา,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,นครราชสีมา-โชคชัย,NULL,20300000000000,4.1,60,นครราชสีมา,3,172,25.9,2563,หนองบัวศาลา,จ2-28(1)-9/63นม,นายจำรัส จิรวรางกูร,399,นายจำรัส จิรวรางกูร,2,30000
ทำประตูม้วน เหล็กดัด กลึงเชื่อมโลหะทั่วไป,ปากช่อง,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,มิตรภาพ,-,20300000000000,4.4,5,นครราชสีมา,NULL,131/1,70,2563,ปากช่อง,จ2-63(2)-53/63นม,นายพิสิทธิ์ จังสถิตย์กุล,400,นายพิสิทธิ์ จังสถิตย์กุล,2,30130
ผลิตคอนกรีตผสมเสร็จ,ชุมพวง,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,พิมาย-ชุมพวง,NULL,20300000000000,5.1,4,นครราชสีมา,17,NULL,67.5,2563,ท่าลาด,จ2-58(1)-67/63นม,ห้างหุ้นส่วนจำกัด พ.พิชยะ,401,ห้างหุ้นส่วนจำกัด พ.พิชยะ,2,30270
ทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,กบินทร์บุรี,2301,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,NULL,NULL,20300000000000,19.15,52,ปราจีนบุรี,9,324,8.66,2564,ลาดตะเคียน,จ2-23(1)-7/64ปจ,บริษัท ที่นอน ยูคอมฟอร์ท จำกัด,402,บริษัท ที่นอน ยูคอมฟอร์ท จำกัด,2,25110
ผลิตประกอบซ่อมเครื่องกำเหนิดไฟฟ้า,พนมสารคาม,7100,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า,แปลงยาว-กบินทบุรี(304),NULL,20200000000000,4.1,20,ฉะเชิงเทรา,7,-,65.7,2564,หนองแหน,จ2-71-39/64ฉช,นายนพพร มากทอง,403,นพพรเทร็ดดิ้ง,2,24120
สีข้าวชนิดแยกแกลบแยกรำ,เมืองฉะเชิงเทรา,901,การสี ฝัด หรือขัดข้าว,-,-,20200000000000,0.7,4,ฉะเชิงเทรา,11,2,70,2564,คลองนครเนื่องเขต,จ2-9(1)-30/64ฉช,นายธวัชชัย ตันวัฒนะ,404,-,2,24000
ผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช เช่น หอมเจียว เป็นต้น,องครักษ์,904,การผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช,NULL,NULL,20300000000000,1.25,25,นครนายก,4,48,64.28,2564,ศีรษะกระบือ,จ2-9(4)-12/64นย,ห้างหุ้นส่วนจำกัด สุนิดา,405,ห้างหุ้นส่วนจำกัด สุนิดา,2,26120
ผลิตคอนกรีตผสมเสร็จ,ห้วยราช,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,-,-,20300000000000,17.8,10,บุรีรัมย์,7,74,73,2564,ห้วยราช,จ2-58(1)-179/64บร,ห้างหุ้นส่วนจำกัด ก้องภพค้าวัสดุ,406,ห้างหุ้นส่วนจำกัด ก้องภพค้าวัสดุ,2,31000
ประกอบ ดัดแปลง ซ่อมแซมเครื่องปรับอากาศหรือเครื่องถ่ายเทอากาศ,เมืองนครนายก,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,NULL,NULL,20300000000000,13.6,17,นครนายก,4,155,63,2566,บ้านใหญ่,จ2-70-2/66นย,บริษัท แอดวานซ์ คูล เทคโนโลยี จำกัด,407,บริษัท แอดวานซ์ คูล เทคโนโลยี จำกัด,2,26000
ผลิตอาหารสัตว์,เมืองสระแก้ว,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,NULL,NULL,20300000000000,2.16,54,สระแก้ว,10,188,48,2562,ศาลาลำดวน,จ2-15(1)-2/62สก,บริษัท ฟีด ฟาร์ม ฟู้ดส์ กรุ๊ป จำกัด,408,บริษัท ฟีด ฟาร์ม ฟู้ดส์ กรุ๊ป จำกัด,2,27000
ล้าง ชำแหละเนื้อไก่,เมืองสระแก้ว,406,การล้าง ชำแหละ แกะ ต้ม นึ่ง ทอด หรือบดสัตว์ หรือส่วนหนึ่งส่วนใดของสัตว์,NULL,NULL,20300000000000,3.9,73,สระแก้ว,3,333,73,2564,โคกปี่ฆ้อง,จ2-4(6)-10/64สก,บริษัท ศรีสุวรรณโภคภัณฑ์ จำกัด,409,บริษัท ศรีสุวรรณโภคภัณฑ์ จำกัด,2,27000
แบ่งบรรจุสินค้าทั่วไป เช่น ปุ๋ย โดยไม่มีการผลิต,วัฒนานคร,9101,การบรรจุสินค้าทั่วไป,สุวรรณศร,-,20300000000000,315,24,สระแก้ว,1,470,71.75,2565,ห้วยโจด,จ2-91(1)-3/65สก,บริษัท เกษตรอุตสาหกรรม จำกัด,410,บริษัท เกษตรอุตสาหกรรม จำกัด,2,27160
"โรงงานผลิตชิ้นส่วนและ/หรืออุปกรณ์อิเล็กทรอนิกส์หรือชิ้นส่วนและ/หรืออุปกรณ์ ที่ใช้กับผลิตภัณฑ์อิเล็กทรอนิกส์ เช่น สายแพสำหรับเครื่องถ่ายเอกสาร, แฟ็กซ์ และปริ้นเตอร์ เป็นต้น ",ศรีมหาโพธิ,6900,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องคำนวณ เครื่องทำบัญชี หรือเครื่องอิเล็กทรอนิกส์,304,NULL,20300000000000,100,134,ปราจีนบุรี,5,144,39.33,2560,กรอกสมบูรณ์,จ2-69-2/60ปจ,บริษัท ทาคาเนะ อิเล็กทรอนิกส์ (ไทยแลนด์) จำกัด,411,บริษัท ทาคาเนะ อิเล็กทรอนิกส์ (ไทยแลนด์) จำกัด,2,25140
ตัด พับ ม้วน กลึง เจาะ กัด เจียร หรือเชื่อมโลหะทั่วไป เช่น ราวลูกฟูก ป้ายจราจรโลหะ และป้ายอื่นๆ ที่ทำจากโลหะ,ลาดบัวหลวง,6412,การตัด พับ  หรือม้วนโลหะ,NULL,NULL,20100000000000,106,5,พระนครศรีอยุธยา,7,53,72.5,2567,สามเมือง,จ2-64(12)-26/67อย,บริษัท เอ็มพลัส เทรดดิ้ง เซ็นเตอร์ จำกัด,412,บริษัท เอ็มพลัส เทรดดิ้ง เซ็นเตอร์ จำกัด,2,13230
ประกอบชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ทุกประเภท,วังน้อย,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,NULL,NULL,20100000000000,3,55,พระนครศรีอยุธยา,7,179/3,43.53,2551,ลำตาเสา,จ2-72-1/51อย,บริษัท จุง อัง อิเลคทรอนิกส์ จำกัด,413,บริษัท จุง อัง อิเลคทรอนิกส์ จำกัด,2,13170
ผลิตชิ้นส่วนโลหะที่ใช้สำหรับการก่อสร้างและเครื่องใช้ต่าง ๆ,กบินทร์บุรี,6412,การตัด พับ  หรือม้วนโลหะ,,ถ. สุวรรณศร,20300000000000,4,7,ปราจีนบุรี,9,70/3,67,2569,บ่อทอง,จ3-64(12)-3/69ปจ,บริษัท ซีวายซีวาย จำกัด,414,บริษัท ซีวายซีวาย จำกัด,2,25110
ล้าง โม่ บด ดินสอพอง,เมืองปราจีนบุรี,5500,โรงงานผลิตภัณฑ์เครื่องกระเบื้องเคลือบ เครื่องปั้นดินเผา หรือเครื่องดินเผา และรวมถึงการเตรียมวัสดุดังกล่าว,สุวินทวงศ์,NULL,20300000000000,9.5,8,ปราจีนบุรี,7,54/1,67,2564,ไม้เค็ด,จ2-55-10/64ปจ,นางสาวธนารัตน์ เตชวุฒิวัฒน์,415,ไทยบราเบอ,2,25230
ทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น หลังคาเมทัลชีท,กบินทร์บุรี,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,NULL,NULL,20300000000000,20.542231,8,ปราจีนบุรี,11,222,52,2564,กบินทร์,จ2-63(2)-114/64ปจ,บริษัท ไทยอินเตอร์เนชั่นแนล เมทัลชีท (กบินทร์บุรี) จำกัด,416,บริษัท ไทยอินเตอร์เนชั่นแนล เมทัลชีท (กบินทร์บุรี) จำกัด,2,25110
ผลิตผลิตภัณฑ์คอนกรีต เช่น คอนกรีตผสมเสร็จ ท่อคอนกรีต บ่อพักคอนกรีต เสาคอนกรีต,นาดี,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,-,-,20300000000000,17,4,ปราจีนบุรี,13,456,73.5,2564,นาดี,จ2-58(1)-237/64ปจ,บริษัท สินสุวรรณ อนันต์ คอนสตรัคชั่น จำกัด,417,บริษัท สินสุวรรณ อนันต์ คอนสตรัคชั่น จำกัด,2,25220
ผลิตหลังคาเหล็กรีดลอน,กันทรลักษ์,6412,การตัด พับ  หรือม้วนโลหะ,NULL,NULL,20300000000000,6.7,5,ศรีสะเกษ,11,232,52,2564,จานใหญ่,จ2-64(12)-6/64ศก,บริษัท ไทยเม็ททัล กันทรลักษ์ จำกัด,418,บริษัท ไทยเม็ททัล กันทรลักษ์ จำกัด,2,33110
คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,โพธิ์ทอง,209,การร่อน ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,NULL,NULL,20200000000000,7.5,9,อ่างทอง,2,144/1,59,2564,ยางช้าย,จ2-2(9)-14/64อท,นางสาววรรณา เทพารักษ์,419,ลุงแลพันธุ์ข้าว,2,14120
ทำเครื่องปั้นดินเผา เช่นกระถางแดง,วิเศษชัยชาญ,5500,โรงงานผลิตภัณฑ์เครื่องกระเบื้องเคลือบ เครื่องปั้นดินเผา หรือเครื่องดินเผา และรวมถึงการเตรียมวัสดุดังกล่าว,NULL,NULL,20200000000000,2.45,4,อ่างทอง,4,64/5,61,2564,ตลาดใหม่,จ2-55-12/64อท,นายสมปอง มากเกษม,420,วิเศษพอทเทอร์รี่,2,14110
