ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตนมโคพาสเจอร์ไรส์,จตุจักร,501,งามวงศ์วาน,, 65.31 ,10100000525531, 37 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,50, 678.00 ,3-5(1)-5/53,53,ลาดยาว,ศูนย์ผลิตภัณฑ์นม มหาวิยาลัยเกษตรศาสตร์,37,ศูนย์ผลิตภัณฑ์นม มหาวิยาลัยเกษตรศาสตร์,3,10900
โม่แป้ง,จตุจักร,902,ประชาชื่น,เสริมสุข 2, -   ,10100100425517, 23 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,-,273/11-12, 134.86 ,3-9(2)-4/51,51,จตุจักร,นายอมร ภากรณ์ประเสริฐ,38,,3,10900
ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 65.23 ตัน,จตุจักร,1400,ลาดพร้าว,ลาดพร้าว 15, 13.80 ,10100100125232, 16 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,765/12, 526.74 ,3-14-1/23,23,ลาดยาว,อุตสาหกรรมน้ำแข็งหลอดซันต้า,39,อุตสาหกรรมน้ำแข็งหลอดซันต้า,3,10900
ซ่อมรถแทรกเตอร์และอุปกรณ์อะไหล่แทรคเตอร์,จตุจักร,7000,วิภาวดีรังสิต,-, 0.53 ,10100201125487, 2 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,9,7/100, 78.00 ,3-70-11/48,48,ลาดยาว,บริษัท ยนต์ประทีปเอ็นจิเนียริ่ง จำกัด,40,บริษัท ยนต์ประทีปเอ็นจิเนียริ่ง จำกัด,3,10900
ซ่อมบำรุงรถไฟฟ้าขนส่งมวลชน,จตุจักร,7601,พหลโยธิน,," 1,880.00 ",10102700125406, 150 ,อุตสาหกรรมโลจิสติกส์,2,กรุงเทพมหานคร,,1000," 1,227.88 ",3-76(1)-1/40,40,จอมพล,บริษัท ระบบขนส่งมวลชนกรุงเทพ จำกัด (มหาชน),41,บริษัท ระบบขนส่งมวลชนกรุงเทพ จำกัด (มหาชน),3,10900
ทำอะไห่ลรถยนต์ และชิ้นส่วนรถยนต์,จตุจักร,7702,พหลโยธิน,, 2.40 ,10100102725294, 13 ,อุตสาหกรรมยานยนต์,3,กรุงเทพมหานคร,,1714/5-6, 109.83 ,3-77(2)-27/29,29,ลาดยาว,ห้างหุ้นส่วนจำกัด ไทยรุ่งเรืองกลการ,42,ห้างหุ้นส่วนจำกัด ไทยรุ่งเรืองกลการ,3,10900
ทำปลาหมึกอบแห้ง มันทอดกรอบและห้องเย็น,จอมทอง,601,ธนบุรี-ปากท่อ,จันทร์พริ้ง, 9.33 ,10100100325329, 52 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,3,9/35, 154.53 ,3-6(1)-3/32,32,บางขุนเทียน,เจี๊ยบเซ้งฟิชเชอรี่,43,เจี๊ยบเซ้งฟิชเชอรี่,3,10150
ทำผลไม้กระป๋อง,จอมทอง,801,,สุขสวัสดิ์ 2, 1.00 ,10100000425526, 8 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,306, 476.15 ,3-8(1)-4/52,52,จอมทอง,บริษัท เฮงเลี้ยง จำกัด,44,บริษัท เฮงเลี้ยง จำกัด,3,10150
ผลิตผลไม้กระป๋อง,จอมทอง,801,,สุขสวัสดิ์ 2, 4.00 ,100100125382, 27 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,412, 744.00 ,ศ3-8(1)-1/38,38,จอมทอง,บริษัท โรงงานเครื่องกระป๋องฮั่วเซ้ง จำกัด,45,บริษัท โรงงานเครื่องกระป๋องฮั่วเซ้ง จำกัด,3,10150
ทำเกลือป่น ผักกาดเค็ม ผักกาดเส้น และตั้งฉ่าย,จอมทอง,801,สุขสวัสดิ์,สุขสวัสดิ์ 2 แยก 2, 0.90 ,10100001225156, 23 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,4,2/1, 99.00 ,3-8(1)-12/15,15,จอมทอง,บริษัท ต.ชัยพัฒนา จำกัด,46,บริษัท ต.ชัยพัฒนา จำกัด,3,10150
ทำปลากระป๋องและผักกระป๋อง,จอมทอง,801,สุขสวัสดิ์,สุขสวัสดิ์ 2, 5.00 ,10100100125257, 35 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,4,6/12, 751.28 ,3-8(1)-1/25,25,จอมทอง,บริษัท วี.เค.แฟคตอรี่ จำกัด,47,บริษัท วี.เค.แฟคตอรี่ จำกัด,3,10150
ดองผลไม้ต่าง ๆ,จอมทอง,802,จอมทอง,เลิศพัฒนาใต้, 12.50 ,10100100125125, 56 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,19,7/5, 76.76 ,3-8(2)-1/12,12,จอมทอง,บริษัท ผลไม้จามจุรี จำกัด,48,บริษัท ผลไม้จามจุรี จำกัด,3,10150
ทำของดองต่าง ๆ เช่น มะนาวดอง ขิงดองและเต้าหู้ยี้,จอมทอง,802,สุขสวัสดิ์,สุขสวัสดิ์ 2, 1.08 ,10100000325270, 5 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,4,32/3, 51.83 ,3-8(2)-3/27,27,จอมทอง,เจ็งฮวด,49,เจ็งฮวด,3,10150
โม่แป้ง,จอมทอง,903,จอมทอง,, 0.80 ,10100000325148, 11 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,1,11 ข., 87.00 ,3-9(3)-3/14,14,จอมทอง,บริษัท เปล่งวิเชียร จำกัด (สาขา 1),50,บริษัท เปล่งวิเชียร จำกัด (สาขา 1),3,10150
บดเมล็ดถั่ว พริก และพริกไทย,จอมทอง,903,สุขสวัสดิ์,สุขสวัสดิ์ 2, 34.82 ,10100001025150, 16 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,5,560, 801.61 ,3-9(3)-10/15,15,จอมทอง,บริษัท อาจจิตต์ อินเตอร์เนชั่นแนลเพ็พเพอร์แอนด์สไปซ์ จำกัด,51,บริษัท อาจจิตต์ อินเตอร์เนชั่นแนลเพ็พเพอร์แอนด์สไปซ์ จำกัด,3,10150
ทำขนมจีน,จอมทอง,904,จอมทอง,วัจนะ, 1.07 ,10100200125439, 11 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,1,41/14, 89.00 ,3-9(4)-1/43,43,จอมทอง,นางสาวนารี บรรณศรี,52,นางสาวนารี บรรณศรี,3,10150
ทำฟองเต้าหู้ ผลิตน้ำเต้าหู้,จอมทอง,904,สุขสวัสดิ์,สุขสวัสดิ์ 2 แยก 2, 73.00 ,10100000125175, 40 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,40," 1,760.34 ",3-9(4)-1/17,17,จอมทอง,บริษัท โง้ว เจง ง้วน จำกัด,53,บริษัท โง้ว เจง ง้วน จำกัด,3,10150
ทำข้าวเกรียบ,จอมทอง,1003,ริมคลองบางสะแก,, 1.75 ,10100000125423, 17 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,41/24, 92.80 ,3-10(3)-1/42,42,บางค้อ,บริษัท อรภัทร ฟู้ด จำกัด,54,บริษัท อรภัทร ฟู้ด จำกัด,3,10150
ทำลูกกวาดหรือทอฟฟี่และผลไม้กวน,จอมทอง,1210,จอมทอง,จอมทอง 15 (ถนอมกุลบุตร), 0.95 ,10100100125208, 11 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,1,73/1, 213.73 ,3-12(10)-1/20,20,จอมทอง,บริษัท ยงคู่ฟ้า จำกัด,55,บริษัท ยงคู่ฟ้า จำกัด,3,10150
ทำลูกกวาดและหมากฝรั่ง,จอมทอง,1210,จอมทอง,ถนอมกุลบุตร, 5.60 ,10100000625125, 53 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,73/34, 69.30 ,3-12(10)-6/12,12,จอมทอง,ห้างหุ้นส่วนจำกัด โรงงานลูกกวาดลัคกี้,56,ห้างหุ้นส่วนจำกัด โรงงานลูกกวาดลัคกี้,3,10150
