จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
0,173,2566,สิ่งทอ,ประจันตคาม
8,174,2566,สิ่งทอ,ศรีมหาโพธิ
2,175,2566,สิ่งทอ,ศรีมโหสถ
0,176,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,เมืองปราจีนบุรี
10,177,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,กบินทร์บุรี
0,178,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,นาดี
0,179,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,บ้านสร้าง
0,180,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ประจันตคาม
1,181,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ศรีมหาโพธิ
0,182,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ศรีมโหสถ
2,183,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,เมืองปราจีนบุรี
9,184,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,กบินทร์บุรี
0,185,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,นาดี
0,186,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,บ้านสร้าง
0,187,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ประจันตคาม
1,188,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ศรีมหาโพธิ
0,189,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ศรีมโหสถ
3,190,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,เมืองปราจีนบุรี
14,191,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,กบินทร์บุรี
2,192,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,นาดี
0,193,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,บ้านสร้าง
4,194,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,ประจันตคาม
11,195,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,ศรีมหาโพธิ
0,196,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,ศรีมโหสถ
3,197,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,เมืองปราจีนบุรี
7,198,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,กบินทร์บุรี
0,199,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,นาดี
0,200,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,บ้านสร้าง
