ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,อุตสาหกรรม,หน่วย
6098,สำนักงานสถิติจังหวัดมหาสารคาม,136,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
3873,สำนักงานสถิติจังหวัดมหาสารคาม,137,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
2225,สำนักงานสถิติจังหวัดมหาสารคาม,138,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
2972,สำนักงานสถิติจังหวัดมหาสารคาม,139,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
1334,สำนักงานสถิติจังหวัดมหาสารคาม,140,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
1638,สำนักงานสถิติจังหวัดมหาสารคาม,141,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
1824,สำนักงานสถิติจังหวัดมหาสารคาม,142,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
519,สำนักงานสถิติจังหวัดมหาสารคาม,143,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
1305,สำนักงานสถิติจังหวัดมหาสารคาม,144,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,145,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,146,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,147,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,148,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,149,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,150,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
405956,สำนักงานสถิติจังหวัดมหาสารคาม,151,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
219887,สำนักงานสถิติจังหวัดมหาสารคาม,152,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
186069,สำนักงานสถิติจังหวัดมหาสารคาม,153,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
215439,สำนักงานสถิติจังหวัดมหาสารคาม,154,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
122839,สำนักงานสถิติจังหวัดมหาสารคาม,155,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
92600,สำนักงานสถิติจังหวัดมหาสารคาม,156,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
215439,สำนักงานสถิติจังหวัดมหาสารคาม,157,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
122839,สำนักงานสถิติจังหวัดมหาสารคาม,158,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
92600,สำนักงานสถิติจังหวัดมหาสารคาม,159,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
190517,สำนักงานสถิติจังหวัดมหาสารคาม,160,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
97048,สำนักงานสถิติจังหวัดมหาสารคาม,161,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
93469,สำนักงานสถิติจังหวัดมหาสารคาม,162,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,163,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,164,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,165,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
22274,สำนักงานสถิติจังหวัดมหาสารคาม,166,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
11083,สำนักงานสถิติจังหวัดมหาสารคาม,167,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
11191,สำนักงานสถิติจังหวัดมหาสารคาม,168,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
1051,สำนักงานสถิติจังหวัดมหาสารคาม,169,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
656,สำนักงานสถิติจังหวัดมหาสารคาม,170,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
394,สำนักงานสถิติจังหวัดมหาสารคาม,171,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
448,สำนักงานสถิติจังหวัดมหาสารคาม,172,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
448,สำนักงานสถิติจังหวัดมหาสารคาม,173,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,174,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
16787,สำนักงานสถิติจังหวัดมหาสารคาม,175,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
16398,สำนักงานสถิติจังหวัดมหาสารคาม,176,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
389,สำนักงานสถิติจังหวัดมหาสารคาม,177,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
64136,สำนักงานสถิติจังหวัดมหาสารคาม,178,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
29586,สำนักงานสถิติจังหวัดมหาสารคาม,179,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
34550,สำนักงานสถิติจังหวัดมหาสารคาม,180,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
2460,สำนักงานสถิติจังหวัดมหาสารคาม,181,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
2460,สำนักงานสถิติจังหวัดมหาสารคาม,182,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,183,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
21594,สำนักงานสถิติจังหวัดมหาสารคาม,184,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
6465,สำนักงานสถิติจังหวัดมหาสารคาม,185,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
15129,สำนักงานสถิติจังหวัดมหาสารคาม,186,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
171,สำนักงานสถิติจังหวัดมหาสารคาม,187,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
79,สำนักงานสถิติจังหวัดมหาสารคาม,188,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
92,สำนักงานสถิติจังหวัดมหาสารคาม,189,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
3388,สำนักงานสถิติจังหวัดมหาสารคาม,190,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
519,สำนักงานสถิติจังหวัดมหาสารคาม,191,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
2868,สำนักงานสถิติจังหวัดมหาสารคาม,192,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
848,สำนักงานสถิติจังหวัดมหาสารคาม,193,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
398,สำนักงานสถิติจังหวัดมหาสารคาม,194,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
450,สำนักงานสถิติจังหวัดมหาสารคาม,195,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
999,สำนักงานสถิติจังหวัดมหาสารคาม,196,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
999,สำนักงานสถิติจังหวัดมหาสารคาม,197,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,198,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
414,สำนักงานสถิติจังหวัดมหาสารคาม,199,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
414,สำนักงานสถิติจังหวัดมหาสารคาม,200,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,201,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
15993,สำนักงานสถิติจังหวัดมหาสารคาม,202,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
9178,สำนักงานสถิติจังหวัดมหาสารคาม,203,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
6815,สำนักงานสถิติจังหวัดมหาสารคาม,204,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
19044,สำนักงานสถิติจังหวัดมหาสารคาม,205,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
8472,สำนักงานสถิติจังหวัดมหาสารคาม,206,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
10573,สำนักงานสถิติจังหวัดมหาสารคาม,207,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
11269,สำนักงานสถิติจังหวัดมหาสารคาม,208,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
3036,สำนักงานสถิติจังหวัดมหาสารคาม,209,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
8233,สำนักงานสถิติจังหวัดมหาสารคาม,210,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
4424,สำนักงานสถิติจังหวัดมหาสารคาม,211,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
2986,สำนักงานสถิติจังหวัดมหาสารคาม,212,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
1439,สำนักงานสถิติจังหวัดมหาสารคาม,213,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
5105,สำนักงานสถิติจังหวัดมหาสารคาม,214,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
3760,สำนักงานสถิติจังหวัดมหาสารคาม,215,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
1346,สำนักงานสถิติจังหวัดมหาสารคาม,216,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
110,สำนักงานสถิติจังหวัดมหาสารคาม,217,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
110,สำนักงานสถิติจังหวัดมหาสารคาม,218,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,219,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,220,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,221,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,222,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,223,2565,รวม,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,224,2565,ชาย,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,225,2565,หญิง,ไตรมาสที่ 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
388721,สำนักงานสถิติจังหวัดมหาสารคาม,226,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
211858,สำนักงานสถิติจังหวัดมหาสารคาม,227,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
176863,สำนักงานสถิติจังหวัดมหาสารคาม,228,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
211411,สำนักงานสถิติจังหวัดมหาสารคาม,229,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
127970,สำนักงานสถิติจังหวัดมหาสารคาม,230,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
83441,สำนักงานสถิติจังหวัดมหาสารคาม,231,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
211411,สำนักงานสถิติจังหวัดมหาสารคาม,232,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
127970,สำนักงานสถิติจังหวัดมหาสารคาม,233,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
83441,สำนักงานสถิติจังหวัดมหาสารคาม,234,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
177310,สำนักงานสถิติจังหวัดมหาสารคาม,235,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
83889,สำนักงานสถิติจังหวัดมหาสารคาม,236,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
93422,สำนักงานสถิติจังหวัดมหาสารคาม,237,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,238,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,239,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,240,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
18742,สำนักงานสถิติจังหวัดมหาสารคาม,241,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
7718,สำนักงานสถิติจังหวัดมหาสารคาม,242,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
11024,สำนักงานสถิติจังหวัดมหาสารคาม,243,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
929,สำนักงานสถิติจังหวัดมหาสารคาม,244,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
929,สำนักงานสถิติจังหวัดมหาสารคาม,245,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,246,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
520,สำนักงานสถิติจังหวัดมหาสารคาม,247,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
520,สำนักงานสถิติจังหวัดมหาสารคาม,248,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,249,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
15808,สำนักงานสถิติจังหวัดมหาสารคาม,250,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
14499,สำนักงานสถิติจังหวัดมหาสารคาม,251,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
1309,สำนักงานสถิติจังหวัดมหาสารคาม,252,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
56775,สำนักงานสถิติจังหวัดมหาสารคาม,253,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
23893,สำนักงานสถิติจังหวัดมหาสารคาม,254,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
32882,สำนักงานสถิติจังหวัดมหาสารคาม,255,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
3159,สำนักงานสถิติจังหวัดมหาสารคาม,256,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
2896,สำนักงานสถิติจังหวัดมหาสารคาม,257,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
263,สำนักงานสถิติจังหวัดมหาสารคาม,258,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
17480,สำนักงานสถิติจังหวัดมหาสารคาม,259,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
3192,สำนักงานสถิติจังหวัดมหาสารคาม,260,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
14288,สำนักงานสถิติจังหวัดมหาสารคาม,261,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
805,สำนักงานสถิติจังหวัดมหาสารคาม,262,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
489,สำนักงานสถิติจังหวัดมหาสารคาม,263,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
316,สำนักงานสถิติจังหวัดมหาสารคาม,264,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
2031,สำนักงานสถิติจังหวัดมหาสารคาม,265,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
765,สำนักงานสถิติจังหวัดมหาสารคาม,266,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
1266,สำนักงานสถิติจังหวัดมหาสารคาม,267,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
1617,สำนักงานสถิติจังหวัดมหาสารคาม,268,2565,รวม,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
900,สำนักงานสถิติจังหวัดมหาสารคาม,269,2565,ชาย,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
716,สำนักงานสถิติจังหวัดมหาสารคาม,270,2565,หญิง,ไตรมาสที่ 4,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
