จำนวน,_id,ปี,เพศ,ปัญหา,จังหวัด,ประเภทแรงงาน,หน่วย
1048,1796,2562,ชาย,ลาพักผ่อนไม่ได้,นนทบุรี,แรงงานในระบบ,คน
6408,1797,2562,ชาย,ไม่มีสวัสดิการ,นนทบุรี,แรงงานในระบบ,คน
5674,1798,2562,ชาย,ไม่ทราบ,นนทบุรี,แรงงานในระบบ,คน
19680,1799,2562,หญิง,ค่าตอบแทน,นนทบุรี,แรงงานในระบบ,คน
6055,1800,2562,หญิง,งานหนัก,นนทบุรี,แรงงานในระบบ,คน
1504,1801,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานในระบบ,คน
3993,1802,2562,หญิง,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานในระบบ,คน
991,1803,2562,หญิง,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานในระบบ,คน
6561,1804,2562,หญิง,ไม่มีสวัสดิการ,นนทบุรี,แรงงานในระบบ,คน
8008,1805,2562,หญิง,ไม่ทราบ,นนทบุรี,แรงงานในระบบ,คน
13075,1806,2562,ชาย,ค่าตอบแทน,นนทบุรี,แรงงานนอกระบบ,คน
4365,1807,2562,ชาย,งานหนัก,นนทบุรี,แรงงานนอกระบบ,คน
849,1808,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานนอกระบบ,คน
18904,1809,2562,ชาย,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานนอกระบบ,คน
3560,1810,2562,ชาย,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานนอกระบบ,คน
1493,1811,2562,ชาย,ไม่มีวันหยุด,นนทบุรี,แรงงานนอกระบบ,คน
3160,1812,2562,ชาย,ไม่มีสวัสดิการ,นนทบุรี,แรงงานนอกระบบ,คน
3705,1813,2562,ชาย,ไม่ทราบ,นนทบุรี,แรงงานนอกระบบ,คน
11715,1814,2562,หญิง,ค่าตอบแทน,นนทบุรี,แรงงานนอกระบบ,คน
1649,1815,2562,หญิง,งานหนัก,นนทบุรี,แรงงานนอกระบบ,คน
360,1816,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานนอกระบบ,คน
3096,1817,2562,หญิง,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานนอกระบบ,คน
1192,1818,2562,หญิง,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานนอกระบบ,คน
904,1819,2562,หญิง,ไม่มีวันหยุด,นนทบุรี,แรงงานนอกระบบ,คน
2561,1820,2562,หญิง,ไม่มีสวัสดิการ,นนทบุรี,แรงงานนอกระบบ,คน
2380,1821,2562,หญิง,ไม่ทราบ,นนทบุรี,แรงงานนอกระบบ,คน
3954,1822,2562,ชาย,ค่าตอบแทน,ปทุมธานี,แรงงานในระบบ,คน
834,1823,2562,ชาย,งานหนัก,ปทุมธานี,แรงงานในระบบ,คน
5028,1824,2562,ชาย,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานในระบบ,คน
688,1825,2562,ชาย,ไม่มีวันหยุด,ปทุมธานี,แรงงานในระบบ,คน
3639,1826,2562,ชาย,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานในระบบ,คน
8020,1827,2562,ชาย,ไม่ทราบ,ปทุมธานี,แรงงานในระบบ,คน
3245,1828,2562,หญิง,ค่าตอบแทน,ปทุมธานี,แรงงานในระบบ,คน
756,1829,2562,หญิง,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานในระบบ,คน
2196,1830,2562,หญิง,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานในระบบ,คน
4885,1831,2562,หญิง,ไม่ทราบ,ปทุมธานี,แรงงานในระบบ,คน
3261,1832,2562,ชาย,ค่าตอบแทน,ปทุมธานี,แรงงานนอกระบบ,คน
2072,1833,2562,ชาย,งานหนัก,ปทุมธานี,แรงงานนอกระบบ,คน
9675,1834,2562,ชาย,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานนอกระบบ,คน
1906,1835,2562,ชาย,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานนอกระบบ,คน
3466,1836,2562,ชาย,ไม่ทราบ,ปทุมธานี,แรงงานนอกระบบ,คน
2314,1837,2562,หญิง,ค่าตอบแทน,ปทุมธานี,แรงงานนอกระบบ,คน
691,1838,2562,หญิง,งานหนัก,ปทุมธานี,แรงงานนอกระบบ,คน
3575,1839,2562,หญิง,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานนอกระบบ,คน
2097,1840,2562,หญิง,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานนอกระบบ,คน
1946,1841,2562,หญิง,ไม่ทราบ,ปทุมธานี,แรงงานนอกระบบ,คน
9182,1842,2562,ชาย,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานในระบบ,คน
4321,1843,2562,ชาย,งานหนัก,พระนครศรีอยุธยา,แรงงานในระบบ,คน
1034,1844,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
481,1845,2562,ชาย,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
592,1846,2562,ชาย,ชั่วโมงทำงานมากเกินไป,พระนครศรีอยุธยา,แรงงานในระบบ,คน
450,1847,2562,ชาย,ลาพักผ่อนไม่ได้,พระนครศรีอยุธยา,แรงงานในระบบ,คน
7150,1848,2562,ชาย,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
7681,1849,2562,หญิง,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานในระบบ,คน
743,1850,2562,หญิง,งานหนัก,พระนครศรีอยุธยา,แรงงานในระบบ,คน
2346,1851,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
805,1852,2562,หญิง,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
4449,1853,2562,หญิง,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
3485,1854,2562,ชาย,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
7393,1855,2562,ชาย,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
335,1856,2562,ชาย,ไม่มีวันหยุด,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1676,1857,2562,ชาย,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
968,1858,2562,หญิง,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
3272,1859,2562,หญิง,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
687,1860,2562,หญิง,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1297,1861,2562,ชาย,ค่าตอบแทน,อ่างทอง,แรงงานในระบบ,คน
408,1862,2562,ชาย,งานหนัก,อ่างทอง,แรงงานในระบบ,คน
160,1863,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,อ่างทอง,แรงงานในระบบ,คน
642,1864,2562,ชาย,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานในระบบ,คน
84,1865,2562,ชาย,ชั่วโมงทำงานมากเกินไป,อ่างทอง,แรงงานในระบบ,คน
207,1866,2562,ชาย,ลาพักผ่อนไม่ได้,อ่างทอง,แรงงานในระบบ,คน
1117,1867,2562,ชาย,ไม่มีสวัสดิการ,อ่างทอง,แรงงานในระบบ,คน
1183,1868,2562,ชาย,ไม่ทราบ,อ่างทอง,แรงงานในระบบ,คน
1886,1869,2562,หญิง,ค่าตอบแทน,อ่างทอง,แรงงานในระบบ,คน
751,1870,2562,หญิง,งานหนัก,อ่างทอง,แรงงานในระบบ,คน
47,1871,2562,หญิง,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานในระบบ,คน
257,1872,2562,หญิง,ไม่มีสวัสดิการ,อ่างทอง,แรงงานในระบบ,คน
2292,1873,2562,หญิง,ไม่ทราบ,อ่างทอง,แรงงานในระบบ,คน
1489,1874,2562,ชาย,ค่าตอบแทน,อ่างทอง,แรงงานนอกระบบ,คน
681,1875,2562,ชาย,งานหนัก,อ่างทอง,แรงงานนอกระบบ,คน
75,1876,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,อ่างทอง,แรงงานนอกระบบ,คน
2509,1877,2562,ชาย,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานนอกระบบ,คน
126,1878,2562,ชาย,ไม่มีสวัสดิการ,อ่างทอง,แรงงานนอกระบบ,คน
1130,1879,2562,ชาย,ไม่ทราบ,อ่างทอง,แรงงานนอกระบบ,คน
942,1880,2562,หญิง,ค่าตอบแทน,อ่างทอง,แรงงานนอกระบบ,คน
452,1881,2562,หญิง,งานหนัก,อ่างทอง,แรงงานนอกระบบ,คน
1098,1882,2562,หญิง,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานนอกระบบ,คน
475,1883,2562,หญิง,ไม่ทราบ,อ่างทอง,แรงงานนอกระบบ,คน
11886,1884,2562,ชาย,ค่าตอบแทน,ลพบุรี,แรงงานในระบบ,คน
4813,1885,2562,ชาย,งานหนัก,ลพบุรี,แรงงานในระบบ,คน
2365,1886,2562,ชาย,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานในระบบ,คน
455,1887,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ลพบุรี,แรงงานในระบบ,คน
397,1888,2562,ชาย,ไม่มีวันหยุด,ลพบุรี,แรงงานในระบบ,คน
2167,1889,2562,ชาย,ไม่มีสวัสดิการ,ลพบุรี,แรงงานในระบบ,คน
7683,1890,2562,หญิง,ค่าตอบแทน,ลพบุรี,แรงงานในระบบ,คน
5205,1891,2562,หญิง,งานหนัก,ลพบุรี,แรงงานในระบบ,คน
1096,1892,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ลพบุรี,แรงงานในระบบ,คน
308,1893,2562,หญิง,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานในระบบ,คน
1970,1894,2562,หญิง,ลาพักผ่อนไม่ได้,ลพบุรี,แรงงานในระบบ,คน
1806,1895,2562,หญิง,ไม่มีสวัสดิการ,ลพบุรี,แรงงานในระบบ,คน
27338,1896,2562,ชาย,ค่าตอบแทน,ลพบุรี,แรงงานนอกระบบ,คน
14239,1897,2562,ชาย,งานหนัก,ลพบุรี,แรงงานนอกระบบ,คน
346,1898,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ลพบุรี,แรงงานนอกระบบ,คน
15828,1899,2562,ชาย,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานนอกระบบ,คน
2293,1900,2562,ชาย,ไม่มีสวัสดิการ,ลพบุรี,แรงงานนอกระบบ,คน
25591,1901,2562,หญิง,ค่าตอบแทน,ลพบุรี,แรงงานนอกระบบ,คน
6717,1902,2562,หญิง,งานหนัก,ลพบุรี,แรงงานนอกระบบ,คน
9159,1903,2562,หญิง,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานนอกระบบ,คน
1191,1904,2562,หญิง,ไม่มีสวัสดิการ,ลพบุรี,แรงงานนอกระบบ,คน
2090,1905,2562,ชาย,ค่าตอบแทน,สิงห์บุรี,แรงงานในระบบ,คน
257,1906,2562,ชาย,งานหนัก,สิงห์บุรี,แรงงานในระบบ,คน
820,1907,2562,ชาย,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานในระบบ,คน
190,1908,2562,ชาย,ไม่มีสวัสดิการ,สิงห์บุรี,แรงงานในระบบ,คน
4066,1909,2562,หญิง,ค่าตอบแทน,สิงห์บุรี,แรงงานในระบบ,คน
237,1910,2562,หญิง,งานหนัก,สิงห์บุรี,แรงงานในระบบ,คน
240,1911,2562,หญิง,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานในระบบ,คน
160,1912,2562,หญิง,ไม่มีวันหยุด,สิงห์บุรี,แรงงานในระบบ,คน
194,1913,2562,หญิง,ลาพักผ่อนไม่ได้,สิงห์บุรี,แรงงานในระบบ,คน
87,1914,2562,หญิง,ไม่มีสวัสดิการ,สิงห์บุรี,แรงงานในระบบ,คน
7401,1915,2562,ชาย,ค่าตอบแทน,สิงห์บุรี,แรงงานนอกระบบ,คน
246,1916,2562,ชาย,งานหนัก,สิงห์บุรี,แรงงานนอกระบบ,คน
55,1917,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,สิงห์บุรี,แรงงานนอกระบบ,คน
1131,1918,2562,ชาย,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานนอกระบบ,คน
163,1919,2562,ชาย,ลาพักผ่อนไม่ได้,สิงห์บุรี,แรงงานนอกระบบ,คน
6242,1920,2562,หญิง,ค่าตอบแทน,สิงห์บุรี,แรงงานนอกระบบ,คน
35,1921,2562,หญิง,งานหนัก,สิงห์บุรี,แรงงานนอกระบบ,คน
141,1922,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,สิงห์บุรี,แรงงานนอกระบบ,คน
163,1923,2562,หญิง,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานนอกระบบ,คน
2834,1924,2562,ชาย,ค่าตอบแทน,ชัยนาท,แรงงานในระบบ,คน
706,1925,2562,ชาย,งานหนัก,ชัยนาท,แรงงานในระบบ,คน
1172,1926,2562,ชาย,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานในระบบ,คน
93,1927,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ชัยนาท,แรงงานในระบบ,คน
64,1928,2562,ชาย,ไม่มีวันหยุด,ชัยนาท,แรงงานในระบบ,คน
168,1929,2562,ชาย,ลาพักผ่อนไม่ได้,ชัยนาท,แรงงานในระบบ,คน
832,1930,2562,ชาย,ไม่มีสวัสดิการ,ชัยนาท,แรงงานในระบบ,คน
261,1931,2562,ชาย,ไม่ทราบ,ชัยนาท,แรงงานในระบบ,คน
3786,1932,2562,หญิง,ค่าตอบแทน,ชัยนาท,แรงงานในระบบ,คน
69,1933,2562,หญิง,งานหนัก,ชัยนาท,แรงงานในระบบ,คน
262,1934,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ชัยนาท,แรงงานในระบบ,คน
675,1935,2562,หญิง,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานในระบบ,คน
275,1936,2562,หญิง,ชั่วโมงทำงานมากเกินไป,ชัยนาท,แรงงานในระบบ,คน
245,1937,2562,หญิง,ไม่มีวันหยุด,ชัยนาท,แรงงานในระบบ,คน
663,1938,2562,หญิง,ไม่มีสวัสดิการ,ชัยนาท,แรงงานในระบบ,คน
5238,1939,2562,ชาย,ค่าตอบแทน,ชัยนาท,แรงงานนอกระบบ,คน
1194,1940,2562,ชาย,งานหนัก,ชัยนาท,แรงงานนอกระบบ,คน
2512,1941,2562,ชาย,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานนอกระบบ,คน
949,1942,2562,ชาย,ไม่มีสวัสดิการ,ชัยนาท,แรงงานนอกระบบ,คน
3414,1943,2562,หญิง,ค่าตอบแทน,ชัยนาท,แรงงานนอกระบบ,คน
1060,1944,2562,หญิง,งานหนัก,ชัยนาท,แรงงานนอกระบบ,คน
1078,1945,2562,หญิง,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานนอกระบบ,คน
173,1946,2562,หญิง,ไม่มีวันหยุด,ชัยนาท,แรงงานนอกระบบ,คน
874,1947,2562,หญิง,ไม่มีสวัสดิการ,ชัยนาท,แรงงานนอกระบบ,คน
3508,1948,2562,ชาย,ค่าตอบแทน,สระบุรี,แรงงานในระบบ,คน
3111,1949,2562,ชาย,งานหนัก,สระบุรี,แรงงานในระบบ,คน
799,1950,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,สระบุรี,แรงงานในระบบ,คน
1340,1951,2562,ชาย,งานไม่ต่อเนื่อง,สระบุรี,แรงงานในระบบ,คน
1803,1952,2562,ชาย,ชั่วโมงทำงานมากเกินไป,สระบุรี,แรงงานในระบบ,คน
593,1953,2562,ชาย,ไม่มีวันหยุด,สระบุรี,แรงงานในระบบ,คน
157,1954,2562,ชาย,ลาพักผ่อนไม่ได้,สระบุรี,แรงงานในระบบ,คน
3515,1955,2562,ชาย,ไม่มีสวัสดิการ,สระบุรี,แรงงานในระบบ,คน
4778,1956,2562,หญิง,ค่าตอบแทน,สระบุรี,แรงงานในระบบ,คน
356,1957,2562,หญิง,งานหนัก,สระบุรี,แรงงานในระบบ,คน
225,1958,2562,หญิง,งานไม่ต่อเนื่อง,สระบุรี,แรงงานในระบบ,คน
729,1959,2562,หญิง,ไม่มีสวัสดิการ,สระบุรี,แรงงานในระบบ,คน
1553,1960,2562,ชาย,ค่าตอบแทน,สระบุรี,แรงงานนอกระบบ,คน
1892,1961,2562,ชาย,งานหนัก,สระบุรี,แรงงานนอกระบบ,คน
2920,1962,2562,ชาย,งานไม่ต่อเนื่อง,สระบุรี,แรงงานนอกระบบ,คน
517,1963,2562,ชาย,ไม่มีสวัสดิการ,สระบุรี,แรงงานนอกระบบ,คน
264,1964,2562,หญิง,ค่าตอบแทน,สระบุรี,แรงงานนอกระบบ,คน
2567,1965,2562,หญิง,งานหนัก,สระบุรี,แรงงานนอกระบบ,คน
967,1966,2562,หญิง,งานไม่ต่อเนื่อง,สระบุรี,แรงงานนอกระบบ,คน
18740,1967,2562,ชาย,ค่าตอบแทน,ชลบุรี,แรงงานในระบบ,คน
11142,1968,2562,ชาย,งานหนัก,ชลบุรี,แรงงานในระบบ,คน
3358,1969,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ชลบุรี,แรงงานในระบบ,คน
5025,1970,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ชลบุรี,แรงงานในระบบ,คน
8493,1971,2562,ชาย,ไม่มีสวัสดิการ,ชลบุรี,แรงงานในระบบ,คน
30272,1972,2562,ชาย,ไม่ทราบ,ชลบุรี,แรงงานในระบบ,คน
20009,1973,2562,หญิง,ค่าตอบแทน,ชลบุรี,แรงงานในระบบ,คน
3816,1974,2562,หญิง,งานหนัก,ชลบุรี,แรงงานในระบบ,คน
2190,1975,2562,หญิง,ชั่วโมงทำงานมากเกินไป,ชลบุรี,แรงงานในระบบ,คน
724,1976,2562,หญิง,ไม่มีสวัสดิการ,ชลบุรี,แรงงานในระบบ,คน
23037,1977,2562,หญิง,ไม่ทราบ,ชลบุรี,แรงงานในระบบ,คน
2449,1978,2562,ชาย,ค่าตอบแทน,ชลบุรี,แรงงานนอกระบบ,คน
796,1979,2562,ชาย,งานหนัก,ชลบุรี,แรงงานนอกระบบ,คน
3229,1980,2562,ชาย,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานนอกระบบ,คน
3571,1981,2562,ชาย,ไม่มีสวัสดิการ,ชลบุรี,แรงงานนอกระบบ,คน
1701,1982,2562,ชาย,ไม่ทราบ,ชลบุรี,แรงงานนอกระบบ,คน
2038,1983,2562,หญิง,ค่าตอบแทน,ชลบุรี,แรงงานนอกระบบ,คน
114,1984,2562,หญิง,งานหนัก,ชลบุรี,แรงงานนอกระบบ,คน
256,1985,2562,หญิง,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานนอกระบบ,คน
3988,1986,2562,หญิง,ไม่มีสวัสดิการ,ชลบุรี,แรงงานนอกระบบ,คน
4271,1987,2562,หญิง,ไม่ทราบ,ชลบุรี,แรงงานนอกระบบ,คน
6479,1988,2562,ชาย,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
1961,1989,2562,ชาย,งานหนัก,ระยอง,แรงงานในระบบ,คน
1029,1990,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ระยอง,แรงงานในระบบ,คน
400,1991,2562,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานในระบบ,คน
404,1992,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ระยอง,แรงงานในระบบ,คน
643,1993,2562,ชาย,ไม่มีวันหยุด,ระยอง,แรงงานในระบบ,คน
5155,1994,2562,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
1899,1995,2562,ชาย,ไม่ทราบ,ระยอง,แรงงานในระบบ,คน
4400,1996,2562,หญิง,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
667,1997,2562,หญิง,งานหนัก,ระยอง,แรงงานในระบบ,คน
3350,1998,2562,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
853,1999,2562,ชาย,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
916,2000,2562,ชาย,งานหนัก,ระยอง,แรงงานนอกระบบ,คน
1029,2001,2562,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานนอกระบบ,คน
484,2002,2562,ชาย,ไม่มีวันหยุด,ระยอง,แรงงานนอกระบบ,คน
2297,2003,2562,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
301,2004,2562,ชาย,ไม่ทราบ,ระยอง,แรงงานนอกระบบ,คน
756,2005,2562,หญิง,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
967,2006,2562,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
9159,2007,2562,ชาย,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
1181,2008,2562,ชาย,งานหนัก,ระยอง,แรงงานในระบบ,คน
4182,2009,2562,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานในระบบ,คน
227,2010,2562,ชาย,ไม่มีวันหยุด,ระยอง,แรงงานในระบบ,คน
654,2011,2562,ชาย,ลาพักผ่อนไม่ได้,ระยอง,แรงงานในระบบ,คน
1591,2012,2562,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
1438,2013,2562,ชาย,ไม่ทราบ,ระยอง,แรงงานในระบบ,คน
6393,2014,2562,หญิง,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
665,2015,2562,หญิง,งานหนัก,ระยอง,แรงงานในระบบ,คน
746,2016,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ระยอง,แรงงานในระบบ,คน
2217,2017,2562,หญิง,งานไม่ต่อเนื่อง,ระยอง,แรงงานในระบบ,คน
171,2018,2562,หญิง,ไม่มีวันหยุด,ระยอง,แรงงานในระบบ,คน
535,2019,2562,หญิง,ลาพักผ่อนไม่ได้,ระยอง,แรงงานในระบบ,คน
1247,2020,2562,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
661,2021,2562,หญิง,ไม่ทราบ,ระยอง,แรงงานในระบบ,คน
4071,2022,2562,ชาย,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
1280,2023,2562,ชาย,งานหนัก,ระยอง,แรงงานนอกระบบ,คน
172,2024,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ระยอง,แรงงานนอกระบบ,คน
5386,2025,2562,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานนอกระบบ,คน
251,2026,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ระยอง,แรงงานนอกระบบ,คน
1131,2027,2562,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
2738,2028,2562,ชาย,ไม่ทราบ,ระยอง,แรงงานนอกระบบ,คน
4847,2029,2562,หญิง,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
1066,2030,2562,หญิง,งานหนัก,ระยอง,แรงงานนอกระบบ,คน
1808,2031,2562,หญิง,งานไม่ต่อเนื่อง,ระยอง,แรงงานนอกระบบ,คน
183,2032,2562,หญิง,ไม่มีวันหยุด,ระยอง,แรงงานนอกระบบ,คน
994,2033,2562,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
2184,2034,2562,หญิง,ไม่ทราบ,ระยอง,แรงงานนอกระบบ,คน
6504,2035,2562,ชาย,ค่าตอบแทน,ตราด,แรงงานในระบบ,คน
1794,2036,2562,ชาย,งานหนัก,ตราด,แรงงานในระบบ,คน
113,2037,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ตราด,แรงงานในระบบ,คน
1999,2038,2562,ชาย,งานไม่ต่อเนื่อง,ตราด,แรงงานในระบบ,คน
300,2039,2562,ชาย,ไม่มีสวัสดิการ,ตราด,แรงงานในระบบ,คน
4179,2040,2562,หญิง,ค่าตอบแทน,ตราด,แรงงานในระบบ,คน
373,2041,2562,หญิง,งานหนัก,ตราด,แรงงานในระบบ,คน
143,2042,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ตราด,แรงงานในระบบ,คน
907,2043,2562,หญิง,งานไม่ต่อเนื่อง,ตราด,แรงงานในระบบ,คน
331,2044,2562,หญิง,ลาพักผ่อนไม่ได้,ตราด,แรงงานในระบบ,คน
9374,2045,2562,ชาย,ค่าตอบแทน,ตราด,แรงงานนอกระบบ,คน
2538,2046,2562,ชาย,งานหนัก,ตราด,แรงงานนอกระบบ,คน
371,2047,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ตราด,แรงงานนอกระบบ,คน
4668,2048,2562,ชาย,งานไม่ต่อเนื่อง,ตราด,แรงงานนอกระบบ,คน
5035,2049,2562,หญิง,ค่าตอบแทน,ตราด,แรงงานนอกระบบ,คน
490,2050,2562,หญิง,งานหนัก,ตราด,แรงงานนอกระบบ,คน
85,2051,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ตราด,แรงงานนอกระบบ,คน
2989,2052,2562,หญิง,งานไม่ต่อเนื่อง,ตราด,แรงงานนอกระบบ,คน
9416,2053,2562,ชาย,ค่าตอบแทน,ฉะเชิงเทรา,แรงงานในระบบ,คน
10308,2054,2562,ชาย,งานหนัก,ฉะเชิงเทรา,แรงงานในระบบ,คน
1580,2055,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ฉะเชิงเทรา,แรงงานในระบบ,คน
11016,2056,2562,ชาย,งานไม่ต่อเนื่อง,ฉะเชิงเทรา,แรงงานในระบบ,คน
210,2057,2562,ชาย,ชั่วโมงทำงานมากเกินไป,ฉะเชิงเทรา,แรงงานในระบบ,คน
1062,2058,2562,ชาย,ไม่มีสวัสดิการ,ฉะเชิงเทรา,แรงงานในระบบ,คน
7308,2059,2562,ชาย,ไม่ทราบ,ฉะเชิงเทรา,แรงงานในระบบ,คน
5635,2060,2562,หญิง,ค่าตอบแทน,ฉะเชิงเทรา,แรงงานในระบบ,คน
6023,2061,2562,หญิง,งานหนัก,ฉะเชิงเทรา,แรงงานในระบบ,คน
2199,2062,2562,หญิง,ทำงานไม่ตรงเวลาปกติ,ฉะเชิงเทรา,แรงงานในระบบ,คน
3867,2063,2562,หญิง,งานไม่ต่อเนื่อง,ฉะเชิงเทรา,แรงงานในระบบ,คน
491,2064,2562,หญิง,ชั่วโมงทำงานมากเกินไป,ฉะเชิงเทรา,แรงงานในระบบ,คน
1188,2065,2562,หญิง,ไม่มีสวัสดิการ,ฉะเชิงเทรา,แรงงานในระบบ,คน
7595,2066,2562,หญิง,ไม่ทราบ,ฉะเชิงเทรา,แรงงานในระบบ,คน
1954,2067,2562,ชาย,ค่าตอบแทน,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
7650,2068,2562,ชาย,งานหนัก,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
1260,2069,2562,ชาย,ทำงานไม่ตรงเวลาปกติ,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
5737,2070,2562,ชาย,งานไม่ต่อเนื่อง,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
2781,2071,2562,ชาย,ไม่มีวันหยุด,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
685,2072,2562,ชาย,ไม่มีสวัสดิการ,ฉะเชิงเทรา,แรงงานนอกระบบ,คน
