Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,พริกขี้หนูสวน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,104,546,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,105,196,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,106,156,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,ผลผลิต,ตัน,เกษตรและประมง,107,511,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,108,3275,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,109,105,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,110,105,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,ผลผลิต,ตัน,เกษตรและประมง,111,105,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,112,1005,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,113,14,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,114,14,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,ผลผลิต,ตัน,เกษตรและประมง,115,28,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,116,2000,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,117,57,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,118,57,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,ผลผลิต,ตัน,เกษตรและประมง,119,97,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,120,1700,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
