ที่มา,ประเภทข้าว,_id,ปี,เก็บเกี่ยว,เพาะปลูก,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,108,2567,"10,967","10,967",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,109,2567,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,110,2567,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,111,2567,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,112,2567,"2,430","2,430",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,113,2567,"13,397","13,397",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,114,2567,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,115,2567,"10,967","10,967",อำเภอบางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,116,2567,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,117,2567,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,118,2567,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,119,2567,"2,430","2,430",อำเภอบางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,120,2567,0,0,รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,121,2567,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,122,2567,0,0,อำเภอบางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,123,2567,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,124,2567,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,125,2567,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,126,2567,0,0,อำเภอบางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,127,2568,"16,831.00","16,923.00",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,128,2568,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,129,2568,"12,989.00","13,063.00",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,130,2568,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,131,2568,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,132,2568,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,133,2568,"3,842.00","3,860.00",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,134,2568,"16,831.00","16,923.00",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,135,2568,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,136,2568,"12,989.00","13,063.00",อำเภอบางบ่อ,ไร่
