AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
60 ปีขึ้นไป,54.18,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,164,ชาย,ร้อยละ,ภาคใต้,2568
60 ปีขึ้นไป,32.39,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,165,หญิง,ร้อยละ,ภาคใต้,2568
รวม,78.69,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,166,ชาย,ร้อยละ,ภาคใต้,2568
รวม,59.63,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,167,หญิง,ร้อยละ,ภาคใต้,2568
รวม,68.79,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,168,รวม,ร้อยละ,ภาคใต้,2568
15-19 ปี,14.08,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,169,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
15-19 ปี,3.08,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,170,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
20-24 ปี,75.33,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,171,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
20-24 ปี,50.87,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,172,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
25-29 ปี,95.23,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,173,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
25-29 ปี,69.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,174,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
30-34 ปี,95.98,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,175,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
30-34 ปี,64.99,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,176,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
35-39 ปี,64.83,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,177,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
35-39 ปี,95.67,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,178,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
40-49 ปี,76.75,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,179,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
40-49 ปี,98.58,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,180,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
50-59 ปี,93.96,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,181,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
50-59 ปี,78.94,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,182,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
60 ปีขึ้นไป,52.88,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,183,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
60 ปีขึ้นไป,25.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,184,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
รวม,78.27,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,185,ชาย,ร้อยละ,ภาคใต้ชายแดน,2568
รวม,53.89,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,186,หญิง,ร้อยละ,ภาคใต้ชายแดน,2568
รวม,65.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,187,รวม,ร้อยละ,ภาคใต้ชายแดน,2568
15-19 ปี,25.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,188,ชาย,ร้อยละ,ภาคตะวันออก,2568
