ประเภท,เนื้อที่สะสม,ภาค,รายละเอียด,_id,หน่วย,ปีเพาะปลูก,สภาพการเพาะปลูก,หมวดหมู่,จังหวัด,ลักษณะการใช้พื้นที่
นาปรัง 2,,เหนือ,ปลูก,109,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,ปลูก
นาปรัง,,เหนือ,เสียหาย,110,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,111,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,112,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,113,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,114,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,115,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,"โรค,แมลง "
นาปรัง,2350,เหนือ,เก็บเกี่ยว,116,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,117,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,เก็บเกี่ยว
พื้นที่คาดการณ์,20950,เหนือ,พื้นที่คาดการณ์,118,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,น่าน,พื้นที่คาดการณ์
พืชไร่,15435,เหนือ,ปลูก,119,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,น่าน,ปลูก 
พืชผัก,3065,เหนือ,ปลูก,120,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,น่าน,ปลูก 
พื้นที่ชลประทาน,91920,เหนือ,พื้นที่ชลประทาน,121,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,เพชรบูรณ์,พื้นที่ชลประทาน
พื้นที่คาดการณ์,74017,เหนือ,พื้นที่คาดการณ์,122,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,พื้นที่คาดการณ์
