_id,รายชื่อสถานประกอบการ,ระดับ,ปีงบประมาณ
589,บริษัท พีพีพี พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด,1,2565
590,บริษัท ส.สินนรา ผลิตภัณฑ์คอนกรีต จำกัด,1,2565
591,บริษัท วี เทคนิค รีไซเคิล จำกัด,1,2565
592,บริษัท เจีย เฟิง จำกัด,1,2565
593,นายนพดล แก้วสุข,1,2565
594,บริษัท โชคสหพัฒน์ แอนด์ ซัพพลาย จำกัด,1,2565
595,บริษัท เอ็ม.พี.เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,1,2565
596,บริษัท ซาร์คอน (ทีเอช) จำกัด,1,2565
597,บริษัท สุนทรธัญทรัพย์ จำกัด,1,2565
598,นางสาวนันทนา ม่วงโสภา,1,2565
599,บริษัท ไทรุส ครีเอเต็ด เจมส์ จำกัด,1,2565
600,บริษัท ขุมเพชรอินเตอร์พลาส จำกัด,1,2565
601,บริษัท เอคเซลเลนท์ อินดัสตรี้ส์ จำกัด,1,2565
602,บริษัท อู่บ้านบึง บอดี้คาร์ จำกัด,1,2565
603,บริษัท เจ.เอ็น.ทรานสอส (ประเทศไทย) จำกัด,1,2565
604,บริษัท วอเตอร์แอนด์แซนด์สยาม จำกัด,1,2565
605,บริษัท ศลิตา คอนกรีต จำกัด,1,2565
606,บริษัท โชคนำชัยการาจ จำกัด,1,2565
607,สามัคคีการช่าง,1,2565
608,บริษัท สุกใส พลาสติก จำกัด,1,2565
609,บริษัท ไทย อาโอกิ จำกัด,1,2565
610,บริษัท ทอนเทค พรีซิชั่น ทูลลิ่ง (ประเทศไทย) จำกัด,1,2565
611,บริษัท เซอร์เฟส ทรีทเม้นท์ เทคโนโลยี (ประเทศไทย) จำกัด,1,2565
612,บริษัท ไทยล่อน (ไทยแลนด์) จำกัด,1,2565
613,บริษัท แซฟฟรอน ลิฟวิ่ง จำกัด,1,2565
614,บริษัท ชานซ์ เทคโนโลยี จำกัด,1,2565
615,บริษัท คลีน ซิตี้ พาวเวอร์ พัทยา จำกัด,1,2565
616,บริษัท เซกิเนะ เทคโนโลยี (ไทยแลนด์) จำกัด,1,2565
617,บริษัท อีโค่ อินฟินิค จำกัด,1,2565
618,บริษัท กา จิน เทค จำกัด,1,2565
619,บริษัท ยูนิเวอร์แซล แฟคเตอร์รี่ จำกัด,1,2565
620,บริษัท ไทย ยูว่า อาร์ แอนด์ ดี แมนูแฟคเจอริ่ง จำกัด,1,2565
621,บริษัท บุญธรรม ชลบุรี จำกัด,1,2565
622,บริษัท โอกาวา เอเชีย จำกัด,1,2565
623,บี-ควิก สาขาโรบินสัน ชลบุรี,1,2565
624,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,1,2565
625,บริษัท บีเอสเอฟ (ประเทศไทย) จำกัด,1,2565
626,บริษัท พบธรรมเจริญรุ่งเรือง เซอร์วิส จำกัด,1,2565
627,บริษัท ควอลิตี้ สตีล จำกัด,1,2565
628,บริษัท แคมพ์ เอ็นยิเนียริ่ง กรุ๊ป จำกัด,1,2565
629,บริษัท แอสต้า พาวเวอร์ จำกัด (ผู้สนับสนุน สหกรณ์โคนมบ้านบึง จำกัด),1,2565
630,ไบโอเกษตรภัณฑ์,1,2565
631,บริษัท พงศ์นิพิฐ พลาสติก แมนูแฟคเจอริ่ง จำกัด,1,2565
632,บริษัท แอ็ลไลแอ็นซ์ กรุ๊ป จำกัด,1,2565
633,บริษัท มาสด้า ชลบุรี จำกัด (มหาชน),1,2565
634,บริษัท เอชเอพีเอ็ม แมกน่า ซีทติ้ง ซิสเทม (ไทยแลนด์) จำกัด,1,2565
635,บริษัท เอ-เทค พลาสแมท จำกัด,1,2565
636,ห้างหุ้นส่วนจำกัด ณัฐชา ตะวันออก กรุ๊ป,1,2565
637,บริษัท เจ.เอ เซอร์วิส แอนด์ ซัพพลาย จำกัด,1,2565
638,บริษัท ฟลีท เอ็นจิเนียริ่ง จำกัด,1,2565
639,บริษัท ไอโอ้ เทค (ไทยแลนด์) จำกัด,1,2565
640,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด,1,2565
641,บริษัท บี.เค.พลาสติก จำกัด,1,2565
642,บริษัท โชติทิวัตถ์ พลาสติก จำกัด,1,2565
643,บริษัท พนัสรุ่งเจริญ จำกัด,1,2565
644,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,1,2565
645,ห้างหุ้นส่วนจำกัด เบญจวรรณ คอนสตรัคชั่น แอนด์ เซอร์วิส,1,2565
646,สถานีผลิตน้ำประปา เขาหินลาด,1,2565
647,บริษัท ซิงจุน จำกัด,1,2565
648,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),1,2565
649,ห้างหุ้นส่วนจำกัด เอ.ซี.อินเตอร์เนชั่นนัลเอนเตอร์ไทรส์,1,2565
650,นายอานนท์ นพเกตุ,1,2565
651,บริษัท อาปา สตีล อินเตอร์เทรด จำกัด,1,2565
652,บริษัท อาร์ซี สตีล จำกัด,1,2565
653,นายพันศักดิ์ สถิตย์ถาวรชัย,1,2565
654,บริษัท ซิลเวอร์เลค วินยาร์ด จำกัด,1,2565
655,บริษัท เค.พี.เอส เปเปอร์ แอนด์ พลาสติก จำกัด,1,2565
656,นางสาวชุลีกร อยู่ให้นาน,1,2565
657,บริษัท ช ทวี จำกัด (มหาชน),1,2565
658,บริษัท วาฟา วีฮิเคิล จำกัด,1,2565
659,บริษัท พีแอนด์ดี เมทัล โปรดักส์ จำกัด,1,2565
660,บริษัท บูรพารวมเศษ จำกัด,1,2565
661,บริษัท แพรคติคัม เอนจิเนียริ่ง จำกัด,1,2565
662,ห้างหุ้นส่วนจำกัด เค.ที.มิกซ์เมทัลแอนด์พลาสติก,1,2565
663,บริษัท มงคลกรีน วู๊ด แอนด์ ซัพพลาย จำกัด,1,2565
664,บริษัท ไทย โบฮีเมียน โลจิสติกส์ แอนด์ ซัพพลาย จำกัด,1,2565
665,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
666,บริษัท ไทยตงหลี จำกัด,1,2565
667,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
668,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
669,บริษัท เอส.วาย.แมนูแฟคเจอรี่ง จำกัด,1,2565
670,ห้างหุ้นส่วนจำกัด เอส.พี.สตีล เอ็นจิเนียริ่ง,1,2565
671,บริษัท ไทยพีพี มินิแฟคทอรี่ จำกัด,1,2565
672,บริษัท วัน ฟาส เทค เอ็นจิเนียริ่ง จำกัด,1,2565
673,บริษัท ซีแคท ชิปส์ จำกัด,1,2565
674,บริษัท เอฟเอ็นที เอนเจิล จำกัด,1,2565
675,บริษัท ซัน ติ่ง จำกัด,1,2565
676,ห้างหุ้นส่วนจำกัด คุณเพื่อคุณ,1,2565
677,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
678,บริษัท เอสซีเอ็น พรีซิชั่น อินดัสเตรียล (ไทยแลนด์) จำกัด,1,2565
679,บริษัท ฮีโร่ เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,1,2565
680,บริษัท เอ.เค.เอส.กรุ๊ป จำกัด,1,2565
681,บริษัท พี ทู เอส เกศเมือง จำกัด,1,2565
682,บริษัท เซจิน ทูบ เทค (ไทยแลนด์) จำกัด,1,2565
683,บริษัท เอสทีวี โมลด์ แอนด์ ดาย จำกัด,1,2565
684,บริษัท ชลวรรษ 1994 จำกัด,1,2565
685,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,1,2565
686,บริษัท เอสเอ็ม คิงส์ ฟรุ๊ต จำกัด,1,2565
687,บริษัท หยังเม่าไทยอินดัสเตรียล จำกัด,1,2565
688,บริษัท ซุปเปอร์ สตีล เอ็นเตอร์ไพรส์ จำกัด,1,2565
689,นายสหชาติ แซ่โค้ว,1,2565
690,บริษัท เจี๋ยเซ่ง พลาสติก จำกัด,1,2565
691,บริษัท จินดา ออโต้ เพ้นท์ จำกัด,1,2565
692,บริษัท สระบุรี เอส ไอ ที ลิสซิ่ง จำกัด,1,2565
693,บริษัท ไทยยนต์ชลบุรี ผู้จำหน่ายโตโยต้า จำกัด,1,2565
694,บริษัท โตโยต้าชัวร์ ไทยยนต์ชลบุรี ยูสคาร์ จำกัด,1,2565
695,บริษัท หยง เหว่ย ไบโอแมส เอ็นเนอจี้ จำกัด,1,2565
696,บริษัท ยู วอน เอ็นอาร์ที (ประเทศไทย) จำกัด,1,2565
697,บริษัท โกลพาร์คส์ จำกัด,1,2565
698,บริษัท ไดเวอร์เจนท์ เวิร์คกรุ๊ป จำกัด,1,2565
699,บริษัท สุรศักดิ์ เมทัล จำกัด,1,2565
700,บริษัท สุรศักดิ์ เมทัล จำกัด,1,2565
701,บริษัท เสบียง 111 จำกัด,1,2565
702,บริษัท วู้ดดรอร์ (ไทยแลนด์) จำกัด,1,2565
703,บริษัท พีวีวู้ด จำกัด,1,2565
704,บริษัท ลาบิกซ์ จำกัด,1,2565
705,บริษัท แอ็ดวานซ์ พรีแฟบ จำกัด,1,2565
706,บริษัท เจ้น ฟา อินดัสเทรียล จำกัด,1,2565
707,บริษัท ไทย โกลเด้น ออยล์ จำกัด,1,2565
708,บริษัท แอล จี เอช เครน จำกัด,1,2565
709,บริษัท ท็อป เอสพีพี จำกัด,1,2565
710,บริษัท บุญณรงค์อุตสาหกรรมพลาสติก จำกัด,1,2565
711,บริษัท วีเอ็มซี โปรไฟล์ จำกัด,1,2565
712,บริษัท ไทยมุ้ย คอร์ปอเรชั่น จำกัด (มหาชน),1,2565
713,บริษัท ซีอาร์เอ็ม โค้ทติ้ง จำกัด,1,2565
714,ห้างหุ้นส่วนจำกัด วิเศษเจริญ การสกรีน,1,2565
715,บริษัท พี.เอ็น.เอส.เอ.เพลทติ้ง จำกัด,1,2565
716,บริษัท เจนเซ่น เอ็นจิเนียริ่ง แอนด์ ซัพพลาย (ประเทศไทย) จำกัด,1,2565
717,บริษัท สุทธิยนต์ไอซ์ จำกัด,1,2565
718,บริษัท ฮัวยี จำกัด,1,2565
719,บริษัท ทีพีซีนิค จำกัด,1,2565
720,บริษัท ชลบุรี ไมนิ่ง จำกัด,1,2565
721,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด,1,2565
722,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด,1,2565
723,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์,1,2565
724,บริษัท เอส.เค.วาย คอนสตรัคชั่น จำกัด,1,2565
725,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,1,2565
726,บริษัท ดับบลิวเอส เอวิเอชั่น เซอร์วิส จำกัด,1,2565
727,บริษัท เอเบิล อีสเทิร์น พาเลท จำกัด,1,2565
728,บริษัท ศรีราชา แพคกิ้ง วู้ด จำกัด (สาขาที่ 3),1,2565
729,บริษัท เบสโชะ ไวร์ แอสเซ็มบลี่ (ประเทศไทย) จำกัด,1,2565
730,บริษัท เรดโฟลว์ (ประเทศไทย) จำกัด,1,2565
731,บริษัท เอฟโอเอ็มเอ็ม (เอเชีย) จำกัด,1,2565
732,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),1,2565
733,บริษัท ฮาสโก้ - ซีพี จำกัด,1,2565
734,บริษัท เยนเฟิง (ไทยแลนด์) จำกัด,1,2565
735,บริษัท เอสเอไอซี มอเตอร์ - ซีพี จำกัด,1,2565
736,บริษัท วี แสตมปิ้ง พาร์ท จำกัด,1,2565
737,บริษัท ไอเจทีที (ประเทศไทย) จำกัด,1,2565
738,บริษัท โร๊คคลิ่ง ออโตโมทีฟ ชลบุรี จำกัด,1,2565
739,บริษัท สปีดเวย์ เอ็นเตอร์ไพรส์ จำกัด,1,2565
740,บริษัท โนะฮาราเด็นเคน (ประเทศไทย) จำกัด,1,2565
741,บริษัท ออโตลิฟ (ประเทศไทย) จำกัด,1,2565
742,บริษัท ไทย ซันเคียว จำกัด,1,2565
743,บริษัท เอ.ที.เอ็น. คาสติ้ง จำกัด,1,2565
744,บริษัท เทอร์ไบน์แอโร รีแพร์ จำกัด,1,2565
745,บริษัท ดับบลิวเอชเอ ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),1,2565
746,บริษัท เมก้า โปเท็นซี จำกัด,1,2565
747,บริษัท เดบโบราห์ เซอร์วิสเซส (ประเทศไทย) จำกัด,1,2565
748,บริษัท ชลบุรีสเปเชียล โลจิสติกส์ กรุ๊ป จำกัด,1,2565
749,ห้างหุ้นส่วนจำกัด เอส วาย ที เอ็นจิเนียริ่ง ได แอนด์ พาร์ทส,1,2565
750,บริษัท สินสวัสดิ์ เมทัล จำกัด,1,2565
751,บริษัท ดองซุง อิเล็คทรอนิคส์ จำกัด,1,2565
752,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,1,2565
753,บริษัท ทิพย์ศรศิริ จำกัด,1,2565
754,บริษัท โรจนะ อินดัสเตรียล แมเนจเม้นท์ จำกัด,1,2565
755,บริษัท อันมาร์ จำกัด,1,2565
756,ช.ฟู้ดแอนด์มาร์เก็ตติ้ง,1,2565
757,บริษัท แหลมฉบัง อิมเม็กซ์ จำกัด,1,2565
758,บริษัท พีเคพี โกร จำกัด,1,2565
759,นางศิริพร มงคลธนวัฒน์,1,2565
760,นายวินิจ จบไตรเภท,1,2565
761,บริษัท ซี.เอ็น.ซี.วีเอส แมชชีน จำกัด,1,2565
762,บริษัท เอ็มแอนด์ดี พรีซิชั่น เวิร์ค จำกัด,1,2565
763,บริษัท เพิ่มคุณค่า จำกัด,1,2565
764,นางสาวรัชนี หมอยาดี,1,2565
765,บริษัท ซีบีไอ (ประเทศไทย) จำกัด,1,2565
766,บริษัท กาโตะ พรีซิชั่น จำกัด,1,2565
767,บริษัท วีเอ็มที พรีซิชั่น จำกัด,1,2565
768,บริษัท ทวิน สตาร์ จำกัด,1,2565
769,บริษัท นอร์ทเทอร์นกลาส จำกัด,1,2565
770,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,1,2565
771,บริษัท นิค เทคโนโลยี จำกัด,1,2565
772,บริษัท เอส.เจ.เอ็ม.เบลท์ติ้ง (ประเทศไทย) จำกัด,1,2565
773,ห้างหุ้นส่วนจำกัด พนัสพันธุ์สัตว์,1,2565
774,บริษัท ที.เอ.พี. ดายส์ เมคกิ้ง จำกัด,1,2565
775,บริษัท เครซี่ แฟ็คทอรี่ เทร็ดดิ้ง จำกัด,1,2565
776,บริษัท ซีเอสเค พลาสติก จำกัด,1,2565
777,ห้างหุ้นส่วนจำกัด พัฒน์ณรี รับเบอร์,1,2565
778,บริษัท ทีที คอร์ปอเรชั่น จำกัด,1,2565
779,โรงน้ำแข็ง สุขสวัสดิ์ พันเสด็จ,1,2565
780,บริษัท คลาสซี่ พลาสติก จำกัด,1,2565
781,บริษัท เท่ กิยอง อินดัสทรี (ประเทศไทย) จำกัด,1,2565
782,บริษัท ศรีราชา แอสเซทส์ จำกัด,1,2565
783,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),1,2565
784,บริษัท ชาญนคร เอ็ม & อาร์ จำกัด,1,2565
785,บริษัท อิชิ อลูมิเนียม (ประเทศไทย) จำกัด,1,2565
786,บริษัท พี.อาร์.ที.(เอเชีย) จำกัด,1,2565
787,บริษัท สมาย คอนเทนเนอร์ อุตสาหกรรม จำกัด,1,2565
788,บริษัท ชุน เฉิน ชาง พลาสติก จำกัด,1,2565
789,บริษัท ซุน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด,1,2565
790,บริษัท พี.เอส.เอ๊าท์ดอร์ โพรดัคชั่น จำกัด สาขาชลบุรี,1,2565
791,นายเอนก เจียรวงศ์สกุล,1,2565
792,บริษัท ภคิน แพ็คเกจจิ้ง จำกัด,1,2565
793,นายเอนก เจียรวงศ์สกุล,1,2565
794,บริษัท เดียม เอเชีย (ประเทศไทย) จำกัด,1,2565
795,บริษัท สตูป้า ศูนย์เก้า จำกัด,1,2565
796,บริษัท ทรัพย์เจริญรุ่งเรืองสตีล จำกัด,1,2565
797,บริษัท พรีคาสท์ คิงดอม จำกัด,1,2565
798,บริษัท บีอาร์. บูรพา ซัพพลาย จำกัด,1,2565
799,บริษัท หนองปรือ อุตสาหกรรม จำกัด,1,2565
800,บริษัท หลุยส์ เดคคอเรชั่น แอนด์ ดีไซน์ จำกัด,1,2565
801,บริษัท สยาม โคแนน จำกัด,1,2565
802,ห้างหุ้นส่วนจำกัด รัตนชาติก่อสร้าง,1,2565
803,บริษัท ยูเนียน แอนด์ โอจิ อินเตอร์แพ็ค จำกัด,1,2565
804,บริษัท ซี.เอ็น แอดวานซ์ ซัพพลาย จำกัด,1,2565
805,บริษัท โชคหิรัญการเกษตร จำกัด,1,2565
806,บริษัท แอ็ดวานซ์ พรีแฟบ จำกัด,1,2565
807,บริษัท ซาน เหอ จุ้น เฉิน พลาสติก อินเตอร์ จำกัด,1,2565
808,บริษัท บูรพาณิชย์ จำกัด,1,2565
809,บริษัท เวสต์ พรีซิชั่น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,1,2565
810,บริษัท กิติพร จำกัด,1,2565
811,บริษัท พีพี แอนด์ พี อินเตอร์ พาร์ท จำกัด,1,2565
812,นายภูวเดช จินาเคียน,1,2565
813,นางสาวสุราตรี เจริญศรี,1,2565
814,บริษัท แมกซ์ โฟลว์ อินดัสทรี้ จำกัด,1,2565
815,บริษัท ซีโนแพ็ค จำกัด,1,2565
816,บริษัท เพอมาเน้นท์ คอนสตรัคชั่น จำกัด,1,2565
817,บริษัท ชินวา อินเทค จำกัด,1,2565
818,บริษัท เทรด แมททีเรียล 2014 จำกัด,1,2565
819,บริษัท ชอไชยวัฒน์อุตสาหกรรม จำกัด,1,2565
820,บริษัท เจ.เจ.คอยล์เซ็นเตอร์ จำกัด,1,2565
821,บริษัท ฟีซ่า เอ็มเอฟจี เอเชีย จำกัด,1,2565
822,บริษัท โรจนินทร์ โลหะกิจ จำกัด,1,2565
823,บริษัท ศิลามาศ ทรานสปอร์ต จำกัด,1,2565
824,บริษัท ทิมิโก้ (ไทยแลนด์) จำกัด,1,2565
825,บริษัท ซินหยวน เฮ้าโฮลด์ (ไทยแลนด์) จำกัด,1,2565
826,บริษัท นพกร เอ็นจิเนียริ่ง จำกัด,1,2565
827,บริษัท สยามแอดวานซ์ เมทัล จำกัด,1,2565
828,ห้างหุ้นส่วนจำกัด ดี เอช ซี เทรดดิ้ง,1,2565
829,บริษัท ยูไนเต็ด เวสท์ แมเนจเม้นท์ จำกัด,1,2565
830,บริษัท ไทยอีสเทิร์น ท้อปซีดส์ ออยล์ จำกัด,1,2565
831,บริษัท เคเอ็ม.ไวร์ คัท จำกัด,1,2565
832,บริษัท 3เอ็มบี จำกัด,1,2565
833,บริษัท คาโรไลน์ คอร์ปอเรชั่น จำกัด,1,2565
834,บริษัท เงินมงคล พลาสติก ซัพพลาย จำกัด,1,2565
835,บริษัท เกาสุ แพคกิ้ง (ศรีราชา) อินดัสตรี้ จำกัด,1,2565
836,บริษัท ทีซี ออโต้ฮับ (ประเทศไทย) จำกัด,1,2565
837,นายพีระพงศ์ หาญตา,1,2565
838,นายพีระพงศ์ หาญตา,1,2565
839,บริษัท 888 ส่งเสริม จำกัด,1,2565
840,บริษัท ธนณัฐ โปรแพค ซัพพลาย จำกัด,1,2565
841,บริษัท จิน เบ๋า ลี่ จำกัด,1,2565
842,บริษัท จิน เบ๋า ลี่ จำกัด,1,2565
843,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซพอร์ต จำกัด,1,2565
844,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,1,2565
845,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,1,2565
846,บริษัท ซุ่นไท่ แพ็คกิ้ง แมททีเรียล (ประเทศไทย) จำกัด,1,2565
847,บริษัท ดี เค พลาสติก (ประเทศไทย) จำกัด,1,2565
848,บริษัท ไทยคิวบิค เทคโนโลยี่ จำกัด,1,2565
849,บริษัท เค.เอ็น.ไฮเทค จำกัด,1,2565
850,บริษัท ไทย ดงลี่ พลาสติก อินดัสทรี่ จำกัด,1,2565
851,นายมงคล พรมแดน,1,2565
852,ห้างหุ้นส่วนจำกัด เอ็ม เอส เอ โมลด์,1,2565
853,บริษัท ธนะทรัพย์พลาสติก รีไซเคิล จำกัด,1,2565
854,บริษัท ภูศรี พรีซีชั่น จำกัด,1,2565
855,บริษัท เฟ่ย ไทย พลาสติก จำกัด,1,2565
856,บริษัท นิสโก (ประเทศไทย) จำกัด,1,2565
857,บริษัท คิวเอ็ม อินเตอร์เทค จำกัด,1,2565
858,บริษัท ว่านซิง อินดัสเทรียล จำกัด,1,2565
859,บริษัท วิสุทธิ์ พลาสติก จำกัด,1,2565
860,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,1,2565
861,ห้างหุ้นส่วนจำกัด อาร์.เอส.อาร์.เอ็นเตอร์ไพรส์,1,2565
862,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,1,2565
863,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,1,2565
864,บริษัท รีไลแอนซ์ เอ็นจิเนียริ่ง (บ่อวิน) จำกัด,1,2565
865,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,1,2565
866,บริษัท โรงปุ๋ยบ่อทอง จำกัด,1,2565
867,บริษัท สามเอซี (ไทยแลนด์) จำกัด,1,2565
868,บริษัท อิฟง จำกัด,1,2565
869,บริษัท อิฟง จำกัด,1,2565
870,บริษัท เอ.เอ็น.เค.พลาสติก จำกัด,1,2565
871,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,1,2565
872,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,1,2565
873,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,1,2565
874,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,1,2565
875,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,1,2565
876,ห้างหุ้นส่วนจำกัด จงฝู อินเตอร์เนชั่นแนล,1,2565
877,บริษัท พาณิชย์ แพคเก็จ จำกัด,1,2565
878,บริษัท บุรีรัมย์ธงชัยก่อสร้าง จำกัด,1,2565
879,นางสาววรัทชยา มะหิรัญ,1,2565
880,บริษัท ติ่ง ซิน สแตนเลส จำกัด,1,2565
881,ห้างหุ้นส่วนจำกัด โชคบูรพา รีเทค,1,2565
882,บริษัท 99 กะรัตคอนกรีต จำกัด,1,2565
883,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
884,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
885,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
886,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
887,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
888,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
889,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,1,2565
890,บริษัท อี้ เซิ่ง สตีล อินดัสตรี จำกัด,1,2565
891,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,1,2565
892,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,1,2565
893,บริษัท ทีเอชซี พลาสติก อินดัสทรี จำกัด,1,2565
894,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,1,2565
895,บริษัท เอเซ๊ย ปั๊ม เอ็นจิเนียริ่ง จำกัด,1,2565
896,บริษัท เอซีอี ครีเอชั่น จำกัด,1,2565
897,บริษัท ซูกะ สตีล (ไทยแลนด์) จำกัด,1,2565
898,บริษัท บึงทอง เทค จำกัด,1,2565
899,บริษัท มูราทานิ แมชชีน (ไทยแลนด์) จำกัด,1,2565
900,บริษัท แนค กรุ๊ป จำกัด,1,2565
901,บริษัท ฉี อัน จำกัด,1,2565
902,บริษัท สยาม โคชิ จำกัด,1,2565
903,บริษัท หยู ซิน โมลด์ เทคโนโลยี จำกัด,1,2565
904,บริษัท อี.ที.ซี.เอ็นจิเนียริ่ง จำกัด,1,2565
905,บริษัท โอเคดี อินเตอร์ไพร์ส จำกัด,1,2565
906,บริษัท อีสเทิร์น พอร์ท แมเนจเม้นท์ คอร์ปอเรชั่น จำกัด,1,2565
907,บริษัท อี.ที.ซี.เอ็นจิเนียริ่ง จำกัด,1,2565
908,บริษัท รักษาสิ่งแวดล้อมและรีไซเคิล จำกัด,1,2565
909,บริษัท รักษาสิ่งแวดล้อมและรีไซเคิล จำกัด,1,2565
910,นายอนันต์ โกกนุทาภรณ์,1,2565
911,บริษัท ไทย เมวะ จำกัด,1,2565
912,บริษัท ทีพีแอล 168 จำกัด,1,2565
913,บริษัท พี เอส ซี ไบโอแก๊ส จำกัด,1,2565
914,บริษัท พี เจ ยูเนี่ยน พลาสติก จำกัด,1,2565
915,บริษัท ซิง ไล ฟา จำกัด,1,2565
916,นายเจริญ เฉลิมโชค,1,2565
917,บี-ควิก สาขาบิ๊กซี สัตหีบ,1,2565
918,นายประพันธ์ พรมภักษร,1,2565
919,บริษัท ไท่เหิง ฮาร์ดแวร์ เทคโนโลยี จำกัด,1,2565
920,ห้างหุ้นส่วนจำกัด บีพี เอ็นจิเนียริ่ง แอนด์ ทูลส์,1,2565
921,บริษัท เค ยู เทค จำกัด,1,2565
922,บริษัท เฟยเยวีย รับเบอร์ รีไซเคิล (ประเทศไทย) จำกัด,1,2565
923,บริษัท ชิง-ฮั่นพลาสติก จำกัด,1,2565
924,ห้างหุ้นส่วนจำกัด ทรัพย์มงคล พลาสติก,1,2565
925,บริษัท ส.สมบุญทรัพย์ จำกัด,1,2565
926,นางสุรีย์ภัทร์ ก้อนศรีษะ,1,2565
927,บริษัท ฟีซ่า ไทย เทคโน จำกัด,1,2565
928,นายขจรเกียรติ ทองดา,1,2565
929,บริษัท ชนสิทธิ์ คอนกรีต (2007) จำกัด,1,2565
930,บริษัท เค.เจ.ซี.คอนกรีต จำกัด,1,2565
931,บริษัท เค.เจ.ซี.คอนกรีต จำกัด,1,2565
932,บริษัท นครหลวงคอนกรีต จำกัด,1,2565
933,บริษัท อาร์ ซี บี เทรดดิ้ง จำกัด,1,2565
934,บริษัท ป.เจริญพันธ์อาหารสัตว์ จำกัด,1,2565
935,บริษัท แหลมฉบัง วี โพรเซ็ส จำกัด,1,2565
936,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,1,2565
937,บริษัท เวสท์ ทู เวลธ์ จำกัด,1,2565
938,บริษัท ชัยสมุทร พลาสติก จำกัด,1,2565
939,ห้างหุ้นส่วนจำกัด พี.เอส.เอส รีไซเคิล,1,2565
940,บริษัท ไออาร์พีเอ พลาสติก (ประเทศไทย) จำกัด,1,2565
941,ห้างหุ้นส่วนสามัญนิติบุคคล แสงทองเครื่องเคลือบดินเผา,1,2565
942,บริษัท เอส.เอ็ม.คอนกรีต แอนด์ คอนสตรัคชั่น จำกัด,1,2565
943,บริษัท บีเอเบิ้ล คอนกรีต จำกัด,1,2565
944,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,1,2565
945,บริษัท คิวมิกซ์ ซัพพลาย จำกัด,1,2565
946,ณฐาวดี พีซี เซ็นเตอร์,1,2565
947,บริษัท หนองใหญ่คอนกรีต จำกัด โรงงานคอนกรีตผสมเสร็จหนองไผ่แก้ว,1,2565
