﻿year,quarter,industry,_id,region,value,unit,source
2565,ไตรมาสที่ 4,กิจกรรมบริการด้านอื่น ๆ,69,ภาคตะวันออกเฉียงเหนือ,215.3,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,70,ภาคตะวันออกเฉียงเหนือ,29.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมขององค์การระหว่างประเทศ,71,ภาคตะวันออกเฉียงเหนือ,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ไม่ทราบ,72,ภาคตะวันออกเฉียงเหนือ,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,เกษตรกรรม การป่าไม้ และการประมง,73,ภาคใต้,2098.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การทำเหมืองแร่ และเหมืองหิน,74,ภาคใต้,13.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การผลิต,75,ภาคใต้,483.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,76,ภาคใต้,17.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,77,ภาคใต้,7.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การก่อสร้าง,78,ภาคใต้,298.6,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การขายส่ง และการขายปลีก การซ่อมยานยนต์,79,ภาคใต้,912.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การขนส่ง และสถานที่เก็บสินค้า,80,ภาคใต้,119.4,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 3,การก่อสร้าง,81,ภาคกลาง,680.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,82,ภาคตะวันออกเฉียงเหนือ,21.5,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ที่พักแรมและบริการด้านอาหาร,83,ภาคใต้,469.3,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมทางการเงินและการประกันภัย,84,ภาคใต้,50.3,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,85,ภาคใต้,15.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,86,ภาคใต้,28.1,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมการบริหารและการบริการสนับสนุน,87,ภาคใต้,63.8,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,88,ภาคใต้,274.6,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,การศึกษา,89,ภาคใต้,186.7,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,90,ภาคใต้,88.7,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ศิลปะ ความบันเทิง และนันทนาการ,91,ภาคใต้,27.9,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมบริการด้านอื่น ๆ,92,ภาคใต้,110.2,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,93,ภาคใต้,16.2,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,กิจกรรมขององค์การระหว่างประเทศ,94,ภาคใต้,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2565,ไตรมาสที่ 4,ไม่ทราบ,95,ภาคใต้,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,เกษตรกรรม การป่าไม้ และการประมง,96,กรุงเทพมหานคร,12.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การทำเหมืองแร่ และเหมืองหิน,97,กรุงเทพมหานคร,1.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การผลิต,98,กรุงเทพมหานคร,913.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,99,กรุงเทพมหานคร,14.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,100,กรุงเทพมหานคร,13.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การก่อสร้าง,101,กรุงเทพมหานคร,368.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การขายส่ง และการขายปลีก การซ่อมยานยนต์,102,กรุงเทพมหานคร,1270.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การขนส่ง และสถานที่เก็บสินค้า,103,กรุงเทพมหานคร,524.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,ที่พักแรมและบริการด้านอาหาร,104,กรุงเทพมหานคร,668.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,ข้อมูลข่าวสารและการสื่อสาร,105,กรุงเทพมหานคร,95.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมทางการเงินและการประกันภัย,106,กรุงเทพมหานคร,205.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมอสังหาริมทรัพย์,107,กรุงเทพมหานคร,221.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,108,กรุงเทพมหานคร,182.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมการบริหารและการบริการสนับสนุน,109,กรุงเทพมหานคร,292.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,110,กรุงเทพมหานคร,282.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การศึกษา,111,กรุงเทพมหานคร,156.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,112,กรุงเทพมหานคร,162.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,ศิลปะ ความบันเทิง และนันทนาการ,113,กรุงเทพมหานคร,68.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมบริการด้านอื่น ๆ,114,กรุงเทพมหานคร,171.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,115,กรุงเทพมหานคร,101.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,กิจกรรมขององค์การระหว่างประเทศ,116,กรุงเทพมหานคร,2.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,ไม่ทราบ,117,กรุงเทพมหานคร,25.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,เกษตรกรรม การป่าไม้ และการประมง,118,ภาคกลาง,2121.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ไตรมาสที่ 1,การทำเหมืองแร่ และเหมืองหิน,119,ภาคกลาง,15.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,120,ภาคกลาง,40.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,121,ภาคกลาง,52.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การก่อสร้าง,122,ภาคกลาง,640.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การขายส่ง และการขายปลีก การซ่อมยานยนต์,123,ภาคกลาง,2118.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การขนส่ง และสถานที่เก็บสินค้า,124,ภาคกลาง,600.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ที่พักแรมและบริการด้านอาหาร,125,ภาคกลาง,893.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ข้อมูลข่าวสารและการสื่อสาร,126,ภาคกลาง,54.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมทางการเงินและการประกันภัย,127,ภาคกลาง,133.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมอสังหาริมทรัพย์,128,ภาคกลาง,72.1,พันคน,สำนักงานสถิติแห่งชาติ
