province,work_status,sex,quarter,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 2,108,2567,533595,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 2,109,2567,3455935,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 2,110,2567,1260888,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 2,111,2567,295959,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 2,112,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 2,113,2567,2998628,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 2,114,2567,148813,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 2,115,2567,270215,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 2,116,2567,1739310,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 2,117,2567,741835,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 2,118,2567,98455,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 2,119,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 2,120,2567,2762773,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 2,121,2567,66212,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 2,122,2567,263380,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 2,123,2567,1716624,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 2,124,2567,519053,,คน,สำนักงานสถิติแห่งชาติ
